property,prefix,Context,Question,Correct Answer,negative_sample_type,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,bias_correction,predicted_answer,is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,0,-3.7822461128234863,-5.289348125457764,-4.086230908405213,-4.985363329876037,0.30398479558172653,Yes,True
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,0,-4.090871810913086,-6.401611804962158,-4.3948566064948125,-6.097627009380432,0.30398479558172653,Yes,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,0,-3.8960816860198975,-4.16597318649292,-4.200066481601624,-3.8619883909111934,0.30398479558172653,No,True
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,0,-4.462534427642822,-3.4812369346618652,-4.766519223224549,-3.1772521390801387,0.30398479558172653,No,True
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,0,-5.440475940704346,-3.9487671852111816,-5.744460736286072,-3.644782389629455,0.30398479558172653,No,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,0,-5.110042572021484,-6.188383102416992,-5.414027367603211,-5.884398306835266,0.30398479558172653,Yes,False
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,0,-5.467016220092773,-4.027034282684326,-5.7710010156745,-3.7230494871025996,0.30398479558172653,No,False
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,0,-3.7689266204833984,-4.275896072387695,-4.072911416065125,-3.971911276805969,0.30398479558172653,No,True
can affect urine,hair,'',Can hair affect urine?,No,random,0,-4.44398307800293,-6.75870943069458,-4.747967873584656,-6.4547246351128535,0.30398479558172653,Yes,False
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,0,-4.003970623016357,-5.012542724609375,-4.307955418598084,-4.7085579290276485,0.30398479558172653,Yes,False
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,0,-3.7606143951416016,-6.2654008865356445,-4.064599190723328,-5.961416090953918,0.30398479558172653,Yes,False
can bark,an arrow,'',Can an arrow bark?,No,random,0,-5.091148853302002,-3.0997211933135986,-5.3951336488837285,-2.795736397731872,0.30398479558172653,No,True
can be a distraction,a television,'',Can a television be a distraction?,Yes,random,0,-3.1792426109313965,-6.690677165985107,-3.483227406513123,-6.386692370403381,0.30398479558172653,Yes,True
can be a distraction,cider,'',Can cider be a distraction?,No,random,0,-4.289900779724121,-6.305487632751465,-4.593885575305848,-6.001502837169738,0.30398479558172653,Yes,False
can be a source of entertainment,a guitar,'',Can a guitar be a source of entertainment?,Yes,random,0,-3.764751434326172,-6.2733235359191895,-4.068736229907898,-5.969338740337463,0.30398479558172653,Yes,True
can be a source of entertainment,an armor,'',Can an armor be a source of entertainment?,No,random,0,-2.7234082221984863,-5.2374796867370605,-3.027393017780213,-4.933494891155334,0.30398479558172653,Yes,False
can be acoustic,a limousine,'',Can a limousine be acoustic?,No,random,0,-4.5481276512146,-5.552367210388184,-4.852112446796326,-5.248382414806457,0.30398479558172653,Yes,False
can be added to a hot drink,a rollerskate,'',Can a rollerskate be added to a hot drink?,No,random,0,-5.027714252471924,-5.780351161956787,-5.33169904805365,-5.476366366375061,0.30398479558172653,Yes,False
can be added to alcoholic drinks,a buffalo,'',Can a buffalo be added to alcoholic drinks?,No,random,0,-3.773893356323242,-5.785327911376953,-4.077878151904969,-5.481343115795227,0.30398479558172653,Yes,False
can be added to cake,cabbage,'',Can cabbage be added to cake?,No,random,0,-3.578949213027954,-6.361166477203369,-3.8829340086096806,-6.057181681621643,0.30398479558172653,Yes,False
can be added to cereal,cabbage,'',Can cabbage be added to cereal?,No,random,0,-3.5471975803375244,-6.591015338897705,-3.851182375919251,-6.2870305433159785,0.30398479558172653,Yes,False
can be airborne,chocolate,'',Can chocolate be airborne?,No,random,0,-3.9087791442871094,-5.914216041564941,-4.212763939868836,-5.610231245983215,0.30398479558172653,Yes,False
can be attached to a DVD player,a caterpillar,'',Can a caterpillar be attached to a dvd player?,No,random,0,-5.525007724761963,-5.555310249328613,-5.828992520343689,-5.251325453746887,0.30398479558172653,No,True
can be attached to a car,an ear,'',Can an ear be attached to a car?,No,random,0,-4.557408332824707,-4.5720391273498535,-4.861393128406434,-4.268054331768127,0.30398479558172653,No,True
can be attached to a tractor,hair,'',Can hair be attached to a tractor?,No,random,0,-4.242293834686279,-5.760996341705322,-4.546278630268006,-5.457011546123596,0.30398479558172653,Yes,False
can be attached to a tree,a swing,'',Can a swing be attached to a tree?,Yes,random,0,-4.885684490203857,-6.895219802856445,-5.189669285785584,-6.591235007274719,0.30398479558172653,Yes,True
can be attached to an oven,a stove,'',Can a stove be attached to an oven?,Yes,random,0,-4.890786647796631,-7.156373500823975,-5.194771443378357,-6.852388705242248,0.30398479558172653,Yes,True
can be attached to bicycles,a toad,'',Can a toad be attached to bicycles?,No,random,0,-4.419389247894287,-4.934020042419434,-4.723374043476014,-4.630035246837707,0.30398479558172653,No,True
can be bad for the teeth,lemonade,'',Can lemonade be bad for the teeth?,Yes,random,0,-3.8078742027282715,-6.8265767097473145,-4.111858998309998,-6.522591914165588,0.30398479558172653,Yes,True
