property,prefix,Context,Question,Correct Answer,negative_sample_type,raw_yes_logprob,raw_no_logprob,base_yes_logprob,base_no_logprob,adjusted_yes_logprob,adjusted_no_logprob,predicted_answer,is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,-4.026176929473877,-4.526176929473877,-7.621617794036865,-6.746617794036865,3.5954408645629883,2.2204408645629883,Yes,True
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,-4.485836505889893,-4.493284702301025,-7.621617794036865,-6.746617794036865,3.1357812881469727,2.25333309173584,Yes,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,-4.120921611785889,-3.8709216117858887,-7.621617794036865,-6.746617794036865,3.5006961822509766,2.8756961822509766,Yes,False
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,-5.089542388916016,-3.841195821762085,-7.621617794036865,-6.746617794036865,2.5320754051208496,2.9054219722747803,No,True
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,-5.2666401863098145,-5.262529373168945,-7.621617794036865,-6.746617794036865,2.354977607727051,1.48408842086792,Yes,False
bruises over time,gloves,'',Does gloves bruise over time?,No,random,-7.5443501472473145,-7.789254665374756,-7.621617794036865,-6.746617794036865,0.07726764678955078,-1.0426368713378906,Yes,False
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,-6.0443501472473145,-5.0443501472473145,-7.621617794036865,-6.746617794036865,1.5772676467895508,1.7022676467895508,No,False
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,-4.333040237426758,-5.085399627685547,-7.621617794036865,-6.746617794036865,3.2885775566101074,1.6612181663513184,Yes,False
can affect urine,hair,'',Can hair affect urine?,No,random,-5.551452159881592,-7.048336505889893,-7.621617794036865,-6.746617794036865,2.0701656341552734,-0.30171871185302734,Yes,False
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,-3.903169870376587,-5.153169631958008,-7.621617794036865,-6.746617794036865,3.7184479236602783,1.5934481620788574,Yes,False
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,-4.055784702301025,-5.8072662353515625,-7.621617794036865,-6.746617794036865,3.56583309173584,0.9393515586853027,Yes,False
can bark,an arrow,'',Can an arrow bark?,No,random,-3.0913503170013428,-3.5918805599212646,-7.621617794036865,-6.746617794036865,4.5302674770355225,3.1547372341156006,Yes,False
can be a distraction,a television,'',Can a television be a distraction?,Yes,random,-3.6694376468658447,-5.903850555419922,-7.621617794036865,-6.746617794036865,3.9521801471710205,0.8427672386169434,Yes,True
can be a distraction,cider,'',Can cider be a distraction?,No,random,-4.154793739318848,-5.654793739318848,-7.621617794036865,-6.746617794036865,3.4668240547180176,1.0918240547180176,Yes,False
can be a source of entertainment,a guitar,'',Can a guitar be a source of entertainment?,Yes,random,-2.1230714321136475,-5.123071193695068,-7.621617794036865,-6.746617794036865,5.498546361923218,1.6235466003417969,Yes,True
can be a source of entertainment,an armor,'',Can an armor be a source of entertainment?,No,random,-2.700610399246216,-5.185024261474609,-7.621617794036865,-6.746617794036865,4.921007394790649,1.5615935325622559,Yes,False
can be acoustic,a limousine,'',Can a limousine be acoustic?,No,random,-2.0144362449645996,-4.78004264831543,-7.621617794036865,-6.746617794036865,5.607181549072266,1.9665751457214355,Yes,False
can be added to a hot drink,a rollerskate,'',Can a rollerskate be added to a hot drink?,No,random,-3.3093223571777344,-4.3113298416137695,-7.621617794036865,-6.746617794036865,4.312295436859131,2.4352879524230957,Yes,False
can be added to alcoholic drinks,a buffalo,'',Can a buffalo be added to alcoholic drinks?,No,random,-3.6978089809417725,-5.680784702301025,-7.621617794036865,-6.746617794036865,3.9238088130950928,1.0658330917358398,Yes,False
can be added to cake,cabbage,'',Can cabbage be added to cake?,No,random,-4.888653755187988,-6.888653755187988,-7.621617794036865,-6.746617794036865,2.732964038848877,-0.14203596115112305,Yes,False
can be added to cereal,cabbage,'',Can cabbage be added to cereal?,No,random,-5.1068501472473145,-7.595249652862549,-7.621617794036865,-6.746617794036865,2.514767646789551,-0.8486318588256836,Yes,False
can be airborne,chocolate,'',Can chocolate be airborne?,No,random,-2.2793805599212646,-4.529793739318848,-7.621617794036865,-6.746617794036865,5.342237234115601,2.2168240547180176,Yes,False
can be attached to a DVD player,a caterpillar,'',Can a caterpillar be attached to a dvd player?,No,random,-5.569775581359863,-5.825029373168945,-7.621617794036865,-6.746617794036865,2.051842212677002,0.9215884208679199,Yes,False
can be attached to a car,an ear,'',Can an ear be attached to a car?,No,random,-2.9187464714050293,-4.404380798339844,-7.621617794036865,-6.746617794036865,4.702871322631836,2.3422369956970215,Yes,False
can be attached to a tractor,hair,'',Can hair be attached to a tractor?,No,random,-3.152296781539917,-5.153169631958008,-7.621617794036865,-6.746617794036865,4.469321012496948,1.5934481620788574,Yes,False
can be attached to a tree,a swing,'',Can a swing be attached to a tree?,Yes,random,-3.6788854598999023,-7.178885459899902,-7.621617794036865,-6.746617794036865,3.942732334136963,-0.4322676658630371,Yes,True
can be attached to an oven,a stove,'',Can a stove be attached to an oven?,Yes,random,-4.458040237426758,-7.451153755187988,-7.621617794036865,-6.746617794036865,3.1635775566101074,-0.704535961151123,Yes,True
can be attached to bicycles,a toad,'',Can a toad be attached to bicycles?,No,random,-2.7902634143829346,-5.053885459899902,-7.621617794036865,-6.746617794036865,4.831354379653931,1.692732334136963,Yes,False
can be bad for the teeth,lemonade,'',Can lemonade be bad for the teeth?,Yes,random,-4.6197662353515625,-6.868284702301025,-7.621617794036865,-6.746617794036865,3.0018515586853027,-0.12166690826416016,Yes,True
can be baked,a bean,'',Can a bean be baked?,Yes,random,-2.138110399246216,-5.123497486114502,-7.621617794036865,-6.746617794036865,5.483507394790649,1.6231203079223633,Yes,True
can be baked,broccoli,'',Can broccoli be baked?,No,random,-2.895202159881592,-6.397899627685547,-7.621617794036865,-6.746617794036865,4.726415634155273,0.34871816635131836,Yes,False
can be bald,an owl,'',Can an owl be bald?,No,random,-4.118284702301025,-4.872524261474609,-7.621617794036865,-6.746617794036865,3.50333309173584,1.8740935325622559,Yes,False
can be banned in a drought,a boomerang,'',Can a boomerang be banned in a drought?,No,random,-4.684322357177734,-5.684322357177734,-7.621617794036865,-6.746617794036865,2.937295436859131,1.0622954368591309,Yes,False
can be bass,a guitar,'',Can a guitar be bass?,Yes,random,-2.38909912109375,-5.15470027923584,-7.621617794036865,-6.746617794036865,5.232518672943115,1.5919175148010254,Yes,True
can be bent,a leg,'',Can a leg be bent?,Yes,random,-3.926452159881592,-4.928885459899902,-7.621617794036865,-6.746617794036865,3.6951656341552734,1.817732334136963,Yes,True
can be bent,an owl,'',Can an owl be bent?,No,random,-3.8527634143829346,-4.340669631958008,-7.621617794036865,-6.746617794036865,3.7688543796539307,2.4059481620788574,Yes,False
can be bitter in taste,cider,'',Can cider be bitter in taste?,Yes,random,-3.479222059249878,-5.465669631958008,-7.621617794036865,-6.746617794036865,4.142395734786987,1.2809481620788574,Yes,True
can be blonde,hair,'',Can hair be blonde?,Yes,random,-2.8295865058898926,-5.080019474029541,-7.621617794036865,-6.746617794036865,4.792031288146973,1.6665983200073242,Yes,True
can be blonde,an ambulance,'',Can an ambulance be blonde?,No,random,-3.0437464714050293,-4.5613298416137695,-7.621617794036865,-6.746617794036865,4.577871322631836,2.1852879524230957,Yes,False
can be blunt,a bayonet,'',Can a bayonet be blunt?,Yes,random,-5.238952159881592,-6.735836505889893,-7.621617794036865,-6.746617794036865,2.3826656341552734,0.010781288146972656,Yes,True
can be broken,a sweater,'',Can a sweater be broken?,No,random,-2.9672000408172607,-4.96754264831543,-7.621617794036865,-6.746617794036865,4.6544177532196045,1.7790751457214355,Yes,False
can be button shaped,mushroom,'',Can mushroom be button shaped?,Yes,random,-3.879404306411743,-5.366385459899902,-7.621617794036865,-6.746617794036865,3.742213487625122,1.380232334136963,Yes,True
can be carbonated,lemonade,'',Can lemonade be carbonated?,Yes,random,-3.113952159881592,-5.368284702301025,-7.621617794036865,-6.746617794036865,4.507665634155273,1.3783330917358398,Yes,True
can be claustrophobic,a squirrel,'',Can a squirrel be claustrophobic?,No,random,-4.652296543121338,-5.403169631958008,-7.621617794036865,-6.746617794036865,2.9693212509155273,1.3434481620788574,Yes,False
can be coated with flavor,a donut,'',Can a donut be coated with flavor?,Yes,random,-2.13909912109375,-5.1238298416137695,-7.621617794036865,-6.746617794036865,5.482518672943115,1.6227879524230957,Yes,True
can be cold,a plow,'',Can a plow be cold?,No,random,-3.387397289276123,-5.6529717445373535,-7.621617794036865,-6.746617794036865,4.234220504760742,1.0936460494995117,Yes,False
