property,prefix,Context,Question,Correct Answer,negative_sample_type,raw_yes_logprob,raw_no_logprob,base_yes_logprob,base_no_logprob,adjusted_yes_logprob,adjusted_no_logprob,predicted_answer,is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,-3.820504665374756,-3.0851354598999023,-9.739618301391602,-7.455845832824707,5.919113636016846,4.370710372924805,Yes,True
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,-4.161060333251953,-4.226754665374756,-9.739618301391602,-7.455845832824707,5.578557968139648,3.229091167449951,Yes,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,-5.337240695953369,-3.4668805599212646,-9.739618301391602,-7.455845832824707,4.402377605438232,3.9889652729034424,Yes,False
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,-4.860836505889893,-2.745379686355591,-9.739618301391602,-7.455845832824707,4.878781795501709,4.710466146469116,Yes,False
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,-4.508711814880371,-3.2728993892669678,-9.739618301391602,-7.455845832824707,5.2309064865112305,4.182946443557739,Yes,False
bruises over time,gloves,'',Does gloves bruise over time?,No,random,-5.404876708984375,-6.3130693435668945,-9.739618301391602,-7.455845832824707,4.334741592407227,1.1427764892578125,Yes,False
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,-4.91842794418335,-4.351367950439453,-9.739618301391602,-7.455845832824707,4.821190357208252,3.104477882385254,Yes,True
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,-4.582000732421875,-5.095249652862549,-9.739618301391602,-7.455845832824707,5.157617568969727,2.360596179962158,Yes,False
can affect urine,hair,'',Can hair affect urine?,No,random,-4.149458408355713,-5.907749652862549,-9.739618301391602,-7.455845832824707,5.590159893035889,1.5480961799621582,Yes,False
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,-4.180784702301025,-4.683421611785889,-9.739618301391602,-7.455845832824707,5.558833599090576,2.7724242210388184,Yes,False
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,-4.220249652862549,-4.738952159881592,-9.739618301391602,-7.455845832824707,5.519368648529053,2.7168936729431152,Yes,False
can bark,an arrow,'',Can an arrow bark?,No,random,-4.053885459899902,-3.0752761363983154,-9.739618301391602,-7.455845832824707,5.685732841491699,4.380569696426392,Yes,False
can be a distraction,a television,'',Can a television be a distraction?,Yes,random,-2.7859976291656494,-5.305784702301025,-9.739618301391602,-7.455845832824707,6.953620672225952,2.1500611305236816,Yes,True
