Type,Digits,Context,Question,Correct Answer,yes_logprob,no_logprob,predicted_answer,is_correct
Arithmetic,1_digit_addition,'',Is 8 plus 3 equal to 17?,No,-1.3995347023010254,-1.653774380683899,Yes,False
Arithmetic,1_digit_addition,'',Is 1 plus 6 equal to 5?,No,-1.440037727355957,-1.6921098232269287,Yes,False
Arithmetic,1_digit_addition,'',Is 1 plus 8 equal to 4?,No,-1.4947662353515625,-1.747524380683899,Yes,False
Arithmetic,1_digit_addition,'',Is 7 plus 0 equal to 6?,No,-1.532294750213623,-1.5365674495697021,Yes,False
Arithmetic,1_digit_addition,'',Is 2 plus 4 equal to 4?,No,-1.3540589809417725,-1.6068603992462158,Yes,False
Arithmetic,1_digit_addition,'',Is 5 plus 1 equal to 9?,No,-1.5182442665100098,-1.5215238332748413,Yes,False
Arithmetic,1_digit_addition,'',Is 4 plus 0 equal to 6?,No,-1.4010162353515625,-1.653774380683899,Yes,False
Arithmetic,1_digit_addition,'',Is 6 plus 6 equal to 70?,No,-1.4010162353515625,-1.653774380683899,Yes,False
Arithmetic,1_digit_addition,'',Is 3 plus 8 equal to 77?,No,-1.5870347023010254,-1.591274380683899,Yes,False
Arithmetic,1_digit_addition,'',Is 8 plus 1 equal to 8?,No,-1.4463043212890625,-1.4506103992462158,Yes,False
Arithmetic,1_digit_addition,'',Is 5 plus 7 equal to 76?,No,-1.4947662353515625,-1.4980714321136475,Yes,False
Arithmetic,1_digit_addition,'',Is 2 plus 3 equal to 3?,No,-1.5103089809417725,-1.5131103992462158,Yes,False
Arithmetic,1_digit_addition,'',Is 9 plus 3 equal to 89?,No,-1.533787727355957,-1.5358598232269287,Yes,False
Arithmetic,1_digit_addition,'',Is 5 plus 4 equal to 7?,No,-1.2915589809417725,-1.793647289276123,Yes,False
Arithmetic,1_digit_addition,'',Is 1 plus 4 equal to 8?,No,-1.346287727355957,-1.8490674495697021,Yes,False
Arithmetic,1_digit_addition,'',Is 7 plus 1 equal to 4?,No,-1.532294750213623,-1.5365674495697021,Yes,False
Arithmetic,1_digit_addition,'',Is 9 plus 6 equal to 57?,No,-1.4244942665100098,-1.6765345335006714,Yes,False
Arithmetic,1_digit_addition,'',Is 6 plus 0 equal to 1?,No,-1.4010162353515625,-1.653774380683899,Yes,False
Arithmetic,1_digit_addition,'',Is 4 plus 7 equal to 86?,No,-1.408787727355957,-1.6608598232269287,Yes,False
Arithmetic,1_digit_addition,'',Is 4 plus 5 equal to 4?,No,-1.440037727355957,-1.4428174495697021,Yes,False
Arithmetic,1_digit_addition,'',Is 7 plus 9 equal to 59?,No,-1.4775543212890625,-1.7302324771881104,Yes,False
Arithmetic,1_digit_addition,'',Is 9 plus 1 equal to 26?,No,-1.5182442665100098,-1.5202845335006714,Yes,False
Arithmetic,1_digit_addition,'',Is 2 plus 1 equal to 6?,No,-1.502537727355957,-1.5053174495697021,Yes,False
