property,prefix,Context,Question,Correct Answer,negative_sample_type,yes_logprob,no_logprob,predicted_answer,is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,-0.005980611313134432,-5.124983310699463,Yes,True
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,-0.007647396065294743,-4.87497091293335,Yes,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,-9.874903678894043,-7.46254445402883e-05,No,True
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,-12.937397956848145,-1.1682650438160636e-05,No,True
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,-14.749820709228516,-2.920661063399166e-05,No,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,-8.12476921081543,-0.00046193916932679713,No,True
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,-4.874820709228516,-0.007706525735557079,No,False
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,-8.68735122680664,-0.0002051597402896732,No,True
can affect urine,hair,'',Can hair affect urine?,No,random,-3.7811057567596436,-0.023625614121556282,No,True
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,-14.18735122680664,-2.0027269783895463e-05,No,True
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,-9.999820709228516,-9.203028457704931e-05,No,True
can bark,an arrow,'',Can an arrow bark?,No,random,-14.37489128112793,-1.7523823771625757e-05,No,True
can be a distraction,a television,'',Can a television be a distraction?,Yes,random,-0.0003062492178287357,-8.49997615814209,Yes,True
can be a distraction,cider,'',Can cider be a distraction?,No,random,-2.265453815460205,-0.14152050018310547,No,True
can be a source of entertainment,a guitar,'',Can a guitar be a source of entertainment?,Yes,random,-3.731306060217321e-05,-11.749979019165039,Yes,True
can be a source of entertainment,an armor,'',Can an armor be a source of entertainment?,No,random,-7.749796390533447,-0.0004962714738212526,No,True
can be acoustic,a limousine,'',Can a limousine be acoustic?,No,random,-10.437309265136719,-5.817493365611881e-05,No,True
can be added to a hot drink,a rollerskate,'',Can a rollerskate be added to a hot drink?,No,random,-12.812309265136719,-3.731288597919047e-05,No,True
can be added to alcoholic drinks,a buffalo,'',Can a buffalo be added to alcoholic drinks?,No,random,-5.874841690063477,-0.0030422236304730177,No,True
can be added to cake,cabbage,'',Can cabbage be added to cake?,No,random,-11.437383651733398,-4.9591297283768654e-05,No,True
can be added to cereal,cabbage,'',Can cabbage be added to cereal?,No,random,-10.312383651733398,-9.238753409590572e-05,No,True
can be airborne,chocolate,'',Can chocolate be airborne?,No,random,-11.187254905700684,-4.6969369577709585e-05,No,True
can be attached to a DVD player,a caterpillar,'',Can a caterpillar be attached to a dvd player?,No,random,-14.624738693237305,-4.0412574890069664e-05,No,True
can be attached to a car,an ear,'',Can an ear be attached to a car?,No,random,-15.124796867370605,-2.0504294298007153e-05,No,True
can be attached to a tractor,hair,'',Can hair be attached to a tractor?,No,random,-13.812309265136719,-2.3723026970401406e-05,No,True
can be attached to a tree,a swing,'',Can a swing be attached to a tree?,Yes,random,-0.007818343117833138,-4.874959945678711,Yes,True
can be attached to an oven,a stove,'',Can a stove be attached to an oven?,Yes,random,-3.2811057567596436,-0.03824198618531227,No,False
can be attached to bicycles,a toad,'',Can a toad be attached to bicycles?,No,random,-11.124820709228516,-7.152637408580631e-05,No,True
can be bad for the teeth,lemonade,'',Can lemonade be bad for the teeth?,Yes,random,-0.0032100703101605177,-5.8749518394470215,Yes,True
can be baked,a bean,'',Can a bean be baked?,Yes,random,-1.4061859846115112,-0.2812157869338989,No,False
can be baked,broccoli,'',Can broccoli be baked?,No,random,-0.07904589176177979,-2.5780932903289795,Yes,False
can be bald,an owl,'',Can an owl be bald?,No,random,-9.124876976013184,-0.00014698543236590922,No,True
can be banned in a drought,a boomerang,'',Can a boomerang be banned in a drought?,No,random,-6.499820709228516,-0.0016498578479513526,No,True
can be bass,a guitar,'',Can a guitar be bass?,Yes,random,-6.124820709228516,-0.0022339834831655025,No,False
can be bent,a leg,'',Can a leg be bent?,Yes,random,-0.00012707759742625058,-9.249980926513672,Yes,True
can be bent,an owl,'',Can an owl be bent?,No,random,-14.124859809875488,-1.78815025719814e-05,No,True
can be bitter in taste,cider,'',Can cider be bitter in taste?,Yes,random,-0.030031926929950714,-3.531172752380371,Yes,True
can be blonde,hair,'',Can hair be blonde?,Yes,random,-0.004192474763840437,-5.4999518394470215,Yes,True
can be blonde,an ambulance,'',Can an ambulance be blonde?,No,random,-14.37476921081543,-2.956416574306786e-05,No,True
can be blunt,a bayonet,'',Can a bayonet be blunt?,Yes,random,-5.624851226806641,-0.0036568662617355585,No,False
can be broken,a sweater,'',Can a sweater be broken?,No,random,-1.0545978546142578,-0.4296395778656006,No,True
can be button shaped,mushroom,'',Can mushroom be button shaped?,Yes,random,-3.781026601791382,-0.023461228236556053,No,False
can be carbonated,lemonade,'',Can lemonade be carbonated?,Yes,random,-0.2811774015426636,-1.4062135219573975,Yes,True
can be claustrophobic,a squirrel,'',Can a squirrel be claustrophobic?,No,random,-8.312309265136719,-0.0003495231503620744,No,True
can be coated with flavor,a donut,'',Can a donut be coated with flavor?,Yes,random,-0.005990745034068823,-5.124975681304932,Yes,True
can be cold,a plow,'',Can a plow be cold?,No,random,-6.499884128570557,-0.0015285032568499446,No,True
can be cooked,cheese,'',Can cheese be cooked?,Yes,random,-1.312437891960144,-0.3144218921661377,No,False
can be covered,butter,'',Can butter be covered?,No,random,-3.1716480255126953,-0.043580062687397,No,True
can be covered in chocolate,a seagull,'',Can a seagull be covered in chocolate?,No,random,-11.562309265136719,-6.318141095107421e-05,No,True
can be covered in lip gloss,a lip,'',Can a lip be covered in lip gloss?,Yes,random,-0.000372768088709563,-7.999972343444824,Yes,True
can be covered in lip gloss,a harpsichord,'',Can a harpsichord be covered in lip gloss?,No,random,-14.562331199645996,-1.9312166841700673e-05,No,True
can be crumbly,a bagpipe,'',Can a bagpipe be crumbly?,No,random,-11.43735122680664,-3.8385624065995216e-05,No,True
can be crushed,garlic,'',Can garlic be crushed?,Yes,random,-0.001759768696501851,-6.374972343444824,Yes,True
can be crushed,a bikini,'',Can a bikini be crushed?,No,random,-6.874876499176025,-0.0011600266443565488,No,True
can be curly,hair,'',Can hair be curly?,Yes,random,-0.00011110377090517431,-9.499980926513672,Yes,True
can be cut into slices,mango,'',Can mango be cut into slices?,Yes,random,-0.07024991512298584,-2.6874547004699707,Yes,True
can be cut into slices,a spider,'',Can a spider be cut into slices?,No,random,-12.18735122680664,-5.4836535127833486e-05,No,True
can be dangerous,a centipede,'',Can a centipede be dangerous?,No,random,-0.3163034915924072,-1.312448501586914,Yes,False
can be decaffeinated,a trombone,'',Can a trombone be decaffeinated?,No,random,-12.687283515930176,-3.433298479649238e-05,No,True
