property,prefix,Context,Question,Correct Answer,negative_sample_type,raw_yes_logprob,raw_no_logprob,base_yes_logprob,base_no_logprob,adjusted_yes_logprob,adjusted_no_logprob,predicted_answer,is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,-1.5117723941802979,-2.676452159881592,-8.374619483947754,-7.187296390533447,6.862847089767456,4.5108442306518555,Yes,True
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,-2.127518892288208,-3.659558057785034,-8.374619483947754,-7.187296390533447,6.247100591659546,3.527738332748413,Yes,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,-4.049990653991699,-1.8110734224319458,-8.374619483947754,-7.187296390533447,4.324628829956055,5.3762229681015015,No,True
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,-4.5166401863098145,-1.7466785907745361,-8.374619483947754,-7.187296390533447,3.8579792976379395,5.440617799758911,No,True
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,-4.054893970489502,-2.088003158569336,-8.374619483947754,-7.187296390533447,4.319725513458252,5.099293231964111,No,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,-2.888742446899414,-3.331829786300659,-8.374619483947754,-7.187296390533447,5.48587703704834,3.855466604232788,Yes,False
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,-3.5796968936920166,-2.1488137245178223,-8.374619483947754,-7.187296390533447,4.794922590255737,5.038482666015625,No,False
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,-2.2788543701171875,-2.925579786300659,-8.374619483947754,-7.187296390533447,6.095765113830566,4.261716604232788,Yes,False
can affect urine,hair,'',Can hair affect urine?,No,random,-3.6667943000793457,-4.561122894287109,-8.374619483947754,-7.187296390533447,4.707825183868408,2.626173496246338,Yes,False
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,-2.945155382156372,-3.884603261947632,-8.374619483947754,-7.187296390533447,5.429464101791382,3.3026931285858154,Yes,False
