question,A,B,C,D,answer,oa_logprob,ob_logprob,oc_logprob,od_logprob,predicted_answer,is_correct
Nearsightedness results from,(A) too much curvature of the cornea and lens,(B) too little curvature of the cornea and lens,(C) too much curvature of the iris and lens,(D) too little curvature of the iris and lens,A,-1.0840238332748413,-1.3340238332748413,-1.5834810733795166,-1.8343995809555054,A,True
Delusions of grandeur are most characteristic of,(A) OCD.,(B) schizophrenia.,(C) conversion disorder.,(D) antisocial personality disorder.,B,-1.0990674495697021,-1.3490674495697021,-1.5983598232269287,-1.8490674495697021,A,False
Abraham Maslow proposed the idea that some motives are more imperative to survival than others. Which of the following approaches expresses this?,(A) Homeostatic regulation,(B) Goal-setting,(C) Expectancy-value,(D) Hierarchy of needs,D,-1.4675426483154297,-0.9678385853767395,-1.4672476053237915,-1.9675426483154297,B,False
"In test construction and evaluation, validity refers to the degree to which a test",(A) measures what it purports to measure,(B) yields consistent results on successive administrations,(C) has been piloted and statistically analyzed,(D) includes norms based on a representative sample of the general population,A,-1.310024380683899,-1.3093222379684448,-1.3093222379684448,-1.8093222379684448,B,False
The precedent established in Larry P. v. Riles resulted in,"(A) the provision of a free, appropriate public education for students with disabilities",(B) the provision of bilingual education for English-language learners,(C) schools being held responsible for providing tests that do not discriminate on the basis of race,(D) the assignment of similar funding to athletic activities for boys and girls,C,-1.5671098232269287,-1.0683687925338745,-1.5671098232269287,-1.5683687925338745,B,False
The heritability for traits of a cloned population is,(A) 0%,(B) 25%,(C) 50%,(D) 75%,A,-1.4834775924682617,-1.4836760759353638,-1.2336760759353638,-1.4838305711746216,C,False
Which of the following statistics provides the most information about how spread out a distribution of scores is?,(A) variance,(B) mean,(C) range,(D) median,A,-1.4682140350341797,-0.9721182584762573,-1.4682140350341797,-1.9683326482772827,B,False
"According to the position statement Supervision in School Psychology published by the National Association of School Psychologists (NASP), which of the following is most accurate concerning school psychologists who will be supervising in a school district?",(A) They need provide supervision only to school psychologists who are not fully certified or licensed and to any school psychology interns.,(B) They should provide professional but not administrative supervision.,(C) They are eligible to serve as supervisors after one year of experience as a school psychologist.,(D) They should hold the Nationally Certified School Psychologist credential or the state school psychologist credential.,D,-1.3647310733795166,-1.3647310733795166,-1.3640345335006714,-1.6140345335006714,C,False
"Dan read a list of 30 vocabulary words only once. If he is typical and shows the serial position effect, we would expect that the words he remembers two days later are",(A) at the beginning of the list,(B) in the middle of the list,(C) at the end of the list,(D) distributed throughout the list,A,-1.2943603992462158,-1.0443603992462158,-1.5443603992462158,-2.0444376468658447,B,False
"Which developmental stage theory explained how experiences in infancy, childhood, adolscence, adulthood, and old age influence later personality characteristics?",(A) Piaget's cognitive development theory,(B) Erikson's psychosocial stage theory,(C) Kohlberg's moral development theory,(D) Ainsworth's social attachment theory,B,-1.1230714321136475,-1.1230714321136475,-1.6218222379684448,-2.1225242614746094,A,False
