question,A,B,C,D,answer,oa_logprob,ob_logprob,oc_logprob,od_logprob,predicted_answer,is_correct
What size of cannula would you use in a patient who needed a rapid blood transfusion (as of 2020 medical knowledge)?,(A) 18 gauge.,(B) 20 gauge.,(C) 22 gauge.,(D) 24 gauge.,A,-3.4818501472473145,-3.988952159881592,-3.9818501472473145,-3.988952159881592,A,True
The key attribute in successful marathon running is:,(A) strength.,(B) power.,(C) stride length.,(D) stamina.,D,-3.5359976291656494,-3.035654306411743,-3.528441905975342,-2.528441905975342,D,True
Which of the following is the commonest cause of dementia in the UK?,(A) Alzheimer's disease.,(B) Cerebrovascular (stroke) disease.,(C) Lewy body dementia.,(D) HIV infection.,A,-2.414254665374756,-2.407749652862549,-2.914254665374756,-2.657749652862549,B,False
Which of the following is NOT a symptom of anaphylaxis?,(A) Stridor.,(B) Bradycardia.,(C) Severe wheeze.,(D) Rash.,B,-3.3925790786743164,-2.8925790786743164,-2.8925790786743164,-2.3925790786743164,D,False
In what situation are closed pouches applied?,(A) The patient has a semi-formed or liquid output.,(B) The patient has a colostomy.,(C) In the immediate post-operative period.,(D) The patient has a urostomy.,B,-3.2631001472473145,-2.7631001472473145,-3.2631001472473145,-2.2631001472473145,D,False
With an increasing number of sprints the:,(A) anaerobic contribution progressively increases.,(B) pH of the muscle falls below 6.0.,(C) blood glucose concentration falls below 3 mmol/L.,(D) relative contribution of aerobic metabolism increases.,D,-2.501499652862549,-2.9826626777648926,-3.001499652862549,-2.4826626777648926,D,True
Which of the following is true in diplopia?,(A) Diplopia can never occur if one eye is covered,(B) The outer image is always the false image,(C) A fourth nerve palsy occurs when the patient looks upwards,(D) A sixth nerve palsy causes a divergent squint,B,-2.747753858566284,-2.7363290786743164,-3.7363290786743164,-3.6879119873046875,B,True
Sodium bicarbonate ingestion improves middle distance running performance by:,(A) elevating the pH and buffering capacity of the extracellular fluid allowing a faster efflux of hydrogen ions from muscle.,(B) reducing the pH and buffering capacity of the extracellular fluid allowing a faster efflux of hydrogen ions from muscle.,(C) elevating the pH and buffering capacity of the extracellular fluid allowing a faster influx of hydrogen ions into muscle.,(D) elevating the pre-exercise muscle pH.,A,-2.301452159881592,-2.7943501472473145,-2.801452159881592,-2.7943501472473145,A,True
Codons are composed of:,(A) triplet sequences of nucleotide bases in mRNA or DNA .,(B) quadruplet sequences of nucleotide bases in mRNA or DNA.,(C) triplet sequences of amino acids in polypeptide chains.,(D) triplet sequences of deoxyribose sugars in DNA.,A,-2.889860153198242,-3.308525800704956,-3.081878900527954,-3.139860153198242,A,True
Fatty acids are transported into the mitochondria bound to:,(A) thiokinase.,(B) coenzyme A (CoA).,(C) acetyl-CoA.,(D) carnitine.,D,-3.2582459449768066,-2.9975411891937256,-3.7167913913726807,-2.7582459449768066,D,True
Which of the answers below best indicates the compatible blood types that can be given to a person with a blood group B (rhesus negative)?,"(A) Blood type AB (rhesus negative), blood type B, and blood type O (rhesus negative).",(B) Blood type B (rhesus positive) and blood type O (rhesus positive).,(C) Blood type B (rhesus negative) and blood type O (rhesus negative).,(D) Blood type B (rhesus negative) only.,C,-2.188999652862549,-2.688999652862549,-3.188999652862549,-2.688999652862549,A,False
