property,prefix,Context,Question,Correct Answer,negative_sample_type,yes_logprob,no_logprob,predicted_answer,is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,-0.282979279756546,-1.4530333280563354,Yes,True
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,-0.02594129927456379,-4.343596458435059,Yes,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,-1.9059630632400513,-0.17275071144104004,No,True
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,-2.8589510917663574,-0.07744266837835312,No,True
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,-3.4216012954711914,-0.0445638969540596,No,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,-1.5619804859161377,-0.27318623661994934,No,True
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,-0.5111232399940491,-0.9957988858222961,Yes,True
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,-0.6088945865631104,-0.8317810893058777,Yes,False
can affect urine,hair,'',Can hair affect urine?,No,random,-1.4604378938674927,-0.29077544808387756,No,True
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,-2.4840235710144043,-0.0975114181637764,No,True
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,-1.2184804677963257,-0.37097084522247314,No,True
can bark,an arrow,'',Can an arrow bark?,No,random,-2.7495415210723877,-0.08088280260562897,No,True
can be a distraction,a television,'',Can a television be a distraction?,Yes,random,-0.03439752012491226,-3.9998767375946045,Yes,True
can be a distraction,cider,'',Can cider be a distraction?,No,random,-0.2354005128145218,-1.7260550260543823,Yes,False
can be a source of entertainment,a guitar,'',Can a guitar be a source of entertainment?,Yes,random,-0.04425463080406189,-3.4998090267181396,Yes,True
can be a source of entertainment,an armor,'',Can an armor be a source of entertainment?,No,random,-0.6163378953933716,-0.8276876211166382,Yes,False
can be acoustic,a limousine,'',Can a limousine be acoustic?,No,random,-2.093526601791382,-0.14053881168365479,No,True
can be added to a hot drink,a rollerskate,'',Can a rollerskate be added to a hot drink?,No,random,-1.4293104410171509,-0.29086995124816895,No,True
can be added to alcoholic drinks,a buffalo,'',Can a buffalo be added to alcoholic drinks?,No,random,-0.573659360408783,-0.8786271214485168,Yes,False
can be added to cake,cabbage,'',Can cabbage be added to cake?,No,random,-0.9291720390319824,-0.554458737373352,No,True
can be added to cereal,cabbage,'',Can cabbage be added to cereal?,No,random,-0.31396424770355225,-1.4763227701187134,Yes,False
can be airborne,chocolate,'',Can chocolate be airborne?,No,random,-0.8780986666679382,-0.569952666759491,No,True
can be attached to a DVD player,a caterpillar,'',Can a caterpillar be attached to a dvd player?,No,random,-1.9446810483932495,-0.1764649599790573,No,True
can be attached to a car,an ear,'',Can an ear be attached to a car?,No,random,-1.49197256565094,-0.27336549758911133,No,True
can be attached to a tractor,hair,'',Can hair be attached to a tractor?,No,random,-0.7378556728363037,-0.6951315402984619,No,True
can be attached to a tree,a swing,'',Can a swing be attached to a tree?,Yes,random,-0.09199874103069305,-2.59363055229187,Yes,True
can be attached to an oven,a stove,'',Can a stove be attached to an oven?,Yes,random,-0.12278620153665543,-2.4842803478240967,Yes,True
can be attached to bicycles,a toad,'',Can a toad be attached to bicycles?,No,random,-1.514988660812378,-0.27905943989753723,No,True
can be bad for the teeth,lemonade,'',Can lemonade be bad for the teeth?,Yes,random,-0.06565586477518082,-2.9842803478240967,Yes,True
can be baked,a bean,'',Can a bean be baked?,Yes,random,-0.2886672914028168,-1.445152759552002,Yes,True
can be baked,broccoli,'',Can broccoli be baked?,No,random,-0.14026230573654175,-2.1717190742492676,Yes,False
can be bald,an owl,'',Can an owl be bald?,No,random,-0.6128556728363037,-0.8475021123886108,Yes,False
can be banned in a drought,a boomerang,'',Can a boomerang be banned in a drought?,No,random,-0.6478714346885681,-0.7888073325157166,Yes,False
can be bass,a guitar,'',Can a guitar be bass?,Yes,random,-1.3668748140335083,-0.32214856147766113,No,False
can be bent,a leg,'',Can a leg be bent?,Yes,random,-0.14822925627231598,-2.1405441761016846,Yes,True
can be bent,an owl,'',Can an owl be bent?,No,random,-2.1091177463531494,-0.13757789134979248,No,True
can be bitter in taste,cider,'',Can cider be bitter in taste?,Yes,random,-0.182100310921669,-1.9841747283935547,Yes,True
can be blonde,hair,'',Can hair be blonde?,Yes,random,-0.10314363986253738,-2.5623602867126465,Yes,True
can be blonde,an ambulance,'',Can an ambulance be blonde?,No,random,-1.5928096771240234,-0.269143670797348,No,True
can be blunt,a bayonet,'',Can a bayonet be blunt?,Yes,random,-0.5662020444869995,-0.8710192441940308,Yes,True
can be broken,a sweater,'',Can a sweater be broken?,No,random,-1.6404049396514893,-0.2294090986251831,No,True
can be button shaped,mushroom,'',Can mushroom be button shaped?,Yes,random,-0.13228894770145416,-2.2497386932373047,Yes,True
can be carbonated,lemonade,'',Can lemonade be carbonated?,Yes,random,-0.08610301464796066,-2.7655274868011475,Yes,True
can be claustrophobic,a squirrel,'',Can a squirrel be claustrophobic?,No,random,-0.3120954930782318,-1.4607418775558472,Yes,False
can be coated with flavor,a donut,'',Can a donut be coated with flavor?,Yes,random,-0.24488773941993713,-1.62490975856781,Yes,True
can be cold,a plow,'',Can a plow be cold?,No,random,-0.3122040331363678,-1.3827027082443237,Yes,False
can be cooked,cheese,'',Can cheese be cooked?,Yes,random,-0.0728812888264656,-2.9373767375946045,Yes,True
can be covered,butter,'',Can butter be covered?,No,random,-0.2309354692697525,-1.679458737373352,Yes,False
can be covered in chocolate,a seagull,'',Can a seagull be covered in chocolate?,No,random,-1.2027140855789185,-0.38848987221717834,No,True
can be covered in lip gloss,a lip,'',Can a lip be covered in lip gloss?,Yes,random,-0.05398442596197128,-3.3592915534973145,Yes,True
can be covered in lip gloss,a harpsichord,'',Can a harpsichord be covered in lip gloss?,No,random,-0.8003556728363037,-0.6443363428115845,No,True
can be crumbly,a bagpipe,'',Can a bagpipe be crumbly?,No,random,-3.155996799468994,-0.04995394125580788,No,True
can be crushed,garlic,'',Can garlic be crushed?,Yes,random,-0.06987843662500381,-2.921686887741089,Yes,True
can be crushed,a bikini,'',Can a bikini be crushed?,No,random,-0.5111415982246399,-0.9567477107048035,Yes,False
can be curly,hair,'',Can hair be curly?,Yes,random,-0.07236988842487335,-2.9685866832733154,Yes,True
can be cut into slices,mango,'',Can mango be cut into slices?,Yes,random,-0.04152880981564522,-3.437283515930176,Yes,True
can be cut into slices,a spider,'',Can a spider be cut into slices?,No,random,-0.9997694492340088,-0.4803619384765625,No,True
can be dangerous,a centipede,'',Can a centipede be dangerous?,No,random,-0.18809612095355988,-2.156052827835083,Yes,False
can be decaffeinated,a trombone,'',Can a trombone be decaffeinated?,No,random,-2.468444585800171,-0.11120641976594925,No,True
can be decorative,a corkscrew,'',Can a corkscrew be decorative?,No,random,-0.10176150500774384,-2.4998841285705566,Yes,False
can be deflated,a balloon,'',Can a balloon be deflated?,Yes,random,-0.0788814052939415,-2.8280441761016846,Yes,True
can be deflated,flour,'',Can flour be deflated?,No,random,-1.4762908220291138,-0.2733391523361206,No,True
can be difficult to digest,corn,'',Can corn be difficult to digest?,Yes,random,-0.12555870413780212,-2.406075954437256,Yes,True
can be dressed up,a doll,'',Can a doll be dressed up?,Yes,random,-0.05909636244177818,-3.078007221221924,Yes,True
can be driven,a motorcycle,'',Can a motorcycle be driven?,Yes,random,-0.18333354592323303,-1.9061304330825806,Yes,True
can be driven,satsuma,'',Can satsuma be driven?,No,random,-1.5929200649261475,-0.2769279181957245,No,True
can be eaten cold,a date,'',Can a date be eaten cold?,Yes,random,-0.12553177773952484,-2.281052827835083,Yes,True
can be eaten dried,an apricot,'',Can an apricot be eaten dried?,Yes,random,-0.05970245972275734,-3.156075954437256,Yes,True
can be eaten raw,tomato,'',Can tomato be eaten raw?,Yes,random,-0.09113119542598724,-2.6716012954711914,Yes,True
can be eaten raw,a caravan,'',Can a caravan be eaten raw?,No,random,-1.6636418104171753,-0.23226620256900787,No,True
can be eaten with chips,a deer,'',Can a deer be eaten with chips?,No,random,-0.511159360408783,-0.9762733578681946,Yes,False
can be emptied,a bolt,'',Can a bolt be emptied?,No,random,-0.7497040629386902,-0.6717456579208374,No,True
can be empty,a barrel,'',Can a barrel be empty?,Yes,random,-0.3297575116157532,-1.3904916048049927,Yes,True
can be environmentally friendly,a coach,'',Can a coach be environmentally friendly?,Yes,random,-0.37044987082481384,-1.2731528282165527,Yes,True
can be environmentally friendly,a trumpet,'',Can a trumpet be environmentally friendly?,No,random,-0.5738094449043274,-0.8826624155044556,Yes,False
can be fair,a piano,'',Can a piano be fair?,No,random,-1.2652842998504639,-0.3709852695465088,No,True
can be fastened,a caravan,'',Can a caravan be fastened?,No,random,-0.22616727650165558,-1.710785150527954,Yes,False
can be filled,a bathtub,'',Can a bathtub be filled?,Yes,random,-0.22507907450199127,-1.7888227701187134,Yes,True
can be filled with custard,cucumber,'',Can cucumber be filled with custard?,No,random,-0.9369470477104187,-0.5584033727645874,No,True
can be filled with helium,a lorry,'',Can a lorry be filled with helium?,No,random,-0.8511417508125305,-0.5818592309951782,No,True
can be filled with jam,a donut,'',Can a donut be filled with jam?,Yes,random,-0.20577137172222137,-1.8202093839645386,Yes,True
can be filling,a houseboat,'',Can a houseboat be filling?,No,random,-0.632288932800293,-0.8044725656509399,Yes,False
can be fished,a herring,'',Can a herring be fished?,Yes,random,-0.21727049350738525,-1.7341867685317993,Yes,True
can be flared,a trouser,'',Can a trouser be flared?,Yes,random,-0.19202405214309692,-1.859228491783142,Yes,True
can be flavored,a camel,'',Can a camel be flavored?,No,random,-0.6989545226097107,-0.7537899017333984,Yes,False
can be flavored with lemon,lettuce,'',Can lettuce be flavored with lemon?,No,random,-0.1413520872592926,-2.2186508178710938,Yes,False
can be fluffy,a banjo,'',Can a banjo be fluffy?,No,random,-2.6247546672821045,-0.0853508785367012,No,True
can be folded,a finger,'',Can a finger be folded?,No,random,-0.46840399503707886,-1.007652759552002,Yes,False
can be found at orchestras,a flute,'',Can a flute be found at orchestras?,Yes,random,-0.038105037063360214,-3.781172752380371,Yes,True
can be found by the fire,an onion,'',Can an onion be found by the fire?,No,random,-0.23874391615390778,-1.6794978380203247,Yes,False
can be found in a kitchen drawer,a peeler,'',Can a peeler be found in a kitchen drawer?,Yes,random,-0.055262576788663864,-3.281193494796753,Yes,True
can be found in bedrooms,a bed,'',Can a bed be found in bedrooms?,Yes,random,-0.03741123154759407,-4.12492036819458,Yes,True
can be found in bedrooms,a squirrel,'',Can a squirrel be found in bedrooms?,No,random,-1.4526876211166382,-0.2947219908237457,No,True
can be found in boats or ships,a deckchair,'',Can a deckchair be found in boats or ships?,Yes,random,-0.4350893497467041,-1.7732157707214355,Yes,True
can be found in boats or ships,a trout,'',Can a trout be found in boats or ships?,No,random,-1.0464236736297607,-0.48224547505378723,No,True
can be found in cars,a clamp,'',Can a clamp be found in cars?,Yes,random,-1.0778242349624634,-0.451061487197876,No,False
can be found in cars,a soup,'',Can a soup be found in cars?,No,random,-1.4215009212493896,-0.30063414573669434,No,True
can be found in cold climate,a pie,'',Can a pie be found in cold climate?,No,random,-0.2921290397644043,-1.4527842998504639,Yes,False
can be found in dark places,a millipede,'',Can a millipede be found in dark places?,Yes,random,-0.05686906352639198,-3.468644618988037,Yes,True
can be found in factories,a spoon,'',Can a spoon be found in factories?,No,random,-0.19680272042751312,-1.8435759544372559,Yes,False
can be found in forests,a skunk,'',Can a skunk be found in forests?,Yes,random,-0.06670261919498444,-3.031172752380371,Yes,True
can be found in forests,a strainer,'',Can a strainer be found in forests?,No,random,-1.8355485200881958,-0.18539835512638092,No,True
can be found in gardens,a bowl,'',Can a bowl be found in gardens?,No,random,-0.10576952993869781,-2.5780441761016846,Yes,False
can be found in hot climate,an iguana,'',Can an iguana be found in hot climate?,Yes,random,-0.03856829181313515,-3.7652623653411865,Yes,True
can be found in hot climate,a bomb,'',Can a bomb be found in hot climate?,No,random,-0.26721471548080444,-1.5310964584350586,Yes,False
can be found in houses,a peeler,'',Can a peeler be found in houses?,Yes,random,-0.05189270153641701,-3.2967190742492676,Yes,True
can be found in houses,a thumb,'',Can a thumb be found in houses?,No,random,-0.19690507650375366,-1.8279738426208496,Yes,False
can be found in nests,a termite,'',Can a termite be found in nests?,Yes,random,-0.15213467180728912,-2.0624098777770996,Yes,True
can be found in nests,an organ,'',Can an organ be found in nests?,No,random,-1.4059804677963257,-0.2967609167098999,No,True
can be found in offices,a coffee maker,'',Can a coffee maker be found in offices?,Yes,random,-0.04341069981455803,-3.9842536449432373,Yes,True
can be found in pet shops,a toad,'',Can a toad be found in pet shops?,No,random,-0.10354076325893402,-2.6091480255126953,Yes,False
can be found in rock pools,a crab,'',Can a crab be found in rock pools?,Yes,random,-0.07158447802066803,-2.87492036819458,Yes,True
