property,prefix,Context,Question,Correct Answer,negative_sample_type,yes_logprob,no_logprob,predicted_answer,is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,-0.43917959928512573,-6.4806904792785645,Yes,True
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,-0.49983739852905273,-5.640705108642578,Yes,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,-4.023877143859863,-1.2612159252166748,No,True
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,-4.209863185882568,-1.0885162353515625,No,True
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,-9.056929588317871,-0.33482852578163147,No,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,-1.6741889715194702,-2.830845832824707,Yes,False
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,-5.318248748779297,-2.2476043701171875,No,False
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,-1.4516446590423584,-2.1975629329681396,Yes,False
can affect urine,hair,'',Can hair affect urine?,No,random,-2.945399522781372,-3.011215925216675,Yes,False
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,-2.0426011085510254,-4.498071193695068,Yes,False
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,-1.936896800994873,-2.2440714836120605,Yes,False
can bark,an arrow,'',Can an arrow bark?,No,random,-2.6491031646728516,-1.7456591129302979,No,True
can be a distraction,a television,'',Can a television be a distraction?,Yes,random,-1.162848949432373,-6.710399627685547,Yes,True
can be a distraction,cider,'',Can cider be a distraction?,No,random,-1.9451552629470825,-6.151176929473877,Yes,False
can be a source of entertainment,a guitar,'',Can a guitar be a source of entertainment?,Yes,random,-1.565199613571167,-6.9947662353515625,Yes,True
can be a source of entertainment,an armor,'',Can an armor be a source of entertainment?,No,random,-1.8300548791885376,-6.433421611785889,Yes,False
can be acoustic,a limousine,'',Can a limousine be acoustic?,No,random,-3.681929588317871,-2.5902605056762695,No,True
can be added to a hot drink,a rollerskate,'',Can a rollerskate be added to a hot drink?,No,random,-3.118690252304077,-3.087240695953369,No,True
can be added to alcoholic drinks,a buffalo,'',Can a buffalo be added to alcoholic drinks?,No,random,-1.699352502822876,-4.183421611785889,Yes,False
can be added to cake,cabbage,'',Can cabbage be added to cake?,No,random,-1.7231541872024536,-4.491905212402344,Yes,False
can be added to cereal,cabbage,'',Can cabbage be added to cereal?,No,random,-1.9255125522613525,-4.151771545410156,Yes,False
can be airborne,chocolate,'',Can chocolate be airborne?,No,random,-1.9413284063339233,-2.8562464714050293,Yes,False
can be attached to a DVD player,a caterpillar,'',Can a caterpillar be attached to a dvd player?,No,random,-2.513742446899414,-2.421968936920166,No,True
can be attached to a car,an ear,'',Can an ear be attached to a car?,No,random,-2.538125514984131,-2.6981301307678223,Yes,False
can be attached to a tractor,hair,'',Can hair be attached to a tractor?,No,random,-2.190018892288208,-3.4747695922851562,Yes,False
can be attached to a tree,a swing,'',Can a swing be attached to a tree?,Yes,random,-0.9939749240875244,-5.049990653991699,Yes,True
can be attached to an oven,a stove,'',Can a stove be attached to an oven?,Yes,random,-1.957757592201233,-3.569775342941284,Yes,True
can be attached to bicycles,a toad,'',Can a toad be attached to bicycles?,No,random,-2.1481552124023438,-2.995379686355591,Yes,False
can be bad for the teeth,lemonade,'',Can lemonade be bad for the teeth?,Yes,random,-1.3716785907745361,-5.895540237426758,Yes,True
can be baked,a bean,'',Can a bean be baked?,Yes,random,-1.462633728981018,-3.0593223571777344,Yes,True
can be baked,broccoli,'',Can broccoli be baked?,No,random,-1.1310195922851562,-6.243284702301025,Yes,False
can be bald,an owl,'',Can an owl be bald?,No,random,-2.557426929473877,-1.5348219871520996,No,True
can be banned in a drought,a boomerang,'',Can a boomerang be banned in a drought?,No,random,-2.869429588317871,-2.9322662353515625,Yes,False
can be bass,a guitar,'',Can a guitar be bass?,Yes,random,-1.9849299192428589,-2.5866031646728516,Yes,True
can be bent,a leg,'',Can a leg be bent?,Yes,random,-1.061896800994873,-4.213983535766602,Yes,True
can be bent,an owl,'',Can an owl be bent?,No,random,-3.146185874938965,-2.0870347023010254,No,True
can be bitter in taste,cider,'',Can cider be bitter in taste?,Yes,random,-1.0591785907745361,-4.5251336097717285,Yes,True
can be blonde,hair,'',Can hair be blonde?,Yes,random,-1.1008936166763306,-3.884603261947632,Yes,True
can be blonde,an ambulance,'',Can an ambulance be blonde?,No,random,-2.9777634143829346,-2.7319376468658447,No,True
can be blunt,a bayonet,'',Can a bayonet be blunt?,Yes,random,-1.540190577507019,-3.367393970489502,Yes,True
can be broken,a sweater,'',Can a sweater be broken?,No,random,-1.9280427694320679,-4.275503158569336,Yes,False
can be button shaped,mushroom,'',Can mushroom be button shaped?,Yes,random,-1.1216785907745361,-3.6338043212890625,Yes,True
can be carbonated,lemonade,'',Can lemonade be carbonated?,Yes,random,-0.9481302499771118,-7.527296543121338,Yes,True
can be claustrophobic,a squirrel,'',Can a squirrel be claustrophobic?,No,random,-3.6364824771881104,-3.793330669403076,Yes,False
can be coated with flavor,a donut,'',Can a donut be coated with flavor?,Yes,random,-1.1596875190734863,-6.591031551361084,Yes,True
can be cold,a plow,'',Can a plow be cold?,No,random,-1.9555799961090088,-3.5119683742523193,Yes,False
can be cooked,cheese,'',Can cheese be cooked?,Yes,random,-1.1539199352264404,-6.557582378387451,Yes,True
can be covered,butter,'',Can butter be covered?,No,random,-1.1654661893844604,-3.8548262119293213,Yes,False
can be covered in chocolate,a seagull,'',Can a seagull be covered in chocolate?,No,random,-1.8491532802581787,-3.822103261947632,Yes,False
can be covered in lip gloss,a lip,'',Can a lip be covered in lip gloss?,Yes,random,-0.752105712890625,-4.487490653991699,Yes,True
can be covered in lip gloss,a harpsichord,'',Can a harpsichord be covered in lip gloss?,No,random,-2.4728002548217773,-4.180353164672852,Yes,False
can be crumbly,a bagpipe,'',Can a bagpipe be crumbly?,No,random,-3.0731301307678223,-2.8885397911071777,No,True
can be crushed,garlic,'',Can garlic be crushed?,Yes,random,-0.8077054619789124,-5.461822032928467,Yes,True
can be crushed,a bikini,'',Can a bikini be crushed?,No,random,-1.6452022790908813,-4.4315714836120605,Yes,False
can be curly,hair,'',Can hair be curly?,Yes,random,-1.7426271438598633,-3.840035915374756,Yes,True
can be cut into slices,mango,'',Can mango be cut into slices?,Yes,random,-0.45868590474128723,-7.115243911743164,Yes,True
can be cut into slices,a spider,'',Can a spider be cut into slices?,No,random,-2.683159112930298,-2.591195821762085,No,True
can be dangerous,a centipede,'',Can a centipede be dangerous?,No,random,-1.6246546506881714,-6.617853164672852,Yes,False
can be decaffeinated,a trombone,'',Can a trombone be decaffeinated?,No,random,-3.4163906574249268,-2.7316136360168457,No,True
can be decorative,a corkscrew,'',Can a corkscrew be decorative?,No,random,-1.7172000408172607,-6.40536642074585,Yes,False
can be deflated,a balloon,'',Can a balloon be deflated?,Yes,random,-1.1139522790908813,-5.148877143859863,Yes,True
can be deflated,flour,'',Can flour be deflated?,No,random,-2.712440252304077,-3.4639835357666016,Yes,False
can be difficult to digest,corn,'',Can corn be difficult to digest?,Yes,random,-1.3253107070922852,-5.365832328796387,Yes,True
can be dressed up,a doll,'',Can a doll be dressed up?,Yes,random,-0.736961841583252,-6.492393970489502,Yes,True
can be driven,a motorcycle,'',Can a motorcycle be driven?,Yes,random,-0.8151687979698181,-5.110836505889893,Yes,True
can be driven,satsuma,'',Can satsuma be driven?,No,random,-2.3608365058898926,-2.8929390907287598,Yes,False
can be eaten cold,a date,'',Can a date be eaten cold?,Yes,random,-0.8380032777786255,-4.340669631958008,Yes,True
can be eaten dried,an apricot,'',Can an apricot be eaten dried?,Yes,random,-0.5310873985290527,-7.234930038452148,Yes,True
can be eaten raw,tomato,'',Can tomato be eaten raw?,Yes,random,-0.7933792471885681,-4.272363185882568,Yes,True
can be eaten raw,a caravan,'',Can a caravan be eaten raw?,No,random,-3.214796781539917,-1.8090105056762695,No,True
can be eaten with chips,a deer,'',Can a deer be eaten with chips?,No,random,-2.806929588317871,-2.1526498794555664,No,True
can be emptied,a bolt,'',Can a bolt be emptied?,No,random,-1.5124964714050293,-3.1382625102996826,Yes,False
can be empty,a barrel,'',Can a barrel be empty?,Yes,random,-2.120659112930298,-3.310314893722534,Yes,True
can be environmentally friendly,a coach,'',Can a coach be environmentally friendly?,Yes,random,-1.4018409252166748,-7.962240695953369,Yes,True
can be environmentally friendly,a trumpet,'',Can a trumpet be environmentally friendly?,No,random,-1.9781627655029297,-4.746399879455566,Yes,False
can be fair,a piano,'',Can a piano be fair?,No,random,-3.945399522781372,-3.8718223571777344,No,True
can be fastened,a caravan,'',Can a caravan be fastened?,No,random,-1.2380125522613525,-5.621617794036865,Yes,False
