Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,yes_logprob,no_logprob,predicted_answer,is_correct
1,1,material-dynamics,1,material,1,Chao sees something that is fabric.,Can Chao fold it?,Yes,-1.074109673500061,-1.5756876468658447,Yes,True
2,1,material-dynamics,1,material,1,Chao sees something that is fabric.,Can Chao pour it?,No,-1.2319376468658447,-1.2319376468658447,No,True
3,1,material-dynamics,1,material,2,Chao sees something that is liquid.,Can Chao fold it?,No,-1.2068907022476196,-1.2084810733795166,Yes,False
4,1,material-dynamics,1,material,2,Chao sees something that is liquid.,Can Chao pour it?,Yes,-1.2459216117858887,-1.247524380683899,Yes,True
5,2,material-dynamics,2,material,1,Chao sees the denim.,Can Chao fold it?,Yes,-1.329274296760559,-1.3334810733795166,Yes,True
6,2,material-dynamics,2,material,1,Chao sees the denim.,Can Chao pour it?,No,-1.542859673500061,-1.0453959703445435,No,True
7,2,material-dynamics,2,material,2,Chao sees the water.,Can Chao fold it?,No,-1.5193907022476196,-1.0219467878341675,No,True
8,2,material-dynamics,2,material,2,Chao sees the water.,Can Chao pour it?,Yes,-1.261609673500061,-1.2631876468658447,Yes,True
10,3,material-dynamics,3,material,1,Chao sees something that is fabric.,Can Chao stir it?,No,-1.1443907022476196,-1.1459810733795166,Yes,False
12,3,material-dynamics,3,material,2,Chao sees something that is liquid.,Can Chao stir it?,Yes,-1.003702163696289,-1.5053174495697021,Yes,True
16,4,material-dynamics,4,material,2,Chao sees the water.,Can Chao stir it?,Yes,-1.191202163696289,-1.1928174495697021,Yes,True
20,5,material-dynamics,5,material,2,Chao sees something that is gas.,Can Chao stir it?,Yes,-1.4568907022476196,-0.9584811329841614,No,False
24,6,material-dynamics,6,material,2,Chao sees the oxygen.,Can Chao stir it?,Yes,-1.782294750213623,-0.7865674495697021,No,False
25,7,material-dynamics,7,material,1,Chao sees something that is rigid.,Can it break?,Yes,-1.3647310733795166,-0.8695972561836243,No,False
26,7,material-dynamics,7,material,1,Chao sees something that is rigid.,Can it ripple?,No,-1.7068907022476196,-0.7123777270317078,No,True
27,7,material-dynamics,7,material,2,Chao sees something that is fabric.,Can it break?,No,-1.4256407022476196,-0.9320972561836243,No,True
28,7,material-dynamics,7,material,2,Chao sees something that is fabric.,Can it ripple?,Yes,-1.1834216117858887,-1.185024380683899,Yes,True
31,8,material-dynamics,8,material,2,Chao sees something that is liquid.,Can it break?,No,-2.0584216117858887,-0.5687983632087708,No,True
32,8,material-dynamics,8,material,2,Chao sees something that is liquid.,Can it ripple?,Yes,-1.1443907022476196,-1.1469467878341675,Yes,True
33,9,material-dynamics,9,material,1,Chao sees something that is non-rigid.,Can it break?,Yes,-1.2381407022476196,-1.2397310733795166,Yes,True
34,9,material-dynamics,9,material,1,Chao sees something that is non-rigid.,Can it ripple?,No,-1.159952163696289,-1.1615674495697021,Yes,False
37,10,material-dynamics,10,material,1,Chao sees the feather.,Can it break?,Yes,-1.610524296760559,-1.1147310733795166,No,False
38,10,material-dynamics,10,material,1,Chao sees the feather.,Can it ripple?,No,-1.2902634143829346,-1.2944376468658447,Yes,False
40,10,material-dynamics,10,material,2,Chao sees the denim.,Can it ripple?,Yes,-1.5506407022476196,-1.0531967878341675,No,False
47,12,material-dynamics,12,material,2,Chao sees the water.,Can it break?,No,-1.3682847023010254,-1.3709216117858887,Yes,False
48,12,material-dynamics,12,material,2,Chao sees the water.,Can it ripple?,Yes,-0.9607811570167542,-1.4672476053237915,Yes,True
50,13,material-dynamics,13,material,1,Chao sees something that is fabric.,Can it disperse?,No,-1.449109673500061,-0.9516459703445435,No,True
52,13,material-dynamics,13,material,2,Chao sees something that is gas.,Can it disperse?,Yes,-1.185024380683899,-1.1859976053237915,Yes,True
53,14,material-dynamics,14,material,1,Chao sees something that is rigid.,Can Chao squeeze it?,Yes,-1.501044750213623,-1.0053174495697021,No,False
57,15,material-dynamics,15,material,1,Chao sees the cup.,Can Chao squeeze it?,Yes,-1.1989824771881104,-1.2006103992462158,Yes,True
58,15,material-dynamics,15,material,1,Chao sees the cup.,Can Chao pour it?,No,-1.128702163696289,-1.6303174495697021,Yes,False
59,15,material-dynamics,15,material,2,Chao sees the water.,Can Chao squeeze it?,No,-1.8318907022476196,-0.8373777270317078,No,True
61,16,material-dynamics,16,material,1,Chao sees something that is non-rigid.,Can Chao compresse it?,Yes,-1.3084216117858887,-1.3084216117858887,No,False
64,16,material-dynamics,16,material,2,Chao sees something that is granular.,Can Chao pour it?,Yes,-1.097452163696289,-1.597452163696289,Yes,True
65,17,material-dynamics,17,material,1,Chao sees the feather.,Can Chao compresse it?,Yes,-1.409952163696289,-1.4115674495697021,Yes,True
66,17,material-dynamics,17,material,1,Chao sees the feather.,Can Chao pour it?,No,-1.344794750213623,-1.3490674495697021,Yes,False
68,17,material-dynamics,17,material,2,Chao sees the sesame.,Can Chao pour it?,Yes,-1.454274296760559,-1.4568907022476196,Yes,True
77,20,material-dynamics,20,material,1,Chao sees something that is non-rigid.,Can Chao squeeze it?,Yes,-1.2381407022476196,-1.2397310733795166,Yes,True
81,21,material-dynamics,21,material,1,Chao sees the feather.,Can Chao squeeze it?,Yes,-1.641774296760559,-1.1459810733795166,No,False
86,22,material-dynamics,22,material,1,Chao sees something that is granular.,Can Chao rip it?,No,-0.9975243210792542,-1.497524380683899,Yes,False
88,22,material-dynamics,22,material,2,Chao sees something that is fabric.,Can Chao rip it?,Yes,-1.034952163696289,-1.5375949144363403,Yes,True
90,23,material-dynamics,23,material,1,Chao sees the sesame.,Can Chao rip it?,No,-1.298024296760559,-1.3022310733795166,Yes,False
92,23,material-dynamics,23,material,2,Chao sees the denim.,Can Chao rip it?,Yes,-1.2240674495697021,-1.2250484228134155,Yes,True
96,24,material-dynamics,24,material,2,Chao sees something that is fabric.,Can Chao compresse it?,Yes,-1.222452163696289,-1.2240674495697021,Yes,True
100,25,material-dynamics,25,material,2,Chao sees the denim.,Can Chao compresse it?,Yes,-1.472452163696289,-1.4740674495697021,Yes,True
102,26,material-dynamics,26,material,1,Chao sees something that is granular.,Can Chao wrinkle it?,No,-1.4334216117858887,-0.9350243210792542,No,True
104,26,material-dynamics,26,material,2,Chao sees something that is fabric.,Can Chao wrinkle it?,Yes,-1.376044750213623,-1.3803174495697021,Yes,True
106,27,material-dynamics,27,material,1,Chao sees the sesame.,Can Chao wrinkle it?,No,-1.344794750213623,-1.347452163696289,Yes,False
108,27,material-dynamics,27,material,2,Chao sees the denim.,Can Chao wrinkle it?,Yes,-1.292859673500061,-1.2944376468658447,Yes,True
112,28,material-dynamics,28,material,2,Chao sees something that is fabric.,Can Chao drape it?,Yes,-1.376044750213623,-1.378702163696289,Yes,True
114,29,material-dynamics,29,material,1,Chao sees the sesame.,Can Chao drape it?,No,-1.542859673500061,-1.0453959703445435,No,True
116,29,material-dynamics,29,material,2,Chao sees the denim.,Can Chao drape it?,Yes,-1.3959810733795166,-1.3969467878341675,Yes,True
118,30,material-dynamics,30,material,1,Chao sees something that is granular.,Can Chao hang it?,No,-1.1834216117858887,-1.185024380683899,Yes,False
120,30,material-dynamics,30,material,2,Chao sees something that is fabric.,Can Chao hang it?,Yes,-1.1807847023010254,-1.6834216117858887,Yes,True
124,31,material-dynamics,31,material,2,Chao sees the denim.,Can Chao hang it?,Yes,-1.503702163696289,-1.5053174495697021,Yes,True
127,32,material-dynamics,32,material,2,Chao sees something that is gas.,Can Chao pour it?,No,-1.5114824771881104,-1.0114824771881104,No,True
128,32,material-dynamics,32,material,2,Chao sees something that is gas.,Can Chao compresse it?,Yes,-1.6209216117858887,-1.122524380683899,No,False
132,33,material-dynamics,33,material,2,Chao sees the oxygen.,Can Chao compresse it?,Yes,-1.673024296760559,-1.1772310733795166,No,False
135,34,material-dynamics,34,material,2,Chao sees something that is liquid.,Can Chao rip it?,No,-1.480359673500061,-0.9867964386940002,No,True
139,35,material-dynamics,35,material,2,Chao sees the water.,Can Chao rip it?,No,-1.563544750213623,-1.0678174495697021,No,True
141,36,material-dynamics,36,material,1,Chao sees something that is fabric.,Can Chao squeeze it?,Yes,-1.3864824771881104,-1.3881103992462158,Yes,True
145,37,material-dynamics,37,material,1,Chao sees the denim.,Can Chao squeeze it?,Yes,-1.6495347023010254,-1.153774380683899,No,False
159,40,material-dynamics,40,material,2,Chao sees something that is liquid.,Can Chao wrinkle it?,No,-1.829274296760559,-0.8334811329841614,No,True
167,42,material-dynamics,42,material,2,Chao sees something that is liquid.,Can Chao drape it?,No,-1.2553174495697021,-1.2553174495697021,No,True
171,43,material-dynamics,43,material,2,Chao sees the water.,Can Chao drape it?,No,-1.9152634143829346,-0.9203959703445435,No,True
175,44,material-dynamics,44,material,2,Chao sees something that is liquid.,Can Chao hang it?,No,-1.403774380683899,-0.9047476649284363,No,True
179,45,material-dynamics,45,material,2,Chao sees the water.,Can Chao hang it?,No,-1.7590134143829346,-1.2631876468658447,No,True
190,48,material-dynamics,48,material,1,Chao sees something that is rigid.,Can Chao stir it?,No,-1.1521716117858887,-1.153774380683899,Yes,False
194,49,material-dynamics,49,material,1,Chao sees the cup.,Can Chao stir it?,No,-1.3057847023010254,-1.310024380683899,Yes,False
197,50,material-dynamics,50,material,1,Chao sees something that is rigid.,Can Chao tap it?,Yes,-1.2068907022476196,-1.2084810733795166,Yes,True
199,50,material-dynamics,50,material,2,Chao sees something that is gas.,Can Chao tap it?,No,-1.751044750213623,-0.7592139840126038,No,True
201,51,material-dynamics,51,material,1,Chao sees the cup.,Can Chao tap it?,Yes,-1.266774296760559,-1.2709810733795166,Yes,True
214,54,material-dynamics,54,material,1,Chao sees something that is non-rigid.,Can Chao stir it?,No,-1.501044750213623,-1.0053174495697021,No,True
