Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,eval_split_ratio,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,calib_yes_mean,calib_no_mean,raw_predicted_answer,raw_is_correct,kfold_predicted_answer,kfold_is_correct
1,1,spatial-relations,,antonym,1,The nail is to the right of the wheel.,Is the wheel to the left of the nail?,Yes,20.0,0,-0.423536092042923,-3.421830415725708,0.02818239200860262,-0.11753194291016156,-0.4517184840515256,-3.3042984728155465,Yes,True,True,True
2,1,spatial-relations,,antonym,1,The nail is to the right of the wheel.,Is the wheel to the right of the nail?,No,20.0,0,-0.3629698157310486,-3.10931396484375,0.08874866832047701,0.19498450797179645,-0.4517184840515256,-3.3042984728155465,Yes,False,False,True
3,1,spatial-relations,,antonym,2,The nail is to the left of the wheel.,Is the wheel to the left of the nail?,No,20.0,0,-0.7614192366600037,-2.7655818462371826,-0.30970075260847807,0.5387166265783638,-0.4517184840515256,-3.3042984728155465,Yes,False,False,True
4,1,spatial-relations,,antonym,2,The nail is to the left of the wheel.,Is the wheel to the right of the nail?,Yes,20.0,0,-0.27111953496932983,-4.156200408935547,0.18059894908219576,-0.8519019361200004,-0.4517184840515256,-3.3042984728155465,Yes,True,True,True
5,2,spatial-relations,,antonym,1,The nail is next to the right side of the wheel.,Is the wheel to the left of the nail?,Yes,20.0,0,-0.7260550260543823,-2.468677520751953,-0.27433654200285673,0.8356209520635933,-0.4517184840515256,-3.3042984728155465,Yes,True,False,False
6,2,spatial-relations,,antonym,1,The nail is next to the right side of the wheel.,Is the wheel to the right of the nail?,No,20.0,0,-0.46824657917022705,-3.34363055229187,-0.016528095118701458,-0.03933207947632367,-0.4517184840515256,-3.3042984728155465,Yes,False,True,False
7,2,spatial-relations,,antonym,2,The nail is next to the left side of the wheel.,Is the wheel to the left of the nail?,No,20.0,0,-0.6909164190292358,-2.9374098777770996,-0.23919793497771025,0.36688859503844684,-0.4517184840515256,-3.3042984728155465,Yes,False,False,True
8,2,spatial-relations,,antonym,2,The nail is next to the left side of the wheel.,Is the wheel to the right of the nail?,Yes,20.0,0,-0.43902167677879333,-3.062429666519165,0.012696807272732258,0.2418688062963814,-0.4517184840515256,-3.3042984728155465,Yes,True,False,False
10,2,spatial-relations,,antonym,1,The nail is next to the right side of the wheel.,Is the nail to the left of the wheel?,No,20.0,0,-1.0699294805526733,-2.4530694484710693,-0.6182109965011477,0.8512290243444771,-0.4517184840515256,-3.3042984728155465,Yes,False,False,True
12,2,spatial-relations,,antonym,2,The nail is next to the left side of the wheel.,Is the nail to the left of the wheel?,Yes,20.0,0,-0.13014532625675201,-6.624831199645996,0.3215731577947736,-3.3205327268304496,-0.4517184840515256,-3.3042984728155465,Yes,True,True,True
13,2,spatial-relations,,antonym,1,The nail is next to the right side of the wheel.,Is the nail to the right of the wheel?,Yes,20.0,0,-0.14675725996494293,-6.031064987182617,0.30496122408658266,-2.7267665143670707,-0.4517184840515256,-3.3042984728155465,Yes,True,True,True
