property,prefix,Context,Question,Correct Answer,negative_sample_type,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,bias_correction,predicted_answer,is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,0,-0.16375850141048431,-2.1624529361724854,-0.13862881800686455,-2.187582619576105,-0.025129683403619762,Yes,True
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,0,-0.04053370654582977,-3.7900733947753906,-0.01540402314221001,-3.8152030781790103,-0.025129683403619762,Yes,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,0,-0.057396769523620605,-3.806779623031616,-0.03226708612000084,-3.831909306435236,-0.025129683403619762,Yes,False
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,0,-2.9537112712860107,-0.45391279458999634,-2.928581587882391,-0.4790424779936161,-0.025129683403619762,No,True
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,0,-5.284918308258057,-0.03496373072266579,-5.259788624854437,-0.06009341412628555,-0.025129683403619762,No,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,0,-2.507514715194702,-0.25771626830101013,-2.4823850317910825,-0.2828459517046299,-0.025129683403619762,No,True
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,0,-0.8822920322418213,-0.6320905089378357,-0.8571623488382015,-0.6572201923414555,-0.025129683403619762,No,False
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,0,-2.4762954711914062,-0.7272689342498779,-2.4511657877877866,-0.7523986176534977,-0.025129683403619762,No,True
can affect urine,hair,'',Can hair affect urine?,No,random,0,-0.6239715218544006,-0.8734244704246521,-0.5988418384507809,-0.8985541538282719,-0.025129683403619762,Yes,False
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,0,-2.929953098297119,-1.178979754447937,-2.9048234148934995,-1.2041094378515567,-0.025129683403619762,No,True
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,0,-0.6411527395248413,-1.6398473978042603,-0.6160230561212215,-1.66497708120788,-0.025129683403619762,Yes,False
can bark,an arrow,'',Can an arrow bark?,No,random,0,-5.09611177444458,-0.0961921215057373,-5.07098209104096,-0.12132180490935707,-0.025129683403619762,No,True
can be a distraction,a television,'',Can a television be a distraction?,Yes,random,0,-0.23895610868930817,-4.238254070281982,-0.2138264252856884,-4.263383753685602,-0.025129683403619762,Yes,True
can be a distraction,cider,'',Can cider be a distraction?,No,random,0,-0.4118165373802185,-2.1618165969848633,-0.38668685397659874,-2.186946280388483,-0.025129683403619762,Yes,False
can be a source of entertainment,a guitar,'',Can a guitar be a source of entertainment?,Yes,random,0,-0.17263662815093994,-4.421663284301758,-0.14750694474732018,-4.4467929677053775,-0.025129683403619762,Yes,True
can be a source of entertainment,an armor,'',Can an armor be a source of entertainment?,No,random,0,-1.0570204257965088,-2.30487060546875,-1.0318907423928891,-2.3300002888723697,-0.025129683403619762,Yes,False
can be acoustic,a limousine,'',Can a limousine be acoustic?,No,random,0,-1.8895900249481201,-0.6389992237091064,-1.8644603415445005,-0.6641289071127262,-0.025129683403619762,No,True
can be added to a hot drink,a rollerskate,'',Can a rollerskate be added to a hot drink?,No,random,0,-4.235527992248535,-0.23532676696777344,-4.2103983088449155,-0.2604564503713932,-0.025129683403619762,No,True
can be added to alcoholic drinks,a buffalo,'',Can a buffalo be added to alcoholic drinks?,No,random,0,-1.2733410596847534,-0.7717768549919128,-1.2482113762811338,-0.7969065383955326,-0.025129683403619762,No,True
can be added to cake,cabbage,'',Can cabbage be added to cake?,No,random,0,-3.9379019737243652,-0.18790194392204285,-3.9127722903207456,-0.2130316273256626,-0.025129683403619762,No,True
can be added to cereal,cabbage,'',Can cabbage be added to cereal?,No,random,0,-3.6316463947296143,-0.13197846710681915,-3.6065167113259946,-0.15710815051043892,-0.025129683403619762,No,True
can be airborne,chocolate,'',Can chocolate be airborne?,No,random,0,-0.42738547921180725,-2.1752357482910156,-0.4022557958081875,-2.2003654316946353,-0.025129683403619762,Yes,False
can be attached to a DVD player,a caterpillar,'',Can a caterpillar be attached to a dvd player?,No,random,0,-4.073450565338135,-0.07324929535388947,-4.048320881934515,-0.09837897875750923,-0.025129683403619762,No,True
can be attached to a car,an ear,'',Can an ear be attached to a car?,No,random,0,-2.997227668762207,-0.24722760915756226,-2.9720979853585874,-0.272357292561182,-0.025129683403619762,No,True
can be attached to a tractor,hair,'',Can hair be attached to a tractor?,No,random,0,-2.7393085956573486,-0.2393086701631546,-2.714178912253729,-0.26443835356677436,-0.025129683403619762,No,True
can be attached to a tree,a swing,'',Can a swing be attached to a tree?,Yes,random,0,-0.14005817472934723,-3.1392998695373535,-0.11492849132572747,-3.164429552940973,-0.025129683403619762,Yes,True
can be attached to an oven,a stove,'',Can a stove be attached to an oven?,Yes,random,0,-0.094266377389431,-2.844064712524414,-0.06913669398581124,-2.8691943959280337,-0.025129683403619762,Yes,True
can be attached to bicycles,a toad,'',Can a toad be attached to bicycles?,No,random,0,-2.522789478302002,-0.5218160152435303,-2.4976597948983823,-0.54694569864715,-0.025129683403619762,No,True
can be bad for the teeth,lemonade,'',Can lemonade be bad for the teeth?,Yes,random,0,-0.1780472844839096,-2.4272549152374268,-0.15291760108028984,-2.4523845986410464,-0.025129683403619762,Yes,True
can be baked,a bean,'',Can a bean be baked?,Yes,random,0,-0.16927145421504974,-2.9189393520355225,-0.14414177081142998,-2.944069035439142,-0.025129683403619762,Yes,True
can be baked,broccoli,'',Can broccoli be baked?,No,random,0,-0.08808530867099762,-3.5871360301971436,-0.06295562526737786,-3.612265713600763,-0.025129683403619762,Yes,False
can be bald,an owl,'',Can an owl be bald?,No,random,0,-0.5002397298812866,-1.74856436252594,-0.47511004647766686,-1.7736940459295596,-0.025129683403619762,Yes,False
can be banned in a drought,a boomerang,'',Can a boomerang be banned in a drought?,No,random,0,-4.361133575439453,-0.36080124974250793,-4.3360038920358335,-0.3859309331461277,-0.025129683403619762,No,True
can be bass,a guitar,'',Can a guitar be bass?,Yes,random,0,-1.2992268800735474,-0.5491045117378235,-1.2740971966699277,-0.5742341951414432,-0.025129683403619762,No,False
can be bent,a leg,'',Can a leg be bent?,Yes,random,0,-0.5197644233703613,-1.5193381309509277,-0.49463473996674157,-1.5444678143545474,-0.025129683403619762,Yes,True
can be bent,an owl,'',Can an owl be bent?,No,random,0,-2.6528842449188232,-0.40242379903793335,-2.6277545615152036,-0.4275534824415531,-0.025129683403619762,No,True
can be bitter in taste,cider,'',Can cider be bitter in taste?,Yes,random,0,-0.6566775441169739,-1.906677484512329,-0.6315478607133541,-1.9318071679159488,-0.025129683403619762,Yes,True
can be blonde,hair,'',Can hair be blonde?,Yes,random,0,-0.08263619244098663,-3.5813870429992676,-0.05750650903736687,-3.6065167264028872,-0.025129683403619762,Yes,True
can be blonde,an ambulance,'',Can an ambulance be blonde?,No,random,0,-3.659353733062744,-0.15876290202140808,-3.6342240496591245,-0.18389258542502784,-0.025129683403619762,No,True
can be blunt,a bayonet,'',Can a bayonet be blunt?,Yes,random,0,-2.9601547718048096,-1.2096943855285645,-2.93502508840119,-1.234824068932184,-0.025129683403619762,No,False
can be broken,a sweater,'',Can a sweater be broken?,No,random,0,-1.5424013137817383,-0.7917841076850891,-1.5172716303781186,-0.8169137910887089,-0.025129683403619762,No,True
can be button shaped,mushroom,'',Can mushroom be button shaped?,Yes,random,0,-0.1306578367948532,-2.6297571659088135,-0.10552815339123345,-2.654886849312433,-0.025129683403619762,Yes,True
