property,prefix,Context,Question,Correct Answer,negative_sample_type,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,bias_correction,predicted_answer,is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,0,-0.10982348769903183,-2.374642848968506,0.1503894427744118,-2.6348557794419496,-0.2602129304734436,Yes,True
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,0,-0.050205644220113754,-3.359083652496338,0.21000728625332987,-3.6192965829697816,-0.2602129304734436,Yes,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,0,-2.1086761951446533,-0.15478599071502686,-1.8484632646712096,-0.4149989211884705,-0.2602129304734436,No,True
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,0,-2.4679200649261475,-0.10875816643238068,-2.2077071344527037,-0.3689710969058243,-0.2602129304734436,No,True
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,0,-3.6863298416137695,-0.03819955885410309,-3.426116911140326,-0.2984124893275467,-0.2602129304734436,No,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,0,-1.4994113445281982,-0.28860044479370117,-1.2391984140547545,-0.5488133752671448,-0.2602129304734436,No,True
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,0,-1.944449543952942,-0.17219433188438416,-1.6842366134794982,-0.4324072623578278,-0.2602129304734436,No,False
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,0,-2.249511957168579,-0.13054244220256805,-1.9892990266951354,-0.3907553726760117,-0.2602129304734436,No,True
can affect urine,hair,'',Can hair affect urine?,No,random,0,-2.5306036472320557,-0.10401415079832077,-2.270390716758612,-0.3642270812717644,-0.2602129304734436,No,True
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,0,-3.639988660812378,-0.03760968893766403,-3.379775730338934,-0.29782261941110766,-0.2602129304734436,No,True
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,0,-3.108531951904297,-0.05906832963228226,-2.848319021430853,-0.3192812601057259,-0.2602129304734436,No,True
can bark,an arrow,'',Can an arrow bark?,No,random,0,-5.092100143432617,-0.01527963113039732,-4.831887212959174,-0.27549256160384095,-0.2602129304734436,No,True
can be a distraction,a television,'',Can a television be a distraction?,Yes,random,0,-0.08261986076831818,-2.6559805870056152,0.17759306970512545,-2.916193517479059,-0.2602129304734436,Yes,True
can be a distraction,cider,'',Can cider be a distraction?,No,random,0,-0.6437361836433411,-0.819788932800293,-0.38352325316989744,-1.0800018632737367,-0.2602129304734436,Yes,False
can be a source of entertainment,a guitar,'',Can a guitar be a source of entertainment?,Yes,random,0,-0.07959675788879395,-2.7340235710144043,0.18061617258464968,-2.994236501487848,-0.2602129304734436,Yes,True
can be a source of entertainment,an armor,'',Can an armor be a source of entertainment?,No,random,0,-0.9916720390319824,-0.5153049826622009,-0.7314591085585388,-0.7755179131356446,-0.2602129304734436,Yes,False
