task,QID,AnsRefIDs,Context,Question,Correct Answer,yes_logprob,no_logprob,predicted_answer,is_correct
qa1,15,[13],Sandra went to the hallway.,Is Sandra in the hallway?,Yes,-0.9873223304748535,-0.48975110054016113,No,False
qa1,15,[13],Sandra went to the hallway.,Is Sandra in the bathroom?,No,-2.139575958251953,-0.14009739458560944,No,True
qa1,6,[1],John travelled to the kitchen.,Is John in the kitchen?,Yes,-0.8428385853767395,-0.593277096748352,No,False
qa1,6,[1],John travelled to the kitchen.,Is John in the hallway?,No,-1.819334626197815,-0.19384455680847168,No,True
qa1,6,[2],Sandra moved to the kitchen.,Is Sandra in the kitchen?,Yes,-0.5889357924461365,-0.8394012451171875,Yes,True
qa1,6,[2],Sandra moved to the kitchen.,Is Sandra in the garden?,No,-2.8271396160125732,-0.07027699053287506,No,True
qa1,6,[4],Sandra went to the bathroom.,Is Sandra in the bathroom?,Yes,-1.5146992206573486,-0.2690781056880951,No,False
qa1,6,[4],Sandra went to the bathroom.,Is Sandra in the bedroom?,No,-2.0302491188049316,-0.15768267214298248,No,True
qa1,6,[4],Sandra travelled to the office.,Is Sandra in the office?,Yes,-1.1630536317825317,-0.41346925497055054,No,False
qa1,6,[4],Sandra travelled to the office.,Is Sandra in the hallway?,No,-1.6317716836929321,-0.2533847391605377,No,True
qa1,15,[11],John moved to the bathroom.,Is John in the bathroom?,Yes,-0.7725878953933716,-0.648048460483551,No,False
qa1,15,[11],John moved to the bathroom.,Is John in the office?,No,-2.3584775924682617,-0.10884740203619003,No,True
qa1,15,[11],Sandra went back to the bathroom.,Is Sandra in the bathroom?,Yes,-1.2335319519042969,-0.3628556430339813,No,False
qa1,15,[11],Sandra went back to the bathroom.,Is Sandra in the kitchen?,No,-2.1397552490234375,-0.13918326795101166,No,True
qa1,12,[10],Mary went to the bathroom.,Is Mary in the bathroom?,Yes,-1.522444248199463,-0.2709699869155884,No,False
qa1,12,[10],Mary went to the bathroom.,Is Mary in the kitchen?,No,-1.9286627769470215,-0.17621079087257385,No,True
qa1,3,[1],John moved to the bathroom.,Is John in the bathroom?,Yes,-0.7725878953933716,-0.648048460483551,No,False
qa1,3,[1],John moved to the bathroom.,Is John in the garden?,No,-3.0615296363830566,-0.057100310921669006,No,True
qa1,3,[2],Mary moved to the bedroom.,Is Mary in the bedroom?,Yes,-0.5890424847602844,-0.8394012451171875,Yes,True
qa1,3,[2],Mary moved to the bedroom.,Is Mary in the hallway?,No,-2.358531951904297,-0.10790324211120605,No,True
qa1,9,[7],Mary moved to the hallway.,Is Mary in the hallway?,Yes,-0.5889908075332642,-0.8393422365188599,Yes,True
qa1,9,[7],Mary moved to the hallway.,Is Mary in the bedroom?,No,-2.0302491188049316,-0.15182627737522125,No,True
qa1,3,[2],Sandra travelled to the bathroom.,Is Sandra in the bathroom?,Yes,-1.0693939924240112,-0.44677281379699707,No,False
qa1,3,[2],Sandra travelled to the bathroom.,Is Sandra in the hallway?,No,-1.6161627769470215,-0.2426481395959854,No,True
qa1,15,[13],Mary went back to the bathroom.,Is Mary in the bathroom?,Yes,-1.2412830591201782,-0.3647199869155884,No,False
qa1,15,[13],Mary went back to the bathroom.,Is Mary in the bedroom?,No,-1.819334626197815,-0.19377925992012024,No,True
qa1,9,[5],Daniel journeyed to the office.,Is Daniel in the office?,Yes,-1.2490885257720947,-0.3764326870441437,No,False
qa1,9,[5],Daniel journeyed to the office.,Is Daniel in the hallway?,No,-1.4365885257720947,-0.31204164028167725,No,True
qa1,15,[13],Daniel went to the garden.,Is Daniel in the garden?,Yes,-1.1554200649261475,-0.407757967710495,No,False
qa1,15,[13],Daniel went to the garden.,Is Daniel in the bathroom?,No,-2.4679200649261475,-0.10061238706111908,No,True
qa1,12,[8],Sandra moved to the garden.,Is Sandra in the garden?,Yes,-0.7726393342018127,-0.6479966640472412,No,False
qa1,12,[8],Sandra moved to the garden.,Is Sandra in the bedroom?,No,-2.0303096771240234,-0.15377844870090485,No,True
qa1,6,[1],Daniel went back to the hallway.,Is Daniel in the hallway?,Yes,-0.9093734622001648,-0.5347371697425842,No,False
qa1,6,[1],Daniel went back to the hallway.,Is Daniel in the kitchen?,No,-2.0303666591644287,-0.15484318137168884,No,True
qa1,3,[2],Daniel journeyed to the hallway.,Is Daniel in the hallway?,Yes,-1.0693939924240112,-0.4468027353286743,No,False
qa1,3,[2],Daniel journeyed to the hallway.,Is Daniel in the office?,No,-1.4287830591201782,-0.3042032718658447,No,True
qa1,6,[2],Daniel journeyed to the hallway.,Is Daniel in the hallway?,Yes,-1.0693939924240112,-0.4468027353286743,No,False
qa1,6,[2],Daniel journeyed to the hallway.,Is Daniel in the kitchen?,No,-1.8271992206573486,-0.19872498512268066,No,True
qa1,6,[5],Sandra journeyed to the garden.,Is Sandra in the garden?,Yes,-1.1553096771240234,-0.40968143939971924,No,False
qa1,6,[5],Sandra journeyed to the garden.,Is Sandra in the hallway?,No,-2.3584775924682617,-0.11475110054016113,No,True
qa1,15,[11],John journeyed to the garden.,Is John in the garden?,Yes,-1.2490885257720947,-0.37261709570884705,No,False
qa1,15,[11],John journeyed to the garden.,Is John in the bedroom?,No,-1.7256721258163452,-0.22610042989253998,No,True
qa1,15,[11],John moved to the hallway.,Is John in the hallway?,Yes,-0.534241259098053,-0.909710168838501,Yes,True
qa1,15,[11],John moved to the hallway.,Is John in the garden?,No,-2.7021992206573486,-0.07858969271183014,No,True
qa1,12,[7],Mary journeyed to the bedroom.,Is Mary in the bedroom?,Yes,-1.0771394968032837,-0.44872498512268066,No,False
qa1,12,[7],Mary journeyed to the bedroom.,Is Mary in the bathroom?,No,-2.2490296363830566,-0.1254231035709381,No,True
qa1,6,[4],Daniel went back to the office.,Is Daniel in the office?,Yes,-1.0771394968032837,-0.45067715644836426,No,False
qa1,6,[4],Daniel went back to the office.,Is Daniel in the hallway?,No,-1.6241437196731567,-0.2475893348455429,No,True
qa1,9,[8],Daniel travelled to the garden.,Is Daniel in the garden?,Yes,-1.2411627769470215,-0.37057626247406006,No,False
qa1,9,[8],Daniel travelled to the garden.,Is Daniel in the bathroom?,No,-2.48341965675354,-0.10250307619571686,No,True
qa1,15,[14],Daniel travelled to the bedroom.,Is Daniel in the bedroom?,Yes,-0.9169238209724426,-0.5424264669418335,No,False
qa1,15,[14],Daniel travelled to the bedroom.,Is Daniel in the garden?,No,-2.936467170715332,-0.06389907747507095,No,True
qa1,15,[14],Mary journeyed to the bedroom.,Is Mary in the bedroom?,Yes,-1.0771394968032837,-0.44872498512268066,No,False
qa1,15,[14],Mary journeyed to the bedroom.,Is Mary in the hallway?,No,-1.9208581447601318,-0.17233969271183014,No,True
qa1,6,[5],Sandra moved to the bedroom.,Is Sandra in the bedroom?,Yes,-0.5343486666679382,-0.9097371697425842,Yes,True
