task,QID,AnsRefIDs,Context,Question,Correct Answer,yes_logprob,no_logprob,predicted_answer,is_correct
qa1,15,[13],Sandra went to the hallway.,Is Sandra in the hallway?,Yes,-0.31241512298583984,-1.3124151229858398,Yes,True
qa1,15,[13],Sandra went to the hallway.,Is Sandra in the bathroom?,No,-2.0155892372131348,-0.1425187587738037,No,True
qa1,6,[1],John travelled to the kitchen.,Is John in the kitchen?,Yes,-0.52332603931427,-0.89832603931427,Yes,True
qa1,6,[1],John travelled to the kitchen.,Is John in the hallway?,No,-1.0546033382415771,-0.4295921325683594,No,True
qa1,6,[2],Sandra moved to the kitchen.,Is Sandra in the kitchen?,Yes,-0.06975769996643066,-2.68742036819458,Yes,True
qa1,6,[2],Sandra moved to the kitchen.,Is Sandra in the garden?,No,-4.624934196472168,-0.009820939972996712,No,True
qa1,6,[4],Sandra went to the bathroom.,Is Sandra in the bathroom?,Yes,-0.31244850158691406,-1.3124339580535889,Yes,True
qa1,6,[4],Sandra went to the bathroom.,Is Sandra in the bedroom?,No,-5.874954700469971,-0.002823115326464176,No,True
qa1,6,[4],Sandra travelled to the office.,Is Sandra in the office?,Yes,-0.22549211978912354,-1.6014342308044434,Yes,True
qa1,6,[4],Sandra travelled to the office.,Is Sandra in the hallway?,No,-0.8983608484268188,-0.5233391523361206,No,True
qa1,15,[11],John moved to the bathroom.,Is John in the bathroom?,Yes,-0.3143681287765503,-1.3123977184295654,Yes,True
qa1,15,[11],John moved to the bathroom.,Is John in the office?,No,-3.4061570167541504,-0.033842090517282486,No,True
qa1,15,[11],Sandra went back to the bathroom.,Is Sandra in the bathroom?,Yes,-0.20110487937927246,-1.7030388116836548,Yes,True
qa1,15,[11],Sandra went back to the bathroom.,Is Sandra in the kitchen?,No,-4.031193733215332,-0.01812911219894886,No,True
qa1,12,[10],Mary went to the bathroom.,Is Mary in the bathroom?,Yes,-0.42963647842407227,-1.0546296834945679,Yes,True
qa1,12,[10],Mary went to the bathroom.,Is Mary in the kitchen?,No,-4.156206130981445,-0.016067149117588997,No,True
qa1,3,[1],John moved to the bathroom.,Is John in the bathroom?,Yes,-0.3143681287765503,-1.3123977184295654,Yes,True
qa1,3,[1],John moved to the bathroom.,Is John in the garden?,No,-6.49991512298584,-0.0015629566041752696,No,True
qa1,3,[2],Mary moved to the bedroom.,Is Mary in the bedroom?,Yes,-0.06195342540740967,-2.8124380111694336,Yes,True
qa1,3,[2],Mary moved to the bedroom.,Is Mary in the hallway?,No,-1.0546424388885498,-0.42963647842407227,No,True
qa1,9,[7],Mary moved to the hallway.,Is Mary in the hallway?,Yes,-0.1600627899169922,-1.913968563079834,Yes,True
qa1,9,[7],Mary moved to the hallway.,Is Mary in the bedroom?,No,-2.5780727863311768,-0.07904231548309326,No,True
qa1,3,[2],Sandra travelled to the bathroom.,Is Sandra in the bathroom?,Yes,-0.6952027082443237,-0.6951881647109985,No,False
qa1,3,[2],Sandra travelled to the bathroom.,Is Sandra in the hallway?,No,-1.0545921325683594,-0.429579496383667,No,True
qa1,15,[13],Mary went back to the bathroom.,Is Mary in the bathroom?,Yes,-0.2811774015426636,-1.406172752380371,Yes,True
qa1,15,[13],Mary went back to the bathroom.,Is Mary in the bedroom?,No,-4.8749518394470215,-0.007631661370396614,No,True
qa1,9,[5],Daniel journeyed to the office.,Is Daniel in the office?,Yes,-0.28113043308258057,-1.4061144590377808,Yes,True
qa1,9,[5],Daniel journeyed to the office.,Is Daniel in the hallway?,No,-0.6952155828475952,-0.6951881647109985,No,True
qa1,15,[13],Daniel went to the garden.,Is Daniel in the garden?,Yes,-0.2518869638442993,-1.4999151229858398,Yes,True
qa1,15,[13],Daniel went to the garden.,Is Daniel in the bathroom?,No,-2.937464714050293,-0.05487382411956787,No,True
qa1,12,[8],Sandra moved to the garden.,Is Sandra in the garden?,Yes,-0.12687814235687256,-2.1248910427093506,Yes,True
qa1,12,[8],Sandra moved to the garden.,Is Sandra in the bedroom?,No,-2.687459945678711,-0.06977236270904541,No,True
qa1,6,[1],Daniel went back to the hallway.,Is Daniel in the hallway?,Yes,-0.31240391731262207,-1.3123910427093506,Yes,True
qa1,6,[1],Daniel went back to the hallway.,Is Daniel in the kitchen?,No,-2.4686899185180664,-0.08879029750823975,No,True
qa1,3,[2],Daniel journeyed to the hallway.,Is Daniel in the hallway?,Yes,-0.5779995918273926,-0.8279640674591064,Yes,True
qa1,3,[2],Daniel journeyed to the hallway.,Is Daniel in the office?,No,-0.8280143737792969,-0.5779829025268555,No,True
qa1,6,[2],Daniel journeyed to the hallway.,Is Daniel in the hallway?,Yes,-0.5779995918273926,-0.8279640674591064,Yes,True
qa1,6,[2],Daniel journeyed to the hallway.,Is Daniel in the kitchen?,No,-2.124925136566162,-0.12685680389404297,No,True
qa1,6,[5],Sandra journeyed to the garden.,Is Sandra in the garden?,Yes,-0.38662147521972656,-1.1404995918273926,Yes,True
qa1,6,[5],Sandra journeyed to the garden.,Is Sandra in the hallway?,No,-1.7030489444732666,-0.20106148719787598,No,True
qa1,15,[11],John journeyed to the garden.,Is John in the garden?,Yes,-0.4745156764984131,-0.9725362062454224,Yes,True
qa1,15,[11],John journeyed to the garden.,Is John in the bedroom?,No,-2.343686103820801,-0.10049212723970413,No,True
qa1,15,[11],John moved to the hallway.,Is John in the hallway?,Yes,-0.20106148719787598,-1.7030072212219238,Yes,True
qa1,15,[11],John moved to the hallway.,Is John in the garden?,No,-4.24991512298584,-0.014245753176510334,No,True
qa1,12,[7],Mary journeyed to the bedroom.,Is Mary in the bedroom?,Yes,-0.34952664375305176,-1.2264796495437622,Yes,True
qa1,12,[7],Mary journeyed to the bedroom.,Is Mary in the bathroom?,No,-2.937448501586914,-0.05487382411956787,No,True
qa1,6,[4],Daniel went back to the office.,Is Daniel in the office?,Yes,-0.14250195026397705,-2.015514373779297,Yes,True
qa1,6,[4],Daniel went back to the office.,Is Daniel in the hallway?,No,-0.8983699083328247,-0.5233391523361206,No,True
qa1,9,[8],Daniel travelled to the garden.,Is Daniel in the garden?,Yes,-0.4745156764984131,-0.9725362062454224,Yes,True
qa1,9,[8],Daniel travelled to the garden.,Is Daniel in the bathroom?,No,-3.1718244552612305,-0.04312968626618385,No,True
qa1,15,[14],Daniel travelled to the bedroom.,Is Daniel in the bedroom?,Yes,-0.5780143737792969,-0.8279995918273926,Yes,True
qa1,15,[14],Daniel travelled to the bedroom.,Is Daniel in the garden?,No,-5.124925136566162,-0.005987647920846939,No,True
qa1,15,[14],Mary journeyed to the bedroom.,Is Mary in the bedroom?,Yes,-0.34952664375305176,-1.2264796495437622,Yes,True
qa1,15,[14],Mary journeyed to the bedroom.,Is Mary in the hallway?,No,-1.2265055179595947,-0.3475834131240845,No,True
qa1,6,[5],Sandra moved to the bedroom.,Is Sandra in the bedroom?,Yes,-0.07904231548309326,-2.5780489444732666,Yes,True
qa1,6,[5],Sandra moved to the bedroom.,Is Sandra in the office?,No,-5.249934196472168,-0.005243661347776651,No,True
qa1,6,[4],Mary went to the office.,Is Mary in the office?,Yes,-0.14251089096069336,-2.0155489444732666,Yes,True
qa1,6,[4],Mary went to the office.,Is Mary in the garden?,No,-4.499962329864502,-0.011067868210375309,No,True
qa1,6,[4],John went back to the bathroom.,Is John in the bathroom?,Yes,-0.38664305210113525,-1.1405333280563354,Yes,True
qa1,6,[4],John went back to the bathroom.,Is John in the office?,No,-1.6014742851257324,-0.2254796028137207,No,True
qa1,6,[2],Sandra travelled to the garden.,Is Sandra in the garden?,Yes,-0.3495156764984131,-1.2264561653137207,Yes,True
qa1,6,[2],Sandra travelled to the garden.,Is Sandra in the kitchen?,No,-1.8046296834945679,-0.17961323261260986,No,True
qa1,3,[1],Sandra journeyed to the kitchen.,Is Sandra in the kitchen?,Yes,-0.38662147521972656,-1.1405143737792969,Yes,True
qa1,3,[1],Sandra journeyed to the kitchen.,Is Sandra in the office?,No,-2.5780489444732666,-0.07900381833314896,No,True
qa1,12,[8],Sandra journeyed to the hallway.,Is Sandra in the hallway?,Yes,-0.6326881647109985,-0.757671594619751,Yes,True
qa1,12,[8],Sandra journeyed to the hallway.,Is Sandra in the bathroom?,No,-2.4686899185180664,-0.08876848965883255,No,True
qa1,9,[4],Daniel journeyed to the office.,Is Daniel in the office?,Yes,-0.28113043308258057,-1.4061144590377808,Yes,True
qa1,9,[4],Daniel journeyed to the office.,Is Daniel in the kitchen?,No,-2.4686899185180664,-0.08878005295991898,No,True
qa1,9,[8],John travelled to the bathroom.,Is John in the bathroom?,Yes,-1.054579496383667,-0.4295487403869629,No,False
qa1,9,[8],John travelled to the bathroom.,Is John in the hallway?,No,-1.054579496383667,-0.4295487403869629,No,True
qa1,3,[2],John travelled to the garden.,Is John in the garden?,Yes,-0.4295921325683594,-1.0545650720596313,Yes,True
qa1,3,[2],John travelled to the garden.,Is John in the office?,No,-1.0546033382415771,-0.42956507205963135,No,True
qa1,6,[4],Sandra journeyed to the bedroom.,Is Sandra in the bedroom?,Yes,-0.42960333824157715,-1.054579496383667,Yes,True
qa1,6,[4],Sandra journeyed to the bedroom.,Is Sandra in the kitchen?,No,-3.1718177795410156,-0.04314804449677467,No,True
qa1,6,[2],Sandra moved to the garden.,Is Sandra in the garden?,Yes,-0.12687814235687256,-2.1248910427093506,Yes,True
qa1,6,[2],Sandra moved to the garden.,Is Sandra in the bathroom?,No,-3.8905913829803467,-0.020583512261509895,No,True
qa1,9,[5],Daniel went to the bathroom.,Is Daniel in the bathroom?,Yes,-0.6327537298202515,-0.7577459812164307,Yes,True
qa1,9,[5],Daniel went to the bathroom.,Is Daniel in the garden?,No,-5.124941825866699,-0.005976083222776651,No,True
qa1,15,[14],Mary moved to the office.,Is Mary in the office?,Yes,-0.07023704051971436,-2.687403917312622,Yes,True
qa1,15,[14],Mary moved to the office.,Is Mary in the kitchen?,No,-2.0155844688415527,-0.1425257921218872,No,True
qa1,12,[5],Mary moved to the office.,Is Mary in the office?,Yes,-0.07023704051971436,-2.687403917312622,Yes,True
qa1,12,[5],Mary moved to the office.,Is Mary in the kitchen?,No,-2.0155844688415527,-0.1425257921218872,No,True
qa1,15,[11],Daniel journeyed to the office.,Is Daniel in the office?,Yes,-0.28113043308258057,-1.4061144590377808,Yes,True
qa1,15,[11],Daniel journeyed to the office.,Is Daniel in the bedroom?,No,-4.749945163726807,-0.008608223870396614,No,True
qa1,6,[2],Daniel travelled to the bathroom.,Is Daniel in the bathroom?,Yes,-1.0545650720596313,-0.4295487403869629,No,False
qa1,6,[2],Daniel travelled to the bathroom.,Is Daniel in the hallway?,No,-1.054579496383667,-0.4295487403869629,No,True
qa1,9,[8],John journeyed to the garden.,Is John in the garden?,Yes,-0.4745156764984131,-0.9725362062454224,Yes,True
qa1,9,[8],John journeyed to the garden.,Is John in the bathroom?,No,-3.04681396484375,-0.04873335734009743,No,True
qa1,15,[13],Daniel journeyed to the bedroom.,Is Daniel in the bedroom?,Yes,-0.4295921325683594,-1.054579496383667,Yes,True
qa1,15,[13],Daniel journeyed to the bedroom.,Is Daniel in the kitchen?,No,-3.1718099117279053,-0.04314804449677467,No,True
qa1,12,[8],Sandra moved to the bedroom.,Is Sandra in the bedroom?,Yes,-0.07904231548309326,-2.5780489444732666,Yes,True
qa1,12,[8],Sandra moved to the bedroom.,Is Sandra in the kitchen?,No,-3.7655727863311768,-0.023268939927220345,No,True
qa1,9,[7],Sandra moved to the bathroom.,Is Sandra in the bathroom?,Yes,-0.2518681287765503,-1.499903917312622,Yes,True
qa1,9,[7],Sandra moved to the bathroom.,Is Sandra in the kitchen?,No,-3.7655580043792725,-0.023247839882969856,No,True
qa1,12,[11],Daniel moved to the hallway.,Is Daniel in the hallway?,Yes,-0.17959213256835938,-1.8045859336853027,Yes,True
qa1,12,[11],Daniel moved to the hallway.,Is Daniel in the bathroom?,No,-2.8124547004699707,-0.061945680528879166,No,True
qa1,15,[11],Daniel moved to the hallway.,Is Daniel in the hallway?,Yes,-0.17959213256835938,-1.8045859336853027,Yes,True
qa1,15,[11],Daniel moved to the hallway.,Is Daniel in the garden?,No,-4.031162738800049,-0.018212681636214256,No,True
qa1,6,[1],Sandra travelled to the garden.,Is Sandra in the garden?,Yes,-0.3495156764984131,-1.2264561653137207,Yes,True
qa1,6,[1],Sandra travelled to the garden.,Is Sandra in the bedroom?,No,-3.4062061309814453,-0.03363478183746338,No,True
qa10,3,[2],Bill is in the kitchen.,Is Bill in the bedroom?,No,-3.7655727863311768,-0.023255707696080208,No,True
qa10,6,[4],Bill journeyed to the bedroom.,Is Bill in the bedroom?,Yes,-0.6327027082443237,-0.7577027082443237,Yes,True
qa10,9,[4],Fred went to the bedroom.,Is Fred in the bedroom?,Yes,-0.2518869638442993,-1.49990975856781,Yes,True
qa10,12,[11],Mary went back to the office.,Is Mary in the kitchen?,No,-4.62495756149292,-0.009780765511095524,No,True
qa10,15,[14],Fred moved to the cinema.,Is Fred in the kitchen?,No,-4.749934196472168,-0.00865257065743208,No,True
qa10,6,[5],Mary is in the office.,Is Mary in the office?,Yes,-0.007644654251635075,-4.874948501586914,Yes,True
qa10,15,[14],Fred is either in the school or the cinema.,Is Fred in the office?,No,-5.874925136566162,-0.0028328916523605585,No,True
qa10,15,[14],Mary went to the park.,Is Mary in the park?,Yes,-0.22552907466888428,-1.601498007774353,Yes,True
qa10,9,[4],Fred went back to the cinema.,Is Fred in the office?,No,-2.0155489444732666,-0.1424802541732788,No,True
qa10,6,[2],Mary moved to the school.,Is Mary in the school?,Yes,-0.2518681287765503,-1.499903917312622,Yes,True
qa10,9,[8],Mary moved to the office.,Is Mary in the office?,Yes,-0.07023704051971436,-2.687403917312622,Yes,True
qa10,12,[10],Mary is in the school.,Is Mary in the school?,Yes,-0.018136145547032356,-4.031193733215332,Yes,True
qa10,15,[13],Fred moved to the office.,Is Fred in the kitchen?,No,-1.913998007774353,-0.16008341312408447,No,True
qa10,3,[2],Bill is in the office.,Is Bill in the park?,No,-4.624948501586914,-0.009774685837328434,No,True
qa10,12,[11],Julie went to the park.,Is Julie in the park?,Yes,-0.17963647842407227,-1.804621934890747,Yes,True
qa10,12,[11],Bill went to the bedroom.,Is Bill in the bedroom?,Yes,-0.17961323261260986,-1.8046033382415771,Yes,True
qa10,15,[14],Bill went back to the school.,Is Bill in the park?,No,-2.812448501586914,-0.06193685904145241,No,True
qa10,12,[8],Mary travelled to the school.,Is Mary in the office?,No,-1.4061859846115112,-0.28116774559020996,No,True
qa10,15,[8],Mary travelled to the school.,Is Mary in the school?,Yes,-0.4745156764984131,-0.9725502729415894,Yes,True
qa10,3,[1],Mary went back to the bedroom.,Is Mary in the bedroom?,Yes,-0.07904231548309326,-2.5780489444732666,Yes,True
qa10,3,[2],Fred is in the office.,Is Fred in the cinema?,No,-3.406186103820801,-0.03361869230866432,No,True
qa10,6,[5],Bill is in the kitchen.,Is Bill in the kitchen?,Yes,-0.011102678254246712,-4.499934196472168,Yes,True
qa10,15,[14],Bill journeyed to the park.,Is Bill in the cinema?,No,-4.374934196472168,-0.012548331171274185,No,True
qa10,3,[2],Bill went to the park.,Is Bill in the bedroom?,No,-5.49995756149292,-0.004104853607714176,No,True
qa10,9,[8],Mary is in the office.,Is Mary in the office?,Yes,-0.007644654251635075,-4.874948501586914,Yes,True
qa10,6,[5],Bill went back to the office.,Is Bill in the kitchen?,No,-3.8905727863311768,-0.020577313378453255,No,True
qa10,15,[13],Bill travelled to the kitchen.,Is Bill in the kitchen?,Yes,-0.8280143737792969,-0.5780143737792969,No,False
qa10,15,[13],Fred went to the bedroom.,Is Fred in the school?,No,-7.74991512298584,-0.00046420315629802644,No,True
qa10,3,[1],Fred is in the kitchen.,Is Fred in the school?,No,-5.374934196472168,-0.004655006341636181,No,True
qa10,6,[5],Julie went back to the cinema.,Is Julie in the cinema?,Yes,-0.38663291931152344,-1.1405143737792969,Yes,True
qa10,9,[4],Julie went back to the park.,Is Julie in the park?,Yes,-0.16009199619293213,-1.9139894247055054,Yes,True
qa10,3,[2],Fred went to the kitchen.,Is Fred in the park?,No,-6.124948501586914,-0.0022066845558583736,No,True
qa10,9,[8],Bill moved to the cinema.,Is Bill in the cinema?,Yes,-0.5780143737792969,-0.8279995918273926,Yes,True
qa10,12,[8],Julie journeyed to the office.,Is Julie in the office?,Yes,-0.25185680389404297,-1.499876618385315,Yes,True
qa10,15,[13],Mary is either in the bedroom or the park.,Is Mary in the school?,No,-6.124954700469971,-0.002197504974901676,No,True
qa10,12,[11],Fred went to the school.,Is Fred in the cinema?,No,-3.0468356609344482,-0.04853320121765137,No,True
qa10,9,[8],Fred travelled to the bedroom.,Is Fred in the bedroom?,Yes,-0.9725362062454224,-0.4744729995727539,No,False
qa10,12,[11],Bill is in the bedroom.,Is Bill in the kitchen?,No,-4.749938011169434,-0.008608223870396614,No,True
qa10,3,[2],Julie moved to the office.,Is Julie in the office?,Yes,-0.08926833420991898,-2.4686508178710938,Yes,True
qa10,15,[14],Julie is in the kitchen.,Is Julie in the cinema?,No,-6.374954700469971,-0.001716853235848248,No,True
qa10,9,[5],Julie went to the kitchen.,Is Julie in the kitchen?,Yes,-0.10004079341888428,-2.343686103820801,Yes,True
qa10,12,[11],Julie is in the park.,Is Julie in the school?,No,-3.0468177795410156,-0.048510197550058365,No,True
qa10,15,[14],Mary travelled to the school.,Is Mary in the school?,Yes,-0.4745156764984131,-0.9725502729415894,Yes,True
qa10,3,[1],Bill went back to the bedroom.,Is Bill in the cinema?,No,-7.374925136566162,-0.0006512420368380845,No,True
qa10,15,[13],Mary is in the cinema.,Is Mary in the office?,No,-3.4062001705169678,-0.03361869230866432,No,True
qa10,12,[7],Julie is in the office.,Is Julie in the office?,Yes,-0.01605403609573841,-4.156177520751953,Yes,True
qa10,3,[2],Julie journeyed to the park.,Is Julie in the park?,Yes,-0.38664305210113525,-1.1405388116836548,Yes,True
qa10,9,[8],Bill is in the cinema.,Is Bill in the bedroom?,No,-5.374945163726807,-0.004641177132725716,No,True
qa10,9,[8],Mary is in the kitchen.,Is Mary in the kitchen?,Yes,-0.0052697667852044106,-5.2499518394470215,Yes,True
qa10,3,[1],Fred went to the office.,Is Fred in the bedroom?,No,-6.624948501586914,-0.0013431321131065488,No,True
qa10,9,[7],Julie moved to the school.,Is Julie in the school?,Yes,-0.25185680389404297,-1.499884009361267,Yes,True
qa10,3,[1],Bill went to the cinema.,Is Bill in the cinema?,Yes,-1.312403917312622,-0.31240391731262207,No,False
qa10,9,[7],Bill went to the bedroom.,Is Bill in the office?,No,-4.749929904937744,-0.008608223870396614,No,True
qa10,3,[1],Julie is either in the bedroom or the kitchen.,Is Julie in the school?,No,-7.874934196472168,-0.000404359248932451,No,True
qa10,15,[14],Julie moved to the bedroom.,Is Julie in the school?,No,-6.874941825866699,-0.0010629914468154311,No,True
qa10,15,[14],Mary moved to the office.,Is Mary in the office?,Yes,-0.07023704051971436,-2.687403917312622,Yes,True
qa10,3,[1],Julie is in the park.,Is Julie in the cinema?,No,-4.374948501586914,-0.012514235451817513,No,True
qa10,3,[1],Fred went back to the school.,Is Fred in the school?,Yes,-0.7577027082443237,-0.6326881647109985,No,False
qa10,3,[1],Julie went to the school.,Is Julie in the cinema?,No,-3.6562135219573975,-0.026320578530430794,No,True
qa10,6,[5],Julie went to the office.,Is Julie in the bedroom?,No,-6.124959945678711,-0.002192378742620349,No,True
qa10,3,[1],Fred went back to the office.,Is Fred in the office?,Yes,-0.201074481010437,-1.7030072212219238,Yes,True
qa10,6,[1],Fred went back to the office.,Is Fred in the office?,Yes,-0.201074481010437,-1.7030072212219238,Yes,True
qa10,6,[5],Mary is in the school.,Is Mary in the school?,Yes,-0.018136145547032356,-4.031193733215332,Yes,True
qa10,12,[8],Mary is in the office.,Is Mary in the school?,No,-2.3437001705169678,-0.10002470016479492,No,True
qa10,3,[1],Bill journeyed to the bedroom.,Is Bill in the bedroom?,Yes,-0.6327027082443237,-0.7577027082443237,Yes,True
