property,prefix,Context,Question,Correct Answer,negative_sample_type,eval_split_ratio,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,calib_yes_mean,calib_no_mean,raw_predicted_answer,raw_is_correct,kfold_predicted_answer,kfold_is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,20.0,0,-0.012658958323299885,-4.999941825866699,2.829898222217508,-3.201724426209763,-2.842557180540808,-1.7982173996569362,Yes,True,True,True
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,20.0,3,-0.026304857805371284,-4.031137466430664,2.870602930352851,-2.271879150033956,-2.8969077881582224,-1.759258316396708,Yes,True,True,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,20.0,2,-3.780881643295288,-0.03094269521534443,-0.9043781626477583,1.7659512994481095,-2.87650348064753,-1.796893994663454,No,True,False,True
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,20.0,1,-6.937222003936768,-0.006543165538460016,-4.038916169610179,1.7384121595987208,-2.8983058343265884,-1.7449553251371808,No,True,False,True
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,20.0,4,-8.187185287475586,-0.005066756624728441,-5.296171746717855,1.7375321047967494,-2.891013540757731,-1.7425988614214778,No,True,False,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,20.0,3,-2.1401593685150146,-0.1392861008644104,0.7567484196432077,1.6199722155322975,-2.8969077881582224,-1.759258316396708,No,True,False,True
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,20.0,0,-2.7178096771240234,-0.08864869177341461,0.12474750341678442,1.7095687078835216,-2.842557180540808,-1.7982173996569362,No,False,False,False
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,20.0,3,-4.999783515930176,-0.010595444589853287,-2.1028757277719534,1.7486628718068546,-2.8969077881582224,-1.759258316396708,No,True,False,True
can affect urine,hair,'',Can hair affect urine?,No,random,20.0,0,-1.3200491666793823,-0.31818974018096924,1.5225080138614255,1.480027659475967,-2.842557180540808,-1.7982173996569362,No,True,True,False
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,20.0,0,-5.624738693237305,-0.0076416791416704655,-2.782181512696497,1.7905757205152657,-2.842557180540808,-1.7982173996569362,No,True,False,True
