property,prefix,Context,Question,Correct Answer,negative_sample_type,eval_split_ratio,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,calib_yes_mean,calib_no_mean,raw_predicted_answer,raw_is_correct,kfold_predicted_answer,kfold_is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,20.0,0,-0.915757954120636,-2.1707229614257812,0.18567771198494087,-0.11069543588729136,-1.1014356661055769,-2.06002752553849,Yes,True,True,True
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,20.0,3,-0.9433071613311768,-2.139575958251953,0.15916171045530403,-0.07506337584484202,-1.1024688717864808,-2.064512582407111,Yes,True,True,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,20.0,2,-1.0683687925338745,-1.8817716836929321,0.03341938871003336,0.1798142806405112,-1.1017881812439079,-2.0615859643334433,Yes,False,False,True
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,20.0,1,-1.2946555614471436,-1.6707229614257812,-0.1898781705115522,0.3830555191352252,-1.1047773909355914,-2.0537784805610064,Yes,False,False,True
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,20.0,4,-1.3496785163879395,-1.6006147861480713,-0.24766624119310143,0.4606433313517342,-1.102012275194838,-2.0612581174998055,Yes,False,False,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,20.0,3,-1.24736487865448,-2.123497724533081,-0.1448960068679992,-0.05898514212596995,-1.1024688717864808,-2.064512582407111,Yes,False,False,True
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,20.0,0,-1.231045126914978,-1.732223629951477,-0.12960946080940117,0.32780389558701284,-1.1014356661055769,-2.06002752553849,Yes,True,False,False
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,20.0,3,-1.0368602275848389,-2.2802491188049316,0.06560864420164192,-0.21573653639782053,-1.1024688717864808,-2.064512582407111,Yes,False,True,False
can affect urine,hair,'',Can hair affect urine?,No,random,20.0,0,-1.0210565328598022,-2.0924649238586426,0.08037913324577461,-0.03243739832015269,-1.1014356661055769,-2.06002752553849,Yes,False,True,False
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,20.0,0,-1.0053941011428833,-2.1239006519317627,0.09604156496269356,-0.0638731263932728,-1.1014356661055769,-2.06002752553849,Yes,False,True,False
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,20.0,1,-1.0914956331253052,-2.0928096771240234,0.013281757810286177,-0.03903119656301701,-1.1047773909355914,-2.0537784805610064,Yes,False,True,False
can bark,an arrow,'',Can an arrow bark?,No,random,20.0,4,-1.2006876468658447,-1.3894363641738892,-0.0986753716710067,0.6718217533259163,-1.102012275194838,-2.0612581174998055,Yes,False,False,True
