property,prefix,Context,Question,Correct Answer,negative_sample_type,yes_logprob,no_logprob,predicted_answer,is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,-1.775679588317871,-1.2782645225524902,No,False
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,-0.960241436958313,-4.090669631958008,Yes,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,-3.308159112930298,-0.681788980960846,No,True
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,-3.1514835357666016,-0.5994936227798462,No,True
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,-3.947467088699341,-0.7003635168075562,No,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,-1.2830874919891357,-1.3477007150650024,Yes,False
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,-3.2428531646728516,-0.8745484352111816,No,False
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,-1.627537727355957,-1.378702163696289,No,True
can affect urine,hair,'',Can hair affect urine?,No,random,-1.7594127655029297,-1.0120806694030762,No,True
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,-3.027296781539917,-0.4627988934516907,No,True
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,-2.8853089809417725,-0.6422324180603027,No,True
can bark,an arrow,'',Can an arrow bark?,No,random,-2.8864824771881104,-0.7588808536529541,No,True
can be a distraction,a television,'',Can a television be a distraction?,Yes,random,-0.8366783857345581,-2.966632127761841,Yes,True
can be a distraction,cider,'',Can cider be a distraction?,No,random,-1.1291842460632324,-1.3804683685302734,Yes,False
can be a source of entertainment,a guitar,'',Can a guitar be a source of entertainment?,Yes,random,-0.9091064929962158,-4.965035915374756,Yes,True
can be a source of entertainment,an armor,'',Can an armor be a source of entertainment?,No,random,-1.6563969850540161,-1.159406065940857,No,True
can be acoustic,a limousine,'',Can a limousine be acoustic?,No,random,-2.0402634143829346,-0.9795336127281189,No,True
can be added to a hot drink,a rollerskate,'',Can a rollerskate be added to a hot drink?,No,random,-3.007655382156372,-0.6396708488464355,No,True
