property,prefix,Context,Question,Correct Answer,negative_sample_type,yes_logprob,no_logprob,predicted_answer,is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,-0.1267125904560089,-4.749684810638428,Yes,True
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,-0.35233399271965027,-12.99976921081543,Yes,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,-9.43342113494873,-0.07989539206027985,No,True
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,-10.868284225463867,-0.013160488568246365,No,True
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,-12.931190490722656,-0.023782622069120407,No,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,-3.308159112930298,-0.1917913556098938,No,True
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,-11.741385459899902,-0.039051447063684464,No,False
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,-7.1190714836120605,-0.010220108553767204,No,True
can affect urine,hair,'',Can hair affect urine?,No,random,-2.7322237491607666,-0.10723413527011871,No,True
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,-9.746822357177734,-0.0032323659397661686,No,True
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,-10.055784225463867,-0.03395560011267662,No,True
can bark,an arrow,'',Can an arrow bark?,No,random,-12.24592113494873,-0.01462853979319334,No,True
can be a distraction,a television,'',Can a television be a distraction?,Yes,random,-0.2351737767457962,-10.812309265136719,Yes,True
can be a distraction,cider,'',Can cider be a distraction?,No,random,-0.25834041833877563,-6.437095642089844,Yes,False
can be a source of entertainment,a guitar,'',Can a guitar be a source of entertainment?,Yes,random,-0.36569681763648987,-12.812041282653809,Yes,True
can be a source of entertainment,an armor,'',Can an armor be a source of entertainment?,No,random,-0.12201612442731857,-4.624783515930176,Yes,False
can be acoustic,a limousine,'',Can a limousine be acoustic?,No,random,-3.3239824771881104,-0.08409614861011505,No,True
can be added to a hot drink,a rollerskate,'',Can a rollerskate be added to a hot drink?,No,random,-8.80969524383545,-0.04969716817140579,No,True
can be added to alcoholic drinks,a buffalo,'',Can a buffalo be added to alcoholic drinks?,No,random,-0.21221886575222015,-1.967970371246338,Yes,False
can be added to cake,cabbage,'',Can cabbage be added to cake?,No,random,-7.872524261474609,-0.006166951265186071,No,True
can be added to cereal,cabbage,'',Can cabbage be added to cereal?,No,random,-11.059117317199707,-0.02074802666902542,No,True
can be airborne,chocolate,'',Can chocolate be airborne?,No,random,-0.058862458914518356,-4.062376499176025,Yes,False
can be attached to a DVD player,a caterpillar,'',Can a caterpillar be attached to a dvd player?,No,random,-5.775503158569336,-0.03971105068922043,No,True
can be attached to a car,an ear,'',Can an ear be attached to a car?,No,random,-11.306190490722656,-0.01460970751941204,No,True
can be attached to a tractor,hair,'',Can hair be attached to a tractor?,No,random,-4.029260158538818,-0.024531729519367218,No,True
can be attached to a tree,a swing,'',Can a swing be attached to a tree?,Yes,random,-0.16601741313934326,-10.874446868896484,Yes,True
can be attached to an oven,a stove,'',Can a stove be attached to an oven?,Yes,random,-0.13369813561439514,-4.1242899894714355,Yes,True
can be attached to bicycles,a toad,'',Can a toad be attached to bicycles?,No,random,-6.996399879455566,-0.007570993155241013,No,True
can be bad for the teeth,lemonade,'',Can lemonade be bad for the teeth?,Yes,random,-0.22867915034294128,-11.499796867370605,Yes,True
can be baked,a bean,'',Can a bean be baked?,Yes,random,-0.03260605409741402,-5.406012058258057,Yes,True
can be baked,broccoli,'',Can broccoli be baked?,No,random,-0.14403274655342102,-12.686911582946777,Yes,False
can be bald,an owl,'',Can an owl be bald?,No,random,-1.2544037103652954,-0.38228896260261536,No,True
can be banned in a drought,a boomerang,'',Can a boomerang be banned in a drought?,No,random,-0.39295071363449097,-1.3904308080673218,Yes,False
can be bass,a guitar,'',Can a guitar be bass?,Yes,random,-2.465035915374756,-0.09201601892709732,No,False
can be bent,a leg,'',Can a leg be bent?,Yes,random,-0.20912833511829376,-12.124290466308594,Yes,True
can be bent,an owl,'',Can an owl be bent?,No,random,-4.276483535766602,-0.04219915345311165,No,True
can be bitter in taste,cider,'',Can cider be bitter in taste?,Yes,random,-0.25629836320877075,-11.437143325805664,Yes,True
can be blonde,hair,'',Can hair be blonde?,Yes,random,-0.2963860034942627,-13.436911582946777,Yes,True
