task,QID,AnsRefIDs,Context,Question,Correct Answer,yes_logprob,no_logprob,predicted_answer,is_correct
qa1,15,[13],Sandra went to the hallway.,Is Sandra in the hallway?,Yes,-0.9195447564125061,-5.24616813659668,Yes,True
qa1,15,[13],Sandra went to the hallway.,Is Sandra in the bathroom?,No,-4.680784702301025,-0.43626922369003296,No,True
qa1,6,[1],John travelled to the kitchen.,Is John in the kitchen?,Yes,-0.8669052720069885,-4.556929588317871,Yes,True
qa1,6,[1],John travelled to the kitchen.,Is John in the hallway?,No,-3.820399522781372,-0.6945441961288452,No,True
qa1,6,[2],Sandra moved to the kitchen.,Is Sandra in the kitchen?,Yes,-1.0088043212890625,-5.183421611785889,Yes,True
qa1,6,[2],Sandra moved to the kitchen.,Is Sandra in the garden?,No,-4.742853164672852,-0.5009090304374695,No,True
qa1,6,[4],Sandra went to the bathroom.,Is Sandra in the bathroom?,Yes,-1.0708659887313843,-3.5114824771881104,Yes,True
qa1,6,[4],Sandra went to the bathroom.,Is Sandra in the bedroom?,No,-4.491905212402344,-0.5584216117858887,No,True
qa1,6,[4],Sandra travelled to the office.,Is Sandra in the office?,Yes,-1.0001469850540161,-4.05787992477417,Yes,True
qa1,6,[4],Sandra travelled to the office.,Is Sandra in the hallway?,No,-1.9779661893844604,-1.043439507484436,No,True
qa1,15,[11],John moved to the bathroom.,Is John in the bathroom?,Yes,-0.9717531800270081,-4.838003158569336,Yes,True
qa1,15,[11],John moved to the bathroom.,Is John in the office?,No,-4.648403167724609,-0.5782439708709717,No,True
qa1,15,[11],Sandra went back to the bathroom.,Is Sandra in the bathroom?,Yes,-0.9898085594177246,-4.620921611785889,Yes,True
qa1,15,[11],Sandra went back to the bathroom.,Is Sandra in the kitchen?,No,-4.617393970489502,-0.48493826389312744,No,True
qa1,12,[10],Mary went to the bathroom.,Is Mary in the bathroom?,Yes,-1.0471404790878296,-3.4803595542907715,Yes,True
qa1,12,[10],Mary went to the bathroom.,Is Mary in the kitchen?,No,-4.304405212402344,-0.6371894478797913,No,True
qa1,3,[1],John moved to the bathroom.,Is John in the bathroom?,Yes,-0.9717531800270081,-4.838003158569336,Yes,True
qa1,3,[1],John moved to the bathroom.,Is John in the garden?,No,-4.836377143859863,-0.6407439708709717,No,True
qa1,3,[2],Mary moved to the bedroom.,Is Mary in the bedroom?,Yes,-0.9115849137306213,-5.1529717445373535,Yes,True
qa1,3,[2],Mary moved to the bedroom.,Is Mary in the hallway?,No,-3.6794052124023438,-0.6140344738960266,No,True
qa1,9,[7],Mary moved to the hallway.,Is Mary in the hallway?,Yes,-1.032294750213623,-5.3404717445373535,Yes,True
qa1,9,[7],Mary moved to the hallway.,Is Mary in the bedroom?,No,-3.6478993892669678,-0.5938094854354858,No,True
qa1,3,[2],Sandra travelled to the bathroom.,Is Sandra in the bathroom?,Yes,-0.9463042616844177,-4.370921611785889,Yes,True
qa1,3,[2],Sandra travelled to the bathroom.,Is Sandra in the hallway?,No,-1.4139052629470825,-1.6035380363464355,Yes,False
qa1,15,[13],Mary went back to the bathroom.,Is Mary in the bathroom?,Yes,-0.9503939151763916,-4.402535915374756,Yes,True
qa1,15,[13],Mary went back to the bathroom.,Is Mary in the bedroom?,No,-3.649322271347046,-0.5319660305976868,No,True
qa1,9,[5],Daniel journeyed to the office.,Is Daniel in the office?,Yes,-1.0538854598999023,-3.4947662353515625,Yes,True
qa1,9,[5],Daniel journeyed to the office.,Is Daniel in the hallway?,No,-1.7984267473220825,-1.1761153936386108,No,True
qa1,15,[13],Daniel went to the garden.,Is Daniel in the garden?,Yes,-0.9341785907745361,-4.368284702301025,Yes,True
qa1,15,[13],Daniel went to the garden.,Is Daniel in the bathroom?,No,-4.740243911743164,-0.5700923800468445,No,True
qa1,12,[8],Sandra moved to the garden.,Is Sandra in the garden?,Yes,-0.9307846426963806,-4.80866813659668,Yes,True
qa1,12,[8],Sandra moved to the garden.,Is Sandra in the bedroom?,No,-4.087240695953369,-0.5278676748275757,No,True
qa1,6,[1],Daniel went back to the hallway.,Is Daniel in the hallway?,Yes,-0.959582507610321,-5.088676929473877,Yes,True
qa1,6,[1],Daniel went back to the hallway.,Is Daniel in the kitchen?,No,-3.850348949432373,-0.6126031279563904,No,True
qa1,3,[2],Daniel journeyed to the hallway.,Is Daniel in the hallway?,Yes,-0.9424245357513428,-4.87116813659668,Yes,True
qa1,3,[2],Daniel journeyed to the hallway.,Is Daniel in the office?,No,-3.3853089809417725,-0.5833228230476379,No,True
qa1,6,[2],Daniel journeyed to the hallway.,Is Daniel in the hallway?,Yes,-0.9424245357513428,-4.87116813659668,Yes,True
qa1,6,[2],Daniel journeyed to the hallway.,Is Daniel in the kitchen?,No,-4.1501336097717285,-0.47001081705093384,No,True
qa1,6,[5],Sandra journeyed to the garden.,Is Sandra in the garden?,Yes,-0.9620346426963806,-4.277042388916016,Yes,True
qa1,6,[5],Sandra journeyed to the garden.,Is Sandra in the hallway?,No,-4.869429588317871,-0.4838860034942627,No,True
qa1,15,[11],John journeyed to the garden.,Is John in the garden?,Yes,-1.0158904790878296,-4.025503158569336,Yes,True
qa1,15,[11],John journeyed to the garden.,Is John in the bedroom?,No,-5.055784702301025,-0.4870874285697937,No,True
qa1,15,[11],John moved to the hallway.,Is John in the hallway?,Yes,-1.0231553316116333,-5.276176929473877,Yes,True
qa1,15,[11],John moved to the hallway.,Is John in the garden?,No,-4.428885459899902,-0.6131407022476196,No,True
qa1,12,[7],Mary journeyed to the bedroom.,Is Mary in the bedroom?,Yes,-0.9503939151763916,-5.214796543121338,Yes,True
qa1,12,[7],Mary journeyed to the bedroom.,Is Mary in the bathroom?,No,-4.5251336097717285,-0.47975051403045654,No,True
qa1,6,[4],Daniel went back to the office.,Is Daniel in the office?,Yes,-0.9523897767066956,-3.901176929473877,Yes,True
qa1,6,[4],Daniel went back to the office.,Is Daniel in the hallway?,No,-2.3356552124023438,-0.8357811570167542,No,True
qa1,9,[8],Daniel travelled to the garden.,Is Daniel in the garden?,Yes,-0.9238757491111755,-3.3065714836120605,Yes,True
qa1,9,[8],Daniel travelled to the garden.,Is Daniel in the bathroom?,No,-4.773403167724609,-0.46186986565589905,No,True
qa1,15,[14],Daniel travelled to the bedroom.,Is Daniel in the bedroom?,Yes,-0.8201552629470825,-4.526176929473877,Yes,True
qa1,15,[14],Daniel travelled to the bedroom.,Is Daniel in the garden?,No,-4.180353164672852,-0.5476405024528503,No,True
qa1,15,[14],Mary journeyed to the bedroom.,Is Mary in the bedroom?,Yes,-0.9503939151763916,-5.214796543121338,Yes,True
qa1,15,[14],Mary journeyed to the bedroom.,Is Mary in the hallway?,No,-4.086377143859863,-0.5942607522010803,No,True
qa1,6,[5],Sandra moved to the bedroom.,Is Sandra in the bedroom?,Yes,-0.9663218855857849,-5.277535915374756,Yes,True
qa1,6,[5],Sandra moved to the bedroom.,Is Sandra in the office?,No,-4.525503158569336,-0.46806278824806213,No,True
qa1,6,[4],Mary went to the office.,Is Mary in the office?,Yes,-0.9777634143829346,-4.495921611785889,Yes,True
qa1,6,[4],Mary went to the office.,Is Mary in the garden?,No,-4.649740695953369,-0.5755307078361511,No,True
qa1,6,[4],John went back to the bathroom.,Is John in the bathroom?,Yes,-0.9830909967422485,-3.9160380363464355,Yes,True
qa1,6,[4],John went back to the bathroom.,Is John in the office?,No,-4.273877143859863,-0.5349521636962891,No,True
qa1,6,[2],Sandra travelled to the garden.,Is Sandra in the garden?,Yes,-0.9766496419906616,-3.7298262119293213,Yes,True
qa1,6,[2],Sandra travelled to the garden.,Is Sandra in the kitchen?,No,-4.805784702301025,-0.4343222975730896,No,True
qa1,3,[1],Sandra journeyed to the kitchen.,Is Sandra in the kitchen?,Yes,-0.9663218855857849,-5.089796543121338,Yes,True
qa1,3,[1],Sandra journeyed to the kitchen.,Is Sandra in the office?,No,-5.276483535766602,-0.4079625904560089,No,True
qa1,12,[8],Sandra journeyed to the hallway.,Is Sandra in the hallway?,Yes,-0.9435828328132629,-5.309117794036865,Yes,True
qa1,12,[8],Sandra journeyed to the hallway.,Is Sandra in the bathroom?,No,-4.5572662353515625,-0.43517419695854187,No,True
qa1,9,[4],Daniel journeyed to the office.,Is Daniel in the office?,Yes,-1.0538854598999023,-3.4947662353515625,Yes,True
qa1,9,[4],Daniel journeyed to the office.,Is Daniel in the kitchen?,No,-4.743284702301025,-0.4872778356075287,No,True
qa1,9,[8],John travelled to the bathroom.,Is John in the bathroom?,Yes,-0.9446435570716858,-4.1501336097717285,Yes,True
qa1,9,[8],John travelled to the bathroom.,Is John in the hallway?,No,-1.4053807258605957,-1.844794750213623,Yes,False
qa1,3,[2],John travelled to the garden.,Is John in the garden?,Yes,-0.9913854598999023,-3.0565714836120605,Yes,True
qa1,3,[2],John travelled to the garden.,Is John in the office?,No,-4.9001336097717285,-0.47957849502563477,No,True
qa1,6,[4],Sandra journeyed to the bedroom.,Is Sandra in the bedroom?,Yes,-0.8577756285667419,-5.24616813659668,Yes,True
qa1,6,[4],Sandra journeyed to the bedroom.,Is Sandra in the kitchen?,No,-4.494429588317871,-0.4288521707057953,No,True
qa1,6,[2],Sandra moved to the garden.,Is Sandra in the garden?,Yes,-0.9307846426963806,-4.80866813659668,Yes,True
qa1,6,[2],Sandra moved to the garden.,Is Sandra in the bathroom?,No,-4.680784702301025,-0.5127760171890259,No,True
qa1,9,[5],Daniel went to the bathroom.,Is Daniel in the bathroom?,Yes,-1.0696436166763306,-2.7603089809417725,Yes,True
qa1,9,[5],Daniel went to the bathroom.,Is Daniel in the garden?,No,-5.022363185882568,-0.5310619473457336,No,True
qa1,15,[14],Mary moved to the office.,Is Mary in the office?,Yes,-0.8999401926994324,-4.7779717445373535,Yes,True
qa1,15,[14],Mary moved to the office.,Is Mary in the kitchen?,No,-4.148877143859863,-0.5245498418807983,No,True
qa1,12,[5],Mary moved to the office.,Is Mary in the office?,Yes,-0.8999401926994324,-4.7779717445373535,Yes,True
qa1,12,[5],Mary moved to the office.,Is Mary in the kitchen?,No,-4.148877143859863,-0.5245498418807983,No,True
qa1,15,[11],Daniel journeyed to the office.,Is Daniel in the office?,Yes,-1.0538854598999023,-3.4947662353515625,Yes,True
qa1,15,[11],Daniel journeyed to the office.,Is Daniel in the bedroom?,No,-4.586822032928467,-0.5321590304374695,No,True
qa1,6,[2],Daniel travelled to the bathroom.,Is Daniel in the bathroom?,Yes,-0.8697029948234558,-4.056929588317871,Yes,True
