property,prefix,Context,Question,Correct Answer,negative_sample_type,yes_logprob,no_logprob,predicted_answer,is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,-1.499841570854187,-0.2538098096847534,No,False
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,-0.47836053371429443,-0.9764077663421631,Yes,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,-4.499876499176025,-0.014084222726523876,No,True
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,-5.999796390533447,-0.0038616685196757317,No,True
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,-4.499796390533447,-0.012753374874591827,No,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,-2.5780274868011475,-0.08341968059539795,No,True
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,-1.5073784589767456,-0.2612830102443695,No,False
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,-1.3202537298202515,-0.31832385063171387,No,True
can affect urine,hair,'',Can hair affect urine?,No,random,-1.507652759552002,-0.25760748982429504,No,True
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,-2.8123767375946045,-0.0692605972290039,No,True
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,-2.5780274868011475,-0.08144498616456985,No,True
can bark,an arrow,'',Can an arrow bark?,No,random,-5.749876499176025,-0.003901243908330798,No,True
can be a distraction,a television,'',Can a television be a distraction?,Yes,random,-0.13273704051971436,-2.124903917312622,Yes,True
can be a distraction,cider,'',Can cider be a distraction?,No,random,-1.7420650720596313,-0.24599802494049072,No,True
can be a source of entertainment,a guitar,'',Can a guitar be a source of entertainment?,Yes,random,-0.255800724029541,-1.5077370405197144,Yes,True
can be a source of entertainment,an armor,'',Can an armor be a source of entertainment?,No,random,-2.3592803478240967,-0.10488630086183548,No,True
can be acoustic,a limousine,'',Can a limousine be acoustic?,No,random,-3.0467803478240967,-0.05145597457885742,No,True
can be added to a hot drink,a rollerskate,'',Can a rollerskate be added to a hot drink?,No,random,-3.2966747283935547,-0.04650939255952835,No,True
can be added to alcoholic drinks,a buffalo,'',Can a buffalo be added to alcoholic drinks?,No,random,-2.5935866832733154,-0.0873037651181221,No,True
can be added to cake,cabbage,'',Can cabbage be added to cake?,No,random,-0.8358777761459351,-0.5858777761459351,No,True
can be added to cereal,cabbage,'',Can cabbage be added to cereal?,No,random,-0.39056575298309326,-1.1405788660049438,Yes,False
can be airborne,chocolate,'',Can chocolate be airborne?,No,random,-2.3592803478240967,-0.10539531707763672,No,True
can be attached to a DVD player,a caterpillar,'',Can a caterpillar be attached to a dvd player?,No,random,-4.2809038162231445,-0.018881453201174736,No,True
can be attached to a car,an ear,'',Can an ear be attached to a car?,No,random,-3.530996799468994,-0.03430379182100296,No,True
can be attached to a tractor,hair,'',Can hair be attached to a tractor?,No,random,-3.2967190742492676,-0.04189801588654518,No,True
can be attached to a tree,a swing,'',Can a swing be attached to a tree?,Yes,random,-0.3983910083770752,-1.1483910083770752,Yes,True
can be attached to an oven,a stove,'',Can a stove be attached to an oven?,Yes,random,-0.8358608484268188,-0.5858777761459351,No,False
can be attached to bicycles,a toad,'',Can a toad be attached to bicycles?,No,random,-1.5076881647109985,-0.2577155828475952,No,True
can be bad for the teeth,lemonade,'',Can lemonade be bad for the teeth?,Yes,random,-1.7030489444732666,-0.20495249330997467,No,False
can be baked,a bean,'',Can a bean be baked?,Yes,random,-0.5819549560546875,-0.8319849967956543,Yes,True
can be baked,broccoli,'',Can broccoli be baked?,No,random,-0.3163607120513916,-1.3202847242355347,Yes,False
can be bald,an owl,'',Can an owl be bald?,No,random,-2.343693494796753,-0.10103964805603027,No,True
can be banned in a drought,a boomerang,'',Can a boomerang be banned in a drought?,No,random,-1.7108391523361206,-0.21087777614593506,No,True
can be bass,a guitar,'',Can a guitar be bass?,Yes,random,-3.0467803478240967,-0.05267667770385742,No,False
can be bent,a leg,'',Can a leg be bent?,Yes,random,-0.2098625898361206,-1.710877776145935,Yes,True
can be bent,an owl,'',Can an owl be bent?,No,random,-4.281086444854736,-0.01737988367676735,No,True
can be bitter in taste,cider,'',Can cider be bitter in taste?,Yes,random,-0.8280273675918579,-0.5780273675918579,No,False
can be blonde,hair,'',Can hair be blonde?,Yes,random,-1.1405657529830933,-0.3886359930038452,No,False
can be blonde,an ambulance,'',Can an ambulance be blonde?,No,random,-4.531040191650391,-0.0166475810110569,No,True
can be blunt,a bayonet,'',Can a bayonet be blunt?,Yes,random,-0.9765279293060303,-0.4745749235153198,No,False
can be broken,a sweater,'',Can a sweater be broken?,No,random,-3.046830415725708,-0.05050218105316162,No,True
can be button shaped,mushroom,'',Can mushroom be button shaped?,Yes,random,-0.8358608484268188,-0.5858608484268188,No,False
can be carbonated,lemonade,'',Can lemonade be carbonated?,Yes,random,-3.5312135219573975,-0.030245065689086914,No,False
can be claustrophobic,a squirrel,'',Can a squirrel be claustrophobic?,No,random,-3.7811226844787598,-0.026442648842930794,No,True
can be coated with flavor,a donut,'',Can a donut be coated with flavor?,Yes,random,-0.7069053649902344,-0.7069332599639893,Yes,True
can be cold,a plow,'',Can a plow be cold?,No,random,-1.9140055179595947,-0.16206514835357666,No,True
can be cooked,cheese,'',Can cheese be cooked?,Yes,random,-0.9765055179595947,-0.4765055179595947,No,False
can be covered,butter,'',Can butter be covered?,No,random,-0.9803953170776367,-0.48234832286834717,No,True
can be covered in chocolate,a seagull,'',Can a seagull be covered in chocolate?,No,random,-2.3592536449432373,-0.10980582237243652,No,True
can be covered in lip gloss,a lip,'',Can a lip be covered in lip gloss?,Yes,random,-0.6991214752197266,-0.6990939378738403,No,False
can be covered in lip gloss,a harpsichord,'',Can a harpsichord be covered in lip gloss?,No,random,-4.999796390533447,-0.012819411233067513,No,True
can be crumbly,a bagpipe,'',Can a bagpipe be crumbly?,No,random,-4.03112268447876,-0.022994641214609146,No,True
can be crushed,garlic,'',Can garlic be crushed?,Yes,random,-0.25582385063171387,-1.5077909231185913,Yes,True
can be crushed,a bikini,'',Can a bikini be crushed?,No,random,-2.5780274868011475,-0.08294832706451416,No,True
can be curly,hair,'',Can hair be curly?,Yes,random,-0.4765055179595947,-0.9764894247055054,Yes,True
can be cut into slices,mango,'',Can mango be cut into slices?,Yes,random,-0.16302907466888428,-1.9140055179595947,Yes,True
can be cut into slices,a spider,'',Can a spider be cut into slices?,No,random,-4.281040191650391,-0.01750195398926735,No,True
can be dangerous,a centipede,'',Can a centipede be dangerous?,No,random,-0.06730759143829346,-2.812403917312622,Yes,False
can be decaffeinated,a trombone,'',Can a trombone be decaffeinated?,No,random,-3.0623767375946045,-0.055374860763549805,No,True
can be decorative,a corkscrew,'',Can a corkscrew be decorative?,No,random,-0.6991597414016724,-0.6991430521011353,No,True
can be deflated,a balloon,'',Can a balloon be deflated?,Yes,random,-0.31637072563171387,-1.3124724626541138,Yes,True
can be deflated,flour,'',Can flour be deflated?,No,random,-2.359340190887451,-0.10201621055603027,No,True
can be difficult to digest,corn,'',Can corn be difficult to digest?,Yes,random,-0.6952537298202515,-0.6952370405197144,No,False
can be dressed up,a doll,'',Can a doll be dressed up?,Yes,random,-0.39250195026397705,-1.1405489444732666,Yes,True
can be driven,a motorcycle,'',Can a motorcycle be driven?,Yes,random,-0.3905489444732666,-1.1405657529830933,Yes,True
can be driven,satsuma,'',Can satsuma be driven?,No,random,-2.8123416900634766,-0.06435681134462357,No,True
can be eaten cold,a date,'',Can a date be eaten cold?,Yes,random,-0.6952370405197144,-0.6952370405197144,No,False
can be eaten dried,an apricot,'',Can an apricot be eaten dried?,Yes,random,-0.4803953170776367,-0.9803953170776367,Yes,True
can be eaten raw,tomato,'',Can tomato be eaten raw?,Yes,random,-0.47844231128692627,-0.9764894247055054,Yes,True
can be eaten raw,a caravan,'',Can a caravan be eaten raw?,No,random,-3.7810866832733154,-0.029830101877450943,No,True
can be eaten with chips,a deer,'',Can a deer be eaten with chips?,No,random,-3.0623416900634766,-0.05656624212861061,No,True
can be emptied,a bolt,'',Can a bolt be emptied?,No,random,-1.5077537298202515,-0.2577667236328125,No,True
can be empty,a barrel,'',Can a barrel be empty?,Yes,random,-0.5819332599639893,-0.8319549560546875,Yes,True
can be environmentally friendly,a coach,'',Can a coach be environmentally friendly?,Yes,random,-0.45500195026397705,-1.2030657529830933,Yes,True
can be environmentally friendly,a trumpet,'',Can a trumpet be environmentally friendly?,No,random,-2.3592803478240967,-0.11418378353118896,No,True
can be fair,a piano,'',Can a piano be fair?,No,random,-2.6092803478240967,-0.10295414924621582,No,True
