question,A,B,C,D,answer,oa_logprob,ob_logprob,oc_logprob,od_logprob,predicted_answer,is_correct
"The plates of a capacitor are charged to a potential difference of 5 V. If the capacitance is 2 mF, what is the charge on the positive plate?",(A) 0.005 C,(B) 0.01 C,(C) 0.02 C,(D) 0.5 C,B,-3.3905844688415527,-0.14548730850219727,-2.3905913829803467,-4.6562180519104,B,True
Which of these quantities decreases as the inverse square of distance for distances far from the objects producing the fields?,(A) the electric field produced by a finite-length charged rod,(B) the electric field produced by an infinitely long charged cylinder,(C) the electric field produced by an infinite plane of charge,"(D) the magnetic field produced by an infinitely long, straight current-carrying wire",A,-3.0780727863311768,-3.0780818462371826,-0.33002233505249023,-1.8280333280563354,C,False
"A solid, metal object is isolated from other charges and has charge distributed on its surface. The charge distribution is not uniform. It may be correctly concluded that the",(A) electric field outside the object is zero,(B) the electric field outside the object is equal to the electric field inside the object,(C) the electric field outside the object is directly proportional to the distance away from the center of mass of the object,"(D) the electric field outside the object, but very close to the surface, is equal to the surface charge density at any location divided by the permittivity of free space",D,-5.843644618988037,-4.343637466430664,-0.34949636459350586,-1.3513871431350708,C,False
Standing waves are produced by a 100-Hz generator in a string of fixed length. The tension in the string is increased until a new set of standing waves is produced. Will the wavelength of the new standing waves be greater than or less than the wavelength of the original standing waves?,"(A) Less, because the tension in the string varies directly with the wave speed, which varies inversely with the wavelength.","(B) Greater, because the tension in the string varies directly with the wave speed, which varies inversely with the wavelength.","(C) Greater, because the tension in the string varies directly with the wave speed, which varies directly with the wavelength.","(D) Less, because the tension in the string varies directly with the wave speed, which varies directly with the wavelength.",C,-1.8827720880508423,-0.25583338737487793,-3.374964714050293,-3.499941825866699,B,False
Two identical capacitors are hooked in parallel to an external circuit. Which of the following quantities must be the same for both capacitors? I. the charge stored on the capacitor II.  the voltage across the capacitor III. the capacitance of the capacitor,(A) I only,(B) II only,(C) II and III only,"(D) (E) I, II, and III",D,-5.71862268447876,-4.093630313873291,-0.58582603931427,-3.4686057567596436,C,False
A 1-kg object is released from rest at the top of a rough-surfaced incline. The object slides without rotating to the bottom of the incline. The object’s kinetic energy at the bottom must be,"(A) Equal to the block’s gravitational potential energy when it was released, because total mechanical energy must be conserved.","(B) Equal to the block’s gravitational potential energy when it was released, because the gain in kinetic energy compensates for the mechanical energy lost to thermal energy on the rough incline.","(C) Less than the block’s gravitational potential energy when it was released, because the gravitational potential energy was converted both to thermal energy and to kinetic energy.","(D) Less than the block’s gravitational potential energy when it was released, because the work done by the friction force must be greater than the block’s gain in kinetic energy.",C,-0.6522759199142456,-1.1562060117721558,-1.9061859846115112,-5.03115701675415,A,False
"A student is experimenting with a simple spring-block oscillator of spring constant k and amplitude A. The block attached to the spring has a mass of m. If the student places a small block of mass m on top of the original block, which of the following is true?","(A) The small block is most likely to slide off when the original block is at maximum displacement from the equilibrium position, but will not slide off as long as the coefficient of static friction between the blocks is greater than kA/[(M+m)g].","(B) The small block is most likely to slide off when the original block is at the equilibrium position, but will not slide off as long as the coefficient of static friction between the blocks is greater than kA/[(M+m)g].","(C) The small block is most likely to slide off when the original block is at maximum displacement from the equilibrium position, but will not slide off as long as the coefficient of static friction between the blocks is greater than (M+m)g/(kA).","(D) The small block is most likely to slide off when the original block is at the equilibrium position, but will not slide off as long as the coefficient of static friction between the blocks is greater than (M+m)g/(kA).",A,-3.374933958053589,-1.9999417066574097,-0.2538156509399414,-3.8748977184295654,C,False
How much work is required to charge a 10 µF capacitor to a potential difference of 100 V ?,(A) 0.005 J,(B) 0.01 J,(C) 0.05 J,(D) 0.1 J,C,-2.2187111377716064,-0.3456888198852539,-1.7187249660491943,-5.343733787536621,B,False
"A box of mass m slides on a horizontal surface with initial speed v0. It feels no forces other than gravity and the force from the surface. If the coefficient of kinetic friction between the box and the surface is μ, how far does the box slide before coming to rest?",(A) v0^2/(2μg),(B) v0^2/(μg),(C) 2v0^2/(μg),(D) mv0^2/(μg),A,-1.890610933303833,-1.6406099796295166,-3.390601873397827,-0.5116597414016724,D,False
"A soccer ball, at rest on the ground, is kicked with an initial velocity of 10 m/s at a launch angle of 30°. Calculate its total flight time, assuming that air resistance is negligible.",(A) 0.5 s,(B) 1 s,(C) 2 s,(D) 4 s,B,-2.5468575954437256,-0.29686439037323,-1.921858549118042,-3.54685640335083,B,True
Two identical containers are filled with different gases. Container 1 is filled with hydrogen and container 2 is filled with nitrogen. Each container is set on a lab table and allowed to come to thermal equilibrium with the room. Which of the following correctly compares the properties of the two gases?,(A) The average kinetic energy of the hydrogen gas is greater than the nitrogen gas.,(B) The average force exerted on the container by the hydrogen gas is greater than the nitrogen gas.,(C) The density of the hydrogen gas is less than the nitrogen gas.,(D) The pressures of the gases cannot be compared without knowing the number of molecules in each container.,D,-2.2186226844787598,-2.0936508178710938,-0.3377472162246704,-3.093444585800171,C,False
"A girl of mass m and a boy of mass 2m are sitting on opposite sides of a see-saw with its fulcrum in the center. Right now, the boy and girl are equally far from the fulcrum, and it tilts in favor of the boy. Which of the following would NOT be a possible method to balance the see-saw?",(A) Move the boy to half his original distance from the fulcrum.,(B) Move the girl to double her original distance from the fulcrum.,(C) Allow a second girl of mass m to join the first.,(D) Move the fulcrum to half its original distance from the boy.,D,-0.6795397996902466,-2.562119960784912,-1.6793937683105469,-1.5537830591201782,A,False
