property,prefix,Context,Question,Correct Answer,negative_sample_type,eval_split_ratio,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,calib_yes_mean,calib_no_mean,raw_predicted_answer,raw_is_correct,kfold_predicted_answer,kfold_is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,20.0,0,-4.612490653991699,-5.55074405670166,0.20212559614862702,0.06939452006703295,-4.814616250140326,-5.620138576768693,Yes,True,True,True
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,20.0,3,-4.489618301391602,-5.740243911743164,0.3182933817307152,-0.10988189705780549,-4.807911683122317,-5.630362014685359,Yes,True,True,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,20.0,2,-4.4626336097717285,-3.4170336723327637,0.34165563271159183,2.2148910685664127,-4.80428924248332,-5.631924740899176,No,True,False,True
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,20.0,1,-4.960903167724609,-3.884216070175171,-0.1592282902626767,1.7281728034927735,-4.801674877461933,-5.612388873667944,No,True,False,True
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,20.0,4,-5.148403167724609,-4.3376336097717285,-0.3408868583894913,1.3089853499616897,-4.807516309335118,-5.646618959733418,No,True,False,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,20.0,3,-6.229458332061768,-6.851754665374756,-1.4215466489394508,-1.2213926506893973,-4.807911683122317,-5.630362014685359,Yes,False,False,True
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,20.0,0,-5.295440196990967,-3.715362310409546,-0.48082394685064056,1.9047762663591472,-4.814616250140326,-5.620138576768693,No,False,False,False
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,20.0,3,-4.359930038452148,-5.362490653991699,0.4479816446701683,0.26787136069365935,-4.807911683122317,-5.630362014685359,Yes,False,True,False
can affect urine,hair,'',Can hair affect urine?,No,random,20.0,0,-6.290647506713867,-7.5431904792785645,-1.476031256573541,-1.9230519025098713,-4.814616250140326,-5.620138576768693,Yes,False,True,False
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,20.0,0,-3.8404715061187744,-5.965856075286865,0.9741447440215518,-0.34571749851817213,-4.814616250140326,-5.620138576768693,Yes,False,True,False
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,20.0,1,-4.673336505889893,-6.17574405670166,0.1283383715720401,-0.5633551830337158,-4.801674877461933,-5.612388873667944,Yes,False,True,False
can bark,an arrow,'',Can an arrow bark?,No,random,20.0,4,-3.744429588317871,-4.057582378387451,1.063086721017247,1.589036581345967,-4.807516309335118,-5.646618959733418,Yes,False,False,True
can be a distraction,a television,'',Can a television be a distraction?,Yes,random,20.0,0,-3.4959216117858887,-6.49537992477417,1.3186946383544376,-0.8752413480054768,-4.814616250140326,-5.620138576768693,Yes,True,True,True
can be a distraction,cider,'',Can cider be a distraction?,No,random,20.0,3,-3.949897289276123,-6.215669631958008,0.8580143938461937,-0.5853076172726492,-4.807911683122317,-5.630362014685359,Yes,False,True,False
can be a source of entertainment,a guitar,'',Can a guitar be a source of entertainment?,Yes,random,20.0,3,-3.1656627655029297,-5.901483535766602,1.642248917619387,-0.271121521081243,-4.807911683122317,-5.630362014685359,Yes,True,True,True
