property,prefix,Context,Question,Correct Answer,negative_sample_type,eval_split_ratio,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,calib_yes_mean,calib_no_mean,raw_predicted_answer,raw_is_correct,kfold_predicted_answer,kfold_is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,20.0,0,-6.271185874938965,-7.142519474029541,0.607252053845496,-1.0750446521810124,-6.878437928784461,-6.067474821848529,Yes,True,True,True
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,20.0,3,-6.964542388916016,-9.240243911743164,-0.0975760184583212,-3.1668046544705115,-6.866966370457694,-6.0734392572726525,Yes,True,True,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,20.0,2,-8.240832328796387,-5.241385459899902,-1.396436243397849,0.8402665118376413,-6.844396085398538,-6.081651971737544,No,True,False,True
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,20.0,1,-8.804405212402344,-4.021792888641357,-1.9247420682793575,2.035671113005706,-6.879663144122986,-6.057464001647063,No,True,False,True
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,20.0,4,-8.429405212402344,-3.550743818283081,-1.5444527113721485,2.5358612959583597,-6.884952501030195,-6.086605114241441,No,True,False,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,20.0,3,-6.589271545410156,-7.2126336097717285,0.2776948250475382,-1.139194352499076,-6.866966370457694,-6.0734392572726525,Yes,False,True,False
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,20.0,0,-8.356849670410156,-5.327210903167725,-1.4784117416256954,0.740263918680804,-6.878437928784461,-6.067474821848529,No,False,False,False
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,20.0,3,-7.707353591918945,-7.330019474029541,-0.8403872214612509,-1.2565802167568885,-6.866966370457694,-6.0734392572726525,No,True,True,False
can affect urine,hair,'',Can hair affect urine?,No,random,20.0,0,-6.246617794036865,-8.120658874511719,0.6318201347475956,-2.05318405266319,-6.878437928784461,-6.067474821848529,Yes,False,True,False
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,20.0,0,-8.178332328796387,-6.614618301391602,-1.299894400011926,-0.547143479543073,-6.878437928784461,-6.067474821848529,No,True,False,True
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,20.0,1,-6.05951452255249,-5.7440714836120605,0.8201486215704961,0.3133925180350028,-6.879663144122986,-6.057464001647063,No,True,True,False
can bark,an arrow,'',Can an arrow bark?,No,random,20.0,4,-6.5565714836120605,-5.053885459899902,0.32838101741813475,1.0327196543415385,-6.884952501030195,-6.086605114241441,No,True,False,True
can be a distraction,a television,'',Can a television be a distraction?,Yes,random,20.0,0,-5.369429588317871,-8.92574405670166,1.5090083404665897,-2.8582692348531316,-6.878437928784461,-6.067474821848529,Yes,True,True,True
can be a distraction,cider,'',Can cider be a distraction?,No,random,20.0,3,-4.30866813659668,-6.929893970489502,2.5582982338610147,-0.8564547132168494,-6.866966370457694,-6.0734392572726525,Yes,False,True,False
can be a source of entertainment,a guitar,'',Can a guitar be a source of entertainment?,Yes,random,20.0,3,-5.995921611785889,-10.116385459899902,0.8710447586718058,-4.04294620262725,-6.866966370457694,-6.0734392572726525,Yes,True,True,True
