question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
The purposes for which the information is used is in the public's interest.,"(A) 1,2","(B) 1,3","(C) 2,3","(D) 1,2,3",A,C,False,20.0,0,-7.998497486114502,-5.530309677124023,-5.02970027923584,-6.02970027923584,-2.3808215171098706,-0.4059630811214445,1.3140496750672659,-0.047693849603335,-5.617675969004631,-5.124346596002579,-6.343749954303106,-5.982006429632505,C,C,False,False
"_____ is a key driving force shaping the current and future state of business ethics, in particular regarding _____, ______ and _____ related issues.","(A) Globalisation, Cultural, Legal, Accountability","(B) Nationalisation, Cultural, Environmental, Accountability","(C) Privatisation, Cultural, Legal, Accountability","(D) Globalisation, Technological, Financial, Accountability",A,A,True,20.0,0,-5.123071193695068,-8.122815132141113,-9.369071006774902,-5.123071193695068,0.49460477530956304,-2.9984685361385344,-3.0253210524717966,0.8589352359374365,-5.617675969004631,-5.124346596002579,-6.343749954303106,-5.982006429632505,A,D,True,False
"________ reasoning is considered by many to be prevalent within society and particularly within businesses, where it is often referred to in the form of a ___________.","(A) Consequentialist, Cost-benefit analysis","(B) Rationalised, Annual audit","(C) Consequentialist, Annual audit","(D) Rationalised, Cost-benefit analysis",A,B,False,20.0,0,-4.1863298416137695,-3.7019362449645996,-5.684322357177734,-5.186588764190674,1.4313461273908619,1.4224103510379793,0.6594275971253714,0.795417665441831,-5.617675969004631,-5.124346596002579,-6.343749954303106,-5.982006429632505,B,A,False,True
"Managers are entrusted to run the company in the best interest of ________. Specifically, they have a duty to act for the benefit of the company, as well as a duty of ________ and of _______.","(A) Shareholders, Care and Skill, Diligence","(B) Stakeholder, Care and Skill, Diligence","(C) Shareholders, Self-interest, Diligence","(D) Stakeholders, Care and skill, Self-interest",A,B,False,20.0,0,-5.060571193695068,-3.5444376468658447,-10.055784225463867,-9.305784225463867,0.557104775309563,1.5799089491367342,-3.7120342711607615,-3.3237777958313623,-5.617675969004631,-5.124346596002579,-6.343749954303106,-5.982006429632505,B,B,False,False
"There are a number of means by which can influence _______. These include _________to decision maker, varying from very direct modes to indirect modes, _________, being either public or private and ________ of communication.","(A) Government, Avenue of approach, Breadth of transmission, Content","(B) Consumers, Avenue of approach, Height of transmission, Content","(C) Government, Breath of transmission, Avenue of approach, Content","(D) Employees, Breadth of transmission, Content, Avenue of approach",A,A,True,20.0,0,-3.6209216117858887,-4.620921611785889,-5.613952159881592,-4.122524261474609,1.9967543572187427,0.5034249842166902,0.7297977944215139,1.8594821681578955,-5.617675969004631,-5.124346596002579,-6.343749954303106,-5.982006429632505,A,A,True,True
" Although the benefit and contribution of civil society in encouraging sustainability, lobbying on important issues and helping the needy are taken for granted in many places, in many other countries, such as _____ and ______ civil society is far less developed than in, for instance, _______.","(A) Russia, China, Britain","(B) Norway, China, Russia","(C) Britain, United States, Australia","(D) Canada, Russia, United States",A,B,False,20.0,1,-4.870921611785889,-3.3864824771881104,-4.370921611785889,-4.870921611785889,0.6268642077843349,1.3435704946517948,1.7947446048259739,0.8541041225194927,-5.497785819570224,-4.730052971839905,-6.1656662166118625,-5.725025734305381,B,C,False,False
"According to Evan and Freeman (1993), the Principle of ________ and the Principle of _______ can be used in a specific situation to determine who constitutes a _______.","(A) Corporate rights, Corporate effect, Stakeholder","(B) Corporate deniability, Corporate effect, Stakeholder","(C) Corporate rights, Corporate responsibility, Stakeholder","(D) Corporate rights, Corporate effect, Shareholder",A,C,False,20.0,1,-6.093179702758789,-6.092809677124023,-3.0928096771240234,-7.093179702758789,-0.5953938831885655,-1.3627567052841183,3.072856539487839,-1.3681539684534076,-5.497785819570224,-4.730052971839905,-6.1656662166118625,-5.725025734305381,C,C,False,False
"What are, according to Wood (1991), the three outcomes of CSR?","(A) Social policies, Social programmes and Social impacts","(B) Social evaluations, Social programmes and Social impacts","(C) Social policies, Social evidencing and Social impacts","(D) Social policies, Social programmes and Social analysis",A,B,False,20.0,1,-6.028850555419922,-5.028850555419922,-6.028850555419922,-5.278169631958008,-0.5310647358496983,-0.29879758358001673,0.13681566119194066,0.4468561023473736,-5.497785819570224,-4.730052971839905,-6.1656662166118625,-5.725025734305381,B,D,False,False
"Affirmative action involves ________ attempts to target ______ who are _________ within an organisation's workforce, for instance by trying to ______ the proportion of women, disabled or racial minorities in senior management positions.","(A) Proactive, Groups, Under-represented, Increase","(B) Passive, Groups, Under-represented, Retain","(C) Proactive, Individuals, Represented, Increase","(D) Passive, Individuals, Represented, Retain",A,A,True,20.0,1,-3.0619471073150635,-7.060024261474609,-8.06002426147461,-9.56002426147461,2.43583871225516,-2.3299712896347042,-1.8943580448627468,-3.834998527169228,-5.497785819570224,-4.730052971839905,-6.1656662166118625,-5.725025734305381,A,A,True,True
What does Milton Friedman believe to be the sole responsibility of business?,(A) The only social responsibility of business is to its shareholders,(B) Managers should act in ways that balance the interest of society and shareholders,(C) The primary responsibility organizations have is to its employees,(D) The primary responsibility organizations have is to its stakeholders,A,A,True,20.0,1,-3.0459775924682617,-9.310571670532227,-11.806929588317871,-10.558158874511719,2.451808227101962,-4.580518698692321,-5.6412633717060086,-4.833133140206337,-5.497785819570224,-4.730052971839905,-6.1656662166118625,-5.725025734305381,A,A,True,True
