property,prefix,Context,Question,Correct Answer,negative_sample_type,raw_yes_logprob,raw_no_logprob,base_yes_logprob,base_no_logprob,adjusted_yes_logprob,adjusted_no_logprob,predicted_answer,is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,-0.0002859830856323242,-8.437499046325684,-12.00532054901123,-12.036286354064941,12.005034565925598,3.598787307739258,Yes,True
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,-0.00013911724090576172,-10.062499046325684,-12.00532054901123,-12.036286354064941,12.005181431770325,1.9737873077392578,Yes,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,-8.37491512298584,-0.0005096197710372508,-12.00532054901123,-12.036286354064941,3.6304054260253906,12.035776734293904,No,True
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,-12.624983787536621,-1.9431116015766747e-05,-12.00532054901123,-12.036286354064941,-0.6196632385253906,12.036266922948926,No,True
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,-16.624984741210938,-2.0503997802734375e-05,-12.00532054901123,-12.036286354064941,-4.619664192199707,12.036265850067139,No,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,-7.9374895095825195,-0.0003870725631713867,-12.00532054901123,-12.036286354064941,4.067831039428711,12.03589928150177,No,True
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,-2.187481164932251,-0.1318284273147583,-12.00532054901123,-12.036286354064941,9.81783938407898,11.904457926750183,No,False
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,-6.374990940093994,-0.0017224550247192383,-12.00532054901123,-12.036286354064941,5.630329608917236,12.034563899040222,No,True
can affect urine,hair,'',Can hair affect urine?,No,random,-5.624998092651367,-0.003615736961364746,-12.00532054901123,-12.036286354064941,6.380322456359863,12.032670617103577,No,True
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,-14.124959945678711,-1.1563308362383395e-05,-12.00532054901123,-12.036286354064941,-2.1196393966674805,12.036274790756579,No,True
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,-10.374995231628418,-4.971027374267578e-05,-12.00532054901123,-12.036286354064941,1.6303253173828125,12.036236643791199,No,True
can bark,an arrow,'',Can an arrow bark?,No,random,-13.937445640563965,-1.6331683582393453e-05,-12.00532054901123,-12.036286354064941,-1.9321250915527344,12.036270022381359,No,True
can be a distraction,a television,'',Can a television be a distraction?,Yes,random,-0.00012254714965820312,-9.249998092651367,-12.00532054901123,-12.036286354064941,12.005198001861572,2.786288261413574,Yes,True
can be a distraction,cider,'',Can cider be a distraction?,No,random,-0.011898040771484375,-4.437497138977051,-12.00532054901123,-12.036286354064941,11.993422508239746,7.598789215087891,Yes,False
can be a source of entertainment,a guitar,'',Can a guitar be a source of entertainment?,Yes,random,-0.000156402587890625,-9.624999046325684,-12.00532054901123,-12.036286354064941,12.00516414642334,2.411287307739258,Yes,True
can be a source of entertainment,an armor,'',Can an armor be a source of entertainment?,No,random,-0.0458906888961792,-3.1093709468841553,-12.00532054901123,-12.036286354064941,11.959429860115051,8.926915407180786,Yes,False
can be acoustic,a limousine,'',Can a limousine be acoustic?,No,random,-11.68748664855957,-2.1815301806782372e-05,-12.00532054901123,-12.036286354064941,0.31783390045166016,12.036264538763135,No,True
can be added to a hot drink,a rollerskate,'',Can a rollerskate be added to a hot drink?,No,random,-13.437484741210938,-9.059907824848779e-06,-12.00532054901123,-12.036286354064941,-1.432164192199707,12.036277294157117,No,True
can be added to alcoholic drinks,a buffalo,'',Can a buffalo be added to alcoholic drinks?,No,random,-1.9609308242797852,-0.15136396884918213,-12.00532054901123,-12.036286354064941,10.044389724731445,11.88492238521576,No,True
can be added to cake,cabbage,'',Can cabbage be added to cake?,No,random,-8.937495231628418,-0.00014698505401611328,-12.00532054901123,-12.036286354064941,3.0678253173828125,12.036139369010925,No,True
can be added to cereal,cabbage,'',Can cabbage be added to cereal?,No,random,-8.124991416931152,-0.0003396272659301758,-12.00532054901123,-12.036286354064941,3.880329132080078,12.035946726799011,No,True
can be airborne,chocolate,'',Can chocolate be airborne?,No,random,-12.124983787536621,-9.775163562153466e-06,-12.00532054901123,-12.036286354064941,-0.11966323852539062,12.03627657890138,No,True
can be attached to a DVD player,a caterpillar,'',Can a caterpillar be attached to a dvd player?,No,random,-11.999968528747559,-3.802777064265683e-05,-12.00532054901123,-12.036286354064941,0.005352020263671875,12.036248326294299,No,True
can be attached to a car,an ear,'',Can an ear be attached to a car?,No,random,-11.499979019165039,-2.3484233679482713e-05,-12.00532054901123,-12.036286354064941,0.5053415298461914,12.036262869831262,No,True
can be attached to a tractor,hair,'',Can hair be attached to a tractor?,No,random,-8.999979019165039,-0.00014340877532958984,-12.00532054901123,-12.036286354064941,3.0053415298461914,12.036142945289612,No,True
can be attached to a tree,a swing,'',Can a swing be attached to a tree?,Yes,random,-0.0001627206802368164,-9.437499046325684,-12.00532054901123,-12.036286354064941,12.005157828330994,2.598787307739258,Yes,True
can be attached to an oven,a stove,'',Can a stove be attached to an oven?,Yes,random,-0.7577975988388062,-0.6328070163726807,-12.00532054901123,-12.036286354064941,11.247522950172424,11.40347933769226,No,False
can be attached to bicycles,a toad,'',Can a toad be attached to bicycles?,No,random,-10.562484741210938,-5.209446317167021e-05,-12.00532054901123,-12.036286354064941,1.442835807800293,12.03623425960177,No,True
can be bad for the teeth,lemonade,'',Can lemonade be bad for the teeth?,Yes,random,-0.01262974739074707,-4.374998092651367,-12.00532054901123,-12.036286354064941,11.992690801620483,7.661288261413574,Yes,True
can be baked,a bean,'',Can a bean be baked?,Yes,random,-4.031240463256836,-0.018186330795288086,-12.00532054901123,-12.036286354064941,7.9740800857543945,12.018100023269653,No,False
can be baked,broccoli,'',Can broccoli be baked?,No,random,-0.011105656623840332,-4.499999046325684,-12.00532054901123,-12.036286354064941,11.99421489238739,7.536287307739258,Yes,False
can be bald,an owl,'',Can an owl be bald?,No,random,-14.062487602233887,-1.1920929864572827e-05,-12.00532054901123,-12.036286354064941,-2.0571670532226562,12.036274433135077,No,True
can be banned in a drought,a boomerang,'',Can a boomerang be banned in a drought?,No,random,-4.906238079071045,-0.007471680641174316,-12.00532054901123,-12.036286354064941,7.0990824699401855,12.028814673423767,No,True
can be bass,a guitar,'',Can a guitar be bass?,Yes,random,-4.8124918937683105,-0.008115887641906738,-12.00532054901123,-12.036286354064941,7.19282865524292,12.028170466423035,No,False
can be bent,a leg,'',Can a leg be bent?,Yes,random,-0.00035572052001953125,-8.749999046325684,-12.00532054901123,-12.036286354064941,12.004964828491211,3.286287307739258,Yes,True
can be bent,an owl,'',Can an owl be bent?,No,random,-11.624985694885254,-1.668930235609878e-05,-12.00532054901123,-12.036286354064941,0.38033485412597656,12.036269664762585,No,True
can be bitter in taste,cider,'',Can cider be bitter in taste?,Yes,random,-0.0004895925521850586,-7.781248569488525,-12.00532054901123,-12.036286354064941,12.004830956459045,4.255037784576416,Yes,True
can be blonde,hair,'',Can hair be blonde?,Yes,random,-0.00011193753016414121,-11.312498092651367,-12.00532054901123,-12.036286354064941,12.005208611481066,0.7237882614135742,Yes,True
can be blonde,an ambulance,'',Can an ambulance be blonde?,No,random,-12.43746280670166,-2.0027177015435882e-05,-12.00532054901123,-12.036286354064941,-0.4321422576904297,12.036266326887926,No,True
can be blunt,a bayonet,'',Can a bayonet be blunt?,Yes,random,-6.593746185302734,-0.001380324363708496,-12.00532054901123,-12.036286354064941,5.411574363708496,12.034906029701233,No,False
can be broken,a sweater,'',Can a sweater be broken?,No,random,-0.04052269458770752,-3.234372854232788,-12.00532054901123,-12.036286354064941,11.964797854423523,8.801913499832153,Yes,False
can be button shaped,mushroom,'',Can mushroom be button shaped?,Yes,random,-0.12009584903717041,-2.187486171722412,-12.00532054901123,-12.036286354064941,11.88522469997406,9.84880018234253,Yes,True
can be carbonated,lemonade,'',Can lemonade be carbonated?,Yes,random,-2.015620231628418,-0.14257705211639404,-12.00532054901123,-12.036286354064941,9.989700317382812,11.893709301948547,No,False
can be claustrophobic,a squirrel,'',Can a squirrel be claustrophobic?,No,random,-7.124972343444824,-0.0036803483963012695,-12.00532054901123,-12.036286354064941,4.880348205566406,12.03260600566864,No,True
can be coated with flavor,a donut,'',Can a donut be coated with flavor?,Yes,random,-0.0027709007263183594,-5.968746662139893,-12.00532054901123,-12.036286354064941,12.002549648284912,6.067539691925049,Yes,True
can be cold,a plow,'',Can a plow be cold?,No,random,-3.343740940093994,-0.03637409210205078,-12.00532054901123,-12.036286354064941,8.661579608917236,11.99991226196289,No,True
can be cooked,cheese,'',Can cheese be cooked?,Yes,random,-0.21288764476776123,-1.6484366655349731,-12.00532054901123,-12.036286354064941,11.79243290424347,10.387849688529968,Yes,True
can be covered,butter,'',Can butter be covered?,No,random,-0.02489602565765381,-3.718748092651367,-12.00532054901123,-12.036286354064941,11.980424523353577,8.317538261413574,Yes,False
can be covered in chocolate,a seagull,'',Can a seagull be covered in chocolate?,No,random,-13.062474250793457,-3.2186511816689745e-05,-12.00532054901123,-12.036286354064941,-1.0571537017822266,12.036254167553125,No,True
can be covered in lip gloss,a lip,'',Can a lip be covered in lip gloss?,Yes,random,-0.0012590885162353516,-7.781246662139893,-12.00532054901123,-12.036286354064941,12.004061460494995,4.255039691925049,Yes,True
can be covered in lip gloss,a harpsichord,'',Can a harpsichord be covered in lip gloss?,No,random,-12.24997615814209,-3.6001209082314745e-05,-12.00532054901123,-12.036286354064941,-0.24465560913085938,12.036250352855859,No,True
can be crumbly,a bagpipe,'',Can a bagpipe be crumbly?,No,random,-11.062477111816406,-2.8371816370054148e-05,-12.00532054901123,-12.036286354064941,0.9428434371948242,12.036257982248571,No,True
can be crushed,garlic,'',Can garlic be crushed?,Yes,random,-0.0006542205810546875,-7.406248569488525,-12.00532054901123,-12.036286354064941,12.004666328430176,4.630037784576416,Yes,True
can be crushed,a bikini,'',Can a bikini be crushed?,No,random,-0.100577712059021,-2.34374737739563,-12.00532054901123,-12.036286354064941,11.90474283695221,9.692538976669312,Yes,False
can be curly,hair,'',Can hair be curly?,Yes,random,-0.00010073185694636777,-10.749998092651367,-12.00532054901123,-12.036286354064941,12.005219817154284,1.2862882614135742,Yes,True
can be cut into slices,mango,'',Can mango be cut into slices?,Yes,random,-0.00016355514526367188,-9.312499046325684,-12.00532054901123,-12.036286354064941,12.005156993865967,2.723787307739258,Yes,True
can be cut into slices,a spider,'',Can a spider be cut into slices?,No,random,-9.812479972839355,-6.532669794978574e-05,-12.00532054901123,-12.036286354064941,2.192840576171875,12.036221027366992,No,True
can be dangerous,a centipede,'',Can a centipede be dangerous?,No,random,-0.004572868347167969,-5.499997615814209,-12.00532054901123,-12.036286354064941,12.000747680664062,6.536288738250732,Yes,False
can be decaffeinated,a trombone,'',Can a trombone be decaffeinated?,No,random,-9.31246280670166,-0.00020313264394644648,-12.00532054901123,-12.036286354064941,2.6928577423095703,12.036083221420995,No,True
can be decorative,a corkscrew,'',Can a corkscrew be decorative?,No,random,-0.0622401237487793,-2.8124921321868896,-12.00532054901123,-12.036286354064941,11.943080425262451,9.223794221878052,Yes,False
can be deflated,a balloon,'',Can a balloon be deflated?,Yes,random,-0.00018227100372314453,-9.062499046325684,-12.00532054901123,-12.036286354064941,12.005138278007507,2.973787307739258,Yes,True
can be deflated,flour,'',Can flour be deflated?,No,random,-7.1874895095825195,-0.0007796287536621094,-12.00532054901123,-12.036286354064941,4.817831039428711,12.03550672531128,No,True
can be difficult to digest,corn,'',Can corn be difficult to digest?,Yes,random,-0.0673743486404419,-2.749995231628418,-12.00532054901123,-12.036286354064941,11.937946200370789,9.286291122436523,Yes,True
can be dressed up,a doll,'',Can a doll be dressed up?,Yes,random,-0.0001493692398071289,-10.312499046325684,-12.00532054901123,-12.036286354064941,12.005171179771423,1.7237873077392578,Yes,True
can be driven,a motorcycle,'',Can a motorcycle be driven?,Yes,random,-0.0002237558364868164,-8.624999046325684,-12.00532054901123,-12.036286354064941,12.005096793174744,3.411287307739258,Yes,True
can be driven,satsuma,'',Can satsuma be driven?,No,random,-12.562470436096191,-1.2993817108508665e-05,-12.00532054901123,-12.036286354064941,-0.5571498870849609,12.036273360247833,No,True
can be eaten cold,a date,'',Can a date be eaten cold?,Yes,random,-0.021847248077392578,-3.8281235694885254,-12.00532054901123,-12.036286354064941,11.983473300933838,8.208162784576416,Yes,True
can be eaten dried,an apricot,'',Can an apricot be eaten dried?,Yes,random,-0.00020802021026611328,-8.812499046325684,-12.00532054901123,-12.036286354064941,12.005112528800964,3.223787307739258,Yes,True
can be eaten raw,tomato,'',Can tomato be eaten raw?,Yes,random,-0.024775028228759766,-3.7187483310699463,-12.00532054901123,-12.036286354064941,11.98054552078247,8.317538022994995,Yes,True
can be eaten raw,a caravan,'',Can a caravan be eaten raw?,No,random,-14.062479972839355,-1.1324885235808324e-05,-12.00532054901123,-12.036286354064941,-2.057159423828125,12.036275029179706,No,True
can be eaten with chips,a deer,'',Can a deer be eaten with chips?,No,random,-10.812490463256836,-4.1484832763671875e-05,-12.00532054901123,-12.036286354064941,1.1928300857543945,12.036244869232178,No,True
can be emptied,a bolt,'',Can a bolt be emptied?,No,random,-3.7656188011169434,-0.02331387996673584,-12.00532054901123,-12.036286354064941,8.239701747894287,12.012972474098206,No,True
can be empty,a barrel,'',Can a barrel be empty?,Yes,random,-0.0003720521926879883,-7.999999523162842,-12.00532054901123,-12.036286354064941,12.004948496818542,4.0362868309021,Yes,True
can be environmentally friendly,a coach,'',Can a coach be environmentally friendly?,Yes,random,-0.0007376670837402344,-7.281247615814209,-12.00532054901123,-12.036286354064941,12.00458288192749,4.755038738250732,Yes,True
can be environmentally friendly,a trumpet,'',Can a trumpet be environmentally friendly?,No,random,-11.374993324279785,-1.3947487786936108e-05,-12.00532054901123,-12.036286354064941,0.6303272247314453,12.036272406577154,No,True
can be fair,a piano,'',Can a piano be fair?,No,random,-9.562451362609863,-0.0001622438576305285,-12.00532054901123,-12.036286354064941,2.442869186401367,12.03612411020731,No,True
can be fastened,a caravan,'',Can a caravan be fastened?,No,random,-0.0017124414443969727,-6.406247615814209,-12.00532054901123,-12.036286354064941,12.003608107566833,5.630038738250732,Yes,False
can be filled,a bathtub,'',Can a bathtub be filled?,Yes,random,-0.0041419267654418945,-5.593746662139893,-12.00532054901123,-12.036286354064941,12.001178622245789,6.442539691925049,Yes,True
can be filled with custard,cucumber,'',Can cucumber be filled with custard?,No,random,-7.8124823570251465,-0.00042641162872314453,-12.00532054901123,-12.036286354064941,4.192838191986084,12.035859942436218,No,True
can be filled with helium,a lorry,'',Can a lorry be filled with helium?,No,random,-14.74998950958252,-4.64916274722782e-06,-12.00532054901123,-12.036286354064941,-2.744668960571289,12.036281704902194,No,True
can be filled with jam,a donut,'',Can a donut be filled with jam?,Yes,random,-0.005854606628417969,-5.156248092651367,-12.00532054901123,-12.036286354064941,11.999465942382812,6.880038261413574,Yes,True
