property,prefix,Context,Question,Correct Answer,negative_sample_type,raw_yes_logprob,raw_no_logprob,base_yes_logprob,base_no_logprob,adjusted_yes_logprob,adjusted_no_logprob,predicted_answer,is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,-0.03425981104373932,-3.515453815460205,-8.687457084655762,-7.1562347412109375,8.653197273612022,3.6407809257507324,Yes,True
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,-0.08331276476383209,-2.6717286109924316,-8.687457084655762,-7.1562347412109375,8.60414431989193,4.484506130218506,Yes,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,-1.9763637781143188,-0.16885673999786377,-8.687457084655762,-7.1562347412109375,6.711093306541443,6.987378001213074,No,True
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,-3.687269449234009,-0.029435640200972557,-8.687457084655762,-7.1562347412109375,5.000187635421753,7.126799101009965,No,True
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,-4.812254428863525,-0.01264608558267355,-8.687457084655762,-7.1562347412109375,3.8752026557922363,7.143588655628264,No,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,-1.3903424739837646,-0.3201425075531006,-8.687457084655762,-7.1562347412109375,7.297114610671997,6.836092233657837,Yes,False
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,-2.280963182449341,-0.12486863881349564,-8.687457084655762,-7.1562347412109375,6.406493902206421,7.031366102397442,No,False
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,-1.1793748140335083,-0.3787020742893219,-8.687457084655762,-7.1562347412109375,7.508082270622253,6.777532666921616,Yes,False
can affect urine,hair,'',Can hair affect urine?,No,random,-1.4607418775558472,-0.28504347801208496,-8.687457084655762,-7.1562347412109375,7.2267152070999146,6.8711912631988525,Yes,False
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,-3.3122386932373047,-0.04480791836977005,-8.687457084655762,-7.1562347412109375,5.375218391418457,7.1114268228411674,No,True
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,-2.171686887741089,-0.12879693508148193,-8.687457084655762,-7.1562347412109375,6.515770196914673,7.027437806129456,No,True
can bark,an arrow,'',Can an arrow bark?,No,random,-4.624664783477783,-0.014225608669221401,-8.687457084655762,-7.1562347412109375,4.0627923011779785,7.142009132541716,No,True
can be a distraction,a television,'',Can a television be a distraction?,Yes,random,-0.04941357299685478,-3.6092090606689453,-8.687457084655762,-7.1562347412109375,8.638043511658907,3.547025680541992,Yes,True
can be a distraction,cider,'',Can cider be a distraction?,No,random,-0.757652759552002,-0.7225567102432251,-8.687457084655762,-7.1562347412109375,7.92980432510376,6.433678030967712,Yes,False
can be a source of entertainment,a guitar,'',Can a guitar be a source of entertainment?,Yes,random,-0.033537399023771286,-3.7811057567596436,-8.687457084655762,-7.1562347412109375,8.65391968563199,3.375128984451294,Yes,True
can be a source of entertainment,an armor,'',Can an armor be a source of entertainment?,No,random,-1.1013373136520386,-0.44520270824432373,-8.687457084655762,-7.1562347412109375,7.586119771003723,6.711032032966614,Yes,False
can be acoustic,a limousine,'',Can a limousine be acoustic?,No,random,-2.9373512268066406,-0.06341040134429932,-8.687457084655762,-7.1562347412109375,5.750105857849121,7.092824339866638,No,True
can be added to a hot drink,a rollerskate,'',Can a rollerskate be added to a hot drink?,No,random,-2.984064817428589,-0.06577766686677933,-8.687457084655762,-7.1562347412109375,5.703392267227173,7.090457074344158,No,True
can be added to alcoholic drinks,a buffalo,'',Can a buffalo be added to alcoholic drinks?,No,random,-1.4372833967208862,-0.2967609167098999,-8.687457084655762,-7.1562347412109375,7.2501736879348755,6.859473824501038,Yes,False
can be added to cake,cabbage,'',Can cabbage be added to cake?,No,random,-1.2731528282165527,-0.3514077663421631,-8.687457084655762,-7.1562347412109375,7.414304256439209,6.804826974868774,Yes,False
can be added to cereal,cabbage,'',Can cabbage be added to cereal?,No,random,-1.2576074600219727,-0.3690450191497803,-8.687457084655762,-7.1562347412109375,7.429849624633789,6.787189722061157,Yes,False
can be airborne,chocolate,'',Can chocolate be airborne?,No,random,-2.452784299850464,-0.0989760234951973,-8.687457084655762,-7.1562347412109375,6.234672784805298,7.05725871771574,No,True
can be attached to a DVD player,a caterpillar,'',Can a caterpillar be attached to a dvd player?,No,random,-2.249642848968506,-0.13458432257175446,-8.687457084655762,-7.1562347412109375,6.437814235687256,7.021650418639183,No,True
can be attached to a car,an ear,'',Can an ear be attached to a car?,No,random,-2.7965009212493896,-0.06868816912174225,-8.687457084655762,-7.1562347412109375,5.890956163406372,7.087546572089195,No,True
can be attached to a tractor,hair,'',Can hair be attached to a tractor?,No,random,-1.741958737373352,-0.20691299438476562,-8.687457084655762,-7.1562347412109375,6.94549834728241,6.949321746826172,No,True
can be attached to a tree,a swing,'',Can a swing be attached to a tree?,Yes,random,-0.03641011565923691,-3.6872966289520264,-8.687457084655762,-7.1562347412109375,8.651046968996525,3.468938112258911,Yes,True
can be attached to an oven,a stove,'',Can a stove be attached to an oven?,Yes,random,-0.42355385422706604,-1.1795092821121216,-8.687457084655762,-7.1562347412109375,8.263903230428696,5.976725459098816,Yes,True
can be attached to bicycles,a toad,'',Can a toad be attached to bicycles?,No,random,-2.2809805870056152,-0.11802519112825394,-8.687457084655762,-7.1562347412109375,6.4064764976501465,7.038209550082684,No,True
can be bad for the teeth,lemonade,'',Can lemonade be bad for the teeth?,Yes,random,-0.33763888478279114,-1.3513871431350708,-8.687457084655762,-7.1562347412109375,8.34981819987297,5.804847598075867,Yes,True
can be baked,a bean,'',Can a bean be baked?,Yes,random,-0.7692099213600159,-0.6404426097869873,-8.687457084655762,-7.1562347412109375,7.918247163295746,6.51579213142395,Yes,True
can be baked,broccoli,'',Can broccoli be baked?,No,random,-0.12022705376148224,-2.249704122543335,-8.687457084655762,-7.1562347412109375,8.56723003089428,4.9065306186676025,Yes,False
can be bald,an owl,'',Can an owl be bald?,No,random,-2.030963182449341,-0.147277370095253,-8.687457084655762,-7.1562347412109375,6.656493902206421,7.0089573711156845,No,True
can be banned in a drought,a boomerang,'',Can a boomerang be banned in a drought?,No,random,-1.0779308080673218,-0.4881514310836792,-8.687457084655762,-7.1562347412109375,7.60952627658844,6.668083310127258,Yes,False
can be bass,a guitar,'',Can a guitar be bass?,Yes,random,-1.6168546676635742,-0.23128975927829742,-8.687457084655762,-7.1562347412109375,7.0706024169921875,6.92494498193264,Yes,True
can be bent,a leg,'',Can a leg be bent?,Yes,random,-0.02548876963555813,-3.9684805870056152,-8.687457084655762,-7.1562347412109375,8.661968315020204,3.1877541542053223,Yes,True
can be bent,an owl,'',Can an owl be bent?,No,random,-2.4059805870056152,-0.10045779496431351,-8.687457084655762,-7.1562347412109375,6.2814764976501465,7.055776946246624,No,True
can be bitter in taste,cider,'',Can cider be bitter in taste?,Yes,random,-0.15397244691848755,-2.202875852584839,-8.687457084655762,-7.1562347412109375,8.533484637737274,4.953358888626099,Yes,True
can be blonde,hair,'',Can hair be blonde?,Yes,random,-0.02083412930369377,-4.218480587005615,-8.687457084655762,-7.1562347412109375,8.666622955352068,2.9377541542053223,Yes,True
can be blonde,an ambulance,'',Can an ambulance be blonde?,No,random,-2.0934040546417236,-0.15313555300235748,-8.687457084655762,-7.1562347412109375,6.594053030014038,7.00309918820858,No,True
can be blunt,a bayonet,'',Can a bayonet be blunt?,Yes,random,-1.2887547016143799,-0.3416435718536377,-8.687457084655762,-7.1562347412109375,7.398702383041382,6.8145911693573,Yes,True
