property,prefix,Context,Question,Correct Answer,negative_sample_type,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,bias_correction,predicted_answer,is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,0,-2.5146396160125732,-8.87489128112793,-2.62563626217168,-8.763894634968823,0.11099664615910676,Yes,True
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,0,-1.9908719062805176,-9.43722152709961,-2.1018685524396243,-9.326224880940503,0.11099664615910676,Yes,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,0,-10.810688018798828,-5.812331199645996,-10.921684664957935,-5.701334553486889,0.11099664615910676,No,True
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,0,-6.466993808746338,-2.3591747283935547,-6.577990454905445,-2.248178082234448,0.11099664615910676,No,True
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,0,-7.8723649978637695,-1.5698504447937012,-7.983361644022876,-1.4588537986345944,0.11099664615910676,No,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,0,-4.964796543121338,-1.593017578125,-5.075793189280445,-1.4820209319658932,0.11099664615910676,No,True
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,0,-6.249195575714111,-1.4842089414596558,-6.360192221873218,-1.373212295300549,0.11099664615910676,No,False
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,0,-4.55951452255249,-2.687011957168579,-4.670511168711597,-2.5760153110094723,0.11099664615910676,No,True
can affect urine,hair,'',Can hair affect urine?,No,random,0,-3.029493808746338,-4.655679702758789,-3.1404904549054447,-4.544683056599682,0.11099664615910676,Yes,False
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,0,-6.3098649978637695,-3.609161853790283,-6.420861644022876,-3.4981652076311764,0.11099664615910676,No,True
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,0,-9.37382984161377,-4.562445163726807,-9.484826487772876,-4.4514485175677,0.11099664615910676,No,True
can bark,an arrow,'',Can an arrow bark?,No,random,0,-4.561529636383057,-2.4373090267181396,-4.672526282542163,-2.326312380559033,0.11099664615910676,No,True
can be a distraction,a television,'',Can a television be a distraction?,Yes,random,0,-3.1836681365966797,-6.8117899894714355,-3.2946647827557864,-6.700793343312329,0.11099664615910676,Yes,True
can be a distraction,cider,'',Can cider be a distraction?,No,random,0,-2.1082229614257812,-6.843553066253662,-2.219219607584888,-6.732556420094555,0.11099664615910676,Yes,False
can be a source of entertainment,a guitar,'',Can a guitar be a source of entertainment?,Yes,random,0,-0.9277738928794861,-7.874664783477783,-1.0387705390385928,-7.763668137318676,0.11099664615910676,Yes,True
can be a source of entertainment,an armor,'',Can an armor be a source of entertainment?,No,random,0,-3.1240296363830566,-6.999569416046143,-3.2350262825421634,-6.888572769887036,0.11099664615910676,Yes,False
can be acoustic,a limousine,'',Can a limousine be acoustic?,No,random,0,-7.437119960784912,-6.249959945678711,-7.548116606944019,-6.138963299519604,0.11099664615910676,No,True
can be added to a hot drink,a rollerskate,'',Can a rollerskate be added to a hot drink?,No,random,0,-9.059514999389648,-0.976468563079834,-9.170511645548755,-0.8654719169207272,0.11099664615910676,No,True
can be added to alcoholic drinks,a buffalo,'',Can a buffalo be added to alcoholic drinks?,No,random,0,-6.114618301391602,-3.0771992206573486,-6.225614947550708,-2.966202574498242,0.11099664615910676,No,True
can be added to cake,cabbage,'',Can cabbage be added to cake?,No,random,0,-9.998967170715332,-5.999841690063477,-10.109963816874439,-5.88884504390437,0.11099664615910676,No,True
can be added to cereal,cabbage,'',Can cabbage be added to cereal?,No,random,0,-8.061400413513184,-7.09361457824707,-8.17239705967229,-6.9826179320879636,0.11099664615910676,No,True
can be airborne,chocolate,'',Can chocolate be airborne?,No,random,0,-5.499029636383057,-3.4370954036712646,-5.610026282542163,-3.326098757512158,0.11099664615910676,No,True
can be attached to a DVD player,a caterpillar,'',Can a caterpillar be attached to a dvd player?,No,random,0,-8.747946739196777,-1.5467915534973145,-8.858943385355884,-1.4357949073382077,0.11099664615910676,No,True
can be attached to a car,an ear,'',Can an ear be attached to a car?,No,random,0,-6.592684268951416,-1.4686508178710938,-6.703680915110523,-1.357654171711987,0.11099664615910676,No,True
can be attached to a tractor,hair,'',Can hair be attached to a tractor?,No,random,0,-9.186980247497559,-0.17770147323608398,-9.297976893656665,-0.06670482707697722,0.11099664615910676,No,True
can be attached to a tree,a swing,'',Can a swing be attached to a tree?,Yes,random,0,-1.0066331624984741,-8.562309265136719,-1.1176298086575809,-8.451312618977612,0.11099664615910676,Yes,True
can be attached to an oven,a stove,'',Can a stove be attached to an oven?,Yes,random,0,-0.8878635168075562,-6.218462944030762,-0.9988601629666629,-6.107466297871655,0.11099664615910676,Yes,True
can be attached to bicycles,a toad,'',Can a toad be attached to bicycles?,No,random,0,-3.543935775756836,-4.031064987182617,-3.6549324219159427,-3.9200683410235104,0.11099664615910676,Yes,False
