property,prefix,Context,Question,Correct Answer,negative_sample_type,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,bias_correction,predicted_answer,is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,0,-3.1761035919189453,-5.241905212402344,-3.477984806354202,-4.940023997967087,0.3018812144352565,Yes,True
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,0,-5.091196060180664,-7.343017578125,-5.393077274615921,-7.041136363689743,0.3018812144352565,Yes,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,0,-7.591993808746338,-5.592749118804932,-7.893875023181595,-5.290867904369675,0.3018812144352565,No,True
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,0,-3.213676929473877,-4.779131889343262,-3.5155581439091335,-4.477250674908005,0.3018812144352565,Yes,False
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,0,-6.779493808746338,-2.795792579650879,-7.081375023181595,-2.4939113652156224,0.3018812144352565,No,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,0,-2.8682847023010254,-4.12037992477417,-3.170165916736282,-3.8184987103389134,0.3018812144352565,Yes,False
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,0,-4.0279717445373535,-4.404131889343262,-4.3298529589726105,-4.102250674908005,0.3018812144352565,No,False
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,0,-4.527296543121338,-4.403995513916016,-4.829177757556595,-4.102114299480759,0.3018812144352565,No,True
can affect urine,hair,'',Can hair affect urine?,No,random,0,-2.231147289276123,-3.2945852279663086,-2.5330285037113796,-2.992704013531052,0.3018812144352565,Yes,False
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,0,-3.9354472160339355,-3.123188018798828,-4.2373284304691925,-2.8213068043635716,0.3018812144352565,No,True
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,0,-3.7945852279663086,-4.686173915863037,-4.0964664424015655,-4.38429270142778,0.3018812144352565,Yes,False
can bark,an arrow,'',Can an arrow bark?,No,random,0,-3.2767715454101562,-1.4638326168060303,-3.5786527598454128,-1.1619514023707738,0.3018812144352565,No,True
can be a distraction,a television,'',Can a television be a distraction?,Yes,random,0,-4.434695243835449,-6.810997486114502,-4.736576458270706,-6.509116271679245,0.3018812144352565,Yes,True
can be a distraction,cider,'',Can cider be a distraction?,No,random,0,-2.136852502822876,-3.572467088699341,-2.4387337172581325,-3.2705858742640843,0.3018812144352565,Yes,False
can be a source of entertainment,a guitar,'',Can a guitar be a source of entertainment?,Yes,random,0,-2.0142781734466553,-7.123900890350342,-2.316159387881912,-6.822019675915085,0.3018812144352565,Yes,True
can be a source of entertainment,an armor,'',Can an armor be a source of entertainment?,No,random,0,-4.120921611785889,-4.997524261474609,-4.422802826221146,-4.695643047039352,0.3018812144352565,Yes,False
can be acoustic,a limousine,'',Can a limousine be acoustic?,No,random,0,-7.341880798339844,-6.843017578125,-7.643762012775101,-6.541136363689743,0.3018812144352565,No,True
can be added to a hot drink,a rollerskate,'',Can a rollerskate be added to a hot drink?,No,random,0,-4.747815132141113,-5.686254501342773,-5.04969634657637,-5.3843732869075165,0.3018812144352565,Yes,False
can be added to alcoholic drinks,a buffalo,'',Can a buffalo be added to alcoholic drinks?,No,random,0,-2.2636661529541016,-7.030309677124023,-2.565547367389358,-6.7284284626887665,0.3018812144352565,Yes,False
can be added to cake,cabbage,'',Can cabbage be added to cake?,No,random,0,-3.1843223571777344,-6.436400890350342,-3.486203571612991,-6.134519675915085,0.3018812144352565,Yes,False
can be added to cereal,cabbage,'',Can cabbage be added to cereal?,No,random,0,-1.2006876468658447,-6.842100143432617,-1.5025688613011012,-6.54021892899736,0.3018812144352565,Yes,False
can be airborne,chocolate,'',Can chocolate be airborne?,No,random,0,-2.9639835357666016,-4.7777605056762695,-3.265864750201858,-4.475879291241013,0.3018812144352565,Yes,False
can be attached to a DVD player,a caterpillar,'',Can a caterpillar be attached to a dvd player?,No,random,0,-7.03004264831543,-5.8434038162231445,-7.331923862750687,-5.541522601787888,0.3018812144352565,No,True
can be attached to a car,an ear,'',Can an ear be attached to a car?,No,random,0,-4.308899879455566,-5.372195243835449,-4.610781093890823,-5.070314029400192,0.3018812144352565,Yes,False
can be attached to a tractor,hair,'',Can hair be attached to a tractor?,No,random,0,-4.154131889343262,-4.967684268951416,-4.456013103778519,-4.665803054516159,0.3018812144352565,Yes,False
can be attached to a tree,a swing,'',Can a swing be attached to a tree?,Yes,random,0,-3.7440714836120605,-6.7440714836120605,-4.0459526980473175,-6.442190269176804,0.3018812144352565,Yes,True
can be attached to an oven,a stove,'',Can a stove be attached to an oven?,Yes,random,0,-3.1691136360168457,-5.30951452255249,-3.470994850452102,-5.007633308117233,0.3018812144352565,Yes,True
can be attached to bicycles,a toad,'',Can a toad be attached to bicycles?,No,random,0,-4.153531551361084,-4.46786642074585,-4.455412765796341,-4.165985206310593,0.3018812144352565,No,True
can be bad for the teeth,lemonade,'',Can lemonade be bad for the teeth?,Yes,random,0,-2.7466177940368652,-4.621617794036865,-3.0484990084721217,-4.319736579601608,0.3018812144352565,Yes,True
can be baked,a bean,'',Can a bean be baked?,Yes,random,0,-2.8678531646728516,-6.306929588317871,-3.169734379108108,-6.005048373882614,0.3018812144352565,Yes,True
can be baked,broccoli,'',Can broccoli be baked?,No,random,0,-1.7401505708694458,-7.310900688171387,-2.0420317853047023,-7.00901947373613,0.3018812144352565,Yes,False
can be bald,an owl,'',Can an owl be bald?,No,random,0,-4.277535915374756,-6.09220027923584,-4.579417129810013,-5.790319064800583,0.3018812144352565,Yes,False
can be banned in a drought,a boomerang,'',Can a boomerang be banned in a drought?,No,random,0,-5.154600143432617,-5.593179702758789,-5.456481357867874,-5.291298488323532,0.3018812144352565,No,True
can be bass,a guitar,'',Can a guitar be bass?,Yes,random,0,-3.8417601585388184,-6.405517578125,-4.143641372974075,-6.103636363689743,0.3018812144352565,Yes,True
can be bent,a leg,'',Can a leg be bent?,Yes,random,0,-2.228717088699341,-7.8376336097717285,-2.5305983031345973,-7.535752395336472,0.3018812144352565,Yes,True
can be bent,an owl,'',Can an owl be bent?,No,random,0,-5.682582378387451,-4.496822357177734,-5.984463592822708,-4.194941142742477,0.3018812144352565,No,True
can be bitter in taste,cider,'',Can cider be bitter in taste?,Yes,random,0,-2.7428531646728516,-5.560900688171387,-3.044734379108108,-5.25901947373613,0.3018812144352565,Yes,True
can be blonde,hair,'',Can hair be blonde?,Yes,random,0,-1.4635162353515625,-6.963350296020508,-1.765397449786819,-6.661469081585251,0.3018812144352565,Yes,True
can be blonde,an ambulance,'',Can an ambulance be blonde?,No,random,0,-5.183899879455566,-6.373400688171387,-5.485781093890823,-6.07151947373613,0.3018812144352565,Yes,False
can be blunt,a bayonet,'',Can a bayonet be blunt?,Yes,random,0,-4.3098649978637695,-7.9363298416137695,-4.6117462122990265,-7.634448627178513,0.3018812144352565,Yes,True
can be broken,a sweater,'',Can a sweater be broken?,No,random,0,-3.3263959884643555,-3.3250925540924072,-3.628277202899612,-3.0232113396571507,0.3018812144352565,No,True
can be button shaped,mushroom,'',Can mushroom be button shaped?,Yes,random,0,-2.787848949432373,-5.808899879455566,-3.0897301638676296,-5.5070186650203095,0.3018812144352565,Yes,True
can be carbonated,lemonade,'',Can lemonade be carbonated?,Yes,random,0,-3.2470145225524902,-6.997815132141113,-3.5488957369877467,-6.695933917705856,0.3018812144352565,Yes,True
can be claustrophobic,a squirrel,'',Can a squirrel be claustrophobic?,No,random,0,-5.122673988342285,-8.124480247497559,-5.424555202777542,-7.822599033062302,0.3018812144352565,Yes,False
can be coated with flavor,a donut,'',Can a donut be coated with flavor?,Yes,random,0,-3.3105714321136475,-7.249029636383057,-3.612452646548904,-6.9471484219478,0.3018812144352565,Yes,True
can be cold,a plow,'',Can a plow be cold?,No,random,0,-6.966350555419922,-6.405249118804932,-7.268231769855179,-6.103367904369675,0.3018812144352565,No,True
can be cooked,cheese,'',Can cheese be cooked?,Yes,random,0,-1.6534451246261597,-6.716031551361084,-1.9553263390614162,-6.414150336925827,0.3018812144352565,Yes,True
