Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,raw_yes_logprob,raw_no_logprob,base_yes_logprob,base_no_logprob,adjusted_yes_logprob,adjusted_no_logprob,predicted_answer,is_correct
1.0,1.0,material-properties,,negation,1.0,Chao can see through the wheel.,Is the wheel transparent?,Yes,-5.03769063949585,-4.5491251945495605,-8.882797241210938,-7.881962299346924,3.845106601715088,3.3328371047973633,Yes,True
2.0,1.0,material-properties,,negation,1.0,Chao can see through the wheel.,Is the wheel opaque?,No,-5.484882831573486,-4.496317386627197,-8.882797241210938,-7.881962299346924,3.397914409637451,3.3856449127197266,Yes,False
3.0,1.0,material-properties,,negation,2.0,Chao cannot see through the wheel.,Is the wheel transparent?,No,-5.746201038360596,-4.264903545379639,-8.882797241210938,-7.881962299346924,3.136596202850342,3.617058753967285,No,True
4.0,1.0,material-properties,,negation,2.0,Chao cannot see through the wheel.,Is the wheel opaque?,Yes,-4.840090274810791,-4.347192287445068,-8.882797241210938,-7.881962299346924,4.0427069664001465,3.5347700119018555,Yes,True
5.0,2.0,material-properties,,material,1.0,The wheel is made of polyethylene.,Is the wheel transparent?,Yes,-5.263187885284424,-4.777259349822998,-8.882797241210938,-7.881962299346924,3.6196093559265137,3.104702949523926,Yes,True
6.0,2.0,material-properties,,material,1.0,The wheel is made of polyethylene.,Is the wheel opaque?,No,-5.039029121398926,-5.545998573303223,-8.882797241210938,-7.881962299346924,3.8437681198120117,2.335963726043701,Yes,False
7.0,2.0,material-properties,,material,2.0,The wheel is made of bronze.,Is the wheel transparent?,No,-4.862525939941406,-3.8765974044799805,-8.882797241210938,-7.881962299346924,4.020271301269531,4.005364894866943,Yes,False
8.0,2.0,material-properties,,material,2.0,The wheel is made of bronze.,Is the wheel opaque?,Yes,-4.241220474243164,-4.245460033416748,-8.882797241210938,-7.881962299346924,4.641576766967773,3.636502265930176,Yes,True
9.0,3.0,material-properties,,antonym,1.0,The surface of the wheel is completely flat.,Is the surface of the wheel smooth?,Yes,-6.354531288146973,-4.868602752685547,-8.882797241210938,-7.881962299346924,2.528265953063965,3.013359546661377,No,False
10.0,3.0,material-properties,,antonym,1.0,The surface of the wheel is completely flat.,Is the surface of the wheel rough?,No,-4.759220600128174,-3.773291826248169,-8.882797241210938,-7.881962299346924,4.123576641082764,4.108670473098755,Yes,False
11.0,3.0,material-properties,,antonym,2.0,The surface of the wheel is somewhat bumpy.,Is the surface of the wheel smooth?,No,-4.888768196105957,-3.407470703125,-8.882797241210938,-7.881962299346924,3.9940290451049805,4.474491596221924,No,True
12.0,3.0,material-properties,,antonym,2.0,The surface of the wheel is somewhat bumpy.,Is the surface of the wheel rough?,Yes,-4.591938018798828,-5.103372573852539,-8.882797241210938,-7.881962299346924,4.290859222412109,2.7785897254943848,Yes,True
13.0,4.0,material-properties,,material,1.0,The wheel is made of polyethylene.,Is the surface of the wheel smooth?,Yes,-5.0357465744018555,-5.542716026306152,-8.882797241210938,-7.881962299346924,3.847050666809082,2.3392462730407715,Yes,True
14.0,4.0,material-properties,,material,1.0,The wheel is made of polyethylene.,Is the surface of the wheel rough?,No,-5.465556621551514,-5.476991176605225,-8.882797241210938,-7.881962299346924,3.417240619659424,2.404971122741699,Yes,False
