property,prefix,Context,Question,Correct Answer,negative_sample_type,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,bias_correction,predicted_answer,is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,0,-0.0322733111679554,-3.593686103820801,0.05822004864231922,-3.684179463631075,-0.09049335981027462,Yes,True
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,0,-0.002654370618984103,-7.718630313873291,0.08783898919129052,-7.809123673683565,-0.09049335981027462,Yes,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,0,-5.499512195587158,-0.00496936310082674,-5.409018835776884,-0.09546272291110136,-0.09049335981027462,No,True
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,0,-5.9682769775390625,-0.009685407392680645,-5.877783617728788,-0.10017876720295527,-0.09049335981027462,No,True
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,0,-8.311946868896484,-0.0032075755298137665,-8.22145350908621,-0.09370093534008839,-0.09049335981027462,No,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,0,-3.889988660812378,-0.032002951949834824,-3.7994953010021035,-0.12249631176010944,-0.09049335981027462,No,True
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,0,-0.7714006304740906,-0.6476140022277832,-0.680907270663816,-0.7381073620380578,-0.09049335981027462,Yes,True
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,0,-0.3356345295906067,-1.2732943296432495,-0.24514116978033207,-1.3637876894535241,-0.09049335981027462,Yes,False
can affect urine,hair,'',Can hair affect urine?,No,random,0,-3.796330690383911,-0.029181508347392082,-3.7058373305736367,-0.1196748681576667,-0.09049335981027462,No,True
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,0,-8.249738693237305,-0.0028560177888721228,-8.15924533342703,-0.09334937759914674,-0.09049335981027462,No,True
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,0,-2.5310122966766357,-0.08685052394866943,-2.4405189368663613,-0.17734388375894405,-0.09049335981027462,No,True
can bark,an arrow,'',Can an arrow bark?,No,random,0,-7.3434038162231445,-0.00639438908547163,-7.25291045641287,-0.09688774889574625,-0.09049335981027462,No,True
can be a distraction,a television,'',Can a television be a distraction?,Yes,random,0,-0.003187670838087797,-7.812438011169434,0.08730568897218682,-7.902931370979708,-0.09049335981027462,Yes,True
can be a distraction,cider,'',Can cider be a distraction?,No,random,0,-0.05100754648447037,-3.1709775924682617,0.03948581332580425,-3.261470952278536,-0.09049335981027462,Yes,False
can be a source of entertainment,a guitar,'',Can a guitar be a source of entertainment?,Yes,random,0,-0.004132979549467564,-6.499831199645996,0.08636038026080706,-6.5903245594562705,-0.09049335981027462,Yes,True
can be a source of entertainment,an armor,'',Can an armor be a source of entertainment?,No,random,0,-0.3256876468658447,-1.2957926988601685,-0.2351942870555701,-1.386286058670443,-0.09049335981027462,Yes,False
can be acoustic,a limousine,'',Can a limousine be acoustic?,No,random,0,-9.374859809875488,-0.0007545952685177326,-9.284366450065214,-0.09124795507879235,-0.09049335981027462,No,True
can be added to a hot drink,a rollerskate,'',Can a rollerskate be added to a hot drink?,No,random,0,-3.3748204708099365,-0.03730928897857666,-3.284327110999662,-0.12780264878885128,-0.09049335981027462,No,True
can be added to alcoholic drinks,a buffalo,'',Can a buffalo be added to alcoholic drinks?,No,random,0,-0.5654621720314026,-0.8473088145256042,-0.47496881222112797,-0.9378021743358789,-0.09049335981027462,Yes,False
can be added to cake,cabbage,'',Can cabbage be added to cake?,No,random,0,-1.7575942277908325,-0.19329297542572021,-1.667100867980558,-0.28378633523599484,-0.09049335981027462,No,True
can be added to cereal,cabbage,'',Can cabbage be added to cereal?,No,random,0,-0.03995073214173317,-3.5780913829803467,0.05054262766854145,-3.668584742790621,-0.09049335981027462,Yes,False
can be airborne,chocolate,'',Can chocolate be airborne?,No,random,0,-1.0536303520202637,-0.4313274025917053,-0.963136992209989,-0.5218207624019799,-0.09049335981027462,No,True
can be attached to a DVD player,a caterpillar,'',Can a caterpillar be attached to a dvd player?,No,random,0,-6.811467170715332,-0.0029582087881863117,-6.720973810905058,-0.09345156859846093,-0.09049335981027462,No,True
can be attached to a car,an ear,'',Can an ear be attached to a car?,No,random,0,-4.405832767486572,-0.014750722795724869,-4.315339407676298,-0.10524408260599949,-0.09049335981027462,No,True
can be attached to a tractor,hair,'',Can hair be attached to a tractor?,No,random,0,-1.2727547883987427,-0.33380094170570374,-1.182261428588468,-0.42429430151597836,-0.09049335981027462,No,True
can be attached to a tree,a swing,'',Can a swing be attached to a tree?,Yes,random,0,-0.002953899558633566,-5.9374518394470215,0.08753946025164105,-6.027945199257296,-0.09049335981027462,Yes,True
can be attached to an oven,a stove,'',Can a stove be attached to an oven?,Yes,random,0,-0.00652862386777997,-5.499962329864502,0.08396473594249465,-5.590455689674776,-0.09049335981027462,Yes,True
can be attached to bicycles,a toad,'',Can a toad be attached to bicycles?,No,random,0,-3.887948513031006,-0.028631146997213364,-3.7974551532207315,-0.11912450680748798,-0.09049335981027462,No,True
can be bad for the teeth,lemonade,'',Can lemonade be bad for the teeth?,Yes,random,0,-0.0037870570085942745,-6.1874518394470215,0.08670630280168035,-6.277945199257296,-0.09049335981027462,Yes,True
can be baked,a bean,'',Can a bean be baked?,Yes,random,0,-0.09015859663486481,-2.46866774559021,0.0003347631754098135,-2.5591611054004844,-0.09049335981027462,Yes,True
can be baked,broccoli,'',Can broccoli be baked?,No,random,0,-0.008577834814786911,-4.874945163726807,0.08191552499548771,-4.965438523537081,-0.09049335981027462,Yes,False
can be bald,an owl,'',Can an owl be bald?,No,random,0,-0.6949294209480286,-0.6952215433120728,-0.6044360611377539,-0.7857149031223474,-0.09049335981027462,Yes,False
can be banned in a drought,a boomerang,'',Can a boomerang be banned in a drought?,No,random,0,-0.5804005861282349,-0.8313923478126526,-0.48990722631796024,-0.9218857076229272,-0.09049335981027462,Yes,False
can be bass,a guitar,'',Can a guitar be bass?,Yes,random,0,-2.4369804859161377,-0.0970684364438057,-2.3464871261058633,-0.18756179625408032,-0.09049335981027462,No,False
can be bent,a leg,'',Can a leg be bent?,Yes,random,0,-0.025200845673680305,-3.906226396560669,0.06529251413659432,-3.9967197563709433,-0.09049335981027462,Yes,True
can be bent,an owl,'',Can an owl be bent?,No,random,0,-9.87491512298584,-0.0004935265751555562,-9.784421763175565,-0.09098688638543018,-0.09049335981027462,No,True
can be bitter in taste,cider,'',Can cider be bitter in taste?,Yes,random,0,-0.008044054731726646,-5.031130313873291,0.08244930507854797,-5.121623673683565,-0.09049335981027462,Yes,True
can be blonde,hair,'',Can hair be blonde?,Yes,random,0,-0.004798933397978544,-5.749929904937744,0.08569442641229608,-5.8404232647480185,-0.09049335981027462,Yes,True
can be blonde,an ambulance,'',Can an ambulance be blonde?,No,random,0,-9.124088287353516,-0.0004786594654433429,-9.033594927543241,-0.09097201927571796,-0.09049335981027462,No,True
can be blunt,a bayonet,'',Can a bayonet be blunt?,Yes,random,0,-0.2264561653137207,-1.6015233993530273,-0.13596280550344608,-1.692016759163302,-0.09049335981027462,Yes,True
can be broken,a sweater,'',Can a sweater be broken?,No,random,0,-5.531181812286377,-0.004472136497497559,-5.4406884524761026,-0.09496549630777218,-0.09049335981027462,No,True
can be button shaped,mushroom,'',Can mushroom be button shaped?,Yes,random,0,-0.006039620842784643,-5.374783515930176,0.08445373896748998,-5.46527687574045,-0.09049335981027462,Yes,True
can be carbonated,lemonade,'',Can lemonade be carbonated?,Yes,random,0,-0.00011039373930543661,-9.687470436096191,0.09038296607096918,-9.777963795906466,-0.09049335981027462,Yes,True
can be claustrophobic,a squirrel,'',Can a squirrel be claustrophobic?,No,random,0,-0.3726430833339691,-1.2186444997787476,-0.2821497235236945,-1.3091378595890222,-0.09049335981027462,Yes,False
can be coated with flavor,a donut,'',Can a donut be coated with flavor?,Yes,random,0,-0.03691102936863899,-3.343677520751953,0.05358233044163563,-3.4341708805622275,-0.09049335981027462,Yes,True
can be cold,a plow,'',Can a plow be cold?,No,random,0,-0.1434030681848526,-2.0155868530273438,-0.05290970837457798,-2.106080212837618,-0.09049335981027462,Yes,False
can be cooked,cheese,'',Can cheese be cooked?,Yes,random,0,-0.0016616659704595804,-6.81247091293335,0.08883169383981504,-6.902964272743624,-0.09049335981027462,Yes,True
can be covered,butter,'',Can butter be covered?,No,random,0,-0.04692947119474411,-3.1403424739837646,0.04356388861553051,-3.230835833794039,-0.09049335981027462,Yes,False
can be covered in chocolate,a seagull,'',Can a seagull be covered in chocolate?,No,random,0,-3.468552827835083,-0.0326465405523777,-3.3780594680248086,-0.12313990036265232,-0.09049335981027462,No,True
can be covered in lip gloss,a lip,'',Can a lip be covered in lip gloss?,Yes,random,0,-0.005871305707842112,-5.874964714050293,0.08462205410243251,-5.965458073860567,-0.09049335981027462,Yes,True
can be covered in lip gloss,a harpsichord,'',Can a harpsichord be covered in lip gloss?,No,random,0,-0.8668332695960999,-0.5545724630355835,-0.7763399097858252,-0.6450658228458581,-0.09049335981027462,No,True
can be crumbly,a bagpipe,'',Can a bagpipe be crumbly?,No,random,0,-7.624841690063477,-0.001480580074712634,-7.534348330253202,-0.09197393988498725,-0.09049335981027462,No,True
can be crushed,garlic,'',Can garlic be crushed?,Yes,random,0,-0.008012832142412663,-5.1873602867126465,0.08248052766786196,-5.277853646522921,-0.09049335981027462,Yes,True
can be crushed,a bikini,'',Can a bikini be crushed?,No,random,0,-0.7966333627700806,-0.6092965602874756,-0.706140002959806,-0.6997899200977502,-0.09049335981027462,No,True
can be curly,hair,'',Can hair be curly?,Yes,random,0,-0.0015395742375403643,-7.437368869781494,0.08895378557273426,-7.5278622295917685,-0.09049335981027462,Yes,True
can be cut into slices,mango,'',Can mango be cut into slices?,Yes,random,0,-0.005627539940178394,-5.468650817871094,0.08486581987009623,-5.559144177681368,-0.09049335981027462,Yes,True
can be cut into slices,a spider,'',Can a spider be cut into slices?,No,random,0,-3.2810401916503906,-0.039486173540353775,-3.1905468318401162,-0.1299795333506284,-0.09049335981027462,No,True
can be dangerous,a centipede,'',Can a centipede be dangerous?,No,random,0,-0.02771174907684326,-4.093480587005615,0.06278161073343136,-4.18397394681589,-0.09049335981027462,Yes,False
can be decaffeinated,a trombone,'',Can a trombone be decaffeinated?,No,random,0,-9.624664306640625,-0.0010510707506909966,-9.53417094683035,-0.09154443056096562,-0.09049335981027462,No,True
can be decorative,a corkscrew,'',Can a corkscrew be decorative?,No,random,0,-0.002556388033553958,-6.218586444854736,0.08793697177672066,-6.309079804665011,-0.09049335981027462,Yes,False
can be deflated,a balloon,'',Can a balloon be deflated?,Yes,random,0,-0.0008833432802930474,-7.874975681304932,0.08961001652998157,-7.965469041115206,-0.09049335981027462,Yes,True
can be deflated,flour,'',Can flour be deflated?,No,random,0,-4.062384128570557,-0.017673850059509277,-3.9718907687602822,-0.1081672098697839,-0.09049335981027462,No,True
can be difficult to digest,corn,'',Can corn be difficult to digest?,Yes,random,0,-0.004522211384028196,-6.218719959259033,0.08597114842624642,-6.309213319069308,-0.09049335981027462,Yes,True
can be dressed up,a doll,'',Can a doll be dressed up?,Yes,random,0,-0.0050714085809886456,-5.874948501586914,0.08542195122928598,-5.9654418613971885,-0.09049335981027462,Yes,True
can be driven,a motorcycle,'',Can a motorcycle be driven?,Yes,random,0,-0.028756991028785706,-3.6874380111694336,0.061736368781488915,-3.777931370979708,-0.09049335981027462,Yes,True
can be driven,satsuma,'',Can satsuma be driven?,No,random,0,-6.249332904815674,-0.004263538867235184,-6.158839545005399,-0.0947568986775098,-0.09049335981027462,No,True
can be eaten cold,a date,'',Can a date be eaten cold?,Yes,random,0,-0.017491919919848442,-4.281086444854736,0.07300143989042618,-4.371579804665011,-0.09049335981027462,Yes,True
can be eaten dried,an apricot,'',Can an apricot be eaten dried?,Yes,random,0,-0.002383486833423376,-6.937429904937744,0.08810987297685124,-7.0279232647480185,-0.09049335981027462,Yes,True
can be eaten raw,tomato,'',Can tomato be eaten raw?,Yes,random,0,-0.0026572798378765583,-6.906040191650391,0.08783607997239806,-6.996533551460665,-0.09049335981027462,Yes,True
can be eaten raw,a caravan,'',Can a caravan be eaten raw?,No,random,0,-5.468179702758789,-0.006688721012324095,-5.377686342948515,-0.09718208082259872,-0.09049335981027462,No,True
can be eaten with chips,a deer,'',Can a deer be eaten with chips?,No,random,0,-0.46239006519317627,-1.0232014656066895,-0.37189670538290165,-1.113694825416964,-0.09049335981027462,Yes,False
can be emptied,a bolt,'',Can a bolt be emptied?,No,random,0,-0.808425784111023,-0.5897759199142456,-0.7179324243007483,-0.6802692797245202,-0.09049335981027462,No,True
can be empty,a barrel,'',Can a barrel be empty?,Yes,random,0,-0.07491365820169449,-2.6717610359191895,0.015579701608580132,-2.762254395729464,-0.09049335981027462,Yes,True
can be environmentally friendly,a coach,'',Can a coach be environmentally friendly?,Yes,random,0,-0.09494275599718094,-2.4369471073150635,-0.004449396186906318,-2.527440467125338,-0.09049335981027462,Yes,True
can be environmentally friendly,a trumpet,'',Can a trumpet be environmentally friendly?,No,random,0,-0.10669258236885071,-2.2968244552612305,-0.016199222558576087,-2.387317815071505,-0.09049335981027462,Yes,False
can be fair,a piano,'',Can a piano be fair?,No,random,0,-3.655963182449341,-0.027412893250584602,-3.5654698226390664,-0.11790625306085922,-0.09049335981027462,No,True
can be fastened,a caravan,'',Can a caravan be fastened?,No,random,0,-0.028888504952192307,-3.5779995918273926,0.061604854858082314,-3.668492951637667,-0.09049335981027462,Yes,False
can be filled,a bathtub,'',Can a bathtub be filled?,Yes,random,0,-0.08364170789718628,-2.6248602867126465,0.006851651913088341,-2.715353646522921,-0.09049335981027462,Yes,True
can be filled with custard,cucumber,'',Can cucumber be filled with custard?,No,random,0,-1.3104472160339355,-0.3155193626880646,-1.219953856223661,-0.4060127224983392,-0.09049335981027462,No,True
can be filled with helium,a lorry,'',Can a lorry be filled with helium?,No,random,0,-2.4370694160461426,-0.09264624863862991,-2.346576056235868,-0.18313960844890453,-0.09049335981027462,No,True
can be filled with jam,a donut,'',Can a donut be filled with jam?,Yes,random,0,-0.021981028839945793,-3.87491512298584,0.06851233097032883,-3.9654084827961142,-0.09049335981027462,Yes,True
can be filling,a houseboat,'',Can a houseboat be filling?,No,random,0,-0.6357060074806213,-0.7613794207572937,-0.5452126476703467,-0.8518727805675683,-0.09049335981027462,Yes,False
can be fished,a herring,'',Can a herring be fished?,Yes,random,0,-0.13417130708694458,-2.1248204708099365,-0.04367794727666996,-2.215313830620211,-0.09049335981027462,Yes,True
can be flared,a trouser,'',Can a trouser be flared?,Yes,random,0,-0.0126251932233572,-4.499820709228516,0.07786816658691742,-4.59031406903879,-0.09049335981027462,Yes,True
can be flavored,a camel,'',Can a camel be flavored?,No,random,0,-1.8357292413711548,-0.18060612678527832,-1.7452358815608802,-0.27109948659555294,-0.09049335981027462,No,True
can be flavored with lemon,lettuce,'',Can lettuce be flavored with lemon?,No,random,0,-0.008618965744972229,-4.874929904937744,0.08187439406530239,-4.9654232647480185,-0.09049335981027462,Yes,False
can be fluffy,a banjo,'',Can a banjo be fluffy?,No,random,0,-10.37491512298584,-0.0006251336308196187,-10.284421763175565,-0.09111849344109424,-0.09049335981027462,No,True
can be folded,a finger,'',Can a finger be folded?,No,random,0,-0.39831113815307617,-1.1171331405639648,-0.30781777834280155,-1.2076265003742395,-0.09049335981027462,Yes,False
can be found at orchestras,a flute,'',Can a flute be found at orchestras?,Yes,random,0,-0.005689754616469145,-5.687454700469971,0.08480360519380548,-5.777948060280245,-0.09049335981027462,Yes,True
