property,prefix,Context,Question,Correct Answer,negative_sample_type,yes_logprob,no_logprob,predicted_answer,is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,-0.22698119282722473,-10.312383651733398,Yes,True
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,-0.5267574191093445,-9.68735122680664,Yes,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,-7.874769687652588,-0.3632199764251709,No,True
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,-5.343512058258057,-0.40619349479675293,No,True
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,-8.437331199645996,-0.7030912637710571,No,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,-2.077404022216797,-1.9450651407241821,No,True
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,-0.6121246218681335,-3.4841012954711914,Yes,True
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,-5.093381404876709,-0.7772799730300903,No,True
can affect urine,hair,'',Can hair affect urine?,No,random,-0.7763773202896118,-4.53111457824707,Yes,False
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,-6.218553066253662,-1.4139894247055054,No,True
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,-2.5934250354766846,-0.8475567102432251,No,True
can bark,an arrow,'',Can an arrow bark?,No,random,-9.812283515930176,-0.6405817270278931,No,True
can be a distraction,a television,'',Can a television be a distraction?,Yes,random,-0.38830989599227905,-12.062309265136719,Yes,True
can be a distraction,cider,'',Can cider be a distraction?,No,random,-0.28285640478134155,-9.499820709228516,Yes,False
can be a source of entertainment,a guitar,'',Can a guitar be a source of entertainment?,Yes,random,-0.34928232431411743,-12.812368392944336,Yes,True
can be a source of entertainment,an armor,'',Can an armor be a source of entertainment?,No,random,-0.3901875913143158,-7.312351226806641,Yes,False
can be acoustic,a limousine,'',Can a limousine be acoustic?,No,random,-7.343553066253662,-1.15619695186615,No,True
can be added to a hot drink,a rollerskate,'',Can a rollerskate be added to a hot drink?,No,random,-0.6049593687057495,-3.734245777130127,Yes,False
can be added to alcoholic drinks,a buffalo,'',Can a buffalo be added to alcoholic drinks?,No,random,-0.19069351255893707,-4.812368869781494,Yes,False
can be added to cake,cabbage,'',Can cabbage be added to cake?,No,random,-0.2554261386394501,-6.624925136566162,Yes,False
can be added to cereal,cabbage,'',Can cabbage be added to cereal?,No,random,-0.35295727849006653,-8.06235122680664,Yes,False
can be airborne,chocolate,'',Can chocolate be airborne?,No,random,-0.5737249851226807,-2.4530210494995117,Yes,False
can be attached to a DVD player,a caterpillar,'',Can a caterpillar be attached to a dvd player?,No,random,-7.281026363372803,-0.589783787727356,No,True
