property,prefix,Context,Question,Correct Answer,negative_sample_type,yes_logprob,no_logprob,predicted_answer,is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,-0.6127989292144775,-0.8630801439285278,Yes,True
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,-0.5581077337265015,-1.0543937683105469,Yes,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,-2.1244113445281982,-0.18618839979171753,No,True
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,-2.327713966369629,-0.13558198511600494,No,True
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,-3.077629327774048,-0.07107057422399521,No,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,-1.4991437196731567,-0.31204164028167725,No,True
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,-1.2250484228134155,-0.41280704736709595,No,False
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,-1.44475519657135,-0.3200942575931549,No,True
can affect urine,hair,'',Can hair affect urine?,No,random,-0.9835319519042969,-0.6090235114097595,No,True
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,-1.397663950920105,-0.3335443437099457,No,True
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,-1.49176025390625,-0.30250611901283264,No,True
can bark,an arrow,'',Can an arrow bark?,No,random,-2.671295642852783,-0.11152426898479462,No,True
can be a distraction,a television,'',Can a television be a distraction?,Yes,random,-0.24669142067432404,-1.74980890750885,Yes,True
can be a distraction,cider,'',Can cider be a distraction?,No,random,-0.5658847093582153,-0.9997833967208862,Yes,False
can be a source of entertainment,a guitar,'',Can a guitar be a source of entertainment?,Yes,random,-0.1282772570848465,-2.374642848968506,Yes,True
can be a source of entertainment,an armor,'',Can an armor be a source of entertainment?,No,random,-0.8742442727088928,-0.6245954632759094,No,True
can be acoustic,a limousine,'',Can a limousine be acoustic?,No,random,-1.7415659427642822,-0.24089865386486053,No,True
can be added to a hot drink,a rollerskate,'',Can a rollerskate be added to a hot drink?,No,random,-0.764319658279419,-0.7022276520729065,No,True
can be added to alcoholic drinks,a buffalo,'',Can a buffalo be added to alcoholic drinks?,No,random,-0.6202924847602844,-0.8706077337265015,Yes,False
can be added to cake,cabbage,'',Can cabbage be added to cake?,No,random,-0.6593486666679382,-0.8473299145698547,Yes,False
can be added to cereal,cabbage,'',Can cabbage be added to cereal?,No,random,-0.48344916105270386,-1.1714510917663574,Yes,False
can be airborne,chocolate,'',Can chocolate be airborne?,No,random,-0.9214236736297607,-0.6091867685317993,No,True
can be attached to a DVD player,a caterpillar,'',Can a caterpillar be attached to a dvd player?,No,random,-2.0146992206573486,-0.2015511393547058,No,True
can be attached to a car,an ear,'',Can an ear be attached to a car?,No,random,-1.6321403980255127,-0.25550025701522827,No,True
can be attached to a tractor,hair,'',Can hair be attached to a tractor?,No,random,-1.1710830926895142,-0.42342910170555115,No,True
can be attached to a tree,a swing,'',Can a swing be attached to a tree?,Yes,random,-0.49951207637786865,-1.124754548072815,Yes,True
can be attached to an oven,a stove,'',Can a stove be attached to an oven?,Yes,random,-0.936911404132843,-0.5621848702430725,No,False
can be attached to bicycles,a toad,'',Can a toad be attached to bicycles?,No,random,-1.100911021232605,-0.4722864031791687,No,True
can be bad for the teeth,lemonade,'',Can lemonade be bad for the teeth?,Yes,random,-0.7456371784210205,-0.7459149360656738,Yes,True
can be baked,a bean,'',Can a bean be baked?,Yes,random,-0.8080429434776306,-0.6833640336990356,No,False
can be baked,broccoli,'',Can broccoli be baked?,No,random,-0.4722101390361786,-1.0936144590377808,Yes,False
can be bald,an owl,'',Can an owl be bald?,No,random,-1.1011147499084473,-0.4744729995727539,No,True
can be banned in a drought,a boomerang,'',Can a boomerang be banned in a drought?,No,random,-0.8783847093582153,-0.6286091208457947,No,True
can be bass,a guitar,'',Can a guitar be bass?,Yes,random,-1.3662830591201782,-0.36478039622306824,No,False
can be bent,a leg,'',Can a leg be bent?,Yes,random,-0.31404778361320496,-1.4372386932373047,Yes,True
can be bent,an owl,'',Can an owl be bent?,No,random,-1.36676025390625,-0.36501994729042053,No,True
can be bitter in taste,cider,'',Can cider be bitter in taste?,Yes,random,-0.8081077337265015,-0.683425784111023,No,False
can be blonde,hair,'',Can hair be blonde?,Yes,random,-0.1441313773393631,-2.5154309272766113,Yes,True
can be blonde,an ambulance,'',Can an ambulance be blonde?,No,random,-1.0853350162506104,-0.5231345295906067,No,True
can be blunt,a bayonet,'',Can a bayonet be blunt?,Yes,random,-1.0073206424713135,-0.5036599040031433,No,False
can be broken,a sweater,'',Can a sweater be broken?,No,random,-1.0542861223220825,-0.49004510045051575,No,True
can be button shaped,mushroom,'',Can mushroom be button shaped?,Yes,random,-0.7915847301483154,-0.7299593687057495,No,False
can be carbonated,lemonade,'',Can lemonade be carbonated?,Yes,random,-0.5660247206687927,-0.9412260055541992,Yes,True
can be claustrophobic,a squirrel,'',Can a squirrel be claustrophobic?,No,random,-0.7181036472320557,-0.8434249758720398,Yes,False
can be coated with flavor,a donut,'',Can a donut be coated with flavor?,Yes,random,-0.1939982771873474,-1.9998204708099365,Yes,True
can be cold,a plow,'',Can a plow be cold?,No,random,-1.2653242349624634,-0.3885301351547241,No,True
can be cooked,cheese,'',Can cheese be cooked?,Yes,random,-0.4369805157184601,-1.1872833967208862,Yes,True
can be covered,butter,'',Can butter be covered?,No,random,-0.6205074191093445,-0.9333640336990356,Yes,False
can be covered in chocolate,a seagull,'',Can a seagull be covered in chocolate?,No,random,-0.7612249851226807,-0.7613999247550964,Yes,False
can be covered in lip gloss,a lip,'',Can a lip be covered in lip gloss?,Yes,random,-0.26904892921447754,-1.6402623653411865,Yes,True
can be covered in lip gloss,a harpsichord,'',Can a harpsichord be covered in lip gloss?,No,random,-1.3196403980255127,-0.3804261386394501,No,True
can be crumbly,a bagpipe,'',Can a bagpipe be crumbly?,No,random,-2.5463945865631104,-0.11599626392126083,No,True
can be crushed,garlic,'',Can garlic be crushed?,Yes,random,-0.5384692549705505,-0.9762348532676697,Yes,True
can be crushed,a bikini,'',Can a bikini be crushed?,No,random,-0.8587183952331543,-0.6090008616447449,No,True
can be curly,hair,'',Can hair be curly?,Yes,random,-0.23687943816184998,-1.9841982126235962,Yes,True
can be cut into slices,mango,'',Can mango be cut into slices?,Yes,random,-0.5423348546028137,-0.9801785349845886,Yes,True
can be cut into slices,a spider,'',Can a spider be cut into slices?,No,random,-1.21817946434021,-0.40598049759864807,No,True
can be dangerous,a centipede,'',Can a centipede be dangerous?,No,random,-0.38814523816108704,-1.39035964012146,Yes,False
can be decaffeinated,a trombone,'',Can a trombone be decaffeinated?,No,random,-1.6089767217636108,-0.29470911622047424,No,True
can be decorative,a corkscrew,'',Can a corkscrew be decorative?,No,random,-0.48978039622306824,-1.116985559463501,Yes,False
can be deflated,a balloon,'',Can a balloon be deflated?,Yes,random,-0.3783847391605377,-1.2497694492340088,Yes,True
can be deflated,flour,'',Can flour be deflated?,No,random,-1.7885223627090454,-0.22828999161720276,No,True
can be difficult to digest,corn,'',Can corn be difficult to digest?,Yes,random,-0.5622040629386902,-0.9373977184295654,Yes,True
can be dressed up,a doll,'',Can a doll be dressed up?,Yes,random,-0.1714375913143158,-2.109064817428589,Yes,True
can be driven,a motorcycle,'',Can a motorcycle be driven?,Yes,random,-0.22014907002449036,-1.8434967994689941,Yes,True
can be driven,satsuma,'',Can satsuma be driven?,No,random,-1.647560954093933,-0.27494892477989197,No,True
can be eaten cold,a date,'',Can a date be eaten cold?,Yes,random,-0.8587955832481384,-0.6090835928916931,No,False
can be eaten dried,an apricot,'',Can an apricot be eaten dried?,Yes,random,-0.6206077337265015,-0.8708493113517761,Yes,True
can be eaten raw,tomato,'',Can tomato be eaten raw?,Yes,random,-0.5695970058441162,-0.9449949860572815,Yes,True
can be eaten raw,a caravan,'',Can a caravan be eaten raw?,No,random,-1.8428096771240234,-0.21824659407138824,No,True
can be eaten with chips,a deer,'',Can a deer be eaten with chips?,No,random,-1.3663893938064575,-0.36871251463890076,No,True
can be emptied,a bolt,'',Can a bolt be emptied?,No,random,-0.7728349566459656,-0.7106700539588928,No,True
can be empty,a barrel,'',Can a barrel be empty?,Yes,random,-1.093381643295288,-0.4705287516117096,No,False
can be environmentally friendly,a coach,'',Can a coach be environmentally friendly?,Yes,random,-0.4899757206439972,-1.117079496383667,Yes,True
can be environmentally friendly,a trumpet,'',Can a trumpet be environmentally friendly?,No,random,-1.6402842998504639,-0.2674524784088135,No,True
can be fair,a piano,'',Can a piano be fair?,No,random,-1.413713812828064,-0.35336053371429443,No,True
can be fastened,a caravan,'',Can a caravan be fastened?,No,random,-0.7298915982246399,-0.7301960587501526,Yes,False
can be filled,a bathtub,'',Can a bathtub be filled?,Yes,random,-0.4506113827228546,-1.2029049396514893,Yes,True
can be filled with custard,cucumber,'',Can cucumber be filled with custard?,No,random,-1.5539376735687256,-0.30238085985183716,No,True
can be filled with helium,a lorry,'',Can a lorry be filled with helium?,No,random,-1.5463305711746216,-0.29274263978004456,No,True
can be filled with jam,a donut,'',Can a donut be filled with jam?,Yes,random,-0.3511912226676941,-1.4763758182525635,Yes,True
can be filling,a houseboat,'',Can a houseboat be filling?,No,random,-0.9718734622001648,-0.5972625613212585,No,True
can be fished,a herring,'',Can a herring be fished?,Yes,random,-0.5073784589767456,-1.0701074600219727,Yes,True
can be flared,a trouser,'',Can a trouser be flared?,Yes,random,-0.8702924847602844,-0.6207380890846252,No,False
can be flavored,a camel,'',Can a camel be flavored?,No,random,-0.7845835089683533,-0.7224174737930298,No,True
can be flavored with lemon,lettuce,'',Can lettuce be flavored with lemon?,No,random,-0.5229966640472412,-1.023264765739441,Yes,False
can be fluffy,a banjo,'',Can a banjo be fluffy?,No,random,-1.8588635921478271,-0.2341480553150177,No,True
can be folded,a finger,'',Can a finger be folded?,No,random,-0.9371429085731506,-0.5623313188552856,No,True
can be found at orchestras,a flute,'',Can a flute be found at orchestras?,Yes,random,-0.7960319519042969,-0.6714510917663574,No,False
can be found by the fire,an onion,'',Can an onion be found by the fire?,No,random,-1.0772552490234375,-0.5112549066543579,No,True
can be found in a kitchen drawer,a peeler,'',Can a peeler be found in a kitchen drawer?,Yes,random,-0.22096766531467438,-1.843424916267395,Yes,True
can be found in bedrooms,a bed,'',Can a bed be found in bedrooms?,Yes,random,-0.11037109047174454,-2.6087582111358643,Yes,True
can be found in bedrooms,a squirrel,'',Can a squirrel be found in bedrooms?,No,random,-0.7571403980255127,-0.8199744820594788,Yes,False
can be found in boats or ships,a deckchair,'',Can a deckchair be found in boats or ships?,Yes,random,-0.3840526044368744,-1.7641915082931519,Yes,True
can be found in boats or ships,a trout,'',Can a trout be found in boats or ships?,No,random,-0.9674240946769714,-0.7179942727088928,No,True
can be found in cars,a clamp,'',Can a clamp be found in cars?,Yes,random,-0.9404321908950806,-0.5659164190292358,No,False
can be found in cars,a soup,'',Can a soup be found in cars?,No,random,-0.9480711817741394,-0.573834240436554,No,True
can be found in cold climate,a pie,'',Can a pie be found in cold climate?,No,random,-0.7338945865631104,-0.7341178059577942,Yes,False
can be found in dark places,a millipede,'',Can a millipede be found in dark places?,Yes,random,-0.4933892786502838,-1.1167327165603638,Yes,True
can be found in factories,a spoon,'',Can a spoon be found in factories?,No,random,-0.9486232399940491,-0.5739704966545105,No,True
can be found in forests,a skunk,'',Can a skunk be found in forests?,Yes,random,-0.5266793966293335,-1.0230720043182373,Yes,True
can be found in forests,a strainer,'',Can a strainer be found in forests?,No,random,-1.093061923980713,-0.46654418110847473,No,True
can be found in gardens,a bowl,'',Can a bowl be found in gardens?,No,random,-0.8118734955787659,-0.6872833967208862,No,True
can be found in hot climate,an iguana,'',Can an iguana be found in hot climate?,Yes,random,-0.20796160399913788,-1.8977547883987427,Yes,True
can be found in hot climate,a bomb,'',Can a bomb be found in hot climate?,No,random,-0.6671549081802368,-0.8548915982246399,Yes,False
can be found in houses,a peeler,'',Can a peeler be found in houses?,Yes,random,-0.6750343441963196,-0.8004887700080872,Yes,True
can be found in houses,a thumb,'',Can a thumb be found in houses?,No,random,-1.530561923980713,-0.2770395874977112,No,True
can be found in nests,a termite,'',Can a termite be found in nests?,Yes,random,-0.42866283655166626,-1.1791034936904907,Yes,True
can be found in nests,an organ,'',Can an organ be found in nests?,No,random,-1.1315172910690308,-0.4429524838924408,No,True
can be found in offices,a coffee maker,'',Can a coffee maker be found in offices?,Yes,random,-0.31955093145370483,-1.5699527263641357,Yes,True
can be found in pet shops,a toad,'',Can a toad be found in pet shops?,No,random,-1.2650632858276367,-0.39420992136001587,No,True
can be found in rock pools,a crab,'',Can a crab be found in rock pools?,Yes,random,-0.3567458391189575,-1.3589767217636108,Yes,True
can be found in seas,a speedboat,'',Can a speedboat be found in seas?,Yes,random,-0.7256439328193665,-0.7261417508125305,Yes,True
can be found in seas,a spatula,'',Can a spatula be found in seas?,No,random,-1.631834626197815,-0.2573206424713135,No,True
can be found in sheds,a cradle,'',Can a cradle be found in sheds?,No,random,-0.7569495439529419,-0.7573206424713135,Yes,False
can be found in shops,a willow tree,'',Can a willow tree be found in shops?,No,random,-1.9365885257720947,-0.18704162538051605,No,True
can be found in swamps,a crocodile,'',Can a crocodile be found in swamps?,Yes,random,-0.2610440254211426,-1.6324294805526733,Yes,True
can be found in the pubic region,a bikini,'',Can a bikini be found in the pubic region?,No,random,-1.124290108680725,-0.4410478472709656,No,True
can be found in the study,a scythe,'',Can a scythe be found in the study?,No,random,-1.6322191953659058,-0.2575651705265045,No,True
can be found in the tool box,a television,'',Can a television be found in the tool box?,No,random,-2.2646396160125732,-0.13915324211120605,No,True
can be found in the wild,a wren,'',Can a wren be found in the wild?,Yes,random,-0.3666720390319824,-1.366928219795227,Yes,True
can be found in utility rooms,a coffee maker,'',Can a coffee maker be found in utility rooms?,Yes,random,-0.886000394821167,-0.6363999247550964,No,False
can be found in vanity cabinets,a mirror,'',Can a mirror be found in vanity cabinets?,Yes,random,-0.5617442727088928,-0.9370954632759094,Yes,True
can be found in vanity cabinets,a drum,'',Can a drum be found in vanity cabinets?,No,random,-1.835004448890686,-0.20954713225364685,No,True
can be found in zoos,a speedboat,'',Can a speedboat be found in zoos?,No,random,-2.046031951904297,-0.1675330102443695,No,True
can be found living in large groups,a hippo,'',Can a hippo be found living in large groups?,No,random,-0.8585830330848694,-0.6089236736297607,No,True
can be found near the toilet,a scorpion,'',Can a scorpion be found near the toilet?,No,random,-0.6632517576217651,-0.9135857820510864,Yes,False
can be found on beaches,a clam,'',Can a clam be found on beaches?,Yes,random,-0.9364006519317627,-0.5618734955787659,No,False
can be found on canals,a tugboat,'',Can a tugboat be found on canals?,Yes,random,-0.5655986666679382,-0.9409739971160889,Yes,True
can be found on cupboards,a plate,'',Can a plate be found on cupboards?,Yes,random,-0.4777033030986786,-1.1011673212051392,Yes,True
can be found on cupboards,a buttercup,'',Can a buttercup be found on cupboards?,No,random,-2.2647552490234375,-0.14020106196403503,No,True
can be found on driveways,a caravan,'',Can a caravan be found on driveways?,Yes,random,-1.1786627769470215,-0.42523470520973206,No,False
can be found on farms,a pig,'',Can a pig be found on farms?,Yes,random,-0.142032653093338,-2.2653424739837646,Yes,True
can be found on farms,a shrimp,'',Can a shrimp be found on farms?,No,random,-0.8626221418380737,-0.6130064129829407,No,True
can be found on furry animals,a flea,'',Can a flea be found on furry animals?,Yes,random,-0.28634923696517944,-1.5386673212051392,Yes,True
can be found on lakes,a bench,'',Can a bench be found on lakes?,No,random,-0.9406476616859436,-0.5660478472709656,No,True
can be found on land,a buffalo,'',Can a buffalo be found on land?,Yes,random,-0.5541720390319824,-0.9294115900993347,Yes,True
can be found on legs,sweet potato,'',Can sweet potato be found on legs?,No,random,-1.88205087184906,-0.19883425533771515,No,True
can be found on plants,a cricket,'',Can a cricket be found on plants?,Yes,random,-0.5149886012077332,-1.0153424739837646,Yes,True
can be found on ponds,a goose,'',Can a goose be found on ponds?,Yes,random,-0.2169698178768158,-1.8432140350341797,Yes,True
can be found on ponds,a hoe,'',Can a hoe be found on ponds?,No,random,-1.585163950920105,-0.27126315236091614,No,True
can be found on rivers,a cake,'',Can a cake be found on rivers?,No,random,-1.2181036472320557,-0.4079648554325104,No,True
can be found on tables,a bottle,'',Can a bottle be found on tables?,Yes,random,-0.4212581515312195,-1.2965447902679443,Yes,True
can be found on tables,a porcupine,'',Can a porcupine be found on tables?,No,random,-1.7960319519042969,-0.2348998636007309,No,True
can be found underground,milk,'',Can milk be found underground?,No,random,-1.249244213104248,-0.37667444348335266,No,True
can be found underwater,a strainer,'',Can a strainer be found underwater?,No,random,-1.2494804859161377,-0.37673619389533997,No,True
can be fried,a wren,'',Can a wren be fried?,No,random,-0.897796094417572,-0.6481345295906067,No,True
can be gifted,an orchid,'',Can an orchid be gifted?,Yes,random,-0.4701986312866211,-1.2809630632400513,Yes,True
can be gifted,a screwdriver,'',Can a screwdriver be gifted?,No,random,-0.6908847093582153,-0.8161091208457947,Yes,False
can be grated,a drill,'',Can a drill be grated?,No,random,-1.1321810483932495,-0.4450141489505768,No,True
can be grown,lemon,'',Can lemon be grown?,Yes,random,-0.5775973796844482,-0.9529049396514893,Yes,True
can be hard to clean,a jar,'',Can a jar be hard to clean?,No,random,-0.5309249758720398,-1.0311226844787598,Yes,False
can be healed,a bone,'',Can a bone be healed?,Yes,random,-0.67926025390625,-0.8045201301574707,Yes,True
can be healed,a scallop,'',Can a scallop be healed?,No,random,-1.00725519657135,-0.5740480422973633,No,True
can be held in the palm,ketchup,'',Can ketchup be held in the palm?,No,random,-0.9367442727088928,-0.5621848702430725,No,True
can be high definition,a television,'',Can a television be high definition?,Yes,random,-0.44883424043655396,-1.1951425075531006,Yes,True
can be high definition,peach,'',Can peach be high definition?,No,random,-1.249244213104248,-0.441089928150177,No,True
can be hit with a hammer,a nail,'',Can a nail be hit with a hammer?,Yes,random,-0.6126620173454285,-0.9254283308982849,Yes,True
can be infected,an ear,'',Can an ear be infected?,Yes,random,-0.5227757692337036,-1.0230485200881958,Yes,True
can be infected,a seahorse,'',Can a seahorse be infected?,No,random,-0.5150633454322815,-1.1404049396514893,Yes,False
can be kept in a bowl,a goldfish,'',Can a goldfish be kept in a bowl?,Yes,random,-0.41749024391174316,-1.1716480255126953,Yes,True
can be kept in a bowl,a rhino,'',Can a rhino be kept in a bowl?,No,random,-1.686946988105774,-0.2515954375267029,No,True
can be kneaded,a refrigerator,'',Can a refrigerator be kneaded?,No,random,-2.483863592147827,-0.11599626392126083,No,True
can be laid on its side,a crossbow,'',Can a crossbow be laid on its side?,Yes,random,-0.8586310744285583,-0.6088635921478271,No,False
can be lied on,a sofa,'',Can a sofa be lied on?,Yes,random,-0.5072552561759949,-1.0075141191482544,Yes,True
can be lied on,a piano,'',Can a piano be lied on?,No,random,-0.9368331432342529,-0.5621646046638489,No,True
can be listened to,a seagull,'',Can a seagull be listened to?,No,random,-1.2183057069778442,-0.4060647785663605,No,True
can be locked,a spear,'',Can a spear be locked?,No,random,-0.909710168838501,-0.5974920988082886,No,True
can be long,a boat,'',Can a boat be long?,Yes,random,-0.4781436324119568,-1.1013509035110474,Yes,True
can be long and thin in shape,a ball,'',Can a ball be long and thin in shape?,No,random,-0.7962955832481384,-0.6715448498725891,No,True
can be loose,a nectarine,'',Can a nectarine be loose?,No,random,-1.460669994354248,-0.3377920389175415,No,True
can be made from barley,whiskey,'',Can whiskey be made from barley?,Yes,random,-0.5622040629386902,-0.9374151229858398,Yes,True
can be made from goat's milk,a hamster,'',Can a hamster be made from goat's milk?,No,random,-1.3589236736297607,-0.3571954071521759,No,True
can be made from wheat,flour,'',Can flour be made from wheat?,Yes,random,-0.3785000741481781,-1.249884009361267,Yes,True
can be made in a teapot,a jacket,'',Can a jacket be made in a teapot?,No,random,-1.5932140350341797,-0.2789921164512634,No,True
can be made into juice,a date,'',Can a date be made into juice?,Yes,random,-1.0854378938674927,-0.4587765038013458,No,False
can be made into juice,a eucalyptus tree,'',Can a eucalyptus tree be made into juice?,No,random,-1.1321403980255127,-0.4470018446445465,No,True
can be made of blackcurrant,jam,'',Can jam be made of blackcurrant?,Yes,random,-0.42342910170555115,-1.171728491783142,Yes,True
can be made of bronze,a falcon,'',Can a falcon be made of bronze?,No,random,-1.3509875535964966,-0.35528138279914856,No,True
can be made of canvas material,a deckchair,'',Can a deckchair be made of canvas material?,Yes,random,-0.4387418031692505,-1.187221884727478,Yes,True
can be made of cardboard,a willow tree,'',Can a willow tree be made of cardboard?,No,random,-1.3121429681777954,-0.376803994178772,No,True
can be made of cashmere,a shawl,'',Can a shawl be made of cashmere?,Yes,random,-0.41754648089408875,-1.2888509035110474,Yes,True
can be made of cashmere,a lizard,'',Can a lizard be made of cashmere?,No,random,-2.2184040546417236,-0.1511709839105606,No,True
can be made of ceramic,a bowl,'',Can a bowl be made of ceramic?,Yes,random,-0.46824657917022705,-1.0935964584350586,Yes,True
can be made of chainmail,a stocking,'',Can a stocking be made of chainmail?,No,random,-1.3120120763778687,-0.376722127199173,No,True
can be made of corduroy,a shovel,'',Can a shovel be made of corduroy?,No,random,-1.4448206424713135,-0.3181275427341461,No,True
can be made of denim,a jacket,'',Can a jacket be made of denim?,Yes,random,-0.34916242957115173,-1.3513509035110474,Yes,True
can be made of ebony,leek,'',Can leek be made of ebony?,No,random,-1.3586310148239136,-0.35720911622047424,No,True
can be made of fabric,pumpkin,'',Can pumpkin be made of fabric?,No,random,-1.6868735551834106,-0.249704048037529,No,True
can be made of gold,a chandelier,'',Can a chandelier be made of gold?,Yes,random,-0.49769049882888794,-1.1248313188552856,Yes,True
can be made of gold,blueberry,'',Can blueberry be made of gold?,No,random,-2.1089236736297607,-0.1755533516407013,No,True
can be made of ivory,a piano,'',Can a piano be made of ivory?,Yes,random,-1.0071810483932495,-0.5075652003288269,No,False
can be made of ivory,a coach,'',Can a coach be made of ivory?,No,random,-1.0148574113845825,-0.5114192366600037,No,True
can be made of kevlar,an armor,'',Can an armor be made of kevlar?,Yes,random,-0.5150633454322815,-1.07785964012146,Yes,True
can be made of lace,a hornet,'',Can a hornet be made of lace?,No,random,-1.3981528282165527,-0.33584511280059814,No,True
can be made of linen,a blouse,'',Can a blouse be made of linen?,Yes,random,-0.4820244014263153,-1.1092373132705688,Yes,True
can be made of metal and plastic,a whisk,'',Can a whisk be made of metal and plastic?,Yes,random,-0.5658153891563416,-0.9412020444869995,Yes,True
can be made of metal and plastic,mayonnaise,'',Can mayonnaise be made of metal and plastic?,No,random,-1.3587582111358643,-0.36105385422706604,No,True
can be made of nylon,a cape,'',Can a cape be made of nylon?,Yes,random,-0.561911404132843,-0.9997694492340088,Yes,True
can be made of nylon,a grenade,'',Can a grenade be made of nylon?,No,random,-1.1166034936904907,-0.4918748736381531,No,True
can be made of plastic,a toe,'',Can a toe be made of plastic?,No,random,-1.1167861223220825,-0.49007749557495117,No,True
can be made of satin,a gown,'',Can a gown be made of satin?,Yes,random,-0.47809407114982605,-1.1013637781143188,Yes,True
can be made of silk,a cape,'',Can a cape be made of silk?,Yes,random,-0.6362249851226807,-0.9490584135055542,Yes,True
can be made of soft fabric,a skirt,'',Can a skirt be made of soft fabric?,Yes,random,-0.6832152009010315,-0.8084454536437988,Yes,True
can be made of soft fabric,rhubarb,'',Can rhubarb be made of soft fabric?,No,random,-2.0465009212493896,-0.17756737768650055,No,True
can be made of steel,a ship,'',Can a ship be made of steel?,Yes,random,-0.39021405577659607,-1.2654536962509155,Yes,True
can be made of wood,a stool,'',Can a stool be made of wood?,Yes,random,-0.5309805274009705,-1.0311508178710938,Yes,True
can be made of wood,a dressing gown,'',Can a dressing gown be made of wood?,No,random,-1.0152623653411865,-0.5154640674591064,No,True
can be made of wood and fabric,a bagpipe,'',Can a bagpipe be made of wood and fabric?,Yes,random,-0.7924264669418335,-0.6677813529968262,No,False
can be made using a kettle,tea,'',Can tea be made using a kettle?,Yes,random,-0.3178369104862213,-1.445131540298462,Yes,True
can be made using a tire,a swing,'',Can a swing be made using a tire?,Yes,random,-0.518949568271637,-1.0232014656066895,Yes,True
can be made using a tire,cauliflower,'',Can cauliflower be made using a tire?,No,random,-1.4523574113845825,-0.3278049826622009,No,True
can be made with a stick,a catapult,'',Can a catapult be made with a stick?,Yes,random,-0.6792032718658447,-0.8044978380203247,Yes,True
can be matured,cheese,'',Can cheese be matured?,Yes,random,-0.386193186044693,-1.2654308080673218,Yes,True
can be messy to eat,peach,'',Can peach be messy to eat?,Yes,random,-0.20749391615390778,-2.0154426097869873,Yes,True
can be messy to eat,a submarine,'',Can a submarine be messy to eat?,No,random,-0.5580429434776306,-0.9333493113517761,Yes,False
can be mild in taste,a fir tree,'',Can a fir tree be mild in taste?,No,random,-1.84317946434021,-0.2184249758720398,No,True
can be milked by a machine,a pansy,'',Can a pansy be milked by a machine?,No,random,-2.327307939529419,-0.13918326795101166,No,True
can be oily,a wallet,'',Can a wallet be oily?,No,random,-0.8862830400466919,-0.6365128755569458,No,True
can be operated by pirates,a radio,'',Can a radio be operated by pirates?,No,random,-0.7258009314537048,-0.7887733578681946,Yes,False
can be padded with straw and hay,a hutch,'',Can a hutch be padded with straw and hay?,Yes,random,-0.6589058041572571,-0.8469654321670532,Yes,True
can be part of an armor,plum,'',Can plum be part of an armor?,No,random,-0.9990885853767395,-0.5620694160461426,No,True
can be pinstriped,a drum,'',Can a drum be pinstriped?,No,random,-0.948500394821167,-0.5739374756813049,No,True
can be pitted,an olive,'',Can an olive be pitted?,Yes,random,-0.7886912226676941,-0.663917064666748,No,False
can be played,a saxophone,'',Can a saxophone be played?,Yes,random,-0.2709367573261261,-1.7106528282165527,Yes,True
can be played,a scalpel,'',Can a scalpel be played?,No,random,-1.6397552490234375,-0.26526230573654175,No,True
can be plucked,a cello,'',Can a cello be plucked?,Yes,random,-1.2495955228805542,-0.3787567615509033,No,False
can be pulled by a tractor,a plow,'',Can a plow be pulled by a tractor?,Yes,random,-0.3860004246234894,-1.2652842998504639,Yes,True
can be pulled by animals,a hawk,'',Can a hawk be pulled by animals?,No,random,-1.2959775924682617,-0.3628281056880951,No,True
can be pumped,a football,'',Can a football be pumped?,Yes,random,-1.249333143234253,-0.3767072260379791,No,False
can be pushed by the person sitting in it,a wheelchair,'',Can a wheelchair be pushed by the person sitting in it?,Yes,random,-0.7219434976577759,-0.7223088145256042,Yes,True
