property,prefix,Context,Question,Correct Answer,negative_sample_type,eval_split_ratio,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,calib_yes_mean,calib_no_mean,raw_predicted_answer,raw_is_correct,kfold_predicted_answer,kfold_is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,20.0,0,-4.264710903167725,-5.014710903167725,-0.47437963496361446,0.6411413202683134,-3.79033126820411,-5.655852223436038,Yes,True,False,False
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,20.0,3,-3.9950826168060303,-8.37219524383545,-0.20509954375170514,-2.7445527256954287,-3.789983073054325,-5.6276425181400205,Yes,True,True,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,20.0,2,-4.205845832824707,-4.271185874938965,-0.4301624741937431,1.3459182980514708,-3.775683358630964,-5.617104172990436,Yes,False,False,True
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,20.0,1,-6.589271545410156,-4.217100143432617,-2.7976477455170383,1.4531074852460906,-3.791623799893118,-5.670207628678708,No,True,False,True
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,20.0,4,-5.467381954193115,-2.358531951904297,-1.6597375373045602,3.2874455174519905,-3.807644416888555,-5.645977469356287,No,True,False,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,20.0,3,-3.5842642784118652,-4.686122894287109,0.2057187946424599,0.9415196238529111,-3.789983073054325,-5.6276425181400205,Yes,False,False,True
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,20.0,0,-5.114618301391602,-3.5483365058898926,-1.3242870331874914,2.1075157175461454,-3.79033126820411,-5.655852223436038,No,False,False,False
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,20.0,3,-3.824233055114746,-6.401483535766602,-0.03424998206042096,-0.7738410176265811,-3.789983073054325,-5.6276425181400205,Yes,False,True,False
can affect urine,hair,'',Can hair affect urine?,No,random,20.0,0,-3.328205108642578,-4.7666401863098145,0.462126159561532,0.8892120371262235,-3.79033126820411,-5.655852223436038,Yes,False,False,True
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,20.0,0,-3.916722059249878,-5.5251336097717285,-0.12639079104576778,0.13071861366430948,-3.79033126820411,-5.655852223436038,Yes,False,False,True
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,20.0,1,-5.374244213104248,-5.812164783477783,-1.5826204132111301,-0.14195715479907545,-3.791623799893118,-5.670207628678708,Yes,False,False,True
can bark,an arrow,'',Can an arrow bark?,No,random,20.0,4,-3.1794052124023438,-3.801452159881592,0.6282392044862113,1.8445253094746956,-3.807644416888555,-5.645977469356287,Yes,False,False,True
can be a distraction,a television,'',Can a television be a distraction?,Yes,random,20.0,0,-2.0595145225524902,-6.0572662353515625,1.73081674565162,-0.4014140119155245,-3.79033126820411,-5.655852223436038,Yes,True,True,True
can be a distraction,cider,'',Can cider be a distraction?,No,random,20.0,3,-2.463003158569336,-5.334863185882568,1.3269799144849892,0.2927793322574521,-3.789983073054325,-5.6276425181400205,Yes,False,True,False
