task,QID,AnsRefIDs,Context,Question,Correct Answer,eval_split_ratio,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,calib_yes_mean,calib_no_mean,raw_predicted_answer,raw_is_correct,kfold_predicted_answer,kfold_is_correct
qa1,15,[13],Sandra went to the hallway.,Is Sandra in the hallway?,Yes,20.0,0,-2.9343223571777344,-17.74951171875,2.1433970275800673,-11.70277063161678,-5.077719384757802,-6.04674108713322,Yes,True,True,True
qa1,15,[13],Sandra went to the hallway.,Is Sandra in the bathroom?,No,20.0,0,-13.431929588317871,-0.12782049179077148,-8.354210203560068,5.918920595342448,-5.077719384757802,-6.04674108713322,No,True,False,True
qa1,6,[1],John travelled to the kitchen.,Is John in the kitchen?,Yes,20.0,3,-1.6052324771881104,-14.436530113220215,3.5155885087015726,-8.312968464011405,-5.120820985889683,-6.123561649208811,Yes,True,True,True
qa1,6,[1],John travelled to the kitchen.,Is John in the hallway?,No,20.0,2,-11.304405212402344,-0.07095068693161011,-6.216323921224102,6.100326459323211,-5.088081291178241,-6.1712771462548215,No,True,False,True
qa1,6,[2],Sandra moved to the kitchen.,Is Sandra in the kitchen?,Yes,20.0,4,-2.5735762119293213,-16.874290466308594,2.531810130132362,-10.730614545221517,-5.105386342061683,-6.143675921087076,Yes,True,True,True
qa1,6,[2],Sandra moved to the kitchen.,Is Sandra in the garden?,No,20.0,4,-11.991385459899902,-0.06284833699464798,-6.885999117838219,6.080827584092428,-5.105386342061683,-6.143675921087076,No,True,False,True
qa1,6,[4],Sandra went to the bathroom.,Is Sandra in the bathroom?,Yes,20.0,0,-3.041722059249878,-13.186833381652832,2.035997325507924,-7.140092294519612,-5.077719384757802,-6.04674108713322,Yes,True,True,True
qa1,6,[4],Sandra went to the bathroom.,Is Sandra in the bedroom?,No,20.0,2,-11.053885459899902,-0.314222127199173,-5.965804168721661,5.8570550190556485,-5.088081291178241,-6.1712771462548215,No,True,False,True
qa1,6,[4],Sandra travelled to the office.,Is Sandra in the office?,Yes,20.0,1,-2.1213998794555664,-13.436744689941406,2.8538195539421087,-7.218441291716105,-4.975219433397675,-6.218303398225301,Yes,True,True,True
qa1,6,[4],Sandra travelled to the office.,Is Sandra in the hallway?,No,20.0,1,-3.85188627243042,-1.7417032718658447,1.1233331609672552,4.476600126359457,-4.975219433397675,-6.218303398225301,No,True,False,True
qa1,15,[11],John moved to the bathroom.,Is John in the bathroom?,Yes,20.0,2,-2.2447662353515625,-15.124195098876953,2.843315055826679,-8.952917952622132,-5.088081291178241,-6.1712771462548215,Yes,True,True,True
qa1,15,[11],John moved to the bathroom.,Is John in the office?,No,20.0,1,-12.680353164672852,-0.07067633420228958,-7.705133731275176,6.147627064023012,-4.975219433397675,-6.218303398225301,No,True,False,True
qa1,15,[11],Sandra went back to the bathroom.,Is Sandra in the bathroom?,Yes,20.0,0,-2.6978089809417725,-14.561911582946777,2.3799104038160293,-8.515170495813557,-5.077719384757802,-6.04674108713322,Yes,True,True,True
qa1,15,[11],Sandra went back to the bathroom.,Is Sandra in the kitchen?,No,20.0,4,-11.741385459899902,-0.1609347015619278,-6.635999117838219,5.982741219525148,-5.105386342061683,-6.143675921087076,No,True,False,True
qa1,12,[10],Mary went to the bathroom.,Is Mary in the bathroom?,Yes,20.0,3,-3.166722059249878,-12.686833381652832,1.954098926639805,-6.563271732444021,-5.120820985889683,-6.123561649208811,Yes,True,True,True
qa1,12,[10],Mary went to the bathroom.,Is Mary in the kitchen?,No,20.0,1,-8.617853164672852,-0.35133734345436096,-3.6426337312751764,5.86696605477094,-4.975219433397675,-6.218303398225301,No,True,False,True
qa1,3,[1],John moved to the bathroom.,Is John in the bathroom?,Yes,20.0,0,-2.2447662353515625,-15.124195098876953,2.832953149406239,-9.077454011743733,-5.077719384757802,-6.04674108713322,Yes,True,True,True
qa1,3,[1],John moved to the bathroom.,Is John in the garden?,No,20.0,2,-12.555353164672852,-0.05627382546663284,-7.46727187349461,6.115003320788189,-5.088081291178241,-6.1712771462548215,No,True,False,True
qa1,3,[2],Mary moved to the bedroom.,Is Mary in the bedroom?,Yes,20.0,2,-1.6985762119293213,-15.311980247497559,3.38950507924892,-9.140703101242737,-5.088081291178241,-6.1712771462548215,Yes,True,True,True
