Family,Model,Avg Plain Acc,Avg KFold Acc,Acc % Change,Avg Plain RSTD,Avg KFold RSTD,RSTD % Change,Domain Count
Falcon,Falcon3-10B-Base,0.5227,0.5730,+9.62%,0.1998,0.0745,-62.71%,57
Falcon,Falcon3-10B-Instruct,0.2751,0.4561,+65.79%,0.3899,0.0687,-82.37%,57
Falcon,Falcon3-3B-Base,0.4558,0.4823,+5.82%,0.1958,0.0880,-55.06%,57
Falcon,Falcon3-3B-Instruct,0.5427,0.5446,+0.35%,0.0792,0.0625,-21.10%,57
Llama,Llama-2-13b-chat-hf,0.5000,0.5149,+2.97%,0.1765,0.1151,-34.78%,57
Llama,Llama-2-13b-hf,0.4099,0.4240,+3.46%,0.1837,0.0760,-58.63%,57
Llama,Llama-2-7b-chat-hf,0.4363,0.4472,+2.52%,0.1699,0.0791,-53.43%,57
Llama,Llama-2-7b-hf,0.2767,0.3111,+12.44%,0.2725,0.0612,-77.55%,57
MPT,mpt-30b,0.3685,0.3779,+2.55%,0.1719,0.0707,-58.91%,57
MPT,mpt-30b-chat,0.4805,0.4825,+0.41%,0.1239,0.0647,-47.80%,57
MPT,mpt-7b,0.2626,0.2682,+2.14%,0.2114,0.0710,-66.42%,57
MPT,mpt-7b-chat,0.3017,0.3500,+15.98%,0.3875,0.0690,-82.20%,57
Qwen,Qwen1.5-32B,0.6496,0.6707,+3.25%,0.1022,0.0918,-10.21%,57
Qwen,Qwen1.5-32B-Chat,0.7027,0.7082,+0.78%,0.0795,0.0781,-1.83%,57
Qwen,Qwen1.5-7B,0.5198,0.5371,+3.33%,0.1585,0.0953,-39.86%,57
Qwen,Qwen1.5-7B-Chat,0.5301,0.5701,+7.54%,0.1611,0.0756,-53.04%,57
