Family,Model,Avg Plain Acc,Avg KFold Acc,Acc % Change,Avg Plain RSTD,Avg KFold RSTD,RSTD % Change,Domain Count
Falcon,Falcon3-10B-Base,0.6698,0.6740,+0.63%,0.1075,0.0734,-31.70%,57
Falcon,Falcon3-10B-Instruct,0.6309,0.6668,+5.69%,0.1147,0.0703,-38.69%,57
Falcon,Falcon3-3B-Base,0.4699,0.5028,+6.99%,0.1885,0.0670,-64.44%,57
Falcon,Falcon3-3B-Instruct,0.5435,0.5565,+2.39%,0.1128,0.0656,-41.88%,57
Llama,Llama-2-13b-chat-hf,0.4897,0.5057,+3.25%,0.1860,0.1052,-43.46%,57
Llama,Llama-2-13b-hf,0.4725,0.4867,+3.01%,0.1642,0.0792,-51.77%,57
Llama,Llama-2-7b-chat-hf,0.4193,0.4370,+4.23%,0.1974,0.0962,-51.29%,57
Llama,Llama-2-7b-hf,0.3363,0.3576,+6.32%,0.2190,0.0756,-65.46%,57
MPT,mpt-30b,0.4051,0.4128,+1.91%,0.1847,0.0832,-54.93%,57
MPT,mpt-30b-chat,0.4811,0.4806,-0.12%,0.1278,0.0650,-49.16%,57
MPT,mpt-7b,0.2951,0.2890,-2.07%,0.2008,0.0877,-56.34%,57
MPT,mpt-7b-chat,0.3056,0.3528,+15.47%,0.3823,0.0620,-83.77%,57
Qwen,Qwen1.5-32B,0.6673,0.6757,+1.26%,0.1023,0.0767,-25.05%,57
Qwen,Qwen1.5-32B-Chat,0.6992,0.7024,+0.46%,0.0805,0.0772,-4.04%,57
Qwen,Qwen1.5-7B,0.5574,0.5612,+0.69%,0.1320,0.0684,-48.17%,57
Qwen,Qwen1.5-7B-Chat,0.5884,0.5918,+0.58%,0.0907,0.0647,-28.66%,57
