Domain,Family,Model,Plain Acc,KFold Acc,Acc % Change,Plain RSTD,KFold RSTD,RSTD % Change
abstract_algebra,Falcon,Falcon3-10B-Base,0.4000,0.4100,+2.50%,0.2415,0.1444,-40.20%
anatomy,Falcon,Falcon3-10B-Base,0.6074,0.6370,+4.88%,0.1088,0.0490,-54.97%
astronomy,Falcon,Falcon3-10B-Base,0.7829,0.7829,+0.00%,0.0424,0.0646,+52.22%
business_ethics,Falcon,Falcon3-10B-Base,0.7100,0.7300,+2.82%,0.0881,0.0464,-47.28%
clinical_knowledge,Falcon,Falcon3-10B-Base,0.7245,0.7472,+3.12%,0.1269,0.0690,-45.61%
college_biology,Falcon,Falcon3-10B-Base,0.8472,0.8125,-4.10%,0.0560,0.0780,+39.45%
college_chemistry,Falcon,Falcon3-10B-Base,0.5500,0.5900,+7.27%,0.1191,0.1076,-9.70%
college_computer_science,Falcon,Falcon3-10B-Base,0.5800,0.5800,+0.00%,0.0592,0.0263,-55.52%
college_mathematics,Falcon,Falcon3-10B-Base,0.4800,0.4600,-4.17%,0.0959,0.0961,+0.21%
college_medicine,Falcon,Falcon3-10B-Base,0.6936,0.6994,+0.83%,0.0619,0.0430,-30.48%
college_physics,Falcon,Falcon3-10B-Base,0.5196,0.5000,-3.77%,0.1017,0.0566,-44.33%
computer_security,Falcon,Falcon3-10B-Base,0.7800,0.8000,+2.56%,0.1183,0.0965,-18.37%
conceptual_physics,Falcon,Falcon3-10B-Base,0.7447,0.7532,+1.14%,0.0772,0.0569,-26.38%
econometrics,Falcon,Falcon3-10B-Base,0.5351,0.5439,+1.64%,0.0817,0.0761,-6.91%
electrical_engineering,Falcon,Falcon3-10B-Base,0.7241,0.7379,+1.90%,0.0842,0.0673,-20.03%
elementary_mathematics,Falcon,Falcon3-10B-Base,0.6429,0.6402,-0.41%,0.0946,0.0621,-34.42%
formal_logic,Falcon,Falcon3-10B-Base,0.5476,0.5238,-4.35%,0.0873,0.1236,+41.54%
global_facts,Falcon,Falcon3-10B-Base,0.4100,0.4500,+9.76%,0.1874,0.1193,-36.37%
high_school_biology,Falcon,Falcon3-10B-Base,0.8226,0.8323,+1.18%,0.0395,0.0317,-19.66%
high_school_chemistry,Falcon,Falcon3-10B-Base,0.6256,0.6355,+1.57%,0.0618,0.0912,+47.66%
high_school_computer_science,Falcon,Falcon3-10B-Base,0.7800,0.7700,-1.28%,0.0753,0.0803,+6.71%
