question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
"When someone uses grammar or punctuation in a way that makes a statement have more than one possible interpretation, that person may have committed which of the following fallacies?",(A) Amphiboly,(B) Hypostatization,(C) Question begging epithets,(D) Style over substance,A,A,True,20.0,0,-0.006060673855245113,-9.070379257202148,-8.294085502624512,-5.55039119720459,8.70086412554749,-1.5946217146493957,-1.0645938618691044,0.8183948864537971,-8.706924799402735,-7.475757542552753,-7.229491640755407,-6.368786083658387,A,A,True,True
"The Dean was showing a visitor around the campus. The visitor asked, ""About how many students do you have here?"" After a moment of reflection the Dean replied, ""Oh, I'd guess about one in a hundred.""",(A) Equivocation,(B) Fallacy of Division,(C) Appeal to Authority,(D) Denying the Antecedent,A,B,False,20.0,0,-9.649511337280273,-0.0019301577704027295,-8.417778968811035,-9.703752517700195,-0.9425865378775384,7.47382738478235,-1.1882873280556279,-3.3349664340418084,-8.706924799402735,-7.475757542552753,-7.229491640755407,-6.368786083658387,B,B,False,False
"E.F. Schumacher, famous economist, in an article in the Atlantic (April 1979): Fifteen months [after I had advised that rural India should have a technology intermediate between the hoe and the tractor,] an all-India conference on intermediate technology was arranged. (They still didn't like the term [intermediate], so they called it appropriate technology. That's all right: when I come to India and somebody says, ""Oh, Mr. Schumacher, I don't believe in appropriate technology"", I just look him straight in the face and say, ""Oh, that's splendid. Do you believe in inappropriate technology?"")",(A) Equivocation,(B) Inconsistency,(C) Appeal to Authority,(D) Prejudicial Language,A,D,False,20.0,0,-0.8056966662406921,-4.427220821380615,-5.309558868408203,-0.6238310933113098,7.901228133162043,3.0485367211721375,1.9199327723472042,5.744954990347077,-8.706924799402735,-7.475757542552753,-7.229491640755407,-6.368786083658387,D,A,False,True
Arguing that someone should do something because other people are doing it is a description of which of the following fallacies?,(A) appeal to common practice,(B) snob appeal,(C) argument by consensus,(D) appeal to tradition,A,C,False,20.0,0,-5.340526103973389,-9.912611961364746,-0.013657324947416782,-10.86359691619873,3.3663986954293463,-2.4368544188119934,7.2158343158079905,-4.4948108325403435,-8.706924799402735,-7.475757542552753,-7.229491640755407,-6.368786083658387,C,C,False,False
"John Stuart Mill: Each person's happiness is a good to that person, and the general happiness, therefore, a good to the aggregate of all persons.",(A) Fallacy of Composition,(B) Fallacy of Division,(C) Gambler's Fallacy,(D) Equivocation,A,B,False,20.0,0,-1.2661123275756836,-0.33984240889549255,-7.026812553405762,-5.557295799255371,7.440812471827051,7.13591513365726,0.20267908734964557,0.8114902844030158,-8.706924799402735,-7.475757542552753,-7.229491640755407,-6.368786083658387,B,A,False,True
Which of the following best describes the fallacy of poisoning the well?,"(A) a way of suppressing evidence that eliminates a source of evidence from consideration by claiming the source is flawed, when there is no true relationship between the alleged flaw and the reliability of the source","(B) arguing that a claim should be accepted based on evidence that is not presented, but asserted to be well known or obvious.","(C) arguing something should be done based only on evidence that it's been done that way in the past, or should be believed only because it's been believed for a long time.",(D) reasoning that a claim is true based only on the evidence that it has been made so often.,A,A,True,20.0,0,-0.00043990451376885176,-10.671936988830566,-9.370888710021973,-11.093193054199219,8.706484894888966,-3.1961794462778137,-2.1413970692665654,-4.724406970540832,-8.706924799402735,-7.475757542552753,-7.229491640755407,-6.368786083658387,A,A,True,True
"All things that are spoiled are inedible. Timothy is spoiled. So, Timothy is inedible.",(A) Equivocation,(B) Attacking the Person (ad hominem),(C) Fallacy of Division,(D) Questionable Cause,A,C,False,20.0,0,-3.633608818054199,-5.312224864959717,-0.049633730202913284,-4.2688164710998535,5.073315981348536,2.163532677593036,7.179857910552494,2.0999696125585334,-8.706924799402735,-7.475757542552753,-7.229491640755407,-6.368786083658387,C,C,False,False
"In a conditional syllogism, when the minor premise denies the antecedent",(A) no valid conclusion can be drawn,(B) the conclusion must affirm the consequent,(C) the conclusion must deny the consequent,(D) the conclusion must affirm the antecedent,A,C,False,20.0,0,-1.6252461671829224,-8.825228691101074,-0.2233029156923294,-10.33817195892334,7.081678632219813,-1.3494711485483215,7.006188725063078,-3.969385875264953,-8.706924799402735,-7.475757542552753,-7.229491640755407,-6.368786083658387,C,A,False,True
Another name for the fallacy of complex question is,(A) Fallacy of interrogation,(B) Compound proposition,(C) Appeal to ignorance,(D) Extension,A,A,True,20.0,0,-4.386805812828243e-05,-12.171024322509766,-14.48602294921875,-13.241093635559082,8.706880931344607,-4.695266779957013,-7.256531308463343,-6.872307551900695,-8.706924799402735,-7.475757542552753,-7.229491640755407,-6.368786083658387,A,A,True,True
Arguing that an idea should be accepted or rejected only because of the source of the idea commits which of the following fallacies?,(A) genetic fallacy,(B) appeal to popularity,(C) scare tactics,(D) appeal to emotions,A,A,True,20.0,1,-1.6720364093780518,-8.936117172241211,-9.074851036071777,-6.891963958740234,6.873159722002162,-1.626608146476868,-1.7391341633426611,-0.4268535535069642,-8.545196131380214,-7.309509025764343,-7.335716872729116,-6.46511040523327,A,A,True,True
The appeal to joy fallacy involves,(A) arguing that someone should do something based only on the assertion that it will make him or her feel happier,(B) causing confusion during refutation because of a lack of ability to engage in refutation,(C) arguing for a conclusion based only on feeling sorry for someone when that feeling is irrelevant to the conclusion,(D) arguing someone should do something only because other people will like him or her for doing it,A,A,True,20.0,1,-2.50339189733495e-06,-13.95858383178711,-14.621642112731934,-13.943047523498535,8.545193627988317,-6.6490748060227665,-7.285925240002817,-7.477937118265265,-8.545196131380214,-7.309509025764343,-7.335716872729116,-6.46511040523327,A,A,True,True
