Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,yes_logprob,no_logprob,predicted_answer,is_correct
1,1,material-dynamics,1,material,1,Chao sees something that is fabric.,Can Chao fold it?,Yes,-1.1211682558059692,-1.872445821762085,Yes,True
2,1,material-dynamics,1,material,1,Chao sees something that is fabric.,Can Chao pour it?,No,-3.5889835357666016,-0.5873777270317078,No,True
3,1,material-dynamics,1,material,2,Chao sees something that is liquid.,Can Chao fold it?,No,-3.793102502822876,-0.6035174131393433,No,True
4,1,material-dynamics,1,material,2,Chao sees something that is liquid.,Can Chao pour it?,Yes,-0.8435619473457336,-2.653531312942505,Yes,True
5,2,material-dynamics,2,material,1,Chao sees the denim.,Can Chao fold it?,Yes,-1.0643374919891357,-1.9963998794555664,Yes,True
6,2,material-dynamics,2,material,1,Chao sees the denim.,Can Chao pour it?,No,-1.8208659887313843,-0.8828418254852295,No,True
7,2,material-dynamics,2,material,2,Chao sees the water.,Can Chao fold it?,No,-3.463676929473877,-0.6539241671562195,No,True
8,2,material-dynamics,2,material,2,Chao sees the water.,Can Chao pour it?,Yes,-1.0729721784591675,-1.8876856565475464,Yes,True
10,3,material-dynamics,3,material,1,Chao sees something that is fabric.,Can Chao stir it?,No,-1.7612159252166748,-1.0752760171890259,No,True
12,3,material-dynamics,3,material,2,Chao sees something that is liquid.,Can Chao stir it?,Yes,-1.4956591129302979,-1.3720145225524902,No,False
16,4,material-dynamics,4,material,2,Chao sees the water.,Can Chao stir it?,Yes,-1.2287172079086304,-1.855483055114746,Yes,True
20,5,material-dynamics,5,material,2,Chao sees something that is gas.,Can Chao stir it?,Yes,-2.2606301307678223,-0.8836981654167175,No,False
24,6,material-dynamics,6,material,2,Chao sees the oxygen.,Can Chao stir it?,Yes,-1.454274296760559,-1.3941303491592407,No,False
25,7,material-dynamics,7,material,1,Chao sees something that is rigid.,Can it break?,Yes,-1.4876030683517456,-1.5520728826522827,Yes,True
26,7,material-dynamics,7,material,1,Chao sees something that is rigid.,Can it ripple?,No,-3.4781627655029297,-0.6024481654167175,No,True
27,7,material-dynamics,7,material,2,Chao sees something that is fabric.,Can it break?,No,-1.4635162353515625,-1.5276498794555664,Yes,False
28,7,material-dynamics,7,material,2,Chao sees something that is fabric.,Can it ripple?,Yes,-1.3682847023010254,-1.6209216117858887,Yes,True
31,8,material-dynamics,8,material,2,Chao sees something that is liquid.,Can it break?,No,-1.3538906574249268,-1.731045126914978,Yes,False
32,8,material-dynamics,8,material,2,Chao sees something that is liquid.,Can it ripple?,Yes,-1.0014533996582031,-2.8239824771881104,Yes,True
33,9,material-dynamics,9,material,1,Chao sees something that is non-rigid.,Can it break?,Yes,-1.3006407022476196,-2.1069376468658447,Yes,True
34,9,material-dynamics,9,material,1,Chao sees something that is non-rigid.,Can it ripple?,No,-1.2606302499771118,-2.0125925540924072,Yes,False
37,10,material-dynamics,10,material,1,Chao sees the feather.,Can it break?,Yes,-1.5565714836120605,-1.5593222379684448,Yes,True
38,10,material-dynamics,10,material,1,Chao sees the feather.,Can it ripple?,No,-1.6200826168060303,-1.3721951246261597,No,True
40,10,material-dynamics,10,material,2,Chao sees the denim.,Can it ripple?,Yes,-1.4225959777832031,-1.6758854389190674,Yes,True
47,12,material-dynamics,12,material,2,Chao sees the water.,Can it break?,No,-1.3929102420806885,-1.5829752683639526,Yes,False
