property,prefix,Context,Question,Correct Answer,negative_sample_type,eval_split_ratio,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,calib_yes_mean,calib_no_mean,raw_predicted_answer,raw_is_correct,kfold_predicted_answer,kfold_is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,20.0,0,-0.6127989292144775,-0.863092303276062,0.5549342054319346,-0.15897266270947596,-1.1677331346464122,-0.704119640566586,Yes,True,True,True
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,20.0,3,-0.5581371784210205,-1.0622386932373047,0.6218155358141908,-0.36454028427999996,-1.1799527142352113,-0.6976984089573047,Yes,True,True,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,20.0,2,-2.0619804859161377,-0.19206611812114716,-0.882550839363553,0.5108156289994007,-1.1794296465525846,-0.7028817471205479,No,True,False,True
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,20.0,1,-2.265213966369629,-0.1433718353509903,-1.0892006371236806,0.5559868328295471,-1.1760133292459483,-0.6993586681805374,No,True,False,True
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,20.0,4,-2.9526593685150146,-0.07839324325323105,-1.7768941331344346,0.6169516492856755,-1.17576523538058,-0.6953448925389065,No,True,False,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,20.0,3,-1.4522552490234375,-0.32764458656311035,-0.2723025347882262,0.3700538223941944,-1.1799527142352113,-0.6976984089573047,No,True,False,True
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,20.0,0,-1.1781967878341675,-0.43040233850479126,-0.010463653187755328,0.2737173020617948,-1.1677331346464122,-0.704119640566586,No,False,False,False
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,20.0,3,-1.44475519657135,-0.31814149022102356,-0.2648024823361388,0.37955691873628117,-1.1799527142352113,-0.6976984089573047,No,True,False,True
can affect urine,hair,'',Can hair affect urine?,No,random,20.0,0,-0.9796290397644043,-0.6051185727119446,0.18810409488200786,0.09900106785464147,-1.1677331346464122,-0.704119640566586,No,True,True,False
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,20.0,0,-1.397663950920105,-0.33357104659080505,-0.22993081627369283,0.370548593975781,-1.1677331346464122,-0.704119640566586,No,True,False,True
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,20.0,1,-1.4449048042297363,-0.3181275427341461,-0.26889147498378807,0.38123112544639126,-1.1760133292459483,-0.6993586681805374,No,True,False,True
can bark,an arrow,'',Can an arrow bark?,No,random,20.0,4,-2.608830690383911,-0.11689381301403046,-1.433065455003331,0.5784510795248761,-1.17576523538058,-0.6953448925389065,No,True,False,True
can be a distraction,a television,'',Can a television be a distraction?,Yes,random,20.0,0,-0.2730484902858734,-1.6482536792755127,0.8946846443605387,-0.9441340387089266,-1.1677331346464122,-0.704119640566586,Yes,True,True,True
can be a distraction,cider,'',Can cider be a distraction?,No,random,20.0,3,-0.5619470477104187,-0.9997694492340088,0.6180056665247926,-0.30207104027670406,-1.1799527142352113,-0.6976984089573047,Yes,False,True,False
can be a source of entertainment,a guitar,'',Can a guitar be a source of entertainment?,Yes,random,20.0,3,-0.14391203224658966,-2.2653050422668457,1.0360406819886216,-1.5676066333095409,-1.1799527142352113,-0.6976984089573047,Yes,True,True,True
can be a source of entertainment,an armor,'',Can an armor be a source of entertainment?,No,random,20.0,0,-0.8390671610832214,-0.6519012451171875,0.3286659735631907,0.05221839544939855,-1.1677331346464122,-0.704119640566586,No,True,True,False
can be acoustic,a limousine,'',Can a limousine be acoustic?,No,random,20.0,1,-1.7884504795074463,-0.2262733429670334,-0.612437150261498,0.473085325213504,-1.1760133292459483,-0.6993586681805374,No,True,False,True
can be added to a hot drink,a rollerskate,'',Can a rollerskate be added to a hot drink?,No,random,20.0,0,-0.7331097722053528,-0.7335052490234375,0.43462336244105937,-0.029385608456851453,-1.1677331346464122,-0.704119640566586,Yes,False,True,False
can be added to alcoholic drinks,a buffalo,'',Can a buffalo be added to alcoholic drinks?,No,random,20.0,3,-0.6202408075332642,-0.8705762624740601,0.5597119067019471,-0.17287785351675533,-1.1799527142352113,-0.6976984089573047,Yes,False,True,False
can be added to cake,cabbage,'',Can cabbage be added to cake?,No,random,20.0,3,-0.6866165995597839,-0.8121646046638489,0.4933361146754274,-0.11446619570654415,-1.1799527142352113,-0.6976984089573047,Yes,False,True,False
can be added to cereal,cabbage,'',Can cabbage be added to cereal?,No,random,20.0,2,-0.4619557559490204,-1.2104966640472412,0.7174738906035643,-0.5076149169266934,-1.1794296465525846,-0.7028817471205479,Yes,False,True,False
can be airborne,chocolate,'',Can chocolate be airborne?,No,random,20.0,2,-0.8863094449043274,-0.6365370750427246,0.29312020164825725,0.06634467207782324,-1.1794296465525846,-0.7028817471205479,No,True,True,False
can be attached to a DVD player,a caterpillar,'',Can a caterpillar be attached to a dvd player?,No,random,20.0,2,-2.014575958251953,-0.20053669810295105,-0.8351463116993685,0.5023450490175968,-1.1794296465525846,-0.7028817471205479,No,True,False,True
can be attached to a car,an ear,'',Can an ear be attached to a car?,No,random,20.0,3,-1.6321403980255127,-0.2555219531059265,-0.4521876837903014,0.4421764558513782,-1.1799527142352113,-0.6976984089573047,No,True,False,True
can be attached to a tractor,hair,'',Can hair be attached to a tractor?,No,random,20.0,3,-1.1710319519042969,-0.4234033524990082,0.008920762330914433,0.27429505645829655,-1.1799527142352113,-0.6976984089573047,No,True,False,True
can be attached to a tree,a swing,'',Can a swing be attached to a tree?,Yes,random,20.0,4,-0.49752846360206604,-1.124754548072815,0.678236771778514,-0.4294096555339084,-1.17576523538058,-0.6953448925389065,Yes,True,True,True
can be attached to an oven,a stove,'',Can a stove be attached to an oven?,Yes,random,20.0,1,-0.936911404132843,-0.5621848702430725,0.23910192511310524,0.13717379793746487,-1.1760133292459483,-0.6993586681805374,No,False,True,True
can be attached to bicycles,a toad,'',Can a toad be attached to bicycles?,No,random,20.0,0,-1.1398574113845825,-0.4507617652416229,0.027875723261829632,0.2533578753249631,-1.1677331346464122,-0.704119640566586,No,True,False,True
can be bad for the teeth,lemonade,'',Can lemonade be bad for the teeth?,Yes,random,20.0,1,-0.8081371784210205,-0.683425784111023,0.36787615082492775,0.01593288406951443,-1.1760133292459483,-0.6993586681805374,No,False,True,True
can be baked,a bean,'',Can a bean be baked?,Yes,random,20.0,2,-0.8080762624740601,-0.6833779811859131,0.3713533840785246,0.019503765934634765,-1.1794296465525846,-0.7028817471205479,No,False,True,True
can be baked,broccoli,'',Can broccoli be baked?,No,random,20.0,2,-0.47028490900993347,-1.0936226844787598,0.7091447375426512,-0.3907409373582119,-1.1794296465525846,-0.7028817471205479,Yes,False,True,False
can be bald,an owl,'',Can an owl be bald?,No,random,20.0,3,-1.0229681730270386,-0.5232752561569214,0.15698454120817273,0.17442315280038334,-1.1799527142352113,-0.6976984089573047,No,True,False,True
