property,prefix,Context,Question,Correct Answer,negative_sample_type,eval_split_ratio,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,calib_yes_mean,calib_no_mean,raw_predicted_answer,raw_is_correct,kfold_predicted_answer,kfold_is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,20.0,0,-0.22698119282722473,-10.312368392944336,2.4895585452694267,-5.564596834530433,-2.7165397380966514,-4.747771558413903,Yes,True,True,True
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,20.0,3,-0.4778829514980316,-9.56235122680664,2.250881030991496,-4.85039191948516,-2.728763982489528,-4.7119593073214805,Yes,True,True,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,20.0,2,-7.906040191650391,-0.2948646545410156,-5.167707103807922,4.466485256843623,-2.738333087842468,-4.761349911384639,No,True,False,True
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,20.0,1,-5.343512058258057,-0.4081465005874634,-2.6051784134469926,4.302241680664675,-2.738333644811064,-4.710388181252139,No,True,False,True
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,20.0,4,-8.249820709228516,-0.6444903612136841,-5.521253578535592,4.033240546640895,-2.728567130692924,-4.6777309078545795,No,True,False,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,20.0,3,-2.1712183952331543,-2.04663348197937,0.5575455872563735,2.6653258253421104,-2.728763982489528,-4.7119593073214805,No,True,False,True
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,20.0,0,-0.5653026103973389,-3.3122386932373047,2.1512371276993125,1.4355328651765982,-2.7165397380966514,-4.747771558413903,Yes,True,True,True
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,20.0,3,-4.9059038162231445,-0.7147799730300903,-2.1771398337336167,3.99717933429139,-2.728763982489528,-4.7119593073214805,No,True,False,True
can affect urine,hair,'',Can hair affect urine?,No,random,20.0,0,-0.7138773202896118,-4.46861457824707,2.0026624178070396,0.27915698016683255,-2.7165397380966514,-4.747771558413903,Yes,False,True,False
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,20.0,0,-6.031053066253662,-1.4139742851257324,-3.3145133281570107,3.3337972732881704,-2.7165397380966514,-4.747771558413903,No,True,False,True
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,20.0,1,-2.5934250354766846,-0.7225567102432251,0.14490860933437943,3.9878314710089136,-2.738333644811064,-4.710388181252139,No,True,False,True
can bark,an arrow,'',Can an arrow bark?,No,random,20.0,4,-9.87476921081543,-0.5819849967956543,-7.146202080122506,4.095745911058925,-2.728567130692924,-4.6777309078545795,No,True,False,True
can be a distraction,a television,'',Can a television be a distraction?,Yes,random,20.0,0,-0.3883318305015564,-12.124820709228516,2.328207907595095,-7.377049150814613,-2.7165397380966514,-4.747771558413903,Yes,True,True,True
can be a distraction,cider,'',Can cider be a distraction?,No,random,20.0,3,-0.2535478472709656,-9.562331199645996,2.475216135218562,-4.850371892324516,-2.728763982489528,-4.7119593073214805,Yes,False,True,False
can be a source of entertainment,a guitar,'',Can a guitar be a source of entertainment?,Yes,random,20.0,3,-0.3492613434791565,-12.68735122680664,2.3795026390103713,-7.97539191948516,-2.728763982489528,-4.7119593073214805,Yes,True,True,True
can be a source of entertainment,an armor,'',Can an armor be a source of entertainment?,No,random,20.0,0,-0.3511147201061249,-7.406086444854736,2.3654250179905265,-2.6583148864408335,-2.7165397380966514,-4.747771558413903,Yes,False,True,False
