Type,Digits,Context,Question,Correct Answer,yes_logprob,no_logprob,predicted_answer,is_correct
Arithmetic,1_digit_addition,'',Is 8 plus 3 equal to 17?,No,-0.9628623127937317,-1.7834484577178955,Yes,False
Arithmetic,1_digit_addition,'',Is 1 plus 6 equal to 5?,No,-1.6027634143829346,-1.0433306694030762,No,True
Arithmetic,1_digit_addition,'',Is 1 plus 8 equal to 4?,No,-1.2261533737182617,-1.3549659252166748,Yes,False
Arithmetic,1_digit_addition,'',Is 7 plus 0 equal to 6?,No,-1.2975959777832031,-1.2381407022476196,No,True
Arithmetic,1_digit_addition,'',Is 2 plus 4 equal to 4?,No,-0.9097790718078613,-1.7299659252166748,Yes,False
Arithmetic,1_digit_addition,'',Is 5 plus 1 equal to 9?,No,-0.9875126481056213,-1.737308144569397,Yes,False
Arithmetic,1_digit_addition,'',Is 4 plus 0 equal to 6?,No,-0.9294052720069885,-1.8078798055648804,Yes,False
Arithmetic,1_digit_addition,'',Is 6 plus 6 equal to 70?,No,-1.6798938512802124,-0.9950825572013855,No,True
Arithmetic,1_digit_addition,'',Is 3 plus 8 equal to 77?,No,-1.6491031646728516,-1.0269091129302979,No,True
Arithmetic,1_digit_addition,'',Is 8 plus 1 equal to 8?,No,-1.0071436166763306,-1.5110762119293213,Yes,False
Arithmetic,1_digit_addition,'',Is 5 plus 7 equal to 76?,No,-1.6486438512802124,-1.0888326168060303,No,True
Arithmetic,1_digit_addition,'',Is 2 plus 3 equal to 3?,No,-1.1096404790878296,-1.4253803491592407,Yes,False
Arithmetic,1_digit_addition,'',Is 9 plus 3 equal to 89?,No,-1.4298938512802124,-1.1828798055648804,No,True
Arithmetic,1_digit_addition,'',Is 5 plus 4 equal to 7?,No,-0.9446435570716858,-1.8232835531234741,Yes,False
Arithmetic,1_digit_addition,'',Is 1 plus 4 equal to 8?,No,-0.8356552720069885,-2.151909112930298,Yes,False
Arithmetic,1_digit_addition,'',Is 7 plus 1 equal to 4?,No,-1.4063969850540161,-1.1591064929962158,No,True
Arithmetic,1_digit_addition,'',Is 9 plus 6 equal to 57?,No,-1.5856553316116333,-1.0885162353515625,No,True
Arithmetic,1_digit_addition,'',Is 6 plus 0 equal to 1?,No,-1.1563969850540161,-1.4096875190734863,Yes,False
Arithmetic,1_digit_addition,'',Is 4 plus 7 equal to 86?,No,-1.4288854598999023,-1.244429588317871,No,True
Arithmetic,1_digit_addition,'',Is 4 plus 5 equal to 4?,No,-1.5092161893844604,-1.0119683742523193,No,True
Arithmetic,1_digit_addition,'',Is 7 plus 9 equal to 59?,No,-1.6018863916397095,-1.1045335531234741,No,True
Arithmetic,1_digit_addition,'',Is 9 plus 1 equal to 26?,No,-1.421655535697937,-1.174808144569397,No,True
Arithmetic,1_digit_addition,'',Is 2 plus 1 equal to 6?,No,-1.2971404790878296,-1.3003803491592407,Yes,False
Arithmetic,1_digit_addition,'',Is 5 plus 5 equal to 98?,No,-1.6734267473220825,-0.9881407022476196,No,True
Arithmetic,1_digit_addition,'',Is 5 plus 9 equal to 85?,No,-1.5866031646728516,-1.1516298055648804,No,True
Arithmetic,1_digit_addition,'',Is 9 plus 5 equal to 26?,No,-1.1542304754257202,-1.4709484577178955,Yes,False
Arithmetic,1_digit_addition,'',Is 0 plus 8 equal to 1?,No,-1.3531627655029297,-1.1683306694030762,No,True
Arithmetic,1_digit_addition,'',Is 4 plus 9 equal to 17?,No,-0.8503488898277283,-2.104222059249878,Yes,False
Arithmetic,1_digit_addition,'',Is 6 plus 4 equal to 72?,No,-1.5393863916397095,-1.1048262119293213,No,True
Arithmetic,1_digit_addition,'',Is 4 plus 2 equal to 1?,No,-1.6656627655029297,-0.9219939708709717,No,True
Arithmetic,1_digit_addition,'',Is 0 plus 6 equal to 9?,No,-1.0866031646728516,-1.5274182558059692,Yes,False
Arithmetic,1_digit_addition,'',Is 8 plus 2 equal to 47?,No,-1.5934046506881714,-1.0966064929962158,No,True
Arithmetic,1_digit_addition,'',Is 8 plus 0 equal to 7?,No,-1.3991031646728516,-1.1521716117858887,No,True
Arithmetic,1_digit_addition,'',Is 1 plus 5 equal to 7?,No,-0.9611439108848572,-1.7771716117858887,Yes,False
Arithmetic,1_digit_addition,'',Is 6 plus 5 equal to 83?,No,-1.6798938512802124,-1.0578798055648804,No,True
Arithmetic,1_digit_addition,'',Is 1 plus 2 equal to 6?,No,-1.1798938512802124,-1.4331591129302979,Yes,False
Arithmetic,1_digit_addition,'',Is 5 plus 0 equal to 8?,No,-1.1871546506881714,-1.4409375190734863,Yes,False
Arithmetic,1_digit_addition,'',Is 1 plus 3 equal to 5?,No,-0.8591555953025818,-2.058159112930298,Yes,False
Arithmetic,1_digit_addition,'',Is 4 plus 3 equal to 3?,No,-1.3048938512802124,-1.1831591129302979,No,True
Arithmetic,1_digit_addition,'',Is 6 plus 3 equal to 4?,No,-1.2106553316116333,-1.3388326168060303,Yes,False
Arithmetic,1_digit_addition,'',Is 7 plus 2 equal to 8?,No,-0.9042304754257202,-1.908787727355957,Yes,False
Arithmetic,1_digit_addition,'',Is 6 plus 9 equal to 96?,No,-1.3976354598999023,-1.2760162353515625,No,True
Arithmetic,1_digit_addition,'',Is 9 plus 7 equal to 79?,No,-1.4595825672149658,-1.213179588317871,No,True
Arithmetic,1_digit_addition,'',Is 0 plus 5 equal to 1?,No,-1.4315714836120605,-1.1216176748275757,No,True
Arithmetic,1_digit_addition,'',Is 7 plus 5 equal to 16?,No,-0.9122695922851562,-1.9163906574249268,Yes,False
Arithmetic,1_digit_addition,'',Is 3 plus 3 equal to 4?,No,-0.8508935570716858,-1.9170335531234741,Yes,False
Arithmetic,1_digit_addition,'',Is 8 plus 6 equal to 33?,No,-1.3038854598999023,-1.2447662353515625,No,True
Arithmetic,1_digit_addition,'',Is 3 plus 6 equal to 3?,No,-1.4624401330947876,-1.0276498794555664,No,True
Arithmetic,1_digit_addition,'',Is 0 plus 7 equal to 8?,No,-0.9332800507545471,-1.878702163696289,Yes,False
Arithmetic,1_digit_addition,'',Is 2 plus 6 equal to 6?,No,-0.9919052720069885,-1.5581591129302979,Yes,False
Arithmetic,1_digit_addition,'',Is 1 plus 1 equal to 6?,No,-1.8146984577178955,-0.8796098232269287,No,True
Arithmetic,1_digit_addition,'',Is 2 plus 8 equal to 44?,No,-1.5396159887313843,-1.1049659252166748,No,True
Arithmetic,1_digit_addition,'',Is 6 plus 8 equal to 64?,No,-1.2798234224319458,-1.346287727355957,Yes,False
Arithmetic,1_digit_addition,'',Is 4 plus 1 equal to 7?,No,-1.0148897171020508,-1.7057442665100098,Yes,False
Arithmetic,1_digit_addition,'',Is 7 plus 4 equal to 19?,No,-1.0214941501617432,-1.7128214836120605,Yes,False
Arithmetic,1_digit_addition,'',Is 8 plus 4 equal to 84?,No,-1.1393409967422485,-1.4554102420806885,Yes,False
Arithmetic,1_digit_addition,'',Is 1 plus 7 equal to 4?,No,-1.4143863916397095,-1.167859673500061,No,True
Arithmetic,1_digit_addition,'',Is 7 plus 3 equal to 33?,No,-1.3423234224319458,-1.2834484577178955,No,True
Arithmetic,1_digit_addition,'',Is 7 plus 7 equal to 72?,No,-1.2485734224319458,-1.3771984577178955,Yes,False
Arithmetic,1_digit_addition,'',Is 5 plus 2 equal to 8?,No,-0.865832507610321,-2.0575826168060303,Yes,False
Arithmetic,1_digit_addition,'',Is 3 plus 4 equal to 8?,No,-0.8077581524848938,-2.1825826168060303,Yes,False
Arithmetic,1_digit_addition,'',Is 3 plus 5 equal to 1?,No,-1.7988048791885376,-0.8636153340339661,No,True
Arithmetic,1_digit_addition,'',Is 9 plus 9 equal to 27?,No,-0.8813138008117676,-1.8856302499771118,Yes,False
Arithmetic,1_digit_addition,'',Is 3 plus 9 equal to 97?,No,-1.484155535697937,-1.174808144569397,No,True
Arithmetic,1_digit_addition,'',Is 4 plus 8 equal to 24?,No,-0.8461936712265015,-2.0415589809417725,Yes,False
Arithmetic,1_digit_addition,'',Is 2 plus 0 equal to 8?,No,-1.3995347023010254,-1.2149182558059692,No,True
Arithmetic,1_digit_addition,'',Is 0 plus 0 equal to 2?,No,-1.4163906574249268,-1.0441135168075562,No,True
Arithmetic,1_digit_addition,'',Is 8 plus 7 equal to 61?,No,-1.577905535697937,-1.081058144569397,No,True
Arithmetic,1_digit_addition,'',Is 1 plus 0 equal to 3?,No,-1.4472880363464355,-1.1374964714050293,No,True
Arithmetic,1_digit_addition,'',Is 0 plus 2 equal to 3?,No,-0.9846404194831848,-1.6758854389190674,Yes,False
Arithmetic,1_digit_addition,'',Is 5 plus 8 equal to 38?,No,-1.131598949432373,-1.5729721784591675,Yes,False
Arithmetic,1_digit_addition,'',Is 8 plus 9 equal to 50?,No,-1.7501469850540161,-1.003156065940857,No,True
Arithmetic,1_digit_addition,'',Is 2 plus 5 equal to 5?,No,-1.0313969850540161,-1.534952163696289,Yes,False
Arithmetic,1_digit_addition,'',Is 6 plus 2 equal to 1?,No,-1.6340134143829346,-0.9532439708709717,No,True
Arithmetic,1_digit_addition,'',Is 3 plus 7 equal to 18?,No,-1.006598949432373,-1.6979721784591675,Yes,False
Arithmetic,1_digit_addition,'',Is 0 plus 3 equal to 7?,No,-1.0631097555160522,-1.5664507150650024,Yes,False
Arithmetic,1_digit_addition,'',Is 3 plus 1 equal to 9?,No,-1.3044053316116333,-1.2453798055648804,No,True
Arithmetic,1_digit_addition,'',Is 5 plus 3 equal to 5?,No,-1.1096404790878296,-1.3631407022476196,Yes,False
Arithmetic,1_digit_addition,'',Is 2 plus 2 equal to 5?,No,-1.8697662353515625,-0.8679283857345581,No,True
Arithmetic,1_digit_addition,'',Is 8 plus 5 equal to 30?,No,-1.2330909967422485,-1.3616602420806885,Yes,False
Arithmetic,1_digit_addition,'',Is 1 plus 9 equal to 39?,No,-1.1481553316116333,-1.4644091129302979,Yes,False
Arithmetic,1_digit_addition,'',Is 9 plus 4 equal to 78?,No,-1.7111438512802124,-1.0266298055648804,No,True
Arithmetic,1_digit_addition,'',Is 3 plus 0 equal to 8?,No,-1.1876469850540161,-1.3784375190734863,Yes,False
