Type,Digits,Context,Question,Correct Answer,eval_split_ratio,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,calib_yes_mean,calib_no_mean,raw_predicted_answer,raw_is_correct,kfold_predicted_answer,kfold_is_correct
Arithmetic,1_digit_addition,'',Is 8 plus 3 equal to 17?,No,20.0,0,-5.563457012176514,-4.991535663604736,0.11891892875234245,0.7894580386579033,-5.682375940928856,-5.78099370226264,No,True,False,True
Arithmetic,1_digit_addition,'',Is 1 plus 6 equal to 5?,No,20.0,3,-5.645725727081299,-4.482771873474121,0.026918829232454478,1.276453973601262,-5.672644556313753,-5.759225847075383,No,True,False,True
Arithmetic,1_digit_addition,'',Is 1 plus 8 equal to 4?,No,20.0,4,-5.7889862060546875,-4.366832733154297,-0.12225062698125821,1.4013390146195892,-5.666735579073429,-5.768171747773886,No,True,False,True
Arithmetic,1_digit_addition,'',Is 7 plus 0 equal to 6?,No,20.0,0,-5.909415245056152,-4.86860990524292,-0.22703930412729623,0.9123837970197197,-5.682375940928856,-5.78099370226264,No,True,False,True
Arithmetic,1_digit_addition,'',Is 2 plus 4 equal to 4?,No,20.0,1,-4.9043660163879395,-4.736906051635742,0.7615084409713742,1.0220933303236963,-5.665874457359314,-5.7589993819594385,No,True,False,True
Arithmetic,1_digit_addition,'',Is 5 plus 1 equal to 9?,No,20.0,2,-5.760829448699951,-4.64006233215332,-0.0886809304356575,1.1443668805062774,-5.672148518264294,-5.784429212659598,No,True,False,True
Arithmetic,1_digit_addition,'',Is 4 plus 0 equal to 6?,No,20.0,0,-5.638651371002197,-4.662397384643555,0.04372456992665885,1.118596317619085,-5.682375940928856,-5.78099370226264,No,True,False,True
Arithmetic,1_digit_addition,'',Is 6 plus 6 equal to 70?,No,20.0,3,-6.087610721588135,-4.909224033355713,-0.41496616527438146,0.8500018137196701,-5.672644556313753,-5.759225847075383,No,True,False,True
Arithmetic,1_digit_addition,'',Is 3 plus 8 equal to 77?,No,20.0,0,-6.156659126281738,-5.161207675933838,-0.47428318535288216,0.6197860263288018,-5.682375940928856,-5.78099370226264,No,True,False,True
Arithmetic,1_digit_addition,'',Is 8 plus 1 equal to 8?,No,20.0,2,-5.507249355316162,-4.817004680633545,0.16489916294813156,0.9674245320260528,-5.672148518264294,-5.784429212659598,No,True,False,True
Arithmetic,1_digit_addition,'',Is 5 plus 7 equal to 76?,No,20.0,0,-6.117286682128906,-5.2101826667785645,-0.43491074120005013,0.5708110354840752,-5.682375940928856,-5.78099370226264,No,True,False,True
Arithmetic,1_digit_addition,'',Is 2 plus 3 equal to 3?,No,20.0,0,-5.142918586730957,-4.561999797821045,0.5394573541978991,1.2189939044415947,-5.682375940928856,-5.78099370226264,No,True,False,True
