Type,Digits,Context,Question,Correct Answer,eval_split_ratio,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,calib_yes_mean,calib_no_mean,raw_predicted_answer,raw_is_correct,kfold_predicted_answer,kfold_is_correct
Arithmetic,1_digit_addition,'',Is 8 plus 3 equal to 17?,No,20.0,0,-4.811254501342773,-0.009063535369932652,-1.8357782623526875,1.3500916958106246,-2.975476238990086,-1.3591552311805573,No,True,False,True
Arithmetic,1_digit_addition,'',Is 1 plus 6 equal to 5?,No,20.0,3,-0.5771394968032837,-0.8274886012077332,2.361950019980577,0.6013051294147771,-2.9390895167838607,-1.4287937306225102,Yes,False,True,False
Arithmetic,1_digit_addition,'',Is 1 plus 8 equal to 4?,No,20.0,4,-0.28228992223739624,-1.4056427478790283,2.674466088013711,-0.007374290424255969,-2.9567560102511075,-1.3982684574547724,Yes,False,True,False
Arithmetic,1_digit_addition,'',Is 7 plus 0 equal to 6?,No,20.0,0,-0.014955000020563602,-4.4057464599609375,2.9605212389695224,-3.0465912287803802,-2.975476238990086,-1.3591552311805573,Yes,False,True,False
Arithmetic,1_digit_addition,'',Is 2 plus 4 equal to 4?,No,20.0,1,-0.0021567493677139282,-6.874480724334717,2.8762287495308554,-5.475819832860877,-2.8783854988985693,-1.3986608914738403,Yes,False,True,False
Arithmetic,1_digit_addition,'',Is 5 plus 1 equal to 9?,No,20.0,2,-0.3137418031692505,-1.3119804859161377,2.6677436054587815,0.061987484428391415,-2.981485408628032,-1.373967970344529,Yes,False,True,False
Arithmetic,1_digit_addition,'',Is 4 plus 0 equal to 6?,No,20.0,0,-0.005416125059127808,-5.624332904815674,2.970060113930958,-4.265177673635117,-2.975476238990086,-1.3591552311805573,Yes,False,True,False
Arithmetic,1_digit_addition,'',Is 6 plus 6 equal to 70?,No,20.0,3,-11.373071670532227,-0.0009980362374335527,-8.433982153748365,1.4277956943850767,-2.9390895167838607,-1.4287937306225102,No,True,False,True
Arithmetic,1_digit_addition,'',Is 3 plus 8 equal to 77?,No,20.0,0,-11.998071670532227,-0.0009187801042571664,-9.02259543154214,1.3582364510763,-2.975476238990086,-1.3591552311805573,No,True,False,True
Arithmetic,1_digit_addition,'',Is 8 plus 1 equal to 8?,No,20.0,2,-0.055567435920238495,-2.937164545059204,2.9259179727077935,-1.563196574714675,-2.981485408628032,-1.373967970344529,Yes,False,True,False
Arithmetic,1_digit_addition,'',Is 5 plus 7 equal to 76?,No,20.0,0,-11.873071670532227,-0.0008236171561293304,-8.89759543154214,1.358331614024428,-2.975476238990086,-1.3591552311805573,No,True,False,True
Arithmetic,1_digit_addition,'',Is 2 plus 3 equal to 3?,No,20.0,0,-0.06276597082614899,-2.8119113445281982,2.912710268163937,-1.452756113347641,-2.975476238990086,-1.3591552311805573,Yes,False,True,False
Arithmetic,1_digit_addition,'',Is 9 plus 3 equal to 89?,No,20.0,0,-10.748297691345215,-0.0007245541783049703,-7.772821452355129,1.3584306770022523,-2.975476238990086,-1.3591552311805573,No,True,False,True
Arithmetic,1_digit_addition,'',Is 5 plus 4 equal to 7?,No,20.0,4,-0.007105964235961437,-5.124512195587158,2.949650046015146,-3.7262437381323856,-2.9567560102511075,-1.3982684574547724,Yes,False,True,False
Arithmetic,1_digit_addition,'',Is 1 plus 4 equal to 8?,No,20.0,3,-0.11378572881221771,-2.233631134033203,2.825303787971643,-0.8048374034106929,-2.9390895167838607,-1.4287937306225102,Yes,False,True,False
Arithmetic,1_digit_addition,'',Is 7 plus 1 equal to 4?,No,20.0,1,-0.8272552490234375,-0.5774886012077332,2.051130249875132,0.8211722902661072,-2.8783854988985693,-1.3986608914738403,No,True,True,False
Arithmetic,1_digit_addition,'',Is 9 plus 6 equal to 57?,No,20.0,0,-11.123297691345215,-0.000944719766266644,-8.147821452355128,1.3582105114142906,-2.975476238990086,-1.3591552311805573,No,True,False,True
Arithmetic,1_digit_addition,'',Is 6 plus 0 equal to 1?,No,20.0,1,-0.25280261039733887,-1.50705087184906,2.6255828885012304,-0.10838998037521974,-2.8783854988985693,-1.3986608914738403,Yes,False,True,False
Arithmetic,1_digit_addition,'',Is 4 plus 7 equal to 86?,No,20.0,1,-11.685688018798828,-0.0008075098739936948,-8.807302519900258,1.3978533815998466,-2.8783854988985693,-1.3986608914738403,No,True,False,True
Arithmetic,1_digit_addition,'',Is 4 plus 5 equal to 4?,No,20.0,0,-2.2336761951446533,-0.1133694276213646,0.7418000438454326,1.2457858035591927,-2.975476238990086,-1.3591552311805573,No,True,False,True
Arithmetic,1_digit_addition,'',Is 7 plus 9 equal to 59?,No,20.0,0,-8.435688018798828,-0.0011427548015490174,-5.460211779808742,1.3580124763790082,-2.975476238990086,-1.3591552311805573,No,True,False,True
Arithmetic,1_digit_addition,'',Is 9 plus 1 equal to 26?,No,20.0,4,-11.060688018798828,-0.0010941370856016874,-8.103932008547721,1.3971743203691707,-2.9567560102511075,-1.3982684574547724,No,True,False,True
Arithmetic,1_digit_addition,'',Is 2 plus 1 equal to 6?,No,20.0,4,-4.436173915863037,-0.012600834481418133,-1.4794179056119297,1.3856676229733542,-2.9567560102511075,-1.3982684574547724,No,True,False,True
Arithmetic,1_digit_addition,'',Is 5 plus 5 equal to 98?,No,20.0,4,-10.873297691345215,-0.0008617641287855804,-7.916541681094108,1.3974066933259868,-2.9567560102511075,-1.3982684574547724,No,True,False,True
Arithmetic,1_digit_addition,'',Is 5 plus 9 equal to 85?,No,20.0,3,-11.123071670532227,-0.0008693935233168304,-8.183982153748365,1.4279243370991934,-2.9390895167838607,-1.4287937306225102,No,True,False,True
Arithmetic,1_digit_addition,'',Is 9 plus 5 equal to 26?,No,20.0,4,-6.561088562011719,-0.002232924336567521,-3.6043325517606113,1.3960355331182048,-2.9567560102511075,-1.3982684574547724,No,True,False,True
Arithmetic,1_digit_addition,'',Is 0 plus 8 equal to 1?,No,20.0,0,-0.20252710580825806,-1.7027623653411865,2.772949133181828,-0.34360713416062927,-2.975476238990086,-1.3591552311805573,Yes,False,True,False
Arithmetic,1_digit_addition,'',Is 4 plus 9 equal to 17?,No,20.0,1,-0.975776731967926,-0.4739792048931122,1.9026087669306433,0.9246816865807281,-2.8783854988985693,-1.3986608914738403,No,True,True,False
Arithmetic,1_digit_addition,'',Is 6 plus 4 equal to 72?,No,20.0,4,-11.748071670532227,-0.0009151698905043304,-8.79131566028112,1.397353287564268,-2.9567560102511075,-1.3982684574547724,No,True,False,True
Arithmetic,1_digit_addition,'',Is 4 plus 2 equal to 1?,No,20.0,3,-0.3879522383213043,-1.1400973796844482,2.5511372784625563,0.288696350938062,-2.9390895167838607,-1.4287937306225102,Yes,False,True,False
Arithmetic,1_digit_addition,'',Is 0 plus 6 equal to 9?,No,20.0,4,-0.14373619854450226,-2.0150973796844482,2.813019811706605,-0.6168289222296759,-2.9567560102511075,-1.3982684574547724,Yes,False,True,False
Arithmetic,1_digit_addition,'',Is 8 plus 2 equal to 47?,No,20.0,1,-11.935688018798828,-0.000937090371735394,-9.057302519900258,1.397723801102105,-2.8783854988985693,-1.3986608914738403,No,True,False,True
Arithmetic,1_digit_addition,'',Is 8 plus 0 equal to 7?,No,20.0,0,-0.09055475890636444,-2.4682466983795166,2.8849214800837215,-1.1090914671989593,-2.975476238990086,-1.3591552311805573,Yes,False,True,False
