Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,bias_correction,predicted_answer,is_correct
1.0,1.0,social-properties,1.0,antonym,1.0,Chao treats people kindly.,Is Chao friendly?,Yes,0,-8.045576095581055,-13.777585983276367,-8.058902555498584,-13.764259523358838,0.013326459917528233,Yes,True
2.0,1.0,social-properties,1.0,antonym,1.0,Chao treats people kindly.,Is Chao hostile?,No,0,-14.094544410705566,-10.847492218017578,-14.107870870623096,-10.834165758100049,0.013326459917528233,No,True
3.0,1.0,social-properties,1.0,antonym,2.0,Chao treats people coldly.,Is Chao friendly?,No,0,-12.481771469116211,-9.751960754394531,-12.49509792903374,-9.738634294477002,0.013326459917528233,No,True
4.0,1.0,social-properties,1.0,antonym,2.0,Chao treats people coldly.,Is Chao hostile?,Yes,0,-11.60007381439209,-14.438888549804688,-11.613400274309619,-14.425562089887158,0.013326459917528233,Yes,True
5.0,2.0,social-properties,2.0,antonym,1.0,Chao greeted Yan.,Is Chao friendly?,Yes,0,-9.438311576843262,-10.203795433044434,-9.45163803676079,-10.190468973126904,0.013326459917528233,Yes,True
6.0,2.0,social-properties,2.0,antonym,1.0,Chao greeted Yan.,Is Chao hostile?,No,0,-10.149897575378418,-9.172292709350586,-10.163224035295947,-9.158966249433057,0.013326459917528233,No,True
7.0,2.0,social-properties,2.0,antonym,2.0,Chao insulted Yan.,Is Chao friendly?,No,0,-13.825799942016602,-11.750822067260742,-13.83912640193413,-11.737495607343213,0.013326459917528233,No,True
8.0,2.0,social-properties,2.0,antonym,2.0,Chao insulted Yan.,Is Chao hostile?,Yes,0,-12.455944061279297,-14.283445358276367,-12.469270521196826,-14.270118898358838,0.013326459917528233,Yes,True
9.0,3.0,social-properties,3.0,antonym,1.0,Chao enjoys meeting new people.,Is Chao friendly?,Yes,0,-8.340409278869629,-12.780875205993652,-8.353735738787158,-12.767548746076123,0.013326459917528233,Yes,True
10.0,3.0,social-properties,3.0,antonym,1.0,Chao enjoys meeting new people.,Is Chao hostile?,No,0,-12.09952163696289,-10.086149215698242,-12.11284809688042,-10.072822755780713,0.013326459917528233,No,True
11.0,3.0,social-properties,3.0,antonym,2.0,Chao avoids meeting new people.,Is Chao friendly?,No,0,-13.100552558898926,-12.541637420654297,-13.113879018816455,-12.528310960736768,0.013326459917528233,No,True
