property,prefix,Context,Question,Correct Answer,negative_sample_type,eval_split_ratio,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,calib_yes_mean,calib_no_mean,raw_predicted_answer,raw_is_correct,kfold_predicted_answer,kfold_is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,20.0,0,-0.0018779970705509186,-12.62489128112793,2.170664745487461,-6.283574172028568,-2.172542742558012,-6.341317109099362,Yes,True,True,True
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,20.0,3,-0.0016655598301440477,-13.937397956848145,2.179198931046128,-7.5375620307236595,-2.180864490876272,-6.399835926124485,Yes,True,True,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,20.0,2,-5.281105995178223,-0.016225695610046387,-3.101013513804251,6.3848663451195105,-2.1800924813739715,-6.401092040729557,No,True,False,True
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,20.0,1,-0.39432385563850403,-1.140613317489624,1.7713847069597075,5.217761517329616,-2.1657085625982115,-6.35837483481924,Yes,False,False,True
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,20.0,4,-9.812368392944336,-0.006668567657470703,-7.6522445082738635,6.330020052380375,-2.1601238846704724,-6.336688620037846,No,True,False,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,20.0,3,-0.15903498232364655,-2.0312159061431885,2.0218295085526257,4.368620019981297,-2.180864490876272,-6.399835926124485,Yes,False,False,True
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,20.0,0,-0.011344050988554955,-4.874962329864502,2.161198691569457,1.4663547792348597,-2.172542742558012,-6.341317109099362,Yes,True,True,True
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,20.0,3,-0.8474702835083008,-0.5976463556289673,1.3333942073679714,5.802189570495518,-2.180864490876272,-6.399835926124485,No,True,False,True
can affect urine,hair,'',Can hair affect urine?,No,random,20.0,0,-0.00570505578070879,-6.249959945678711,2.166837686777303,0.0913571634206507,-2.172542742558012,-6.341317109099362,Yes,False,True,False
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,20.0,0,-0.02864905446767807,-3.6562087535858154,2.143893688090334,2.685108355513546,-2.172542742558012,-6.341317109099362,Yes,False,False,True
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,20.0,1,-0.29272809624671936,-1.4140338897705078,1.8729804663514922,4.944340945048732,-2.1657085625982115,-6.35837483481924,Yes,False,False,True
can bark,an arrow,'',Can an arrow bark?,No,random,20.0,4,-9.249841690063477,-0.006547331809997559,-7.089717805393004,6.330141288227848,-2.1601238846704724,-6.336688620037846,No,True,False,True
can be a distraction,a television,'',Can a television be a distraction?,Yes,random,20.0,0,-0.0010600092355161905,-13.062397956848145,2.1714827333224958,-6.721080847748783,-2.172542742558012,-6.341317109099362,Yes,True,True,True
can be a distraction,cider,'',Can cider be a distraction?,No,random,20.0,3,-0.002499539405107498,-12.624903678894043,2.1783649514711647,-6.225067752769558,-2.180864490876272,-6.399835926124485,Yes,False,True,False
can be a source of entertainment,a guitar,'',Can a guitar be a source of entertainment?,Yes,random,20.0,3,-0.0017351843416690826,-13.9999418258667,2.179129306534603,-7.600105899742214,-2.180864490876272,-6.399835926124485,Yes,True,True,True
can be a source of entertainment,an armor,'',Can an armor be a source of entertainment?,No,random,20.0,0,-0.0039611211977899075,-7.874934196472168,2.168581621360222,-1.5336170873728063,-2.172542742558012,-6.341317109099362,Yes,False,True,False
can be acoustic,a limousine,'',Can a limousine be acoustic?,No,random,20.0,1,-5.781130313873291,-0.0214693546295166,-3.6154217512750795,6.336905480189723,-2.1657085625982115,-6.35837483481924,No,True,False,True
can be added to a hot drink,a rollerskate,'',Can a rollerskate be added to a hot drink?,No,random,20.0,0,-0.06016560271382332,-2.93741512298584,2.1123771398441886,3.403901986113522,-2.172542742558012,-6.341317109099362,Yes,False,False,True
can be added to alcoholic drinks,a buffalo,'',Can a buffalo be added to alcoholic drinks?,No,random,20.0,3,-0.0028885756619274616,-6.999948501586914,2.1779759152143447,-0.600112575462429,-2.180864490876272,-6.399835926124485,Yes,False,True,False
can be added to cake,cabbage,'',Can cabbage be added to cake?,No,random,20.0,3,-0.0022892486304044724,-7.374975681304932,2.1785752422458677,-0.9751397551804466,-2.180864490876272,-6.399835926124485,Yes,False,True,False
can be added to cereal,cabbage,'',Can cabbage be added to cereal?,No,random,20.0,2,-0.0029190932400524616,-13.562438011169434,2.177173388133919,-7.161345970439877,-2.1800924813739715,-6.401092040729557,Yes,False,True,False
can be airborne,chocolate,'',Can chocolate be airborne?,No,random,20.0,2,-0.0809783935546875,-2.578115940093994,2.099114087819284,3.8229761006355627,-2.1800924813739715,-6.401092040729557,Yes,False,False,True
can be attached to a DVD player,a caterpillar,'',Can a caterpillar be attached to a dvd player?,No,random,20.0,2,-6.718586444854736,-0.01573014259338379,-4.538493963480764,6.385361898136173,-2.1800924813739715,-6.401092040729557,No,True,False,True
can be attached to a car,an ear,'',Can an ear be attached to a car?,No,random,20.0,3,-0.6403596997261047,-0.7656031847000122,1.5405047911501675,5.634232741424473,-2.180864490876272,-6.399835926124485,Yes,False,False,True
can be attached to a tractor,hair,'',Can hair be attached to a tractor?,No,random,20.0,3,-0.23207110166549683,-1.6093461513519287,1.9487933892107754,4.790489774772556,-2.180864490876272,-6.399835926124485,Yes,False,False,True
can be attached to a tree,a swing,'',Can a swing be attached to a tree?,Yes,random,20.0,4,-0.0010258889524266124,-13.937457084655762,2.159097995718046,-7.600768464617916,-2.1601238846704724,-6.336688620037846,Yes,True,True,True
can be attached to an oven,a stove,'',Can a stove be attached to an oven?,Yes,random,20.0,1,-0.001267267158254981,-11.62492561340332,2.1644412954399566,-5.26655077858408,-2.1657085625982115,-6.35837483481924,Yes,True,True,True
can be attached to bicycles,a toad,'',Can a toad be attached to bicycles?,No,random,20.0,0,-0.48024263978004456,-0.9804543256759644,1.6923001027779674,5.360862783423397,-2.172542742558012,-6.341317109099362,Yes,False,False,True
can be bad for the teeth,lemonade,'',Can lemonade be bad for the teeth?,Yes,random,20.0,1,-0.0022098608314990997,-8.124959945678711,2.1634987017667124,-1.766585110859471,-2.1657085625982115,-6.35837483481924,Yes,True,True,True
can be baked,a bean,'',Can a bean be baked?,Yes,random,20.0,2,-0.0013767220079898834,-8.249954223632812,2.1787157593659816,-1.8488621829032557,-2.1800924813739715,-6.401092040729557,Yes,True,True,True
can be baked,broccoli,'',Can broccoli be baked?,No,random,20.0,2,-0.0009458629065193236,-13.3749418258667,2.179146618467452,-6.973849785137142,-2.1800924813739715,-6.401092040729557,Yes,False,True,False
can be bald,an owl,'',Can an owl be bald?,No,random,20.0,3,-0.8357752561569214,-0.5859256982803345,1.3450892347193508,5.813910227844151,-2.180864490876272,-6.399835926124485,No,True,False,True
can be banned in a drought,a boomerang,'',Can a boomerang be banned in a drought?,No,random,20.0,4,-0.0960468128323555,-2.4687111377716064,2.064077071838117,3.867977482266239,-2.1601238846704724,-6.336688620037846,Yes,False,False,True
can be bass,a guitar,'',Can a guitar be bass?,Yes,random,20.0,1,-0.008658207021653652,-5.12492036819458,2.157050355576558,1.2334544666246599,-2.1657085625982115,-6.35837483481924,Yes,True,True,True
can be bent,a leg,'',Can a leg be bent?,Yes,random,20.0,3,-0.0021030493080615997,-13.624948501586914,2.1787614415682106,-7.225112575462429,-2.180864490876272,-6.399835926124485,Yes,True,True,True
can be bent,an owl,'',Can an owl be bent?,No,random,20.0,1,-5.156144618988037,-0.019159555435180664,-2.9904360563898256,6.339215279384059,-2.1657085625982115,-6.35837483481924,No,True,False,True
can be bitter in taste,cider,'',Can cider be bitter in taste?,Yes,random,20.0,2,-0.0014569131890311837,-11.249968528747559,2.1786355681849403,-4.848876488018002,-2.1800924813739715,-6.401092040729557,Yes,True,True,True
can be blonde,hair,'',Can hair be blonde?,Yes,random,20.0,4,-0.0012538107112050056,-14.062409400939941,2.1588700739592674,-7.725720780902096,-2.1601238846704724,-6.336688620037846,Yes,True,True,True
