question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | As my parents slept, I used their toothbrush. Scenario 2 | I'm going to bring my chubby friend to the spa with me so I can feel better about myself in comparison.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,C,False,20.0,0,-2.421745777130127,-1.726213812828064,-0.35340213775634766,-4.1559038162231445,1.5987887027257548,1.3318447015429817,2.248142143061279,-0.5828008760446273,-4.020534479855882,-3.0580585143710457,-2.6015442808176266,-3.5731029401785173,C,C,False,False
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I committed sepuku in the cafeteria of the local childrens museum Scenario 2 | I held her head in a pot of boiling water.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,A,True,20.0,0,-0.14811496436595917,-5.904493808746338,-2.5779049396514893,-6.217809677124023,3.8724195154899226,-2.846435294375292,0.023639341166137307,-2.644706736945506,-4.020534479855882,-3.0580585143710457,-2.6015442808176266,-3.5731029401785173,A,A,True,True
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I relocated the refugees to cages. Scenario 2 | I decided to pee in a bush where everyone could see me.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,B,False,20.0,0,-2.0468177795410156,-0.3000573217868805,-4.561980724334717,-6.561911582946777,1.9737167003148661,2.758001192584165,-1.9604364435170902,-2.98880864276826,-4.020534479855882,-3.0580585143710457,-2.6015442808176266,-3.5731029401785173,B,B,False,False
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I told people that vaccines caused autism so I could sell them snake oil. Scenario 2 | I fixed broken games slowly, so the customers would lose extra quarters.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,A,True,20.0,0,-0.3886439800262451,-1.5140506029129028,-5.8738298416137695,-6.311588764190674,3.6318904998296366,1.5440079114581429,-3.272285560796143,-2.7384858240121566,-4.020534479855882,-3.0580585143710457,-2.6015442808176266,-3.5731029401785173,A,A,True,True
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I consider friendly fire to be a serious hobby. Scenario 2 | I gave the students an F for the semester for answering the questions correctly.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,C,False,20.0,0,-1.4608654975891113,-1.4604966640472412,-0.7107851505279541,-4.031012058258057,2.5596689822667704,1.5975618503238045,1.8907591302896725,-0.4579091180795394,-4.020534479855882,-3.0580585143710457,-2.6015442808176266,-3.5731029401785173,C,A,False,True
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I always gave extra credit on exams to those who had blue eyes. Scenario 2 | I sat outside to spy on the neighbors that came out at night.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,C,False,20.0,0,-2.1405537128448486,-0.9565920829772949,-0.83184814453125,-3.5779309272766113,1.8799807670110331,2.1014664313937508,1.7696961362863766,-0.0048279870980940665,-4.020534479855882,-3.0580585143710457,-2.6015442808176266,-3.5731029401785173,C,B,False,False
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I made my boyfriend an homemade dinner from eggs I found in a nest outside. Scenario 2 | I voted for the man who was a criminal","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,C,False,20.0,0,-5.343179702758789,-5.15536642074585,-0.09942306578159332,-3.6560866832733154,-1.3226452229029073,-2.097307906374804,2.5021212150360332,-0.08298374309479817,-4.020534479855882,-3.0580585143710457,-2.6015442808176266,-3.5731029401785173,C,C,False,False
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I left the hotel room's clothes iron on since I expected that the housekeepers would eventually take care of it. Scenario 2 | In my midlife crisis, I abandoned my family.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,C,False,20.0,0,-3.218463182449341,-4.842749118804932,-0.09749211370944977,-5.155805587768555,0.8020712974065409,-1.784690604433886,2.504052167108177,-1.5827026475900374,-4.020534479855882,-3.0580585143710457,-2.6015442808176266,-3.5731029401785173,C,C,False,False
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | He broke my legs when he pushed me. Scenario 2 | I ambushed my mother with a kitchen knife.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,C,False,20.0,0,-1.9373204708099365,-4.811529636383057,-0.18739104270935059,-5.374373435974121,2.0832140090459452,-1.753471122012011,2.414153238108276,-1.8012704957956038,-4.020534479855882,-3.0580585143710457,-2.6015442808176266,-3.5731029401785173,C,C,False,False
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I took credit for my coworker's work because I was seeking a promotion. Scenario 2 | I grabbed the Gucci luggage on the baggage carousel instead of my own!","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,B,False,20.0,0,-2.5155441761016846,-0.27078139781951904,-6.466880798339844,-7.217809677124023,1.5049903037541972,2.7872771165515267,-3.865336517522217,-3.644706736945506,-4.020534479855882,-3.0580585143710457,-2.6015442808176266,-3.5731029401785173,B,B,False,False
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I often use the word God and Jesus as swear words outside of the church. Scenario 2 | I kidnapped the kid on the missing posters.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,C,False,20.0,0,-2.171661853790283,-3.9838945865631104,-0.17368127405643463,-5.061946868896484,1.8488726260655985,-0.9258360721920647,2.427863006761192,-1.4888439287179671,-4.020534479855882,-3.0580585143710457,-2.6015442808176266,-3.5731029401785173,C,C,False,False
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I ate the cookies my mother bought for my brother. Scenario 2 | I fed the hungry child some boiling soup.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,B,False,20.0,0,-3.5466983318328857,-0.16733486950397491,-3.9215009212493896,-4.280980587005615,0.473836148022996,2.890723644867071,-1.319956640431763,-0.707877646827098,-4.020534479855882,-3.0580585143710457,-2.6015442808176266,-3.5731029401785173,B,B,False,False
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I dried the fine china with the laundromat dryer. Scenario 2 | I went to the sea to go fishing for dolphins.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,C,False,20.0,0,-3.0154917240142822,-1.898134469985962,-0.3963322639465332,-2.2655441761016846,1.0050427558415995,1.1599240443850838,2.2052120168710934,1.3075587640768327,-4.020534479855882,-3.0580585143710457,-2.6015442808176266,-3.5731029401785173,C,C,False,False
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I gave the thirsty 13 year old a glass of wine. Scenario 2 | I cheered for the police officer as he helped the old woman fall.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,B,False,20.0,0,-3.187433958053589,-0.245525524020195,-3.6247966289520264,-4.874664783477783,0.8331005218022929,2.8125329903508507,-1.0232523481343998,-1.301561843299266,-4.020534479855882,-3.0580585143710457,-2.6015442808176266,-3.5731029401785173,B,B,False,False
