question,A,B,C,D,answer,oa_logprob,ob_logprob,oc_logprob,od_logprob,predicted_answer,is_correct
This is a hierarchy of effects or sequential model used to explain how advertising works:,(A) ADD.,(B) AIDA.,(C) PESTLE.,(D) SWOT.,B,-10.963699340820312,-9.78594970703125,-15.084600448608398,-14.204334259033203,B,True
 _____________is an important element in the communication process. It recognizes that successful communications are more likely to be achieved if the source and the receiver understand each other.,(A) The realm of understanding.,(B) Personal selling.,(C) Noise.,(D) Feedback.,A,-13.255038261413574,-16.20702362060547,-17.462066650390625,-8.684800148010254,D,False
"In the history of marketing, when did the production period end?",(A) In the late 1800s.,(B) In the early 1900s.,(C) In the 1920s.,(D) After the end of the Second World War.,C,-11.760009765625,-12.278219223022461,-17.23011589050293,-13.881641387939453,A,False
The extent to which a service envelops a product varies according to a number of factors. Which of the following is NOT one of the factors?,(A) The level of tangibility associated with the type of product.,(B) Performance-value.,(C) Variations in supply and demand.,(D) The way in which the service is delivered.,B,-11.28586196899414,-14.575438499450684,-10.023273468017578,-14.38980484008789,C,False
"The owners of independent gasoline stations in a community meet secretly and agree to keep their prices high to protect their profitability. If their plan is discovered and they are charged with a crime, they could be",(A) found guilty under the Sherman Antitrust Act and face prison time,(B) found guilty under the Magnuson-Moss Warranty Act and face large fines,(C) found guilty under the Adamson Act and face prison time and fines,(D) found not guilty because retailers are allowed to set their own price levels,A,-5.773011207580566,-10.055922508239746,-11.17520809173584,-8.111679077148438,A,True
 The term 'marketing mix' describes:,(A) A composite analysis of all environmental factors inside and outside the firm.,(B) A series of business decisions that aid in selling a product.,(C) The relationship between a firm's marketing strengths and its business weaknesses.,(D) A blending of four strategic elements to satisfy specific target markets.,D,-13.622307777404785,-17.651954650878906,-19.26251983642578,-6.129889011383057,D,True
__________ have the potential to control the type and flow of information to the organization and the members of the DMU.,(A) Gatekeepers.,(B) Buyers.,(C) Users.,(D) Initiators.,A,-0.9235600233078003,-10.308222770690918,-11.507162094116211,-10.951016426086426,A,True
 An imbalance between a consumer's actual and desired state in which recognition that a gap or problem needs resolving is called:,(A) Motive development.,(B) An attitude.,(C) A self-concept.,(D) Product evaluation.,A,-8.670575141906738,-15.693195343017578,-16.17140007019043,-12.198143005371094,A,True
 Which of the following is not an element of the marketing mix?,(A) Promotion.,(B) Product.,(C) Target market.,(D) Pricing.,C,-11.360260009765625,-16.923843383789062,-7.761457443237305,-13.646761894226074,C,True
 Providing free samples of perfumes (scent) in magazines is an example of which of the following?,(A) Classical conditioning.,(B) Operant conditioning.,(C) Social learning.,(D) Behavioural learning.,A,-13.72147274017334,-12.25239372253418,-7.155635356903076,-11.65980339050293,C,False
Why is market segmentation carried out?,(A) To break down large markets into smaller markets.,(B) To provide an opportunity to surpass competitors.,"(C) By grouping together customers with similar needs, it provides a commercially viable method of serving these customers.",(D) To allow the achievement of greater market share.,C,-10.599600791931152,-12.779336929321289,-1.770251989364624,-12.437027931213379,C,True
" There are three main types of buying situations in an organization, referred to by Robinson, Faris, and Wind (1967) as _____________.",(A) Repeat purchases.,(B) Buyphases.,(C) Buyclasses.,(D) Tenders.,C,-11.967238426208496,-14.976286888122559,-8.434592247009277,-13.760013580322266,C,True
"Where the winning bidder obtains an unprofitable contract that he/she is duty bound to deliver because their bid price was set so low, this is known as:",(A) Winner's curse.,(B) Winner's price.,(C) Winner's reward.,(D) Loss-leader pricing.,A,-9.170554161071777,-15.257328033447266,-13.886219024658203,-12.546276092529297,A,True
This allows us to determine how the quantity of an offering relates to the price at which it is offered:,(A) Price bundling.,(B) Price elasticity.,(C) Price inelasticity.,(D) Price inflation.,B,-13.493773460388184,-6.042967796325684,-15.608502388000488,-15.062792778015137,B,True
 ________________ occur(s) where there is no prior history of exchange and no future exchanges are expected between a buyer and seller.,(A) Relationship marketing.,(B) Service mix.,(C) Market exchanges.,(D) Service failure.,C,-11.825666427612305,-13.544777870178223,-13.238162994384766,-15.175070762634277,A,False
A method of marketing by electronic mail wherein the recipient of the message has consented to receive it is called:,(A) Search marketing.,(B) Internet advertising.,(C) Permission-based email marketing.,(D) Social web marketing.,C,-11.191198348999023,-18.25653839111328,-8.708690643310547,-16.845136642456055,C,True
" Collectively organizations that combine to enable offerings to reach end users quickly and efficiently constitute a marketing channel, are sometimes referred to as a:",(A) Vehicle.,(B) Courier.,(C) Transportation.,(D) Distribution channel.,D,-12.420120239257812,-19.756839752197266,-19.126392364501953,-8.135749816894531,D,True
 Which of the following are the three broad groups of organizational characteristics segmentation criteria?,"(A) Organizational size, industry type, and gender.","(B) Psychographics, purchaser, and behavioural criteria.","(C) Organizational size, industry type, and geographical location.",(D) None of the above.,C,-14.340559005737305,-13.816266059875488,-11.237296104431152,-12.865103721618652,C,True
Which of the following is the name for a coupon that is included in a package for later purchase?,(A) a free-standing coupon,(B) an instant-redemption coupon,(C) a bounce-back coupon,(D) a rebate coupon,C,-6.118556976318359,-9.387246131896973,-4.2844390869140625,-5.3532562255859375,C,True
" Advertising is employed as a defence, to retain customers, and to increase brand usage. Advertising is used to reinforce existing attitudes, not necessarily to drastically change them. This idea is based on:",(A) Strong theory.,(B) Weak theory.,(C) ATR framework.,(D) DRIP model.,B,-10.088604927062988,-11.529510498046875,-16.989974975585938,-13.016755104064941,A,False
"_____________ is an assessment of a company's mix of products, services, investments, and other assets in order to optimize the use of resources and to assess its suitability, level of risk, and expected financial return.",(A) SWOT analysis.,(B) Political analysis.,(C) Portfolio analysis.,(D) Competitive analysis.,C,-9.48746395111084,-12.732809066772461,-4.505303382873535,-11.805590629577637,C,True
" These goods are low-priced products that are bought frequently, are used just once, and incur low levels of purchase risk:",(A) Non-durable.,(B) Durable.,(C) Generic.,(D) Luxury.,A,-9.387585639953613,-13.753880500793457,-17.191923141479492,-12.760089874267578,A,True
Which of the following processes is not fundamental in explaining how consumers think and learn about products and brands?,(A) Cognition.,(B) Perception.,(C) Learning.,(D) Personality.,D,-11.091653823852539,-16.807056427001953,-16.175125122070312,-6.003191947937012,D,True
 ________________is used to influence the way an organization is perceived by various groups of stakeholders.,(A) Direct marketing.,(B) Public relations.,(C) Sale promotion.,(D) Advertising,B,-14.176443099975586,-9.29012393951416,-17.345149993896484,-17.626787185668945,B,True
Marketing that moves away from a transaction-based effort to a conversation (i.e. two-way dialogue) and can be described as a situation or mechanism through which marketers and a customer (e.g. stakeholders) interact usually in real-time is known as:,(A) Digital marketing.,(B) Interactive marketing.,(C) Direct marketing.,(D) Electronic marketing.,B,-14.667825698852539,-10.447430610656738,-18.84469223022461,-19.862728118896484,B,True
 The differentiation of a firm's products or services to promote environmental responsibility is referred to as:,(A) Social branding.,(B) Eco-branding.,(C) Me-too branding.,(D) Brand personality.,B,-13.085064888000488,-9.336125373840332,-18.42768669128418,-18.45907974243164,B,True
 Which of the following is the rate at which a market adopts an innovation?,(A) Process of diffusion.,(B) Process of differentiation.,(C) Adoption process.,(D) Adoption lifecycle.,A,-10.363454818725586,-17.490707397460938,-12.944560050964355,-14.869056701660156,A,True
Micromarketing is directed at potential buyers who,(A) have excess disposable income,(B) are between the ages of 8 and 14,(C) share similar attitudes and behaviors,(D) have opted out of customized marketing,C,-11.543275833129883,-13.924822807312012,-3.1887805461883545,-11.522645950317383,C,True
 This is a group of people in the process of diffusion who enjoy being at the leading edge of innovation and buy into new products at an early stage:,(A) Late majority.,(B) Early adopter.,(C) Early majority.,(D) Laggards.,B,-14.720039367675781,-10.193071365356445,-19.202239990234375,-19.758682250976562,B,True
 What channel structure is it where the product goes directly from the producer to the final customer?,(A) Direct.,(B) Indirect.,(C) Hybrid.,(D) None of the above.,A,-11.30341911315918,-19.22557830810547,-19.088829040527344,-19.602092742919922,A,True
"Joint creation of value, in which customers take part in an active dialogue and co-construct personalized experiences, is referred to as:",(A) Interactive marketing.,(B) Co-creation experience.,(C) Relationship marketing.,(D) Organization marketing.,B,-14.366689682006836,-10.617342948913574,-17.815671920776367,-18.113924026489258,B,True
"This form of marketing communications tool is referred to as 'a paid, mediated form of communication from an identifiable source, designed to persuade the receiver to take some action, now or in the future'. This is referred to as:",(A) Advertising.,(B) Personal selling.,(C) Public relations.,(D) Publicity.,A,-7.069480895996094,-14.96928882598877,-14.75558853149414,-14.918584823608398,A,True
" The ____________ delivers to us a wide array of offerings, either directly or indirectly, through business markets, to serve our wants and needs.",(A) Aggregate marketing system.,(B) Planning excellence.,(C) A quality rift.,(D) A value line.,A,-8.97596263885498,-14.440201759338379,-16.97960662841797,-6.313965320587158,D,False
" ____________ describes the extrinsic properties of the product (the colour, the packaging, the product consistency, associations) and level to which these satisfy customers' psychological or social needs.",(A) Brand repositioning.,(B) Brand stretching.,(C) Brand equity.,(D) Brand imagery.,D,-12.87674331665039,-14.457576751708984,-14.969714164733887,-7.5388054847717285,D,True
"AIDA stands for awareness, ________, desire and _________.",(A) Interest; action.,(B) Intensity; appeal.,(C) Involvement; action.,(D) Involvement; appeal.,A,-11.247297286987305,-12.080229759216309,-14.113492012023926,-5.720883846282959,D,False
" This is where intermediaries are given exclusive rights to market the good or service within a defined 'territory', thus using a very limited number of intermediaries:",(A) Exclusive.,(B) Intensive.,(C) Selective.,(D) Direct.,A,-8.440847396850586,-16.337472915649414,-16.327163696289062,-16.78643035888672,A,True
"Once the agency has discussed the brief with the client, the agency provides a detailed outline of how they intend to investigate the problem. This document is called the ____________:",(A) Research brief.,(B) Research proposal.,(C) Research question.,(D) Research programme.,B,-12.356754302978516,-5.453804969787598,-13.594229698181152,-13.851024627685547,B,True
" Organizational characteristics, such as organizational size and location, are sometimes referred to as___________.",(A) DMU.,(B) Firmographics.,(C) ACORN,(D) Product usage.,B,-13.117879867553711,-9.08496379852295,-16.4752254486084,-16.01546859741211,B,True
The role of marketing communications is to engage audiences and there are four main tasks that it can be used to complete. Which of the following is not part of the four main tasks?,(A) Differentiate.,(B) Participate.,(C) Reinforce.,(D) Inform.,B,-17.286422729492188,-10.649059295654297,-20.795278549194336,-20.086118698120117,B,True
The process of making large numbers of unsolicited sales calls to potential customers whom the salesperson does not know is referred to as,(A) multilevel marketing,(B) cold canvassing,(C) the center-of-influence method,(D) the sales-associate method,B,-13.040037155151367,-9.540604591369629,-16.909393310546875,-16.62409019470215,B,True
 The process by which individuals accept and use new propositions is referred to as:,(A) Decision.,(B) Adoption.,(C) Acquisition.,(D) Awareness.,B,-11.759675979614258,-4.813878536224365,-15.08726978302002,-15.362197875976562,B,True
 Which of the following occurs when competitors' pricing policies are almost exclusively focused on competitors rather than customers?,(A) Price differentiation.,(B) Price fixing.,(C) Price wars.,(D) Price guarantees.,C,-12.900177955627441,-18.44831657409668,-6.399436950683594,-17.810924530029297,C,True
A commonly used basis for segmenting consumer markets is:,(A) Organizational size.,(B) Demographics.,(C) Product type.,(D) Price.,B,-8.481833457946777,-7.527632713317871,-13.723895072937012,-12.705236434936523,B,True
