property,prefix,Context,Question,Correct Answer,negative_sample_type,yes_logprob,no_logprob,predicted_answer,is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,-0.8436897993087769,-0.5937216281890869,No,False
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,-0.863207221031189,-0.6132463216781616,No,False
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,-4.031177520751953,-0.04197120666503906,No,True
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,-3.5467803478240967,-0.04145944118499756,No,True
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,-3.2968013286590576,-0.04342997074127197,No,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,-2.1405489444732666,-0.14546144008636475,No,True
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,-1.5541387796401978,-0.30044978857040405,No,False
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,-2.8280789852142334,-0.07127225399017334,No,True
can affect urine,hair,'',Can hair affect urine?,No,random,-1.7187031507492065,-0.2167748212814331,No,True
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,-3.328065872192383,-0.07322049140930176,No,True
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,-2.6092803478240967,-0.10982847213745117,No,True
can bark,an arrow,'',Can an arrow bark?,No,random,-4.999954700469971,-0.008775949478149414,No,True
can be a distraction,a television,'',Can a television be a distraction?,Yes,random,-0.1278841495513916,-2.374983310699463,Yes,True
can be a distraction,cider,'',Can cider be a distraction?,No,random,-1.4374724626541138,-0.43944013118743896,No,True
can be a source of entertainment,a guitar,'',Can a guitar be a source of entertainment?,Yes,random,-0.351468563079834,-1.3515355587005615,Yes,True
can be a source of entertainment,an armor,'',Can an armor be a source of entertainment?,No,random,-2.1561570167541504,-0.16108858585357666,No,True
can be acoustic,a limousine,'',Can a limousine be acoustic?,No,random,-3.062441825866699,-0.06222832202911377,No,True
can be added to a hot drink,a rollerskate,'',Can a rollerskate be added to a hot drink?,No,random,-3.2968177795410156,-0.04709804058074951,No,True
can be added to alcoholic drinks,a buffalo,'',Can a buffalo be added to alcoholic drinks?,No,random,-2.828065872192383,-0.08054459095001221,No,True
can be added to cake,cabbage,'',Can cabbage be added to cake?,No,random,-2.1562061309814453,-0.1611166000366211,No,True
can be added to cereal,cabbage,'',Can cabbage be added to cereal?,No,random,-2.1405892372131348,-0.1406080722808838,No,True
can be airborne,chocolate,'',Can chocolate be airborne?,No,random,-3.2968177795410156,-0.04881167411804199,No,True
can be attached to a DVD player,a caterpillar,'',Can a caterpillar be attached to a dvd player?,No,random,-3.7811508178710938,-0.03048110008239746,No,True
can be attached to a car,an ear,'',Can an ear be attached to a car?,No,random,-4.031203269958496,-0.020250439643859863,No,True
can be attached to a tractor,hair,'',Can hair be attached to a tractor?,No,random,-3.531193494796753,-0.032942771911621094,No,True
can be attached to a tree,a swing,'',Can a swing be attached to a tree?,Yes,random,-0.44917285442352295,-1.1952956914901733,Yes,True
can be attached to an oven,a stove,'',Can a stove be attached to an oven?,Yes,random,-1.5468013286590576,-0.2948871850967407,No,False
can be attached to bicycles,a toad,'',Can a toad be attached to bicycles?,No,random,-3.2968177795410156,-0.04221534729003906,No,True
can be bad for the teeth,lemonade,'',Can lemonade be bad for the teeth?,Yes,random,-1.7108910083770752,-0.21383893489837646,No,False
can be baked,a bean,'',Can a bean be baked?,Yes,random,-0.9960485696792603,-0.49801933765411377,No,False
can be baked,broccoli,'',Can broccoli be baked?,No,random,-0.7147971391677856,-0.7148216962814331,Yes,False
can be bald,an owl,'',Can an owl be bald?,No,random,-2.8280789852142334,-0.07615864276885986,No,True
can be banned in a drought,a boomerang,'',Can a boomerang be banned in a drought?,No,random,-2.1405789852142334,-0.14842045307159424,No,True
can be bass,a guitar,'',Can a guitar be bass?,Yes,random,-2.8280489444732666,-0.07516741752624512,No,False
can be bent,a leg,'',Can a leg be bent?,Yes,random,-0.27535438537597656,-1.523427128791809,Yes,True
can be bent,an owl,'',Can an owl be bent?,No,random,-3.5312061309814453,-0.03782546520233154,No,True
can be bitter in taste,cider,'',Can cider be bitter in taste?,Yes,random,-1.156215786933899,-0.40622925758361816,No,False
can be blonde,hair,'',Can hair be blonde?,Yes,random,-0.9999545812606812,-0.4999833106994629,No,False
can be blonde,an ambulance,'',Can an ambulance be blonde?,No,random,-4.281189918518066,-0.020128369331359863,No,True
can be blunt,a bayonet,'',Can a bayonet be blunt?,Yes,random,-1.3359012603759766,-0.33591556549072266,No,False
can be broken,a sweater,'',Can a sweater be broken?,No,random,-3.2968480587005615,-0.043932557106018066,No,True
can be button shaped,mushroom,'',Can mushroom be button shaped?,Yes,random,-1.515527367591858,-0.2655489444732666,No,False
can be carbonated,lemonade,'',Can lemonade be carbonated?,Yes,random,-2.5780789852142334,-0.08396244049072266,No,False
can be claustrophobic,a squirrel,'',Can a squirrel be claustrophobic?,No,random,-2.187441825866699,-0.19040203094482422,No,True
can be coated with flavor,a donut,'',Can a donut be coated with flavor?,Yes,random,-0.863223671913147,-0.6132463216781616,No,False
can be cold,a plow,'',Can a plow be cold?,No,random,-1.9296424388885498,-0.18356633186340332,No,True
can be cooked,cheese,'',Can cheese be cooked?,Yes,random,-1.9296424388885498,-0.17673659324645996,No,False
can be covered,butter,'',Can butter be covered?,No,random,-1.3671296834945679,-0.36715245246887207,No,True
can be covered in chocolate,a seagull,'',Can a seagull be covered in chocolate?,No,random,-2.1561899185180664,-0.15622162818908691,No,True
can be covered in lip gloss,a lip,'',Can a lip be covered in lip gloss?,Yes,random,-1.0155657529830933,-0.5195094347000122,No,False
can be covered in lip gloss,a harpsichord,'',Can a harpsichord be covered in lip gloss?,No,random,-3.781203269958496,-0.030260086059570312,No,True
can be crumbly,a bagpipe,'',Can a bagpipe be crumbly?,No,random,-3.5312232971191406,-0.035146355628967285,No,True
can be crushed,garlic,'',Can garlic be crushed?,Yes,random,-0.5937031507492065,-0.8437327146530151,Yes,True
can be crushed,a bikini,'',Can a bikini be crushed?,No,random,-2.374964714050293,-0.12107241153717041,No,True
can be curly,hair,'',Can hair be curly?,Yes,random,-0.42183029651641846,-1.171858549118042,Yes,True
can be cut into slices,mango,'',Can mango be cut into slices?,Yes,random,-0.5272449254989624,-1.023409366607666,Yes,True
can be cut into slices,a spider,'',Can a spider be cut into slices?,No,random,-4.031189918518066,-0.028303146362304688,No,True
can be dangerous,a centipede,'',Can a centipede be dangerous?,No,random,-0.09369349479675293,-2.5937232971191406,Yes,False
can be decaffeinated,a trombone,'',Can a trombone be decaffeinated?,No,random,-3.546830415725708,-0.039293885231018066,No,True
