property,prefix,Context,Question,Correct Answer,negative_sample_type,yes_logprob,no_logprob,predicted_answer,is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,-0.8503831624984741,-0.6006439328193665,No,False
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,-1.5371187925338745,-0.29144880175590515,No,False
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,-2.623497724533081,-0.11992808431386948,No,True
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,-2.8422937393188477,-0.09550604224205017,No,True
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,-2.607896089553833,-0.11212463676929474,No,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,-1.95896315574646,-0.20652154088020325,No,True
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,-1.9646716117858887,-0.21467159688472748,No,False
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,-1.9519363641738892,-0.20613043010234833,No,True
can affect urine,hair,'',Can hair affect urine?,No,random,-1.7484976053237915,-0.2490885853767395,No,True
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,-2.170396089553833,-0.17292897403240204,No,True
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,-2.170396089553833,-0.16678474843502045,No,True
can bark,an arrow,'',Can an arrow bark?,No,random,-3.57659912109375,-0.07280869036912918,No,True
can be a distraction,a television,'',Can a television be a distraction?,Yes,random,-0.6160263419151306,-0.866283118724823,Yes,True
can be a distraction,cider,'',Can cider be a distraction?,No,random,-1.2094467878341675,-0.4563295841217041,No,True
can be a source of entertainment,a guitar,'',Can a guitar be a source of entertainment?,Yes,random,-0.732416033744812,-0.73284912109375,Yes,True
can be a source of entertainment,an armor,'',Can an armor be a source of entertainment?,No,random,-1.1777738332748413,-0.43014708161354065,No,True
can be acoustic,a limousine,'',Can a limousine be acoustic?,No,random,-2.170396089553833,-0.16385851800441742,No,True
can be added to a hot drink,a rollerskate,'',Can a rollerskate be added to a hot drink?,No,random,-1.77146315574646,-0.27194681763648987,No,True
can be added to alcoholic drinks,a buffalo,'',Can a buffalo be added to alcoholic drinks?,No,random,-1.9593995809555054,-0.21316076815128326,No,True
can be added to cake,cabbage,'',Can cabbage be added to cake?,No,random,-1.5613298416137695,-0.31569352746009827,No,True
can be added to cereal,cabbage,'',Can cabbage be added to cereal?,No,random,-1.5531967878341675,-0.30183178186416626,No,True
can be airborne,chocolate,'',Can chocolate be airborne?,No,random,-2.842615842819214,-0.09840740263462067,No,True
can be attached to a DVD player,a caterpillar,'',Can a caterpillar be attached to a dvd player?,No,random,-2.1694376468658447,-0.16894139349460602,No,True
can be attached to a car,an ear,'',Can an ear be attached to a car?,No,random,-2.3886661529541016,-0.13947291672229767,No,True
can be attached to a tractor,hair,'',Can hair be attached to a tractor?,No,random,-1.9593995809555054,-0.20782549679279327,No,True
can be attached to a tree,a swing,'',Can a swing be attached to a tree?,Yes,random,-0.8808687925338745,-0.6312983632087708,No,False
can be attached to an oven,a stove,'',Can a stove be attached to an oven?,Yes,random,-1.1777738332748413,-0.43209725618362427,No,False
can be attached to bicycles,a toad,'',Can a toad be attached to bicycles?,No,random,-1.951166033744812,-0.19998560845851898,No,True
can be bad for the teeth,lemonade,'',Can lemonade be bad for the teeth?,Yes,random,-1.3582229614257812,-0.3625795841217041,No,False
can be baked,a bean,'',Can a bean be baked?,Yes,random,-1.3660264015197754,-0.36823445558547974,No,False
can be baked,broccoli,'',Can broccoli be baked?,No,random,-1.7566331624984741,-0.25319352746009827,No,True
can be bald,an owl,'',Can an owl be bald?,No,random,-2.607476234436035,-0.1135554388165474,No,True
can be banned in a drought,a boomerang,'',Can a boomerang be banned in a drought?,No,random,-1.5609976053237915,-0.3132806718349457,No,True
can be bass,a guitar,'',Can a guitar be bass?,Yes,random,-2.63909912109375,-0.13677223026752472,No,False
can be bent,a leg,'',Can a leg be bent?,Yes,random,-1.0209810733795166,-0.5261780619621277,No,False
can be bent,an owl,'',Can an owl be bent?,No,random,-2.38909912109375,-0.14460603892803192,No,True
can be bitter in taste,cider,'',Can cider be bitter in taste?,Yes,random,-1.1785264015197754,-0.428526371717453,No,False
can be blonde,hair,'',Can hair be blonde?,Yes,random,-1.7324762344360352,-0.2351737767457962,No,False
can be blonde,an ambulance,'',Can an ambulance be blonde?,No,random,-2.6230714321136475,-0.1287069022655487,No,True
can be blunt,a bayonet,'',Can a bayonet be blunt?,Yes,random,-1.1621187925338745,-0.41678476333618164,No,False
can be broken,a sweater,'',Can a sweater be broken?,No,random,-2.170396089553833,-0.16411954164505005,No,True
can be button shaped,mushroom,'',Can mushroom be button shaped?,Yes,random,-1.3562464714050293,-0.36083438992500305,No,False
can be carbonated,lemonade,'',Can lemonade be carbonated?,Yes,random,-1.7332229614257812,-0.23640470206737518,No,False
can be claustrophobic,a squirrel,'',Can a squirrel be claustrophobic?,No,random,-2.169976234436035,-0.16873560845851898,No,True
can be coated with flavor,a donut,'',Can a donut be coated with flavor?,Yes,random,-1.1855714321136475,-0.4382806718349457,No,False
can be cold,a plow,'',Can a plow be cold?,No,random,-1.7328959703445435,-0.23614926636219025,No,True
can be cooked,cheese,'',Can cheese be cooked?,Yes,random,-1.5537830591201782,-0.303783118724823,No,False
can be covered,butter,'',Can butter be covered?,No,random,-1.0375484228134155,-0.5417847633361816,No,True
can be covered in chocolate,a seagull,'',Can a seagull be covered in chocolate?,No,random,-2.4047000408172607,-0.15215358138084412,No,True
can be covered in lip gloss,a lip,'',Can a lip be covered in lip gloss?,Yes,random,-1.1855714321136475,-0.4365885853767395,No,False
can be covered in lip gloss,a harpsichord,'',Can a harpsichord be covered in lip gloss?,No,random,-1.9746785163879395,-0.2224569022655487,No,True
can be crumbly,a bagpipe,'',Can a bagpipe be crumbly?,No,random,-2.3894362449645996,-0.14167897403240204,No,True
can be crushed,garlic,'',Can garlic be crushed?,Yes,random,-0.8734976649284363,-0.6240885853767395,No,False
can be crushed,a bikini,'',Can a bikini be crushed?,No,random,-1.7484976053237915,-0.24590358138084412,No,True
can be curly,hair,'',Can hair be curly?,Yes,random,-1.1703959703445435,-0.422673761844635,No,False
