Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,raw_yes_logprob,raw_no_logprob,base_yes_logprob,base_no_logprob,adjusted_yes_logprob,adjusted_no_logprob,predicted_answer,is_correct
1.0,1.0,agent-properties,1.0,negation,1.0,Chao is looking at the wheel.,Does Chao see the wheel?,Yes,-0.0462726429104805,-4.124972343444824,-10.213422775268555,-9.025922775268555,10.167150132358074,4.9009504318237305,Yes,True
2.0,1.0,agent-properties,1.0,negation,2.0,Chao is not looking at the wheel.,Does Chao see the wheel?,No,-7.187069416046143,-0.0023206500336527824,-10.213422775268555,-9.025922775268555,3.026353359222412,9.023602125234902,No,True
3.0,1.0,agent-properties,1.0,negation,1.0,Chao is looking at the wheel.,Does Chao not see the wheel?,No,-1.898350715637207,-0.17868828773498535,-10.213422775268555,-9.025922775268555,8.315072059631348,8.84723448753357,No,True
4.0,1.0,agent-properties,1.0,negation,2.0,Chao is not looking at the wheel.,Does Chao not see the wheel?,Yes,-0.0848844051361084,-2.687474250793457,-10.213422775268555,-9.025922775268555,10.128538370132446,6.338448524475098,Yes,True
5.0,2.0,agent-properties,2.0,antonym,1.0,The wheel is in front of Chao. Chao is awake.,Does Chao see the wheel?,Yes,-0.044326670467853546,-5.624972343444824,-10.213422775268555,-9.025922775268555,10.169096104800701,3.4009504318237305,Yes,True
6.0,2.0,agent-properties,2.0,antonym,2.0,The wheel is in front of Chao. Chao is asleep.,Does Chao see the wheel?,No,-8.062331199645996,-0.0008059745887294412,-10.213422775268555,-9.025922775268555,2.1510915756225586,9.025116800679825,No,True
7.0,2.0,agent-properties,2.0,antonym,1.0,The wheel is in front of Chao. Chao is awake.,Does Chao not see the wheel?,No,-0.7497040629386902,-0.8748977184295654,-10.213422775268555,-9.025922775268555,9.463718712329865,8.15102505683899,Yes,False
8.0,2.0,agent-properties,2.0,antonym,2.0,The wheel is in front of Chao. Chao is asleep.,Does Chao not see the wheel?,Yes,-0.015141294337809086,-4.406096458435059,-10.213422775268555,-9.025922775268555,10.198281480930746,4.619826316833496,Yes,True
9.0,3.0,agent-properties,3.0,antonym,1.0,The wheel is in front of Chao. Chao's eyes are open.,Does Chao see the wheel?,Yes,-0.09357596933841705,-5.031203269958496,-10.213422775268555,-9.025922775268555,10.119846805930138,3.9947195053100586,Yes,True
10.0,3.0,agent-properties,3.0,antonym,2.0,The wheel is in front of Chao. Chao's eyes are closed.,Does Chao see the wheel?,No,-6.905996799468994,-0.001796008087694645,-10.213422775268555,-9.025922775268555,3.3074259757995605,9.02412676718086,No,True
11.0,3.0,agent-properties,3.0,antonym,1.0,The wheel is in front of Chao. Chao's eyes are open.,Does Chao not see the wheel?,No,-0.8083640336990356,-0.6835143566131592,-10.213422775268555,-9.025922775268555,9.405058741569519,8.342408418655396,Yes,False
12.0,3.0,agent-properties,3.0,antonym,2.0,The wheel is in front of Chao. Chao's eyes are closed.,Does Chao not see the wheel?,Yes,-0.028400342911481857,-3.9685964584350586,-10.213422775268555,-9.025922775268555,10.185022432357073,5.057326316833496,Yes,True
13.0,4.0,agent-properties,4.0,antonym,1.0,The wheel is in front of Chao.,Does Chao see the wheel?,Yes,-0.1248415857553482,-2.4062178134918213,-10.213422775268555,-9.025922775268555,10.088581189513206,6.619704961776733,Yes,True
14.0,4.0,agent-properties,4.0,antonym,2.0,The wheel is behind Chao.,Does Chao see the wheel?,No,-2.124769449234009,-0.12884390354156494,-10.213422775268555,-9.025922775268555,8.088653326034546,8.89707887172699,No,True
15.0,4.0,agent-properties,4.0,antonym,1.0,The wheel is in front of Chao.,Does Chao not see the wheel?,No,-0.29666176438331604,-1.5155657529830933,-10.213422775268555,-9.025922775268555,9.916761010885239,7.510357022285461,Yes,False
16.0,4.0,agent-properties,4.0,antonym,2.0,The wheel is behind Chao.,Does Chao not see the wheel?,Yes,-0.09114553034305573,-2.546821117401123,-10.213422775268555,-9.025922775268555,10.122277244925499,6.479101657867432,Yes,True
17.0,6.0,agent-properties,5.0,antonym,1.0,The bed is in the same room as Chao. The door is closed.,Does Chao see the bed?,Yes,-5.062119960784912,-0.00683653773739934,-10.213422775268555,-9.025922775268555,5.151302814483643,9.019086237531155,No,False
18.0,6.0,agent-properties,5.0,antonym,2.0,The bed is in a different room than Chao. The door is closed.,Does Chao see the bed?,No,-7.9684038162231445,-0.0009425910538993776,-10.213422775268555,-9.025922775268555,2.24501895904541,9.024980184214655,No,True
19.0,6.0,agent-properties,5.0,antonym,1.0,The bed is in the same room as Chao. The door is closed.,Does Chao not see the bed?,No,-0.028417741879820824,-3.828033447265625,-10.213422775268555,-9.025922775268555,10.185005033388734,5.19788932800293,Yes,False
20.0,6.0,agent-properties,5.0,antonym,2.0,The bed is in a different room than Chao. The door is closed.,Does Chao not see the bed?,Yes,-0.010555178858339787,-5.12489128112793,-10.213422775268555,-9.025922775268555,10.202867596410215,3.901031494140625,Yes,True
21.0,7.0,agent-properties,6.0,antonym,1.0,The airplane is making sounds. The airplane is within earshot of Chao.,Does Chao hear the airplane?,Yes,-0.11214818060398102,-4.687466621398926,-10.213422775268555,-9.025922775268555,10.101274594664574,4.338456153869629,Yes,True
22.0,7.0,agent-properties,6.0,antonym,2.0,The airplane is making sounds. The airplane is out of earshot of Chao.,Does Chao hear the airplane?,No,-7.405603408813477,-0.003579390700906515,-10.213422775268555,-9.025922775268555,2.807819366455078,9.022343384567648,No,True
23.0,7.0,agent-properties,6.0,antonym,1.0,The airplane is making sounds. The airplane is within earshot of Chao.,Does Chao not hear the airplane?,No,-3.093575954437256,-0.14351129531860352,-10.213422775268555,-9.025922775268555,7.119846820831299,8.882411479949951,No,True
24.0,7.0,agent-properties,6.0,antonym,2.0,The airplane is making sounds. The airplane is out of earshot of Chao.,Does Chao not hear the airplane?,Yes,-0.0608360730111599,-3.1716012954711914,-10.213422775268555,-9.025922775268555,10.152586702257395,5.854321479797363,Yes,True
25.0,8.0,agent-properties,7.0,antonym,1.0,The airplane is making sounds. The airplane is in front of Chao. Chao is awake.,Does Chao hear the airplane?,Yes,-0.037666574120521545,-4.18745756149292,-10.213422775268555,-9.025922775268555,10.175756201148033,4.838465213775635,Yes,True
26.0,8.0,agent-properties,7.0,antonym,2.0,The airplane is making sounds. The airplane is in front of Chao. Chao is asleep.,Does Chao hear the airplane?,No,-1.6793748140335083,-0.21279799938201904,-10.213422775268555,-9.025922775268555,8.534047961235046,8.813124775886536,No,True
27.0,8.0,agent-properties,7.0,antonym,1.0,The airplane is making sounds. The airplane is in front of Chao. Chao is awake.,Does Chao not hear the airplane?,No,-0.9724021553993225,-0.5975737571716309,-10.213422775268555,-9.025922775268555,9.241020619869232,8.428349018096924,Yes,False
