property,prefix,Context,Question,Correct Answer,negative_sample_type,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,bias_correction,predicted_answer,is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,0,-3.16438627243042,-2.9178595542907715,-3.2052098424306936,-2.877035984290498,0.0408235700002737,No,False
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,0,-3.7281625270843506,-4.004949569702148,-3.7689860970846243,-3.9641259997018747,0.0408235700002737,Yes,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,0,-3.738952159881592,-3.3690714836120605,-3.7797757298818655,-3.328247913611787,0.0408235700002737,No,True
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,0,-4.430784702301025,-2.6843223571777344,-4.4716082723012995,-2.6434987871774607,0.0408235700002737,No,True
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,0,-3.9603993892669678,-3.088676929473877,-4.001222959267242,-3.0478533594736033,0.0408235700002737,No,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,0,-5.046110153198242,-5.805063724517822,-5.086933723198516,-5.764240154517548,0.0408235700002737,Yes,False
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,0,-4.961958408355713,-3.9736998081207275,-5.002781978355987,-3.932876238120454,0.0408235700002737,No,False
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,0,-3.311840295791626,-4.051452159881592,-3.3526638657918997,-4.010628589881318,0.0408235700002737,Yes,False
can affect urine,hair,'',Can hair affect urine?,No,random,0,-4.492563724517822,-6.500532150268555,-4.533387294518096,-6.4597085802682805,0.0408235700002737,Yes,False
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,0,-3.5428595542907715,-4.310024261474609,-3.583683124291045,-4.269200691474335,0.0408235700002737,Yes,False
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,0,-3.336958646774292,-4.601754665374756,-3.3777822167745657,-4.560931095374482,0.0408235700002737,Yes,False
can bark,an arrow,'',Can an arrow bark?,No,random,0,-4.184695243835449,-3.435797929763794,-4.225518813835723,-3.3949743597635202,0.0408235700002737,No,True
can be a distraction,a television,'',Can a television be a distraction?,Yes,random,0,-2.6807847023010254,-4.6822662353515625,-2.721608272301299,-4.641442665351288,0.0408235700002737,Yes,True
can be a distraction,cider,'',Can cider be a distraction?,No,random,0,-2.479222059249878,-4.2447662353515625,-2.5200456292501516,-4.203942665351288,0.0408235700002737,Yes,False
can be a source of entertainment,a guitar,'',Can a guitar be a source of entertainment?,Yes,random,0,-2.3484976291656494,-4.616385459899902,-2.389321199165923,-4.575561889899628,0.0408235700002737,Yes,True
can be a source of entertainment,an armor,'',Can an armor be a source of entertainment?,No,random,0,-2.8232080936431885,-4.576153755187988,-2.864031663643462,-4.535330185187714,0.0408235700002737,Yes,False
can be acoustic,a limousine,'',Can a limousine be acoustic?,No,random,0,-2.26874041557312,-4.515705108642578,-2.309563985573394,-4.474881538642304,0.0408235700002737,Yes,False
can be added to a hot drink,a rollerskate,'',Can a rollerskate be added to a hot drink?,No,random,0,-4.3101043701171875,-4.696211814880371,-4.350927940117462,-4.655388244880097,0.0408235700002737,Yes,False
can be added to alcoholic drinks,a buffalo,'',Can a buffalo be added to alcoholic drinks?,No,random,0,-4.207000732421875,-4.9663543701171875,-4.247824302422149,-4.925530800116913,0.0408235700002737,Yes,False
can be added to cake,cabbage,'',Can cabbage be added to cake?,No,random,0,-3.9550790786743164,-5.604458332061768,-3.99590264867459,-5.563634762061493,0.0408235700002737,Yes,False
can be added to cereal,cabbage,'',Can cabbage be added to cereal?,No,random,0,-3.945117712020874,-5.836958408355713,-3.9859412820211477,-5.796134838355439,0.0408235700002737,Yes,False
can be airborne,chocolate,'',Can chocolate be airborne?,No,random,0,-3.1807847023010254,-4.4322662353515625,-3.221608272301299,-4.391442665351288,0.0408235700002737,Yes,False
can be attached to a DVD player,a caterpillar,'',Can a caterpillar be attached to a dvd player?,No,random,0,-4.023813724517822,-4.148813724517822,-4.064637294518096,-4.107990154517548,0.0408235700002737,Yes,False
can be attached to a car,an ear,'',Can an ear be attached to a car?,No,random,0,-3.5764126777648926,-4.336958408355713,-3.6172362477651663,-4.296134838355439,0.0408235700002737,Yes,False
can be attached to a tractor,hair,'',Can hair be attached to a tractor?,No,random,0,-3.007617712020874,-4.769500732421875,-3.0484412820211477,-4.728677162421601,0.0408235700002737,Yes,False
can be attached to a tree,a swing,'',Can a swing be attached to a tree?,Yes,random,0,-3.242820978164673,-5.388912677764893,-3.2836445481649466,-5.348089107764618,0.0408235700002737,Yes,True
can be attached to an oven,a stove,'',Can a stove be attached to an oven?,Yes,random,0,-3.038867712020874,-4.663867950439453,-3.0796912820211477,-4.623044380439179,0.0408235700002737,Yes,True
can be attached to bicycles,a toad,'',Can a toad be attached to bicycles?,No,random,0,-2.9794580936431885,-4.1068501472473145,-3.020281663643462,-4.06602657724704,0.0408235700002737,Yes,False
can be bad for the teeth,lemonade,'',Can lemonade be bad for the teeth?,Yes,random,0,-3.6701626777648926,-4.5601043701171875,-3.7109862477651663,-4.519280800116913,0.0408235700002737,Yes,True
can be baked,a bean,'',Can a bean be baked?,Yes,random,0,-2.5637402534484863,-4.051452159881592,-2.60456382344876,-4.010628589881318,0.0408235700002737,Yes,True
can be baked,broccoli,'',Can broccoli be baked?,No,random,0,-2.769500970840454,-6.149458408355713,-2.810324540840728,-6.108634838355439,0.0408235700002737,Yes,False
can be bald,an owl,'',Can an owl be bald?,No,random,0,-3.9940714836120605,-3.7463998794555664,-4.034895053612335,-3.7055763094552927,0.0408235700002737,No,True
can be banned in a drought,a boomerang,'',Can a boomerang be banned in a drought?,No,random,0,-3.7829296588897705,-4.051452159881592,-3.823753228890044,-4.010628589881318,0.0408235700002737,Yes,False
can be bass,a guitar,'',Can a guitar be bass?,Yes,random,0,-3.052227258682251,-4.073208332061768,-3.0930508286825247,-4.032384762061493,0.0408235700002737,Yes,True
can be bent,a leg,'',Can a leg be bent?,Yes,random,0,-3.0557847023010254,-3.4343223571777344,-3.096608272301299,-3.3934987871774607,0.0408235700002737,Yes,True
