question,A,B,C,D,answer,oa_logprob,ob_logprob,oc_logprob,od_logprob,predicted_answer,is_correct
A 10-N force at an angle 45° above the horizontal has a horizontal component of about,(A) 7 N,(B) 5 N,(C) 10 N,(D) 12 N,A,-4.5778727531433105,-10.153854370117188,-12.640666961669922,-12.011655807495117,A,True
A completely submerged object always displaces its own,(A) weight of fluid.,(B) volume of fluid.,(C) density of fluid.,(D) All of these.,B,-6.11168909072876,-5.8068528175354,-14.10445785522461,-13.060571670532227,B,True
"When a diver points a flashlight upward toward the surface of the water at an angle 20° from the normal, the beam of light",(A) totally internally reflects,(B) passes into the air above,(C) is absorbed,(D) None of these,B,-4.904322147369385,-2.944098949432373,-11.763912200927734,-4.339542388916016,B,True
"According to four-dimensional geometry, the angles of a triangle add to 180°",(A) always.,(B) sometimes.,(C) never.,(D) on planet Earth only.,B,-6.364546775817871,-9.820117950439453,-10.218360900878906,-11.367401123046875,A,False
A voltage will be induced in a wire loop when the magnetic field within that loop,(A) changes,(B) aligns with the electric field,(C) is at right angles to the electric field,(D) converts to magnetic energy,A,-5.117563724517822,-10.43486499786377,-14.214776039123535,-12.25532054901123,A,True
"Among these colors, the one that has the most energy per photon is",(A) red,(B) yellow-green,(C) blue,(D) violet,D,-12.24256420135498,-11.249195098876953,-10.026555061340332,-9.775115013122559,D,True
"According to general relativity,",(A) mass distorts spacetime.,(B) gravity affects clocks.,(C) light can’t escape from a black hole.,(D) All of these.,D,-11.77479362487793,-13.921310424804688,-14.713422775268555,-4.903169631958008,D,True
A step-up transformer in an electric circuit can step up,(A) voltage,(B) energy,(C) Both of these,(D) Neither of these,A,-3.8075826168060303,-10.239618301391602,-11.424060821533203,-9.299060821533203,A,True
Spectral lines of the elements are,(A) chaotic,(B) ordered,(C) positioned by amplitude,(D) in phase,B,-11.263444900512695,-6.4244513511657715,-13.530587196350098,-13.507758140563965,B,True
A wave transfers,(A) amplitude,(B) wavelength,(C) frequency,(D) energy,D,-1.4842678308486938,-12.299188613891602,-12.776555061340332,-3.9741532802581787,A,False
"Immediately after two separated charged particles are released from rest, both increase in acceleration. The sign of charge of the particles is therefore",(A) the same,(B) opposite,(C) Either of these,(D) Need more information,B,-7.4509453773498535,-6.7666401863098145,-11.050716400146484,-5.963350296020508,D,False
The surface of planet Earth loses energy to outer space due mostly to,(A) conduction,(B) convection,(C) radiation,(D) radioactivity,C,-11.661286354064941,-12.371822357177734,-6.6744513511657715,-13.706162452697754,C,True
"In a series circuit, if the current in one lamp is 2 A, the current in the lamp next to it is","(A) half, 1 A",(B) 2 A,(C) Depends on which lamp is closer to the battery,(D) Not enough information to say,B,-8.934700965881348,-6.858809947967529,-13.021214485168457,-8.393662452697754,B,True
"As a blinking light source approaching you gains speed, you see the frequency of flashes",(A) increase.,(B) decrease.,(C) remain unchanged.,(D) None of these.,A,-4.936126708984375,-10.498071670532227,-12.125532150268555,-12.13032054901123,A,True
In the absence of air resistance a ball of mass m is tossed upward to reach a height of 20 m. At the 10-m position half way up the net force on the ball is,(A) 2mg,(B) mg,(C) mg/2,(D) mg/4,B,-4.5134453773498535,-7.453166961669922,-9.816679954528809,-5.431190013885498,A,False
Pumice is a volcanic rock that floats in water. The density of pumice compared with that of water is,(A) less.,(B) equal.,(C) greater.,(D) none because it sinks.,A,-3.3786849975585938,-10.066679954528809,-12.169541358947754,-11.794541358947754,A,True
When you look at the red petals of a rose the color light you're seeing is,(A) red.,(B) green.,(C) white minus red.,(D) a mixture of green and yellow.,A,-4.584863185882568,-12.80074405670166,-13.623071670532227,-14.62686538696289,A,True
Compared with the sound you hear from the siren of a stationary fire engine the sound you hear when it approaches you has an increased,(A) speed,(B) frequency,(C) wavelength,(D) All of these,B,-11.218087196350098,-4.637529373168945,-14.747200965881348,-13.632755279541016,B,True
"When you squeeze an air-filled party balloon, you increase its",(A) volume,(B) mass,(C) weight,(D) density,D,-10.445255279541016,-12.144500732421875,-13.311738014221191,-3.4354472160339355,D,True
Polarization is a property of,(A) transverse waves,(B) longitudinal waves,(C) all waves,(D) None of these,A,-8.249238014221191,-10.873674392700195,-13.098699569702148,-13.411286354064941,A,True
"In a vacuum, an object has no",(A) buoyant force,(B) mass,(C) weight,(D) All of these,A,-10.510858535766602,-13.207000732421875,-4.458685874938965,-11.661060333251953,C,False
Temperature is generally proportional to a substance’s,(A) thermal energy.,(B) vibrational kinetic energy.,(C) average translational kinetic energy.,(D) rotational kinetic energy.,C,-11.468850135803223,-12.616385459899902,-7.593850135803223,-14.436738014221191,C,True
"In a hydraulic press operation, the output piston cannot",(A) move farther than the input piston,(B) exceed the force input,(C) exceed the input piston’s speed,(D) produce increased energy,D,-7.221132755279541,-9.405587196350098,-9.238128662109375,-12.399587631225586,A,False
When a spinning system contracts in the absence of an external torque its rotational speed increases and its angular momentum,(A) decreases,(B) increases,(C) remains unchanged,(D) may increase or decrease,C,-6.19167947769165,-10.281350135803223,-4.560315132141113,-9.68006420135498,C,True
"According to Hooke’s law, if you hang by a tree branch and note how much it bends, then hanging with twice the weight produces",(A) half the bend.,(B) the same bend if the branch doesn’t break.,(C) twice the bend.,(D) 4 times the bend.,C,-9.060571670532227,-6.012829780578613,-7.098699569702148,-12.224390029907227,B,False
When an increase in speed doubles the kinetic energy of a moving body its momentum,(A) increases but less than doubles,(B) doubles,(C) more than doubles,(D) depends on factors not stated,A,-6.65799617767334,-6.366337299346924,-12.00186538696289,-9.449155807495117,B,False
Suppose the number of neutrons in a reactor that is starting up doubles each minute reaching one billion neutrons in 10 minutes. When did the number of neutrons reach half a billion?,(A) 1 minute.,(B) 2 minutes.,(C) 5 minutes.,(D) 9 minutes.,D,-11.049060821533203,-6.790046691894531,-10.286890029907227,-9.621665000915527,B,False
"If an object is already moving and the sum of all the vector forces on a mass is zero, then the object will",(A) move at a constant speed in a straight line,(B) accelerate at a constant rate in a straight line,(C) come to rest,(D) increase its amount of inertia,A,-4.973696231842041,-8.933158874511719,-13.707000732421875,-12.541230201721191,A,True
"Relativity equations for time, length, and momentum hold true for",(A) everyday low speeds.,(B) relativistic speeds.,(C) Both of these.,(D) Neither of these.,C,-11.117401123046875,-9.869071006774902,-7.040046691894531,-13.589776039123535,C,True
Put a saucer of water on your table. A process that then occurs is,(A) evaporation,(B) condensation,(C) Both,(D) Neither,C,-5.368284702301025,-12.169541358947754,-9.23608684539795,-10.934165000915527,A,False
A barometer that uses water instead of mercury will be,(A) shorter,(B) taller,(C) equal in height,(D) inoperable,B,-6.569775581359863,-6.500591278076172,-10.525115013122559,-11.968850135803223,B,True
A heavy rock and a light rock in free fall (zero air resistance) have the same acceleration. The heavy rock doesn't have a greater acceleration because the,(A) force due to gravity is the same on each.,(B) air resistance is always zero in free fall.,(C) inertia of both rocks is the same.,(D) ratio of force to mass is the same.,D,-6.405587196350098,-10.116905212402344,-12.927913665771484,-7.671110153198242,A,False
When an increase in speed doubles the momentum of a moving body its kinetic energy,(A) increases but less than doubles,(B) doubles,(C) more than doubles,(D) depends on factors not stated,C,-6.040046691894531,-6.529298782348633,-8.55506420135498,-7.244357585906982,A,False
The equation E = mc^2 indicates that energy,(A) equals mass moving at the speed of light squared.,(B) equals moving mass.,(C) is fundamentally different than mass.,(D) and mass are closely related.,D,-10.963422775268555,-11.664254188537598,-13.124238014221191,-4.896185874938965,D,True
General relativity predicts that,(A) light leaving the Sun is slowed by gravity.,(B) light passing the Sun is deflected.,(C) a clock on the Sun’s surface runs faster than on Earth.,(D) All of these.,D,-10.343850135803223,-6.513912677764893,-13.036060333251953,-9.825944900512695,B,False
"When an element ejects an alpha particle, the atomic number of the resulting element",(A) reduces by 2,(B) reduces by 4,(C) increases by 2,(D) increases by 4,A,-5.882275581359863,-10.454290390014648,-13.367401123046875,-12.132758140563965,A,True
"As more lamps are connected in parallel in a circuit, the current in the power source",(A) increases,(B) decreases,(C) remains the same,(D) Not enough information to say,A,-3.9506001472473145,-9.847026824951172,-10.248071670532227,-6.061122894287109,A,True
