Shot Type,Dataset,Domain,Family,Base Model,Inst Model,Base Bias,Inst Bias,Base Bias (Abs),Inst Bias (Abs),Bias Diff
zeroshot,ewok,social_interactions,Falcon,Falcon3-3B-Base,Falcon3-3B-Instruct,0.6935483870967742,-0.3064516129032258,0.6935483870967742,0.3064516129032258,-0.38709677419354843
zeroshot,ewok,social_interactions,Falcon,Falcon3-10B-Base,Falcon3-10B-Instruct,0.25806451612903225,0.20967741935483872,0.25806451612903225,0.20967741935483872,-0.04838709677419353
zeroshot,ewok,social_properties,Falcon,Falcon3-3B-Base,Falcon3-3B-Instruct,0.47297297297297297,-0.47297297297297297,0.47297297297297297,0.47297297297297297,0.0
zeroshot,ewok,social_properties,Falcon,Falcon3-10B-Base,Falcon3-10B-Instruct,-0.013513513513513514,0.0,0.013513513513513514,0.0,-0.013513513513513514
zeroshot,ewok,material_dynamics,Falcon,Falcon3-3B-Base,Falcon3-3B-Instruct,0.8805970149253731,0.3283582089552239,0.8805970149253731,0.3283582089552239,-0.5522388059701493
zeroshot,ewok,material_dynamics,Falcon,Falcon3-10B-Base,Falcon3-10B-Instruct,0.5522388059701493,0.7164179104477612,0.5522388059701493,0.7164179104477612,0.16417910447761186
zeroshot,ewok,social_relations,Falcon,Falcon3-3B-Base,Falcon3-3B-Instruct,0.8048780487804879,-0.8536585365853658,0.8048780487804879,0.8536585365853658,0.04878048780487798
zeroshot,ewok,social_relations,Falcon,Falcon3-10B-Base,Falcon3-10B-Instruct,0.3902439024390244,0.5060975609756098,0.3902439024390244,0.5060975609756098,0.11585365853658536
zeroshot,ewok,quantitative_properties,Falcon,Falcon3-3B-Base,Falcon3-3B-Instruct,0.7246376811594203,-0.057971014492753624,0.7246376811594203,0.057971014492753624,-0.6666666666666666
zeroshot,ewok,quantitative_properties,Falcon,Falcon3-10B-Base,Falcon3-10B-Instruct,0.11594202898550725,0.043478260869565216,0.11594202898550725,0.043478260869565216,-0.07246376811594203
zeroshot,ewok,physical_dynamics,Falcon,Falcon3-3B-Base,Falcon3-3B-Instruct,0.43333333333333335,0.06666666666666667,0.43333333333333335,0.06666666666666667,-0.3666666666666667
zeroshot,ewok,physical_dynamics,Falcon,Falcon3-10B-Base,Falcon3-10B-Instruct,0.5666666666666667,0.7,0.5666666666666667,0.7,0.1333333333333333
zeroshot,ewok,agent_properties,Falcon,Falcon3-3B-Base,Falcon3-3B-Instruct,0.7653061224489796,-0.41156462585034015,0.7653061224489796,0.41156462585034015,-0.3537414965986394
zeroshot,ewok,agent_properties,Falcon,Falcon3-10B-Base,Falcon3-10B-Instruct,0.29931972789115646,0.19047619047619047,0.29931972789115646,0.19047619047619047,-0.108843537414966
zeroshot,ewok,physical_interactions,Falcon,Falcon3-3B-Base,Falcon3-3B-Instruct,0.2717391304347826,-0.3804347826086957,0.2717391304347826,0.3804347826086957,0.10869565217391308
zeroshot,ewok,physical_interactions,Falcon,Falcon3-10B-Base,Falcon3-10B-Instruct,0.6413043478260869,0.5543478260869565,0.6413043478260869,0.5543478260869565,-0.08695652173913038
zeroshot,ewok,material_properties,Falcon,Falcon3-3B-Base,Falcon3-3B-Instruct,0.36,-0.08,0.36,0.08,-0.27999999999999997
zeroshot,ewok,material_properties,Falcon,Falcon3-10B-Base,Falcon3-10B-Instruct,0.4,0.58,0.4,0.58,0.17999999999999994
zeroshot,ewok,physical_relations,Falcon,Falcon3-3B-Base,Falcon3-3B-Instruct,0.42391304347826086,-0.043478260869565216,0.42391304347826086,0.043478260869565216,-0.3804347826086957
zeroshot,ewok,physical_relations,Falcon,Falcon3-10B-Base,Falcon3-10B-Instruct,0.4782608695652174,0.5434782608695652,0.4782608695652174,0.5434782608695652,0.06521739130434778
zeroshot,ewok,spatial_relations,Falcon,Falcon3-3B-Base,Falcon3-3B-Instruct,0.7837837837837838,-0.3108108108108108,0.7837837837837838,0.3108108108108108,-0.47297297297297297
zeroshot,ewok,spatial_relations,Falcon,Falcon3-10B-Base,Falcon3-10B-Instruct,0.8783783783783784,0.44594594594594594,0.8783783783783784,0.44594594594594594,-0.43243243243243246
