question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
"A study is conducted to assess the relationship between race and end-stage renal disease pathologists independently study specimens from 1,000 kidney biopsies. The first group of pathologists is aware of the race of the patient from whom the biopsy came, while the second group is blinded as to the patient’s race. The first group reports ‘hypertensive nephropathy’ much more frequently for black patients than the second group. Which of the following types of bias is most likely present in this study?",(A) Confounding,(B) Nonresponse bias,(C) Recall bias,(D) Referral bias,A,D,False,20.0,0,-1.794853925704956,-4.0565714836120605,-2.17091965675354,-0.4233759343624115,0.8024087864323519,-1.0929578957147896,0.699640723071449,2.071405064120578,-2.597262712137308,-2.963613587897271,-2.870560379824989,-2.4947809984829896,D,D,False,False
What is the essential pathology of astroviruses?,(A) Very restricted replication in the gut,(B) Can cause infection of the central nervous system,(C) Sequence diversity allows widespread replication,(D) Can cause infection in the upper respiratory tract,A,A,True,20.0,0,-0.19574852287769318,-2.701859712600708,-3.074897289276123,-3.2016913890838623,2.401514189259615,0.2617538752965629,-0.20433690945113403,-0.7069103906008727,-2.597262712137308,-2.963613587897271,-2.870560379824989,-2.4947809984829896,A,A,True,True
The highest risk of HIV infection among drug users in the U.S. is in:,(A) The east coast,"(B) The central United States (Kansas, Missouri etc.)",(C) Southern California,"(D) The Pacific Northwest (Washington, Oregon, Idaho)",A,D,False,20.0,0,-1.958240032196045,-2.5925426483154297,-1.334812045097351,-0.7145915627479553,0.639022679941263,0.37107093958184123,1.535748334727638,1.7801894357350343,-2.597262712137308,-2.963613587897271,-2.870560379824989,-2.4947809984829896,D,D,False,False
How are herpes infections controlled?,(A) Chemotherapy,(B) Vaccines,(C) Hygiene and social distancing,(D) No method,A,C,False,20.0,0,-3.0615296363830566,-2.0620415210723877,-0.5620954632759094,-1.4363298416137695,-0.46426692424574867,0.9015720668248832,2.3084649165490796,1.05845115686922,-2.597262712137308,-2.963613587897271,-2.870560379824989,-2.4947809984829896,C,C,False,False
Disease can most often be prevented by which of the following:,(A) Vaccines,(B) Antivirals,(C) Hygiene,(D) mosquito nets,A,C,False,20.0,0,-1.893993854522705,-4.026176929473877,-0.26900163292884827,-3.950448513031006,0.7032688576146029,-1.062563341576606,2.6015587468961408,-1.4556675145480162,-2.597262712137308,-2.963613587897271,-2.870560379824989,-2.4947809984829896,C,C,False,False
"In a medical class of 147 students, the distribution of scores on a biochemistry final examination has a mean equal to 67, a median equal to 76, a mode equal to 80, a standard deviation equal to 5.5, and a variance equal to 30.25. Three students were unable to take the test on the scheduled date and were given a different form of the exam 1 week later. Which parameter is most likely to be the least biased estimator of central tendency for this distribution of biochemistry test scores?",(A) Mean,(B) Median,(C) Mode,(D) Standard deviation,A,B,False,20.0,0,-3.0288503170013428,-0.1530919224023819,-2.7788503170013428,-4.7152605056762695,-0.4315876048640348,2.810521665494889,0.09171006282364624,-2.22047950719328,-2.597262712137308,-2.963613587897271,-2.870560379824989,-2.4947809984829896,B,B,False,False
How are arenaviruses spread?,(A) Sexual contact,(B) Blood,(C) Aerosols of urine from infected small mammals,(D) Mosquito bites,A,C,False,20.0,0,-4.777042388916016,-4.4652605056762695,-0.15864220261573792,-2.2800426483154297,-2.1797796767787077,-1.5016469177789986,2.711918177209251,0.21473835016755993,-2.597262712137308,-2.963613587897271,-2.870560379824989,-2.4947809984829896,C,C,False,False
In the absence of treatment the risk of HIV transmission from an infected mother to her fetus/infant was highest in which of the following areas?,(A) Africa,(B) North America,(C) Europe,(D) Japan,A,A,True,20.0,0,-0.04149545356631279,-5.012529373168945,-4.584292888641357,-4.589796543121338,2.555767258570995,-2.0489157852716744,-1.7137325088163684,-2.0950155446383483,-2.597262712137308,-2.963613587897271,-2.870560379824989,-2.4947809984829896,A,A,True,True
Why are members of the astrovirus family only recently recognised as significant enteric viruses for humans?,(A) The genome has been identified by the new method of deep sequencing,(B) A new vector has been discovered,(C) They infect a wide range of domestic animals and so contaminate meat,(D) Knowledge of their replication as positive sense ssRNA viruses is now complete,A,A,True,20.0,1,-0.10591927915811539,-4.650503158569336,-4.089271545410156,-2.857699155807495,2.6054876960309534,-1.4638421821485585,-1.367706757504493,-0.516591963804482,-2.711406975189069,-3.1866609764207774,-2.7215647879056633,-2.341107192003013,A,A,True,True
Which is a major characteristic of the bunyavirus family?,"(A) Amplify by persistent infection of midgets, mosquitoes, sand flies, ticks",(B) Predominantly mosquito borne,(C) Genetic recombination or reassortment,(D) Spread to humans via bites of mice and rats,A,A,True,20.0,1,-1.0065571069717407,-1.50725519657135,-1.6318939924240112,-1.63205087184906,1.704849868217328,1.6794057798494273,1.089670795481652,0.709056320153953,-2.711406975189069,-3.1866609764207774,-2.7215647879056633,-2.341107192003013,A,A,True,True
What has so far prevented polio being eradicated from the world?,(A) Inability to vaccinate in some countries,(B) Poor quality (unsafe) vaccines,(C) Genetic variation,(D) Expense,A,A,True,20.0,1,-0.07128584384918213,-4.870082378387451,-3.575448513031006,-4.185900688171387,2.6401211313398867,-1.6834214019666738,-0.8538837251253426,-1.8447934961683736,-2.711406975189069,-3.1866609764207774,-2.7215647879056633,-2.341107192003013,A,A,True,True
How many people globally are currently infected with hepatitis B?,(A) 350 million,(B) 2 billion,"(C) 100,000",(D) 1 million,A,A,True,20.0,1,-0.047058895230293274,-3.9831488132476807,-5.056929588317871,-5.808899879455566,2.6643480799587755,-0.7964878368269033,-2.335364800412208,-3.4677926874525533,-2.711406975189069,-3.1866609764207774,-2.7215647879056633,-2.341107192003013,A,A,True,True
Most pandemics have arisen from influenza viruses from which of the following animals?,(A) Pigs,(B) Wild birds,(C) Bats,(D) Humans,A,A,True,20.0,1,-0.48537108302116394,-1.2338945865631104,-3.854222059249878,-3.732476234436035,2.226035892167905,1.952766389857667,-1.1326572713442147,-1.391369042433022,-2.711406975189069,-3.1866609764207774,-2.7215647879056633,-2.341107192003013,A,A,True,True
Randomization of study subjects in a clinical trial is most helpful for controlling for which of the following?,(A) Placebo effect,(B) Recall bias,(C) Non-compliance,(D) Effect modification (interaction),A,A,True,20.0,1,-0.8742442727088928,-3.7480714321136475,-1.7495955228805542,-1.1245955228805542,1.837162702480176,-0.5614104556928701,0.971969265025109,1.216511669122459,-2.711406975189069,-3.1866609764207774,-2.7215647879056633,-2.341107192003013,A,A,True,True
