Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,eval_split_ratio,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,calib_yes_mean,calib_no_mean,raw_predicted_answer,raw_is_correct,kfold_predicted_answer,kfold_is_correct
1,1,social-properties,1,antonym,1,Chao treats people kindly.,Is Chao friendly?,Yes,20.0,0,-3.7728993892669678,-3.2777605056762695,0.3842970934407468,-0.32573954401345073,-4.157196482707715,-2.952020961662819,No,False,True,True
2,1,social-properties,1,antonym,1,Chao treats people kindly.,Is Chao hostile?,No,20.0,0,-5.588983535766602,-1.8343995809555054,-1.431787053058887,1.1176213807073134,-4.157196482707715,-2.952020961662819,No,True,False,True
3,1,social-properties,1,antonym,2,Chao treats people coldly.,Is Chao friendly?,No,20.0,0,-4.850273609161377,-2.613952159881592,-0.6930771264536624,0.338068801781227,-4.157196482707715,-2.952020961662819,No,True,False,True
4,1,social-properties,1,antonym,2,Chao treats people coldly.,Is Chao hostile?,Yes,20.0,0,-4.201153755187988,-2.603353261947632,-0.0439572724802737,0.34866769971518696,-4.157196482707715,-2.952020961662819,No,False,False,False
5,2,social-properties,2,antonym,1,Chao greeted Yan.,Is Chao friendly?,Yes,20.0,0,-3.427744150161743,-3.682879686355591,0.7294523325459714,-0.730858724692772,-4.157196482707715,-2.952020961662819,Yes,True,True,True
6,2,social-properties,2,antonym,1,Chao greeted Yan.,Is Chao hostile?,No,20.0,0,-5.583040237426758,-3.3553595542907715,-1.4258437547190432,-0.4033385926279527,-4.157196482707715,-2.952020961662819,No,True,False,True
7,2,social-properties,2,antonym,2,Chao insulted Yan.,Is Chao friendly?,No,20.0,0,-4.398403167724609,-2.903531312942505,-0.2412066850168948,0.048489648720313916,-4.157196482707715,-2.952020961662819,No,True,False,True
8,2,social-properties,2,antonym,2,Chao insulted Yan.,Is Chao hostile?,Yes,20.0,0,-4.460903167724609,-3.6070852279663086,-0.3037066850168948,-0.6550642663034898,-4.157196482707715,-2.952020961662819,No,False,True,True
9,3,social-properties,3,antonym,1,Chao enjoys meeting new people.,Is Chao friendly?,Yes,20.0,0,-3.7588043212890625,-6.274322032928467,0.3983921614186521,-3.322301071265648,-4.157196482707715,-2.952020961662819,Yes,True,True,True
10,3,social-properties,3,antonym,1,Chao enjoys meeting new people.,Is Chao hostile?,No,20.0,0,-4.488952159881592,-1.5131103992462158,-0.3317556771738772,1.438910562416603,-4.157196482707715,-2.952020961662819,No,True,False,True
11,3,social-properties,3,antonym,2,Chao avoids meeting new people.,Is Chao friendly?,No,20.0,0,-4.360836505889893,-4.618284702301025,-0.203640023182178,-1.6662637406382066,-4.157196482707715,-2.952020961662819,Yes,False,True,False
12,3,social-properties,3,antonym,2,Chao avoids meeting new people.,Is Chao hostile?,Yes,20.0,0,-3.8484976291656494,-2.3552324771881104,0.30869885354206517,0.5967884844747084,-4.157196482707715,-2.952020961662819,No,False,False,False
13,4,social-properties,4,other,1,Chao gave Yan a gift.,Is Chao friendly?,Yes,20.0,0,-4.226754665374756,-3.5036849975585938,-0.06955818266704128,-0.551664035895775,-4.157196482707715,-2.952020961662819,No,False,True,True
14,4,social-properties,4,other,1,Chao gave Yan a gift.,Is Chao hostile?,No,20.0,0,-4.388653755187988,-3.151176929473877,-0.2314572724802737,-0.19915596781105815,-4.157196482707715,-2.952020961662819,No,True,False,True
15,4,social-properties,4,other,2,Chao gave Yan a glare.,Is Chao friendly?,No,20.0,0,-4.836822032928467,-3.3239824771881104,-0.6796255502207522,-0.37196151552529155,-4.157196482707715,-2.952020961662819,No,True,False,True
16,4,social-properties,4,other,2,Chao gave Yan a glare.,Is Chao hostile?,Yes,20.0,0,-5.524322032928467,-3.5270423889160156,-1.3671255502207522,-0.5750214272531968,-4.157196482707715,-2.952020961662819,No,False,False,False
17,5,social-properties,5,antonym,1,Chao is reliable.,Is Chao trustworthy?,Yes,20.0,0,-3.6989824771881104,-4.183421611785889,0.45821400551960423,-1.2314006501230699,-4.157196482707715,-2.952020961662819,Yes,True,True,True
18,5,social-properties,5,antonym,1,Chao is reliable.,Is Chao untrustworthy?,No,20.0,0,-5.274740695953369,-3.2788503170013428,-1.1175442132456546,-0.326829355338524,-4.157196482707715,-2.952020961662819,No,True,False,True
19,5,social-properties,5,antonym,2,Chao is unreliable.,Is Chao trustworthy?,No,20.0,0,-5.118284702301025,-4.120921611785889,-0.9610882195933108,-1.1689006501230699,-4.157196482707715,-2.952020961662819,No,True,True,False
20,5,social-properties,5,antonym,2,Chao is unreliable.,Is Chao untrustworthy?,Yes,20.0,0,-5.368284702301025,-4.370921611785889,-1.2110882195933108,-1.4189006501230699,-4.157196482707715,-2.952020961662819,No,False,True,True
21,6,social-properties,6,negation,1,Chao can be depended upon.,Is Chao trustworthy?,Yes,20.0,0,-2.1694376468658447,-4.185997486114502,1.9877588358418699,-1.2339765244516832,-4.157196482707715,-2.952020961662819,Yes,True,True,True
22,6,social-properties,6,negation,1,Chao can be depended upon.,Is Chao untrustworthy?,No,20.0,0,-4.745921611785889,-3.2319376468658447,-0.5887251290781741,-0.27991668520302593,-4.157196482707715,-2.952020961662819,No,True,False,True
23,6,social-properties,6,negation,2,Chao cannot be depended upon.,Is Chao trustworthy?,No,20.0,0,-4.060024261474609,-2.5775632858276367,0.0971722212331052,0.3744576758351821,-4.157196482707715,-2.952020961662819,No,True,False,True
24,6,social-properties,6,negation,2,Chao cannot be depended upon.,Is Chao untrustworthy?,Yes,20.0,0,-4.089796543121338,-3.107896089553833,0.06739993958637669,-0.1558751278910142,-4.157196482707715,-2.952020961662819,No,False,True,True
25,7,social-properties,7,antonym,1,"Yan told Chao a secret. Today, no one else knows the secret.",Is Chao trustworthy?,Yes,20.0,0,-5.0725626945495605,-5.458040237426758,-0.915366211841846,-2.506019275763939,-4.157196482707715,-2.952020961662819,Yes,True,True,True
26,7,social-properties,7,antonym,1,"Yan told Chao a secret. Today, no one else knows the secret.",Is Chao untrustworthy?,No,20.0,0,-6.107940196990967,-3.863243818283081,-1.9507437142832522,-0.9112228566202623,-4.157196482707715,-2.952020961662819,No,True,False,True
27,7,social-properties,7,antonym,2,"Yan told Chao a secret. Today, everyone knows the secret.",Is Chao trustworthy?,No,20.0,0,-4.5431904792785645,-4.674990653991699,-0.3859939965708499,-1.7229696923288804,-4.157196482707715,-2.952020961662819,Yes,False,True,False
28,7,social-properties,7,antonym,2,"Yan told Chao a secret. Today, everyone knows the secret.",Is Chao untrustworthy?,Yes,20.0,0,-5.5791401863098145,-2.6960885524749756,-1.4219437036020999,0.2559324091878432,-4.157196482707715,-2.952020961662819,No,False,False,False
29,8,social-properties,8,antonym,1,Chao is good at completing important tasks.,Is Chao trustworthy?,Yes,20.0,0,-3.488952159881592,-4.493284702301025,0.6682443228261228,-1.5412637406382066,-4.157196482707715,-2.952020961662819,Yes,True,True,True
30,8,social-properties,8,antonym,1,Chao is good at completing important tasks.,Is Chao untrustworthy?,No,20.0,0,-4.706623077392578,-2.7128214836120605,-0.5494265946848635,0.23919947805075825,-4.157196482707715,-2.952020961662819,No,True,False,True
31,8,social-properties,8,antonym,2,Chao is bad at completing important tasks.,Is Chao trustworthy?,No,20.0,0,-4.178885459899902,-3.6822662353515625,-0.021688977192187764,-0.7302452736887437,-4.157196482707715,-2.952020961662819,No,True,True,False
32,8,social-properties,8,antonym,2,Chao is bad at completing important tasks.,Is Chao untrustworthy?,Yes,20.0,0,-3.962240695953369,-2.4646716117858887,0.19495578675434544,0.4873493498769301,-4.157196482707715,-2.952020961662819,No,False,False,False
33,9,social-properties,9,antonym,1,Chao usually keeps promises.,Is Chao trustworthy?,Yes,20.0,1,-4.251499652862549,-4.763653755187988,-0.029758901431642393,-1.6241576476343749,-4.221740751430906,-3.1394961075536134,Yes,True,True,True
34,9,social-properties,9,antonym,1,Chao usually keeps promises.,Is Chao untrustworthy?,No,20.0,1,-5.826153755187988,-3.3353993892669678,-1.6044130037570818,-0.19590328171335436,-4.221740751430906,-3.1394961075536134,No,True,False,True
35,9,social-properties,9,antonym,2,Chao usually breaks promises.,Is Chao trustworthy?,No,20.0,1,-4.976754665374756,-4.485836505889893,-0.7550139139438494,-1.3463403983362792,-4.221740751430906,-3.1394961075536134,No,True,True,False
36,9,social-properties,9,antonym,2,Chao usually breaks promises.,Is Chao untrustworthy?,Yes,20.0,1,-4.670162677764893,-3.715941905975342,-0.44842192633398614,-0.5764457984217284,-4.221740751430906,-3.1394961075536134,No,False,True,True
37,10,social-properties,10,antonym,1,Chao is respectful towards differences in background and belief.,Is Chao tolerant?,Yes,20.0,1,-3.0713043212890625,-4.089542388916016,1.150436430141844,-0.9500462813624022,-4.221740751430906,-3.1394961075536134,Yes,True,True,True
38,10,social-properties,10,antonym,1,Chao is respectful towards differences in background and belief.,Is Chao bigoted?,No,20.0,1,-4.957353591918945,-1.9584810733795166,-0.7356128404880389,1.1810150341740968,-4.221740751430906,-3.1394961075536134,No,True,False,True
39,10,social-properties,10,antonym,2,Chao is disrespectful towards differences in background and belief.,Is Chao tolerant?,No,20.0,1,-4.207353591918945,-3.200610399246216,0.014387159511961123,-0.06111429169260241,-4.221740751430906,-3.1394961075536134,No,True,True,False
40,10,social-properties,10,antonym,2,Chao is disrespectful towards differences in background and belief.,Is Chao bigoted?,Yes,20.0,1,-3.9463043212890625,-2.4491095542907715,0.27543643014184394,0.6903865532628419,-4.221740751430906,-3.1394961075536134,No,False,False,False
41,11,social-properties,11,negation,1,Chao is not prejudiced against differences in background and belief.,Is Chao tolerant?,Yes,20.0,1,-2.903695821762085,-3.4047000408172607,1.3180449296688215,-0.26520393326364733,-4.221740751430906,-3.1394961075536134,Yes,True,True,True
42,11,social-properties,11,negation,1,Chao is not prejudiced against differences in background and belief.,Is Chao bigoted?,No,20.0,1,-5.122524261474609,-2.107896089553833,-0.9007835100437029,1.0316000179997804,-4.221740751430906,-3.1394961075536134,No,True,False,True
