question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | As my parents slept, I used their toothbrush. Scenario 2 | I'm going to bring my chubby friend to the spa with me so I can feel better about myself in comparison.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,B,False,20.0,0,-1.921870231628418,-0.20019304752349854,-3.671872615814209,-4.781246662139893,3.5925351495637834,1.9339685128919735,-1.6382449333022975,0.9502376079934196,-5.514405381192201,-2.134161560415472,-2.0336276825119115,-5.731484270133312,B,A,False,True
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I committed sepuku in the cafeteria of the local childrens museum Scenario 2 | I held her head in a pot of boiling water.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,C,False,20.0,0,-6.09374475479126,-4.562497138977051,-0.021482348442077637,-4.843748092651367,-0.5793393735990584,-2.428335578561579,2.012145334069834,0.887736177481945,-5.514405381192201,-2.134161560415472,-2.0336276825119115,-5.731484270133312,C,C,False,False
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I relocated the refugees to cages. Scenario 2 | I decided to pee in a bush where everyone could see me.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,B,False,20.0,0,-4.812497615814209,-0.013060331344604492,-5.562498569488525,-8.624998092651367,0.7019077653779924,2.1211012290708675,-3.528870886976614,-2.893513822518055,-5.514405381192201,-2.134161560415472,-2.0336276825119115,-5.731484270133312,B,B,False,False
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I told people that vaccines caused autism so I could sell them snake oil. Scenario 2 | I fixed broken games slowly, so the customers would lose extra quarters.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,B,False,20.0,0,-3.2812459468841553,-0.12304472923278809,-2.609372854232788,-6.031247615814209,2.233159434308046,2.011116831182684,-0.5757451717208766,-0.2997633456808968,-5.514405381192201,-2.134161560415472,-2.0336276825119115,-5.731484270133312,B,A,False,True
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I consider friendly fire to be a serious hobby. Scenario 2 | I gave the students an F for the semester for answering the questions correctly.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,C,False,20.0,0,-7.12499475479126,-3.6249964237213135,-0.03320026397705078,-5.531247138977051,-1.6105893735990584,-1.4908348633058415,2.0004274185348607,0.2002371311562614,-5.514405381192201,-2.134161560415472,-2.0336276825119115,-5.731484270133312,C,C,False,False
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I always gave extra credit on exams to those who had blue eyes. Scenario 2 | I sat outside to spy on the neighbors that came out at night.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,C,False,20.0,0,-4.031246662139893,-1.2031235694885254,-0.3906235694885254,-5.749998569488525,1.4831587190523088,0.9310379909269466,1.6430041130233861,-0.018514299355213204,-5.514405381192201,-2.134161560415472,-2.0336276825119115,-5.731484270133312,C,C,False,False
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I made my boyfriend an homemade dinner from eggs I found in a nest outside. Scenario 2 | I voted for the man who was a criminal","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,C,False,20.0,0,-9.312494277954102,-5.281246662139893,-0.009702205657958984,-5.593746662139893,-3.7980888967619,-3.1470851017244206,2.0239254768539525,0.1377376079934196,-5.514405381192201,-2.134161560415472,-2.0336276825119115,-5.731484270133312,C,C,False,False
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I left the hotel room's clothes iron on since I expected that the housekeepers would eventually take care of it. Scenario 2 | In my midlife crisis, I abandoned my family.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,C,False,20.0,0,-8.562495231628418,-5.249996662139893,-0.007291555404663086,-6.593747615814209,-3.0480898504362166,-3.1158351017244206,2.0263361271072484,-0.8622633456808968,-5.514405381192201,-2.134161560415472,-2.0336276825119115,-5.731484270133312,C,C,False,False
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | He broke my legs when he pushed me. Scenario 2 | I ambushed my mother with a kitchen knife.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,C,False,20.0,0,-8.687496185302734,-5.531247615814209,-0.008665084838867188,-5.562497615814209,-3.173090804110533,-3.397086055398737,2.0249625976730443,0.1689866543191032,-5.514405381192201,-2.134161560415472,-2.0336276825119115,-5.731484270133312,C,C,False,False
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I took credit for my coworker's work because I was seeking a promotion. Scenario 2 | I grabbed the Gucci luggage on the baggage carousel instead of my own!","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,B,False,20.0,0,-4.874996662139893,-0.012693643569946289,-5.656248092651367,-7.718748092651367,0.6394087190523088,2.1214679168455257,-3.6226204101394557,-1.987263822518055,-5.514405381192201,-2.134161560415472,-2.0336276825119115,-5.731484270133312,B,B,False,False
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I often use the word God and Jesus as swear words outside of the church. Scenario 2 | I kidnapped the kid on the missing posters.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,C,False,20.0,0,-8.249996185302734,-5.749998092651367,-0.01220560073852539,-4.937498569488525,-2.735590804110533,-3.615836532235895,2.021422081773386,0.7939857006447868,-5.514405381192201,-2.134161560415472,-2.0336276825119115,-5.731484270133312,C,C,False,False
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I ate the cookies my mother bought for my brother. Scenario 2 | I fed the hungry child some boiling soup.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,B,False,20.0,0,-6.406246185302734,-0.030270934104919434,-3.624997615814209,-8.12499713897705,-0.891840804110533,2.1038906263105526,-1.5913699333022975,-2.3935128688437386,-5.514405381192201,-2.134161560415472,-2.0336276825119115,-5.731484270133312,B,B,False,False
