question,A,B,C,D,answer,oa_logprob,ob_logprob,oc_logprob,od_logprob,predicted_answer,is_correct
A 10-N force at an angle 45° above the horizontal has a horizontal component of about,(A) 7 N,(B) 5 N,(C) 10 N,(D) 12 N,A,-4.149740695953369,-3.8978993892669678,-4.147899627685547,-3.3978993892669678,D,False
A completely submerged object always displaces its own,(A) weight of fluid.,(B) volume of fluid.,(C) density of fluid.,(D) All of these.,B,-6.620921611785889,-7.866385459899902,-8.869766235351562,-2.1338043212890625,D,False
"When a diver points a flashlight upward toward the surface of the water at an angle 20° from the normal, the beam of light",(A) totally internally reflects,(B) passes into the air above,(C) is absorbed,(D) None of these,B,-5.0791401863098145,-6.0630693435668945,-7.319775581359863,-5.069775581359863,D,False
"According to four-dimensional geometry, the angles of a triangle add to 180°",(A) always.,(B) sometimes.,(C) never.,(D) on planet Earth only.,B,-3.5600242614746094,-6.555784702301025,-6.558421611785889,-6.060024261474609,A,False
A voltage will be induced in a wire loop when the magnetic field within that loop,(A) changes,(B) aligns with the electric field,(C) is at right angles to the electric field,(D) converts to magnetic energy,A,-5.491385459899902,-8.73583698272705,-6.738952159881592,-7.991385459899902,A,True
"Among these colors, the one that has the most energy per photon is",(A) red,(B) yellow-green,(C) blue,(D) violet,D,-5.78036642074585,-8.06099796295166,-8.061588287353516,-4.780561923980713,D,True
"According to general relativity,",(A) mass distorts spacetime.,(B) gravity affects clocks.,(C) light can’t escape from a black hole.,(D) All of these.,D,-9.99752426147461,-10.74592113494873,-11.744766235351562,-4.52970027923584,D,True
A step-up transformer in an electric circuit can step up,(A) voltage,(B) energy,(C) Both of these,(D) Neither of these,A,-3.570504665374756,-7.071211814880371,-3.820504665374756,-9.59524917602539,A,True
Spectral lines of the elements are,(A) chaotic,(B) ordered,(C) positioned by amplitude,(D) in phase,B,-8.74752426147461,-6.277042388916016,-9.746822357177734,-7.029260158538818,B,True
A wave transfers,(A) amplitude,(B) wavelength,(C) frequency,(D) energy,D,-5.029793739318848,-6.027296543121338,-7.028850555419922,-6.028850555419922,A,False
"Immediately after two separated charged particles are released from rest, both increase in acceleration. The sign of charge of the particles is therefore",(A) the same,(B) opposite,(C) Either of these,(D) Need more information,B,-4.8670244216918945,-4.368208408355713,-4.8670244216918945,-3.3576626777648926,D,False
The surface of planet Earth loses energy to outer space due mostly to,(A) conduction,(B) convection,(C) radiation,(D) radioactivity,C,-8.18469524383545,-7.434322357177734,-2.9511661529541016,-7.684322357177734,C,True
"In a series circuit, if the current in one lamp is 2 A, the current in the lamp next to it is","(A) half, 1 A",(B) 2 A,(C) Depends on which lamp is closer to the battery,(D) Not enough information to say,B,-4.613952159881592,-4.095249652862549,-6.1068501472473145,-5.6068501472473145,B,True
"As a blinking light source approaching you gains speed, you see the frequency of flashes",(A) increase.,(B) decrease.,(C) remain unchanged.,(D) None of these.,A,-3.903169870376587,-5.147899627685547,-5.649740695953369,-5.152296543121338,A,True
In the absence of air resistance a ball of mass m is tossed upward to reach a height of 20 m. At the 10-m position half way up the net force on the ball is,(A) 2mg,(B) mg,(C) mg/2,(D) mg/4,B,-4.2447662353515625,-5.7447662353515625,-4.745921611785889,-4.995921611785889,A,False
Pumice is a volcanic rock that floats in water. The density of pumice compared with that of water is,(A) less.,(B) equal.,(C) greater.,(D) none because it sinks.,A,-6.838350296020508,-7.082353591918945,-4.838350296020508,-5.089542388916016,C,False
When you look at the red petals of a rose the color light you're seeing is,(A) red.,(B) green.,(C) white minus red.,(D) a mixture of green and yellow.,A,-2.126499652862549,-7.1091227531433105,-6.883711814880371,-6.883711814880371,A,True
Compared with the sound you hear from the siren of a stationary fire engine the sound you hear when it approaches you has an increased,(A) speed,(B) frequency,(C) wavelength,(D) All of these,B,-3.4178595542907715,-5.395540237426758,-6.902296543121338,-1.407294750213623,D,False
"When you squeeze an air-filled party balloon, you increase its",(A) volume,(B) mass,(C) weight,(D) density,D,-3.6338043212890625,-7.8916401863098145,-8.606849670410156,-7.894853591918945,A,False
