Type,Digits,Context,Question,Correct Answer,yes_logprob,no_logprob,predicted_answer,is_correct
Arithmetic,1_digit_addition,'',Is 8 plus 3 equal to 17?,No,-2.232896089553833,-0.6122280955314636,No,True
Arithmetic,1_digit_addition,'',Is 1 plus 6 equal to 5?,No,-2.0136661529541016,-0.6472015976905823,No,True
Arithmetic,1_digit_addition,'',Is 1 plus 8 equal to 4?,No,-1.7084810733795166,-0.8928488492965698,No,True
Arithmetic,1_digit_addition,'',Is 7 plus 0 equal to 6?,No,-1.0454415082931519,-1.2959775924682617,Yes,False
Arithmetic,1_digit_addition,'',Is 2 plus 4 equal to 4?,No,-0.7246187925338745,-1.7252672910690308,Yes,False
Arithmetic,1_digit_addition,'',Is 5 plus 1 equal to 9?,No,-1.4748997688293457,-0.9129886627197266,No,True
Arithmetic,1_digit_addition,'',Is 4 plus 0 equal to 6?,No,-1.7796001434326172,-0.8386780619621277,No,True
Arithmetic,1_digit_addition,'',Is 6 plus 6 equal to 70?,No,-2.7793805599212646,-0.592150866985321,No,True
Arithmetic,1_digit_addition,'',Is 3 plus 8 equal to 77?,No,-2.935797929763794,-0.627532958984375,No,True
Arithmetic,1_digit_addition,'',Is 8 plus 1 equal to 8?,No,-0.7251400351524353,-1.7256721258163452,Yes,False
Arithmetic,1_digit_addition,'',Is 5 plus 7 equal to 76?,No,-3.2172000408172607,-0.6590526103973389,No,True
Arithmetic,1_digit_addition,'',Is 2 plus 3 equal to 3?,No,-0.7675023674964905,-1.7641915082931519,Yes,False
Arithmetic,1_digit_addition,'',Is 9 plus 3 equal to 89?,No,-2.685797929763794,-0.6236320734024048,No,True
Arithmetic,1_digit_addition,'',Is 5 plus 4 equal to 7?,No,-0.4968037009239197,-2.5616438388824463,Yes,False
Arithmetic,1_digit_addition,'',Is 1 plus 4 equal to 8?,No,-2.357699155807495,-0.6121246218681335,No,True
Arithmetic,1_digit_addition,'',Is 7 plus 1 equal to 4?,No,-1.5609009265899658,-0.8778026103973389,No,True
Arithmetic,1_digit_addition,'',Is 9 plus 6 equal to 57?,No,-2.670396089553833,-0.662807047367096,No,True
Arithmetic,1_digit_addition,'',Is 6 plus 0 equal to 1?,No,-0.8064172267913818,-1.6859976053237915,Yes,False
Arithmetic,1_digit_addition,'',Is 4 plus 7 equal to 86?,No,-3.248400926589966,-0.6159124374389648,No,True
Arithmetic,1_digit_addition,'',Is 4 plus 5 equal to 4?,No,-1.0841398239135742,-1.0847015380859375,Yes,False
Arithmetic,1_digit_addition,'',Is 7 plus 9 equal to 59?,No,-2.857896089553833,-0.6160967350006104,No,True
Arithmetic,1_digit_addition,'',Is 9 plus 1 equal to 26?,No,-3.045199155807495,-0.608069658279419,No,True
Arithmetic,1_digit_addition,'',Is 2 plus 1 equal to 6?,No,-2.8730714321136475,-0.5610886216163635,No,True
Arithmetic,1_digit_addition,'',Is 5 plus 5 equal to 98?,No,-2.2167601585388184,-0.7172000408172607,No,True
Arithmetic,1_digit_addition,'',Is 5 plus 9 equal to 85?,No,-2.6543805599212646,-0.6547938585281372,No,True
Arithmetic,1_digit_addition,'',Is 9 plus 5 equal to 26?,No,-3.1392781734466553,-0.5693647861480713,No,True
Arithmetic,1_digit_addition,'',Is 0 plus 8 equal to 1?,No,-1.0290648937225342,-1.2799240350723267,Yes,False
Arithmetic,1_digit_addition,'',Is 4 plus 9 equal to 17?,No,-1.1156495809555054,-1.1160264015197754,Yes,False
Arithmetic,1_digit_addition,'',Is 6 plus 4 equal to 72?,No,-2.857476234436035,-0.6039954423904419,No,True
Arithmetic,1_digit_addition,'',Is 4 plus 2 equal to 1?,No,-1.1151505708694458,-1.1159515380859375,Yes,False
Arithmetic,1_digit_addition,'',Is 0 plus 6 equal to 9?,No,-1.4744936227798462,-0.9791272282600403,No,True
Arithmetic,1_digit_addition,'',Is 8 plus 2 equal to 47?,No,-2.904600143432617,-0.600307047367096,No,True
Arithmetic,1_digit_addition,'',Is 8 plus 0 equal to 7?,No,-1.0923385620117188,-1.2178096771240234,Yes,False
Arithmetic,1_digit_addition,'',Is 1 plus 5 equal to 7?,No,-1.045146107673645,-1.2332229614257812,Yes,False
Arithmetic,1_digit_addition,'',Is 6 plus 5 equal to 83?,No,-2.857699155807495,-0.6081487536430359,No,True
Arithmetic,1_digit_addition,'',Is 1 plus 2 equal to 6?,No,-2.732353925704956,-0.6117964386940002,No,True
Arithmetic,1_digit_addition,'',Is 5 plus 0 equal to 8?,No,-2.295396089553833,-0.6747605204582214,No,True
Arithmetic,1_digit_addition,'',Is 1 plus 3 equal to 5?,No,-0.955450713634491,-1.3270760774612427,Yes,False
Arithmetic,1_digit_addition,'',Is 4 plus 3 equal to 3?,No,-1.0217485427856445,-1.1472015380859375,Yes,False
Arithmetic,1_digit_addition,'',Is 6 plus 3 equal to 4?,No,-1.5684285163879395,-0.8190957307815552,No,True
Arithmetic,1_digit_addition,'',Is 7 plus 2 equal to 8?,No,-0.5456487536430359,-2.2335829734802246,Yes,False
Arithmetic,1_digit_addition,'',Is 6 plus 9 equal to 96?,No,-2.6388959884643555,-0.6938900351524353,No,True
Arithmetic,1_digit_addition,'',Is 9 plus 7 equal to 79?,No,-3.060900926589966,-0.5573911666870117,No,True
Arithmetic,1_digit_addition,'',Is 0 plus 5 equal to 1?,No,-0.9629226326942444,-1.3424240350723267,Yes,False
Arithmetic,1_digit_addition,'',Is 7 plus 5 equal to 16?,No,-1.1783301830291748,-1.0537248849868774,No,True
Arithmetic,1_digit_addition,'',Is 3 plus 3 equal to 4?,No,-0.6896974444389343,-1.881704568862915,Yes,False
Arithmetic,1_digit_addition,'',Is 8 plus 6 equal to 33?,No,-2.7797937393188477,-0.6003457307815552,No,True
Arithmetic,1_digit_addition,'',Is 3 plus 6 equal to 3?,No,-1.1464005708694458,-1.0219467878341675,No,True
Arithmetic,1_digit_addition,'',Is 0 plus 7 equal to 8?,No,-1.0062984228134155,-1.256834626197815,Yes,False
Arithmetic,1_digit_addition,'',Is 2 plus 6 equal to 6?,No,-0.9900193810462952,-1.365600824356079,Yes,False
Arithmetic,1_digit_addition,'',Is 1 plus 1 equal to 6?,No,-2.8885397911071777,-0.576500654220581,No,True
Arithmetic,1_digit_addition,'',Is 2 plus 8 equal to 44?,No,-2.669853925704956,-0.662450909614563,No,True
Arithmetic,1_digit_addition,'',Is 6 plus 8 equal to 64?,No,-2.6230714321136475,-0.5609500408172607,No,True
Arithmetic,1_digit_addition,'',Is 4 plus 1 equal to 7?,No,-1.4047938585281372,-0.9090865850448608,No,True
Arithmetic,1_digit_addition,'',Is 7 plus 4 equal to 19?,No,-3.0298819541931152,-0.5340526103973389,No,True
Arithmetic,1_digit_addition,'',Is 8 plus 4 equal to 84?,No,-2.717100143432617,-0.596282958984375,No,True
Arithmetic,1_digit_addition,'',Is 1 plus 7 equal to 4?,No,-1.7086297273635864,-0.8343507647514343,No,True
Arithmetic,1_digit_addition,'',Is 7 plus 3 equal to 33?,No,-2.935900926589966,-0.5573529601097107,No,True
Arithmetic,1_digit_addition,'',Is 7 plus 7 equal to 72?,No,-2.57659912109375,-0.6433746218681335,No,True
Arithmetic,1_digit_addition,'',Is 5 plus 2 equal to 8?,No,-0.604040801525116,-2.1709775924682617,Yes,False
Arithmetic,1_digit_addition,'',Is 3 plus 4 equal to 8?,No,-0.5770426988601685,-1.952447533607483,Yes,False
Arithmetic,1_digit_addition,'',Is 3 plus 5 equal to 1?,No,-0.900538980960846,-1.2799240350723267,Yes,False
Arithmetic,1_digit_addition,'',Is 9 plus 9 equal to 27?,No,-0.6857978105545044,-1.8737543821334839,Yes,False
Arithmetic,1_digit_addition,'',Is 3 plus 9 equal to 97?,No,-2.513784646987915,-0.7017354965209961,No,True
Arithmetic,1_digit_addition,'',Is 4 plus 8 equal to 24?,No,-2.341993808746338,-0.5884811878204346,No,True
Arithmetic,1_digit_addition,'',Is 2 plus 0 equal to 8?,No,-2.826284646987915,-0.5728772282600403,No,True
Arithmetic,1_digit_addition,'',Is 0 plus 0 equal to 2?,No,-2.1072237491607666,-0.607750654220581,No,True
Arithmetic,1_digit_addition,'',Is 8 plus 7 equal to 61?,No,-2.9048819541931152,-0.6005536913871765,No,True
Arithmetic,1_digit_addition,'',Is 1 plus 0 equal to 3?,No,-2.6386661529541016,-0.5766914486885071,No,True
Arithmetic,1_digit_addition,'',Is 0 plus 2 equal to 3?,No,-1.3418214321136475,-0.9675043225288391,No,True
Arithmetic,1_digit_addition,'',Is 5 plus 8 equal to 38?,No,-2.732591152191162,-0.6041272282600403,No,True
Arithmetic,1_digit_addition,'',Is 8 plus 9 equal to 50?,No,-2.701500654220581,-0.631557047367096,No,True
Arithmetic,1_digit_addition,'',Is 2 plus 5 equal to 5?,No,-1.0369936227798462,-1.2876399755477905,Yes,False
Arithmetic,1_digit_addition,'',Is 6 plus 2 equal to 1?,No,-0.8847674131393433,-1.3891915082931519,Yes,False
Arithmetic,1_digit_addition,'',Is 3 plus 7 equal to 18?,No,-2.26409912109375,-0.6356064081192017,No,True
Arithmetic,1_digit_addition,'',Is 0 plus 3 equal to 7?,No,-2.466993808746338,-0.6472763419151306,No,True
Arithmetic,1_digit_addition,'',Is 3 plus 1 equal to 9?,No,-2.716993808746338,-0.5847395658493042,No,True
Arithmetic,1_digit_addition,'',Is 5 plus 3 equal to 5?,No,-0.7794381380081177,-1.6550426483154297,Yes,False
Arithmetic,1_digit_addition,'',Is 2 plus 2 equal to 5?,No,-2.795199155807495,-0.42837193608283997,No,True
Arithmetic,1_digit_addition,'',Is 8 plus 5 equal to 30?,No,-3.0141913890838623,-0.5184447765350342,No,True
Arithmetic,1_digit_addition,'',Is 1 plus 9 equal to 39?,No,-2.7322237491607666,-0.6741505861282349,No,True
Arithmetic,1_digit_addition,'',Is 9 plus 4 equal to 78?,No,-2.826284646987915,-0.6392354965209961,No,True
Arithmetic,1_digit_addition,'',Is 3 plus 0 equal to 8?,No,-2.9672000408172607,-0.5964815616607666,No,True
Arithmetic,1_digit_addition,'',Is 9 plus 0 equal to 4?,No,-1.4981306791305542,-0.9948529601097107,No,True
Arithmetic,1_digit_addition,'',Is 6 plus 7 equal to 22?,No,-2.5763959884643555,-0.5768597722053528,No,True
Arithmetic,1_digit_addition,'',Is 0 plus 4 equal to 2?,No,-1.107416033744812,-1.2956098318099976,Yes,False
Arithmetic,1_digit_addition,'',Is 6 plus 1 equal to 1?,No,-0.8807436227798462,-1.4437984228134155,Yes,False
Arithmetic,1_digit_addition,'',Is 9 plus 2 equal to 50?,No,-2.638784646987915,-0.6430464386940002,No,True
Arithmetic,1_digit_addition,'',Is 9 plus 8 equal to 95?,No,-2.748297929763794,-0.6940172910690308,No,True
Arithmetic,1_digit_addition,'',Is 3 plus 2 equal to 7?,No,-2.311174154281616,-0.553783118724823,No,True
Arithmetic,1_digit_addition,'',Is 0 plus 9 equal to 7?,No,-1.5528327226638794,-0.9870501160621643,No,True
Arithmetic,1_digit_addition,'',Is 7 plus 8 equal to 17?,No,-1.1390506029129028,-1.0145760774612427,No,True
Arithmetic,1_digit_addition,'',Is 8 plus 8 equal to 89?,No,-2.45159912109375,-0.5808746218681335,No,True
Arithmetic,1_digit_addition,'',Is 7 plus 6 equal to 21?,No,-2.045199155807495,-0.6745879650115967,No,True
Arithmetic,1_digit_addition,'',Is 2 plus 9 equal to 37?,No,-3.060900926589966,-0.6159895658493042,No,True
Arithmetic,1_digit_addition,'',Is 2 plus 7 equal to 1?,No,-1.2168214321136475,-0.9675043225288391,No,True
Arithmetic,1_digit_addition,'',Is 0 plus 1 equal to 5?,No,-2.685688018798828,-0.5574280619621277,No,True
Arithmetic,1_digit_addition,'',Is 4 plus 6 equal to 30?,No,-3.123400926589966,-0.5026558041572571,No,True
Arithmetic,1_digit_addition,'',Is 4 plus 4 equal to 5?,No,-1.3029985427856445,-0.9246947765350342,No,True
Arithmetic,1_digit_addition,'',Is 5 plus 6 equal to 95?,No,-2.670091152191162,-0.67833012342453,No,True
