property,prefix,Context,Question,Correct Answer,negative_sample_type,raw_yes_logprob,raw_no_logprob,base_yes_logprob,base_no_logprob,adjusted_yes_logprob,adjusted_no_logprob,predicted_answer,is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,-0.09072142094373703,-2.5777390003204346,-15.421310424804688,-12.550716400146484,15.33058900386095,9.97297739982605,Yes,True
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,-0.04874127730727196,-3.390324354171753,-15.421310424804688,-12.550716400146484,15.372569147497416,9.160392045974731,Yes,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,-2.0774474143981934,-0.15771424770355225,-15.421310424804688,-12.550716400146484,13.343863010406494,12.393002152442932,Yes,False
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,-2.514807939529419,-0.10387832671403885,-15.421310424804688,-12.550716400146484,12.906502485275269,12.446838073432446,Yes,False
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,-3.6707229614257812,-0.03847002238035202,-15.421310424804688,-12.550716400146484,11.750587463378906,12.512246377766132,No,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,-1.460405707359314,-0.30228039622306824,-15.421310424804688,-12.550716400146484,13.960904717445374,12.248436003923416,Yes,False
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,-1.8195017576217651,-0.1956162303686142,-15.421310424804688,-12.550716400146484,13.601808667182922,12.35510016977787,Yes,True
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,-2.233863592147827,-0.13054244220256805,-15.421310424804688,-12.550716400146484,13.18744683265686,12.420173957943916,Yes,False
can affect urine,hair,'',Can hair affect urine?,No,random,-2.5617902278900146,-0.10108577460050583,-15.421310424804688,-12.550716400146484,12.859520196914673,12.449630625545979,Yes,False
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,-3.5931427478790283,-0.038844574242830276,-15.421310424804688,-12.550716400146484,11.82816767692566,12.511871825903654,No,True
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,-3.0460829734802246,-0.0617525652050972,-15.421310424804688,-12.550716400146484,12.375227451324463,12.488963834941387,No,True
can bark,an arrow,'',Can an arrow bark?,No,random,-5.154600143432617,-0.014578590169548988,-15.421310424804688,-12.550716400146484,10.26671028137207,12.536137809976935,No,True
can be a distraction,a television,'',Can a television be a distraction?,Yes,random,-0.07920320332050323,-2.7028424739837646,-15.421310424804688,-12.550716400146484,15.342107221484184,9.84787392616272,Yes,True
can be a distraction,cider,'',Can cider be a distraction?,No,random,-0.6163893342018127,-0.8470835089683533,-15.421310424804688,-12.550716400146484,14.804921090602875,11.703632891178131,Yes,False
can be a source of entertainment,a guitar,'',Can a guitar be a source of entertainment?,Yes,random,-0.08006954938173294,-2.7340447902679443,-15.421310424804688,-12.550716400146484,15.341240875422955,9.81667160987854,Yes,True
can be a source of entertainment,an armor,'',Can an armor be a source of entertainment?,No,random,-0.944788932800293,-0.5465448498725891,-15.421310424804688,-12.550716400146484,14.476521492004395,12.004171550273895,Yes,False
can be acoustic,a limousine,'',Can a limousine be acoustic?,No,random,-1.6711760759353638,-0.24859318137168884,-15.421310424804688,-12.550716400146484,13.750134348869324,12.302123218774796,Yes,False
can be added to a hot drink,a rollerskate,'',Can a rollerskate be added to a hot drink?,No,random,-2.5461761951446533,-0.09623406082391739,-15.421310424804688,-12.550716400146484,12.875134229660034,12.454482339322567,Yes,False
can be added to alcoholic drinks,a buffalo,'',Can a buffalo be added to alcoholic drinks?,No,random,-0.7377678155899048,-0.6950322985649109,-15.421310424804688,-12.550716400146484,14.683542609214783,11.855684101581573,Yes,False
can be added to cake,cabbage,'',Can cabbage be added to cake?,No,random,-0.9952924847602844,-0.4995693862438202,-15.421310424804688,-12.550716400146484,14.426017940044403,12.051147013902664,Yes,False
can be added to cereal,cabbage,'',Can cabbage be added to cereal?,No,random,-0.6396394968032837,-0.8118734955787659,-15.421310424804688,-12.550716400146484,14.781670928001404,11.738842904567719,Yes,False
can be airborne,chocolate,'',Can chocolate be airborne?,No,random,-2.59317946434021,-0.10074668377637863,-15.421310424804688,-12.550716400146484,12.828130960464478,12.449969716370106,Yes,False
can be attached to a DVD player,a caterpillar,'',Can a caterpillar be attached to a dvd player?,No,random,-3.342615842819214,-0.05794987082481384,-15.421310424804688,-12.550716400146484,12.078694581985474,12.49276652932167,No,True
can be attached to a car,an ear,'',Can an ear be attached to a car?,No,random,-2.171363592147827,-0.1383524388074875,-15.421310424804688,-12.550716400146484,13.24994683265686,12.412363961338997,Yes,False
can be attached to a tractor,hair,'',Can hair be attached to a tractor?,No,random,-1.5303665399551392,-0.2689310908317566,-15.421310424804688,-12.550716400146484,13.890943884849548,12.281785309314728,Yes,False
can be attached to a tree,a swing,'',Can a swing be attached to a tree?,Yes,random,-0.1617613434791565,-1.9684967994689941,-15.421310424804688,-12.550716400146484,15.259549081325531,10.58221960067749,Yes,True
can be attached to an oven,a stove,'',Can a stove be attached to an oven?,Yes,random,-0.2514486312866211,-1.562164545059204,-15.421310424804688,-12.550716400146484,15.169861793518066,10.98855185508728,Yes,True
can be attached to bicycles,a toad,'',Can a toad be attached to bicycles?,No,random,-2.9991438388824463,-0.08345367759466171,-15.421310424804688,-12.550716400146484,12.422166585922241,12.467262722551823,No,True
