property,prefix,Context,Question,Correct Answer,negative_sample_type,raw_yes_logprob,raw_no_logprob,base_yes_logprob,base_no_logprob,adjusted_yes_logprob,adjusted_no_logprob,predicted_answer,is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,-0.33874380588531494,-1.3377705812454224,-8.882797241210938,-7.881962299346924,8.544053435325623,6.5441917181015015,Yes,True
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,-0.10037775337696075,-2.5994043350219727,-8.882797241210938,-7.881962299346924,8.782419487833977,5.282557964324951,Yes,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,-0.232274129986763,-1.7313008308410645,-8.882797241210938,-7.881962299346924,8.650523111224174,6.150661468505859,Yes,False
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,-2.6012775897979736,-0.10030420124530792,-8.882797241210938,-7.881962299346924,6.281519651412964,7.781658098101616,No,True
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,-4.0520148277282715,-0.05104167386889458,-8.882797241210938,-7.881962299346924,4.830782413482666,7.830920625478029,No,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,-2.623608350753784,-0.12301760166883469,-8.882797241210938,-7.881962299346924,6.259188890457153,7.758944697678089,No,True
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,-0.34756869077682495,-1.3465954065322876,-8.882797241210938,-7.881962299346924,8.535228550434113,6.535366892814636,Yes,True
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,-1.3604120016098022,-0.36041200160980225,-8.882797241210938,-7.881962299346924,7.522385239601135,7.521550297737122,Yes,False
can affect urine,hair,'',Can hair affect urine?,No,random,-1.3783485889434814,-0.3773753046989441,-8.882797241210938,-7.881962299346924,7.504448652267456,7.50458699464798,No,True
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,-2.1708343029022217,-0.1698608696460724,-8.882797241210938,-7.881962299346924,6.711962938308716,7.712101429700851,No,True
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,-1.3752939701080322,-0.37432074546813965,-8.882797241210938,-7.881962299346924,7.507503271102905,7.507641553878784,No,True
can bark,an arrow,'',Can an arrow bark?,No,random,-4.043193340301514,-0.04222039505839348,-8.882797241210938,-7.881962299346924,4.839603900909424,7.83974190428853,No,True
can be a distraction,a television,'',Can a television be a distraction?,Yes,random,-0.2605587840080261,-1.7595854997634888,-8.882797241210938,-7.881962299346924,8.622238457202911,6.122376799583435,Yes,True
