property,prefix,Context,Question,Correct Answer,negative_sample_type,raw_yes_logprob,raw_no_logprob,base_yes_logprob,base_no_logprob,adjusted_yes_logprob,adjusted_no_logprob,predicted_answer,is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,-0.0006282329559326172,-7.406249523162842,-16.482324600219727,-13.47024917602539,16.481696367263794,6.063999652862549,Yes,True
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,-0.00021588802337646484,-8.5,-16.482324600219727,-13.47024917602539,16.48210871219635,4.970249176025391,Yes,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,-6.656228065490723,-0.0013254880905151367,-16.482324600219727,-13.47024917602539,9.826096534729004,13.468923687934875,No,True
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,-3.812486171722412,-0.02355492115020752,-16.482324600219727,-13.47024917602539,12.669838428497314,13.446694254875183,No,True
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,-10.749959945678711,-8.344659727299586e-05,-16.482324600219727,-13.47024917602539,5.732364654541016,13.470165729428118,No,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,-3.5937464237213135,-0.02795267105102539,-16.482324600219727,-13.47024917602539,12.888578176498413,13.442296504974365,No,True
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,-11.6249418258667,-0.0001424552610842511,-16.482324600219727,-13.47024917602539,4.857382774353027,13.470106720764306,No,False
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,-7.874995231628418,-0.00040352344512939453,-16.482324600219727,-13.47024917602539,8.607329368591309,13.469845652580261,No,True
can affect urine,hair,'',Can hair affect urine?,No,random,-7.374997615814209,-0.0006477832794189453,-16.482324600219727,-13.47024917602539,9.107326984405518,13.469601392745972,No,True
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,-12.18749713897705,-1.1444091796875e-05,-16.482324600219727,-13.47024917602539,4.294827461242676,13.470237731933594,No,True
